BV号：BV11dd8YGE8U
标题：BV11dd8YGE8U
链接：https://www.bilibili.com/video/BV11dd8YGE8U
识别语言：zh
语言置信度：1
分段数：1226
生成时间：2026-08-30 08:29:28

[00:00:00 - 00:00:01] 我們要怎麼做
[00:00:01 - 00:00:03] 我們不需要多多的計算
[00:00:04 - 00:00:05] 好 平常我們做這些
[00:00:05 - 00:00:07] 我們要說說新的產品
[00:00:07 - 00:00:08] 我們要做什麼
[00:00:08 - 00:00:09] 但是我們今天要做
[00:00:09 - 00:00:10] 什麼東西比較不同
[00:00:10 - 00:00:11] 就是我們學習的
[00:00:11 - 00:00:12] 學習的產品
[00:00:12 - 00:00:13] 我們發佈GPT-4.5
[00:00:13 - 00:00:14] 我們以為大家會喜歡
[00:00:14 - 00:00:15] 我們很擔心的
[00:00:15 - 00:00:16] 但大家喜歡的
[00:00:16 - 00:00:17] 就更多 than we thought
[00:00:17 - 00:00:18] 大家會說
[00:00:18 - 00:00:19] 這些東西
[00:00:19 - 00:00:20] 我從來沒想過
[00:00:20 - 00:00:21] 我會有這種體驗
[00:00:21 - 00:00:22] 而它是比較不同的
[00:00:22 - 00:00:23] GPT-4
[00:00:23 - 00:00:24] 它是更好
[00:00:24 - 00:00:25] 這些方式
[00:00:25 - 00:00:26] 是比較明顯
[00:00:26 - 00:00:27] 或是比較難解
[00:00:27 - 00:00:29] 但是有很多的興趣
[00:00:29 - 00:00:31] 我們就把GPT 4.5的技術進行
[00:00:31 - 00:00:33] 所以今天我們有了
[00:00:33 - 00:00:35] 一些技術的隊伍
[00:00:35 - 00:00:37] 我們會談談
[00:00:37 - 00:00:39] 我們會談談我們學會
[00:00:39 - 00:00:41] 什麼技術
[00:00:41 - 00:00:43] 和一個大型模式
[00:00:43 - 00:00:45] 其實我們可能會開始
[00:00:45 - 00:00:47] 什麼是大型模式
[00:00:47 - 00:00:49] 你先去吧
[00:00:49 - 00:00:53] 很多人有很多時間和電腦
[00:00:53 - 00:00:55] 你可能要介紹一下
[00:00:55 - 00:00:57] Alex 你想要開始嗎
[00:00:57 - 00:00:59] 我工作很多在培訓資料
[00:00:59 - 00:01:02] 我也在培訓ML4GP4.5
[00:01:03 - 00:01:05] 我是阿明土層千
[00:01:05 - 00:01:08] 我開放了社會系統的創作
[00:01:08 - 00:01:11] 我接受了網絡系統的培訓
[00:01:11 - 00:01:12] 我是Dan
[00:01:12 - 00:01:14] 我培訓了資料和數據
[00:01:15 - 00:01:18] 好,我們開始吧
[00:01:19 - 00:01:21] 我認為我們開始了這項項
[00:01:21 - 00:01:23] 兩年前
[00:01:23 - 00:01:29] 我們還在想要加入一個新的圖案
[00:01:29 - 00:01:32] 我們看到了《Horizon》
[00:01:32 - 00:01:34] 我們開始做了很多工作
[00:01:34 - 00:01:36] 去盡情自身的特點
[00:01:36 - 00:01:38] 我們想要加入這個圖案
[00:01:38 - 00:01:40] 做了很多大量的抗議
[00:01:40 - 00:01:42] 做了一個很長的計劃
[00:01:42 - 00:01:44] 然後我們就在整個圖案中
[00:01:44 - 00:01:46] 做了一個很長的計劃
[00:01:46 - 00:01:49] 對,這就是一個很長的故事
[00:01:49 - 00:01:53] 在準備的場地,在準備的場地,
