BV号：BV1Ha9yYME6C
标题：BV1Ha9yYME6C
链接：https://www.bilibili.com/video/BV1Ha9yYME6C
识别语言：zh
语言置信度：1
分段数：305
生成时间：2026-08-30 11:49:31

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 3月2号 澳大利亚的公司Cottico Labs
[00:00:06 - 00:00:09] 正式推出了CLE合成生物智能系统
[00:00:09 - 00:00:10] 简称SBI
[00:00:10 - 00:00:13] 它标志着世界手台将人类脑细胞
[00:00:13 - 00:00:14] 与归硬件融合
[00:00:14 - 00:00:17] 形成流体神经网络的生物计算机
[00:00:17 - 00:00:18] 开启了商业化进程
[00:00:18 - 00:00:20] 我们可能将要面对
[00:00:20 - 00:00:21] 刚中之脑的假说成真
[00:00:21 - 00:00:23] 以及黑客帝国中
[00:00:23 - 00:00:24] Neo和MuTis的未来了
[00:00:24 - 00:00:26] 今天我们就来聊聊这个新闻
[00:00:26 - 00:00:29] 我们先来根据Cottico Labs发布的内容
[00:00:29 - 00:00:31] 了解一下CL1的核心构造
[00:00:31 - 00:00:33] 它之所以被称为生物计算机
[00:00:33 - 00:00:35] 关键就在于它的核心组件
[00:00:35 - 00:00:37] 并非是传统的归心片
[00:00:37 - 00:00:38] 而是人类的脑细胞
[00:00:38 - 00:00:42] 但是这些脑细胞并不是直接取自于人类的
[00:00:42 - 00:00:45] 而是研究人员利用人类的干细胞
[00:00:45 - 00:00:47] 在实验室里又导分化而成的
[00:00:47 - 00:00:50] 干细胞有着万能细胞的美誉
[00:00:50 - 00:00:52] 它就像一颗充满无限可能的种子
[00:00:52 - 00:00:53] 在合适的条件下
[00:00:53 - 00:00:57] 就能够生长分化成各种不同类型的细胞
[00:00:57 - 00:00:58] 而在这里
[00:00:58 - 00:01:00] 科学家们通过特定的技术手段
[00:01:00 - 00:01:02] 引导干细胞分化成了脑细胞
[00:01:02 - 00:01:06] 再让这些脑细胞在培养命中逐渐形成神经网络
[00:01:06 - 00:01:09] 从而构建出一个类似于简化版人脑组织的结构
[00:01:09 - 00:01:13] 为了让这些脑细胞能够与外界设备进行交互
[00:01:13 - 00:01:15] 发挥出计算和处理信息的能力
[00:01:15 - 00:01:18] 研究人员将他们放置在了不满电集的芯片上
[00:01:18 - 00:01:21] 这些电集如同一条条精密的信息高速公路
[00:01:21 - 00:01:23] 承担着极为重要的使命
[00:01:23 - 00:01:26] 他们一方面能够向脑细胞发送电信号
[00:01:26 - 00:01:29] 如同传递指令一般刺激脑细胞
[00:01:29 - 00:01:33] 另一方面又能够精准的读取细胞活动时发出的电信号
[00:01:33 - 00:01:35] 从而获取细胞处理信息的反馈
[00:01:35 - 00:01:37] 这种双向的电信号交互
[00:01:37 - 00:01:40] 使得脑细胞可以与归硬件紧密的结合
[00:01:40 - 00:01:42] 形成一个独特的流体神经网络
[00:01:43 - 00:01:46] 为了让大家更加直观地感受CLE的智能
[00:01:46 - 00:01:49] Cautico Labs的科学家们进行了一个有趣的实验
[00:01:49 - 00:01:52] 他们让CLE中的脑细胞学着玩一款经典的
[00:01:52 - 00:01:55] 类似于拼荒球的电子游戏POM
[00:01:55 - 00:01:56] 在游戏过程中
[00:01:56 - 00:01:59] 研究人员设定了一套独特的讲乘机制
[00:01:59 - 00:02:02] 那就是当脑细胞控制的球拍成功接住球的时候
[00:02:02 - 00:02:06] 就会给予细胞可预测的温和电信号作为奖励
[00:02:06 - 00:02:07] 反之呢
[00:02:07 - 00:02:08] 如果没有接住球
[00:02:08 - 00:02:11] 细胞则会收到随机混乱的电信号作为惩罚
[00:02:11 - 00:02:12] 令人惊叹的是
[00:02:12 - 00:02:15] 这些脑细胞就像是拥有自主学习能力一样
[00:02:15 - 00:02:18] 他们会根据接收到的电信号反馈
[00:02:18 - 00:02:20] 自行的调整神经网络的连接方式
[00:02:20 - 00:02:22] 不断优化接球的策略
[00:02:22 - 00:02:24] 以此来获取更多的奖励信号
[00:02:24 - 00:02:28] 这个过程与人类大脑的学习机制是高度相似的
[00:02:28 - 00:02:32] 都是通过不断的尝试反馈和调整来提升能力的
[00:02:32 - 00:02:33] 从这个小小的实验中
[00:02:33 - 00:02:36] 我们就能够看出CLE独特的智能特性
[00:02:36 - 00:02:38] 它打破了传统计算机
[00:02:38 - 00:02:40] 基于固定程序和算法的运行模式
[00:02:40 - 00:02:42] 展现出了一种更为灵活
[00:02:42 - 00:02:45] 更接近于生物本能的学习和适应能力
[00:02:45 - 00:02:46] 在性能上
[00:02:46 - 00:02:49] CLE也有着许多传统计算机难以起极的优势
[00:02:49 - 00:02:51] 比如说在学习速度方面
[00:02:51 - 00:02:53] CLE就展现出了令人惊叹的天赋
[00:02:54 - 00:02:56] 就拿刚才这个学习玩游戏的任务来说
[00:02:56 - 00:02:57] 它只需要5分钟
