BV号：BV1DNdQBKEUn
标题：BV1DNdQBKEUn
链接：https://www.bilibili.com/video/BV1DNdQBKEUn
识别语言：zh
语言置信度：1
分段数：147
生成时间：2026-08-29 07:59:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为写出炸干GPU算力的顶尖内核
[00:00:04 - 00:00:08] 必须懂无穷无尽的C++模板源编程吗
[00:00:08 - 00:00:10] 你以为行业第一梯队的开源算子库
[00:00:10 - 00:00:13] 动辄就要几时上百万行代码吗
[00:00:13 - 00:00:14] 但事实却非如此
[00:00:14 - 00:00:18] 最近在开发者圈子里杀疯了的DeepG EMM
[00:00:18 - 00:00:21] 正在狠狠打脸这种代码越厚性能越强的常识
[00:00:21 - 00:00:23] 当你打开它的Gatehub仓库
[00:00:23 - 00:00:25] 你会发现它干净的不可思议
[00:00:25 - 00:00:27] 没有层层欠套的抽象
[00:00:27 - 00:00:30] 没有重度依赖NVIDIA官方的Cutlass
[00:00:30 - 00:00:32] 但就是这么个极其轻量的酷
[00:00:32 - 00:00:37] 却在H800上跑出了毕竟硬件物理极限的FP8有效算力
[00:00:37 - 00:00:40] 这不仅是一场属于工程师的代码美学革命
[00:00:40 - 00:00:42] 更是一次DeepSyncV4的泄密
[00:00:42 - 00:00:45] 就在这几天DeepGEMM主分支
[00:00:45 - 00:00:48] 突然合并了上百个文件的大更新
[00:00:48 - 00:00:52] 今天我们就从工程视角硬核拆解DeepGEMM
[00:00:52 - 00:00:54] 看看这几件代码的背后
[00:00:54 - 00:00:57] 到底藏着DeepSyncV4怎样恐怖的野心
[00:00:57 - 00:01:00] 以及在算力封锁下他们布下一盘什么样的大旗
[00:01:00 - 00:01:02] 再聊最新的大量更新前
[00:01:02 - 00:01:04] 为了照顾非底层开发的同学
[00:01:04 - 00:01:06] 咱们先快速科补一下
[00:01:06 - 00:01:08] 什么是DeepGEMM
[00:01:08 - 00:01:09] 简单来说
[00:01:09 - 00:01:12] GEMM通用矩阵成法
[00:01:12 - 00:01:14] 是大模型计算的心脏
[00:01:14 - 00:01:16] 大语言模型推理时
[00:01:16 - 00:01:18] 绝大部分的算力都砸在矩阵成法上
[00:01:18 - 00:01:20] 而DeepGEMM
[00:01:20 - 00:01:24] 就是DeepSig专门为自家大模型量身定制的心脏起伯气
[00:01:24 - 00:01:26] 过去大家写哭的算子
[00:01:26 - 00:01:29] 标配是NVIDIA官方的Cutless酷
[00:01:29 - 00:01:30] Cutless很强
[00:01:30 - 00:01:32] 但它是为了满足所有人的通用酷
[00:01:32 - 00:01:35] 背负了沉重的历史包袱和极高的抽象层级
[00:01:35 - 00:01:37] DeepSig的工程师发现
[00:01:37 - 00:01:39] 当你要把FP8这种低精度
[00:01:39 - 00:01:42] 计算的性能压榨到极致时
[00:01:42 - 00:01:45] 复杂的抽象反而成了阻碍编译器的半角石
[00:01:45 - 00:01:47] 于是他们做了一个违背祖宗的决定
[00:01:47 - 00:01:49] 抛弃勇种回归本质
[00:01:49 - 00:01:52] DeepGEMM采用了一种极简的内核结构
[00:01:52 - 00:01:54] 只保留最核心的计算路径
[00:01:54 - 00:01:57] 更觉得是他抛弃了漫长的AOT
[00:01:57 - 00:01:58] 提前编译
[00:01:58 - 00:02:00] 全密拥抱轻量级的JIT
[00:02:00 - 00:02:01] 及时编译
[00:02:01 - 00:02:04] 这就好比以前你必须提前把所有尺码的衣服做出来
[00:02:04 - 00:02:05] 放进仓库
[00:02:05 - 00:02:08] 现在他是客户进门瞬间量体裁衣
[00:02:08 - 00:02:11] 几秒钟现场缝制一件最合身的
[00:02:11 - 00:02:14] 这种设计避免了数小时的编译等待
[00:02:14 - 00:02:16] 更让他针对特定的矩真shape
[00:02:16 - 00:02:18] 实现了最完美的动态特化
[00:02:18 - 00:02:19] 重点来了
[00:02:19 - 00:02:20] 就在这几天
[00:02:20 - 00:02:22] DeepGEMM仓库迎来了一波
[00:02:22 - 00:02:25] 高达110个文件的海量更新
[00:02:25 - 00:02:27] 我扒开原码一看
[00:02:27 - 00:02:28] 这里面全是大招
[00:02:28 - 00:02:30] 第一原生支持FP4
[00:02:30 - 00:02:32] 四位辅典数与FP4 indexer
[00:02:32 - 00:02:36] 大家知道FP8已经是H800时代的极限操作了
[00:02:36 - 00:02:39] FP4直接把数据位宽又砍了一半
[00:02:39 - 00:02:41] 要在保证精度的前提下跑FP4
[00:02:41 - 00:02:43] 需要极其精细的缩放策略
[00:02:43 - 00:02:46] DeepGEMM现在不仅提前布局了
[00:02:46 - 00:02:49] FP8、FP4混合精度
[00:02:49 - 00:02:51] 连底层indexer都铺好了路
[00:02:51 - 00:02:56] 第二针对Envidia下一代SM100,Blackwell,架构的底层优化,
[00:02:56 - 00:02:59] 代码里明确出现了不同内存布局的支持扩展。
[00:02:59 - 00:03:03] 此前在H800上,由于硬件限制它只做NT布局,
[00:03:03 - 00:03:07] 但现在为了吃透具备原生FP4加速的SM100架构,
[00:03:07 - 00:03:09] 底层逻辑已经全面展开。
[00:03:09 - 00:03:13] 第三,Mega MOE,超级混合专家内核的进化。
[00:03:13 - 00:03:17] 以前Moe模型的痛点是计算和夸卡通信是脱节的,
[00:03:17 - 00:03:20] Magmoe及其暴躁地把路由分发
[00:03:20 - 00:03:22] 线性层计算 激活函数
[00:03:22 - 00:03:26] 甚至跨卡通信全部揉进了一个超级内核里
[00:03:26 - 00:03:28] 实现了真正的NVLink通信
[00:03:28 - 00:03:30] 与张亮核心计算的完全重叠
[00:03:30 - 00:03:32] 第4MHC组建的整合
[00:03:32 - 00:03:35] 这是一种全新的网络架构底层支持
[00:03:35 - 00:03:37] 意味着传统的残差连接机制
[00:03:37 - 00:03:39] 正在经历深度的眼镜
[00:03:39 - 00:03:41] 把这四个更新拼在一起
[00:03:41 - 00:03:43] 底层算字图纸已经画好
[00:03:43 - 00:03:45] 咱们来做几个及其合理的推演
[00:03:45 - 00:03:49] 猜想1,V4的参数量可能大到超乎想象
[00:03:49 - 00:03:51] 为什么要在现在死磕FPS?
[00:03:51 - 00:03:52] 因为参数实在装不下了
[00:03:52 - 00:03:55] 如果V4能全面拥抱FPS计算
[00:03:55 - 00:03:58] 意味着在同等显存规模下
