BV号：BV1Lg7N6XEpF
标题：BV1Lg7N6XEpF
链接：https://www.bilibili.com/video/BV1Lg7N6XEpF
识别语言：zh
语言置信度：1
分段数：284
生成时间：2026-08-29 09:59:14

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为DeepSig的成功只是靠模仿啊
[00:00:04 - 00:00:07] Hover Institution和Stanford High最新发布的公开白皮书
[00:00:07 - 00:00:08] 给出了另一个答案
[00:00:08 - 00:00:11] 他们梳理了DeepSig七篇基础论文中的
[00:00:11 - 00:00:14] 356名研究和工程贡献者
[00:00:14 - 00:00:17] 并为其中282人建立了公开学术画像
[00:00:17 - 00:00:18] 结果显示
[00:00:18 - 00:00:20] 中国不仅有一批
[00:00:20 - 00:00:22] 经历过美国研究机构的人才回流
[00:00:22 - 00:00:23] 更重要的是
[00:00:23 - 00:00:26] 已经形成了越来越独立的本土AI人才管道
[00:00:26 - 00:00:29] 今天我带大家硬核拆解这份报告
[00:00:29 - 00:00:31] 看看DeepSik背后的人才密码
[00:00:31 - 00:00:32] 看到这里你可能会想
[00:00:32 - 00:00:34] 不就是几个人才回国吗
[00:00:34 - 00:00:35] 有那么夸张吗
[00:00:35 - 00:00:37] 我们一直以来的认知是
[00:00:37 - 00:00:39] 美国的AI互成和深不可测
[00:00:39 - 00:00:41] 中国只能在后面跟着简陋
[00:00:41 - 00:00:44] 特别是芯片被卡脖子之后
[00:00:44 - 00:00:46] 很多人觉得中国AI没戏了
[00:00:46 - 00:00:48] 但DeepSik的横空出事
[00:00:48 - 00:00:50] 其而一模型在推理任务上达到了
[00:00:50 - 00:00:52] 与OpenAIOE可比的表现
[00:00:52 - 00:00:57] 而V3披露的官方完整训练成本约557.6万美元
[00:00:57 - 00:01:00] 不含前期研发和骁容实验成本
[00:01:00 - 00:01:01] 这到底是怎么做到的
[00:01:01 - 00:01:02] 是偶然的运气
[00:01:02 - 00:01:04] 还是背后有高人指点
[00:01:04 - 00:01:06] 斯坦福大学的胡佛研究所
[00:01:06 - 00:01:09] 在一年前报告基础上更新了数据
[00:01:09 - 00:01:12] 对DeepSeq背后的人才结构进行了深入分析
[00:01:12 - 00:01:15] 他们发现了一个值得美国决策者深思的真相
[00:01:15 - 00:01:17] 这份报告的名字叫Update
[00:01:17 - 00:01:20] DeepSeq AI and the Great Talent Competition
[00:01:20 - 00:01:24] 作者是Huber Institution的Emerson Johnston和Amy Zegard
[00:01:24 - 00:01:29] 其中 Amy Zegard 也是 Stanford High 的資深研究員和副主任
[00:01:29 - 00:01:32] 他們把 DeepSig 發表的7篇核心論文全部翻了一遍
[00:01:32 - 00:01:35] 在 356 名研究和工程貢獻者中
[00:01:35 - 00:01:40] 為 282 名有可用公開資料的作者建立了學術畫像
[00:01:40 - 00:01:42] 由於 OpenAlex 在這組樣本中
[00:01:42 - 00:01:45] 可用機構記錄最早追溯到 1989 年
[00:01:45 - 00:01:48] 報告僅可能追蹤了這些人的公開機構履歷
[00:01:48 - 00:01:50] 論文和引用數據
[00:01:50 - 00:01:55] 结果发现,这282人中有271人有机构履历
[00:01:55 - 00:01:58] 其中229人当前关联中国机构
[00:01:58 - 00:02:01] 更有145人的公开履历从未离开中国机构
[00:02:01 - 00:02:06] 而更让人震惊的是,约29.5%有过美国机构关联
[00:02:06 - 00:02:09] 其中既包括名校和大厂
[00:02:09 - 00:02:11] 也包括医疗产业和外卫机构
[00:02:11 - 00:02:12] 这意味着什么?
[00:02:12 - 00:02:14] 我们分三个层面来逐层拆解
[00:02:14 - 00:02:17] 第一点,核心团队的非典型
[00:02:17 - 00:02:20] 画像报告锁定了31名核心团队成员
[00:02:20 - 00:02:21] 这些人是干嘛的
[00:02:21 - 00:02:23] 他们是连续参与了Deep Seek
[00:02:23 - 00:02:26] 多篇基础论文的绝对主力
[00:02:26 - 00:02:29] 这31个人简直就是AI界的特种部队
[00:02:29 - 00:02:32] 你猜这31个人里有多少人完全是本土培养的
[00:02:32 - 00:02:35] 答案是约1¾完全本土
[00:02:35 - 00:02:38] 另有不少人是短期或中期海外经历后回到中国
[00:02:38 - 00:02:42] 这31个人平均有约77项学术作品
[00:02:42 - 00:02:45] 平均被引用2470次
[00:02:45 - 00:02:49] 这说明他们并不是外界想象中那种年轻没经验的草台班子
[00:02:49 - 00:02:53] 而且其中一部分人是中国本土教育体系培养出来的
[00:02:53 - 00:02:56] 这就打破了指挥模仿的简单叙事
[00:02:56 - 00:02:58] 报告认为DeepSig并非指挥模仿
[00:02:58 - 00:03:00] 而是在多个方面有实质创新
[00:03:00 - 00:03:03] 中国国内的大学和研究机构
[00:03:03 - 00:03:05] 已经具备了持续培养高水平
[00:03:05 - 00:03:07] AI研究者和工程人才的能力
[00:03:07 - 00:03:10] 以前大家总觉得国内的大学就是高高理论
[00:03:10 - 00:03:13] 发发水文真要落地还是得靠海归
[00:03:13 - 00:03:15] 但DeepSig至31个核心大脑
[00:03:16 - 00:03:18] 接接诗诗的给这种刻板印象
[00:03:18 - 00:03:19] 来了一季响亮的耳光
[00:03:20 - 00:03:22] 这支团队并不是主要靠美国
[00:03:22 - 00:03:24] 大厂或腾效履历构成的
[00:03:24 - 00:03:26] 更关键的是他们写出来的代码
[00:03:26 - 00:03:27] 跑出来的模型
[00:03:28 - 00:03:29] 已经足以让硅谷重新审视
[00:03:29 - 00:03:31] 中国AI团队的工程能力
[00:03:31 - 00:03:32] 这说明什么
[00:03:32 - 00:03:35] 说明中国本土教育和科研体系
[00:03:35 - 00:03:36] 已经能够培养出
[00:03:36 - 00:03:38] 参与前沿模型研发的关键人才
[00:03:39 - 00:03:41] 它不再只是海归人才的补充
[00:03:41 - 00:03:43] 而是正在成为一条可以持续输送
[00:03:43 - 00:03:46] 高水平研究者和工程师的主干管道
[00:03:46 - 00:03:47] 第二点
[00:03:47 - 00:03:49] 美国机构的神助攻
[00:03:49 - 00:03:51] 这才是让斯坦夫最扎心的地方
[00:03:51 - 00:03:52] 报告显示
[00:03:52 - 00:03:54] 在有公开机构履历的样本中
[00:03:54 - 00:03:57] 有80人曾经拥有美国机构关联
