BV号：BV1N7Nu6nEfF
标题：BV1N7Nu6nEfF
链接：https://www.bilibili.com/video/BV1N7Nu6nEfF
识别语言：zh
语言置信度：1
分段数：218
生成时间：2026-08-29 18:36:11

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 大家有没有发现一个现象
[00:00:03 - 00:00:05] 让AI写个贪吃蛇很溜
[00:00:05 - 00:00:07] 但放到真实的商业项目里
[00:00:07 - 00:00:10] 它就开始胡言乱语 越改越乱
[00:00:10 - 00:00:12] 很多人把问题归因于模型能力
[00:00:12 - 00:00:14] 期待下一代模型解决一切
[00:00:14 - 00:00:17] 但Matpokok给出了极其反常识的结论
[00:00:17 - 00:00:18] AI编程质量不高
[00:00:18 - 00:00:20] 根本不是因为它不够聪明
[00:00:20 - 00:00:22] 而是因为AI没有记忆
[00:00:22 - 00:00:25] 想想你随时可以召唤一支工程师舰队
[00:00:25 - 00:00:26] 每个人都很聪明
[00:00:26 - 00:00:27] 却只有5分钟记忆
[00:00:27 - 00:00:30] 他们不知道项目为什么采用这种架构
[00:00:30 - 00:00:31] 不知道上个月采过什么坑
[00:00:31 - 00:00:34] 不知道那个看起来很蠢的命名
[00:00:34 - 00:00:36] 其实是为了兼容古老的第三方接口
[00:00:36 - 00:00:38] 如果你只是随口给指令
[00:00:38 - 00:00:40] 他们就会用最标准
[00:00:40 - 00:00:41] 但最不顾上下文的方式
[00:00:41 - 00:00:43] 把代码改的稀巴烂
[00:00:43 - 00:00:46] 所以MAT的解法并不是否定提示词设计
[00:00:46 - 00:00:50] 而是不再把希望寄托在一次性的神prompt上
[00:00:50 - 00:00:51] 更有效的做法是
[00:00:51 - 00:00:54] 把经过验证的指令沉淀成可组合
[00:00:54 - 00:00:55] 可重复的流程
[00:00:55 - 00:00:58] 这就是skills仓库的底层逻辑
[00:00:58 - 00:01:01] 这个仓库把软件开发生命周期
[00:01:01 - 00:01:04] 拆解成数十个大小不一可组合的技能
[00:01:04 - 00:01:07] 其中二十多个位于稳定的工程与生产力目录
[00:01:07 - 00:01:08] 在v1.1版本中
[00:01:08 - 00:01:11] met把这套流程打磨到了极致
[00:01:11 - 00:01:13] 绝大多数人使用AI的第一步是写prompt
[00:01:13 - 00:01:16] The metah的第一步是grill with docs
[00:01:16 - 00:01:18] 有代码库或grillme
[00:01:18 - 00:01:19] 无代码库
[00:01:19 - 00:01:22] 这两个技能都调用共享的grilling源语
[00:01:22 - 00:01:25] 它彻底反转了人机沟通范氏
[00:01:25 - 00:01:26] 核心逻辑是
[00:01:26 - 00:01:29] 无情的采访你关于这个计划的每个细节
[00:01:29 - 00:01:30] 直到达成共识
[00:01:30 - 00:01:31] 试试由Agent的查询
[00:01:31 - 00:01:33] 决策交给人类
[00:01:33 - 00:01:35] 问题一次只问一个并负推荐答案
[00:01:35 - 00:01:36] 为什么
[00:01:36 - 00:01:39] 因为没有人确切知道自己想要什么
[00:01:39 - 00:01:40] 你以为要高级搜索功能
[00:01:40 - 00:01:42] 但你考虑过排序权重
[00:01:42 - 00:01:44] 空状态UI防斗处理
[00:01:44 - 00:01:46] 搜索历史存储分次处理吗
[00:01:46 - 00:01:47] 没有
[00:01:47 - 00:01:49] 如果直接让AI写代码
[00:01:49 - 00:01:51] 它就会用默认设定做这些决定
[00:01:51 - 00:01:54] 而这些大概率不符合你的真实需求
[00:01:54 - 00:01:56] MAT引入了设计原本中的设计术概念
[00:01:56 - 00:01:59] 设计就是在数的分支上做选择
[00:01:59 - 00:02:02] 通过这个过程你不仅给AI下指令
[00:02:02 - 00:02:05] 你实际上在和聪明的架构师头脑风暴
[00:02:05 - 00:02:08] MAT说,它曾被AI连续问16个问题
[00:02:08 - 00:02:12] 复杂特性甚至被考问半小时回答350个问题
[00:02:12 - 00:02:15] 在V1.1中,MAT加了确认门槛
[00:02:15 - 00:02:18] 在确认达成共识前,绝对不要实施计划
[00:02:18 - 00:02:21] 过早开始实施是AI编程最大的灾难
[00:02:21 - 00:02:23] 代码应该是共识的副产品
[00:02:23 - 00:02:25] 共识才是目的
[00:02:25 - 00:02:26] 对于多辉化项目
[00:02:26 - 00:02:29] 达成共识后用2Spec定义规范
[00:02:29 - 00:02:31] 再用2Tickets分解任务
[00:02:31 - 00:02:34] v.1把2PRD重命名为2Spec
[00:02:34 - 00:02:37] 因为生成的文档早已超出传统PRD的范围
[00:02:37 - 00:02:43] 同时把2Plan与2Issues合并成2Tickets
[00:02:43 - 00:02:45] 用Ticket的统一表示本地计划
