BV号：BV1gBgw6HEkY
标题：BV1gBgw6HEkY
链接：https://www.bilibili.com/video/BV1gBgw6HEkY
识别语言：zh
语言置信度：1
分段数：330
生成时间：2026-08-29 11:32:12

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 先给你看一组数字
[00:00:03 - 00:00:05] 一个多智能体研究管道
[00:00:05 - 00:00:08] 跑一次最终生成报告的那个环节
[00:00:08 - 00:00:11] 花1.38美元等50一秒
[00:00:11 - 00:00:12] 有人往这个管道里加了
[00:00:12 - 00:00:14] 一段普普通通的拍摄代码
[00:00:14 - 00:00:16] 模型没换 prompt没改
[00:00:16 - 00:00:17] 我可一个没动
[00:00:17 - 00:00:19] 再跑一次 0.19美元11秒
[00:00:19 - 00:00:22] 成本降了86%
[00:00:22 - 00:00:24] 等待时间降了78%
[00:00:24 - 00:00:27] 这段代码里没有模型不调任何API
[00:00:27 - 00:00:29] 就是最朴素的数据清洗脚本
[00:00:29 - 00:00:34] 发帖的人叫Jip在X上做AI工作流方向的内容
[00:00:34 - 00:00:37] 他把整个过程写成了长文数字代码采过的坑
[00:00:37 - 00:00:38] 全部公开
[00:00:38 - 00:00:43] 今天我们就来看看这86%到底从哪省出来的
[00:00:43 - 00:00:46] 你的管道里很可能也藏着同样的漏点
[00:00:46 - 00:00:49] 你可能会问一个多智能体系统钱到底花在哪
[00:00:49 - 00:00:51] 多数人的直觉是Walker越多越贵
[00:00:51 - 00:00:53] 几十路并发调用摆在那
[00:00:53 - 00:00:56] 所以很多人优化的时候盯着Worker使劲
[00:00:56 - 00:00:57] 换更便宜的小模型
[00:00:57 - 00:01:00] 减少work数量 压输出长度
[00:01:00 - 00:01:03] 但jib的实测数字指向了完全不同的方向
[00:01:03 - 00:01:06] 它那条管道里40个work全跑cloud hikoo
[00:01:06 - 00:01:08] anthropic最便宜的一道模型
[00:01:08 - 00:01:10] fanout到40个也花不了多少钱
[00:01:10 - 00:01:13] 真正烧钱是排在最后的那个环节
[00:01:13 - 00:01:16] 所有work的输出 原封不动堆进一个prompt
[00:01:16 - 00:01:18] 交给cloud sonnet写最终报告
[00:01:18 - 00:01:21] sonnet按独入的token济费
[00:01:21 - 00:01:22] 它读了多少账单就是多少
[00:01:22 - 00:01:26] 而这个数字很少有人去量过先把背景交代清楚
[00:01:26 - 00:01:29] JIP搭的是一条典型的研究型Agent管道
[00:01:29 - 00:01:33] 用户给一个研究问题系统把它拆成40个紫问题
[00:01:33 - 00:01:35] 派给40个病情的Worker
[00:01:35 - 00:01:37] 每个Worker用Cloud High-Coup 任务很明确
[00:01:37 - 00:01:40] 抓来源抽一条结论 附上证据
[00:01:40 - 00:01:41] 按格式返回
[00:01:41 - 00:01:44] 40份输出收起之后 全部拼进一个Prompt
[00:01:44 - 00:01:46] 交给Cloud Sonet
[00:01:46 - 00:01:49] Sonet读完40份材料 写出最终的研究报告
[00:01:49 - 00:01:52] 从架构图上看 这套设计很标准
[00:01:52 - 00:01:54] 便宜的模型负责�覆盖面
[00:01:54 - 00:01:56] 贵的模型只出场一次
[00:01:56 - 00:01:58] 负责收尾的综合推理
[00:01:58 - 00:02:01] 教科舒适的成本控制跑起来也确实能出活
[00:02:01 - 00:02:02] 问题藏在账单里
[00:02:02 - 00:02:04] 这也不后来复盘
[00:02:04 - 00:02:05] 他自己都没意识到
[00:02:05 - 00:02:08] 这套管道的成本结构从一开始就跑偏了
[00:02:08 - 00:02:09] 关键来了
[00:02:09 - 00:02:10] 这不良了一下
[00:02:10 - 00:02:11] 40分work输出拼起来
[00:02:11 - 00:02:14] 一共41200个token
[00:02:14 - 00:02:16] 这就是Sonnet每次要读完的量
[00:02:16 - 00:02:20] 但是41200个token的橙色细看之下相当糟糕
[00:02:20 - 00:02:23] 40分输出里有15分是近乎重复的
[00:02:23 - 00:02:25] 同一个结论换个说法
[00:02:25 - 00:02:29] 同一个来源用三种不同的引用格式各引一遍
[00:02:29 - 00:02:30] 还有六份是机型的
[00:02:30 - 00:02:32] 有的缺字段有的时间戳是坏的
[00:02:32 - 00:02:35] 有的只给了结论没付证据
[00:02:35 - 00:02:36] 也就是说sonyt拿到手的
[00:02:36 - 00:02:39] 是一堆没清洗过的原始数据
[00:02:39 - 00:02:41] 它得先自己读完40分小文档
[00:02:41 - 00:02:42] 自己发现哪些重复
[00:02:42 - 00:02:44] 自己判断哪些残缺
[00:02:44 - 00:02:46] 该忽略把这些家务活全干完
