BV号：BV1roKC6yE6k
标题：BV1roKC6yE6k
链接：https://www.bilibili.com/video/BV1roKC6yE6k
识别语言：zh
语言置信度：1
分段数：180
生成时间：2026-08-29 18:54:37

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] AI写react测试权率就算合格吗?
[00:00:04 - 00:00:06] reactbench的答案是不算
[00:00:06 - 00:00:08] 在这批受测编码Agent里
[00:00:08 - 00:00:11] 最高总体通过率只有43.1%
[00:00:11 - 00:00:14] 更离谱的是有些代码测试已经全过了
[00:00:14 - 00:00:16] 最后还是背叛失败
[00:00:16 - 00:00:17] 问题到底出在哪?
[00:00:17 - 00:00:19] 过去这一年
[00:00:19 - 00:00:22] 各种大模型发布会都在掩饰AI几秒钟
[00:00:22 - 00:00:23] 写完一个复杂的前端应用
[00:00:23 - 00:00:25] 搞得很多同行在群里调侃说
[00:00:25 - 00:00:27] 赶紧转行去卖炒饭
[00:00:27 - 00:00:29] 但reactbench公布的数据
[00:00:29 - 00:00:30] 就像一盆冷水浇了下来
[00:00:31 - 00:00:32] 今天我们就从工程师视角
[00:00:32 - 00:00:35] 硬核拆解这背后的工程真相
[00:00:35 - 00:00:37] 很多人判断一段代码好不好
[00:00:37 - 00:00:38] 就是看测试能不能跑通
[00:00:38 - 00:00:40] 给一个输入 期望一个输出
[00:00:40 - 00:00:42] 只要结果对得上
[00:00:42 - 00:00:43] 系统就给你亮绿灯
[00:00:43 - 00:00:45] 但ReactBench不完这一套
[00:00:45 - 00:00:46] 它不是让你写个冒泡排序
[00:00:46 - 00:00:47] 或者翻转二差数
[00:00:47 - 00:00:51] 它选取了真实开源代码库中的51个任务
[00:00:51 - 00:00:53] 让Agent实现功能或治理
[00:00:53 - 00:00:54] 既有React问题
[00:00:54 - 00:00:56] 这些项目有着复杂的目录结构
[00:00:56 - 00:00:58] 历史一流的架构设计
[00:00:58 - 00:01:00] 以及千丝万缕的组件依赖
[00:01:00 - 00:01:03] 总共进行了8,415次测试运行
[00:01:03 - 00:01:04] 涵盖8个模型
[00:01:04 - 00:01:06] 家族33个模型
[00:01:06 - 00:01:07] 成EFFORT配置
[00:01:07 - 00:01:08] 在这个基准测试中
[00:01:08 - 00:01:10] 它设立了两道门槛
[00:01:10 - 00:01:12] 第一道行为测试得通过
[00:01:12 - 00:01:13] 也就是功能得跑起来
[00:01:13 - 00:01:15] 点击按钮要有预期的交互
[00:01:15 - 00:01:17] 数据要能正确渲染
[00:01:17 - 00:01:18] 第二道也是最狠的一道
[00:01:18 - 00:01:20] 不能新增任何被纳入评分的
[00:01:20 - 00:01:22] ReactDoctor问题
[00:01:22 - 00:01:24] ReactDoctor本身有400多条规则
[00:01:24 - 00:01:27] 但ReactBanche只使用其中经过筛选的一部分
[00:01:27 - 00:01:30] 它就像一个极其严苛的代码审查员
[00:01:30 - 00:01:32] 专门查户可依赖写楼状态
[00:01:32 - 00:01:34] 死寻欢风险等深层问题
[00:01:34 - 00:01:38] 所以我们真正该看的不是谁赢了两个百分点
