BV号：BV1ufKM64EWd
标题：BV1ufKM64EWd
链接：https://www.bilibili.com/video/BV1ufKM64EWd
识别语言：zh
语言置信度：1
分段数：239
生成时间：2026-08-29 18:45:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你有没有发现现在打开很多AI生成的网站
[00:00:05 - 00:00:07] 就像是同一个模子里刻出来的
[00:00:07 - 00:00:09] 满屏的蓝紫色渐变毛玻璃按钮
[00:00:09 - 00:00:11] Lucid的图标
[00:00:11 - 00:00:14] 全都长的一样 问题不全在AI模型身上
[00:00:14 - 00:00:17] 很多时候是因为我们给出的指令太模糊了
[00:00:17 - 00:00:19] 今天我们来拆解一下Pose
[00:00:19 - 00:00:20] Dev公开的
[00:00:20 - 00:00:22] 反slop设计法则
[00:00:22 - 00:00:25] 它梳理了近百种容易导致模板化的负面模式
[00:00:25 - 00:00:28] 又给出了40多条正向的做法
[00:00:28 - 00:00:30] 最有意思的是他不仅告诉你别这样做
[00:00:30 - 00:00:33] 还提供了一个唯一性框架
[00:00:33 - 00:00:34] 通过清晰的约束
[00:00:34 - 00:00:36] 强制AI做出更具体的选择
[00:00:36 - 00:00:38] 为什么AI生成的设计这么容易装脸
[00:00:38 - 00:00:39] 从逻辑上看
[00:00:39 - 00:00:42] 这和模型训练时学到的高频模式有关
[00:00:42 - 00:00:44] 也和工具自带的预设有关
[00:00:44 - 00:00:47] 但今天重点聊一个我们最容易控制的辩量
[00:00:47 - 00:00:49] 提示词过于模糊
[00:00:49 - 00:00:51] 大多数人给AI的指令非常宽泛
[00:00:51 - 00:00:54] 给我生成一个现代的SES网站
[00:00:54 - 00:00:55] 接到这种指令
[00:00:55 - 00:00:59] AI就会直接调用它最熟悉的那套默认解法
[00:00:59 - 00:01:01] 手平放个篮子肩边按钮
[00:01:01 - 00:01:02] 加个毛玻璃
[00:01:02 - 00:01:04] 图标库默认用LU-SIDE
[00:01:04 - 00:01:07] 再来几个带有最受欢迎标签的高量定价卡
[00:01:07 - 00:01:10] 就这样一个毫无灵魂的页面诞生了
[00:01:10 - 00:01:11] 这套模板已经被用烂了
[00:01:11 - 00:01:14] Pose,Devde解体思路是
[00:01:14 - 00:01:17] 先用负面清单拦解掉这些常见的默认项
[00:01:17 - 00:01:19] 再用正向的设计原则做一层强约束
[00:01:19 - 00:01:21] 逼迫AI走出它的安全区
[00:01:21 - 00:01:24] 这虽然不能保证铲除经验的创新
[00:01:24 - 00:01:27] 但能大幅降低生成平庸模板的概率
[00:01:27 - 00:01:28] 简单介绍一下
[00:01:28 - 00:01:31] POLS.DV提供一个markdown文档
[00:01:31 - 00:01:33] 这份文档复制到你的项目里
[00:01:33 - 00:01:35] 作为系统提示刺激课
[00:01:35 - 00:01:37] 需要说明的是它不是严谨的学书论文
[00:01:37 - 00:01:40] 也没有经过大规模的数据统计
[00:01:40 - 00:01:42] 它更像是一个资深设计师的审查笔记
[00:01:42 - 00:01:45] 记录了哪些UI元素被AI滥用了
[00:01:45 - 00:01:47] 以及怎么重构才能提高辨识度
[00:01:47 - 00:01:50] 这套法则的核心思想很符合工程思维
[00:01:50 - 00:01:53] 输出的质量取决于输入决策的清晰度
[00:01:53 - 00:01:56] 指令如果模糊 AI 就会执行最安全的保底方案
[00:01:56 - 00:02:01] 指令如果足够 具体带有强约束条件和明确的观点
[00:02:01 - 00:02:03] AI 才有空间去探索局部最优点
[00:02:03 - 00:02:05] 这个逻辑成全太熟了
[00:02:05 - 00:02:09] 如果需求文档只有一句话 工程师为了不出错
[00:02:09 - 00:02:11] 肯定套用最通用的架构
[00:02:11 - 00:02:13] 但如果文档里明确规定了为了性能
[00:02:13 - 00:02:17] 这里不能用常规的数据库查询 必须走内存缓存
[00:02:17 - 00:02:19] 工程师就被迫开始思考
[00:02:19 - 00:02:21] 如何在这个约束下做到最好
[00:02:21 - 00:02:23] Pose Dev的法则
[00:02:23 - 00:02:26] 本质上就是一份带有强约束的需求文档
[00:02:26 - 00:02:29] 这份法则拆解了近百个负面模式
[00:02:29 - 00:02:32] 为了方便理解我把它按层级分为
[00:02:32 - 00:02:34] 字体配色组件布局和交互
[00:02:34 - 00:02:36] 字体层interspace growths,front system
[00:02:36 - 00:02:39] 这些都是极其容易获取的开源字体
[00:02:39 - 00:02:42] 在大量AI网站中高频出现
[00:02:42 - 00:02:45] 被作者视为最容易暴露机器位的默认选择
[00:02:45 - 00:02:47] 配色层,蓝紫色渐变
[00:02:47 - 00:02:50] 这是观察下来AI网站最泛滥的默认色系
[00:02:50 - 00:02:53] 组建层,毛玻璃按钮
[00:02:53 - 00:02:55] 浮动卡片Lucid图标高量定价卡
[00:02:55 - 00:02:57] 单格组建拿出来都没问题
[00:02:57 - 00:02:59] 但如果全部堆积在一个页面里
[00:02:59 - 00:03:01] 就成了一个什么都有
[00:03:01 - 00:03:03] 但什么都不惊的大杂会
[00:03:03 - 00:03:04] 布局层
[00:03:04 - 00:03:07] 英雄区右侧配图小标签加主标题
[00:03:07 - 00:03:09] 标准的三蓝定价卡
[00:03:09 - 00:03:10] 这些布局本身是合理的
[00:03:10 - 00:03:12] 但被重复使用太多次
[00:03:12 - 00:03:14] 就成了无聊的样板系
[00:03:14 - 00:03:16] 胶户层,按钮旋停上升
[00:03:16 - 00:03:18] 链接下画线填充
[00:03:18 - 00:03:19] 毛玻璃弹出框
[00:03:19 - 00:03:22] 这些微交互原本是为了提升体验
[00:03:22 - 00:03:25] 但当他们成为每个元素的默认动作时
[00:03:25 - 00:03:26] 就成了视觉灾难
[00:03:26 - 00:03:29] 所以你会发现slop往往不是单一元素的锅
[00:03:29 - 00:03:31] 一个毛玻璃按钮不是问题
[00:03:31 - 00:03:33] 但当你把篮子见变
[00:03:33 - 00:03:36] Lucid图标和浮动卡片全堆在一起时
[00:03:36 - 00:03:38] 廉价的模板感就溢出了
[00:03:38 - 00:03:40] 就像一段代码本身没问题
[00:03:40 - 00:03:43] 但如果把时段这样的逻辑不加风桩的揉在一起
[00:03:43 - 00:03:45] 就成了难以维护的面条代码
[00:03:46 - 00:03:49] 毕坑只是第一步法则里更核心的是正向建设
[00:03:49 - 00:03:51] 原文先拆解了8个检查维度
[00:03:51 - 00:03:53] 最后抽象成了一条公式
[00:03:53 - 00:03:55] 我们可以把它看作一个界定
[00:03:55 - 00:03:57] 设计独特性的检查清单
[00:03:57 - 00:04:02] 唯一性等于标志性元素加分维感加分层深度加定制化
[00:04:02 - 00:04:07] 标题字体加非标形状加精心设计的导航栏加真实的细节
[00:04:07 - 00:04:08] 标志性元素
[00:04:08 - 00:04:10] 这个产品独有的符号
[00:04:10 - 00:04:13] 比如craft官网那种丝纸拼贴的天空效果
[00:04:13 - 00:04:15] 它是全网为一的
[00:04:15 - 00:04:16] 分维感
[00:04:16 - 00:04:19] 营造出有情绪有深度的视觉环境
[00:04:19 - 00:04:21] 而不是干扁的填一个纯色背景
