BV号：BV1epdgYPEha
标题：BV1epdgYPEha
链接：https://www.bilibili.com/video/BV1epdgYPEha
识别语言：zh
语言置信度：1
分段数：523
生成时间：2026-08-30 09:14:04

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前几天 有观众在评论中留言
[00:00:05 - 00:00:07] 想了解GPU租赁市场的情况
[00:00:07 - 00:00:10] 巧得是 三面Nelysis正好发布了一篇
[00:00:10 - 00:00:12] 关于GPU租赁的深度报告
[00:00:12 - 00:00:14] 今天我就来和大家详细聊一聊
[00:00:14 - 00:00:15] 这里面的门道
[00:00:15 - 00:00:17] 提前预警一下
[00:00:17 - 00:00:18] 这期节目可能过于干祸
[00:00:18 - 00:00:20] 建议大家躺在床上收听
[00:00:20 - 00:00:21] 有注意睡眠
[00:00:21 - 00:00:22] 最近这两年
[00:00:22 - 00:00:24] 随着人工智能应用的不断拓展
[00:00:24 - 00:00:26] 对GPU的需求呈现爆发式增长
[00:00:26 - 00:00:29] 很多企业和开发者为了降低成本
[00:00:29 - 00:00:30] 提高效率
[00:00:30 - 00:00:31] 选择租赁GPU
[00:00:31 - 00:00:34] 这就催生出了庞大的GPU租赁市场
[00:00:34 - 00:00:34] 不过呢
[00:00:34 - 00:00:37] 这个市场如今也发生了一些变化
[00:00:37 - 00:00:37] 早期呢
[00:00:37 - 00:00:38] GPU租赁市场
[00:00:38 - 00:00:39] 那叫一个狂热
[00:00:39 - 00:00:41] 大家都征着入局
[00:00:41 - 00:00:42] 但是如今
[00:00:42 - 00:00:44] 它已经实实在在的转向了买方市场
[00:00:44 - 00:00:47] 特别是hopper和mi300级别的GPU
[00:00:47 - 00:00:49] 市场上的参与者越来越多
[00:00:49 - 00:00:51] 目前有超过100家新兴的云服务商
[00:00:51 - 00:00:54] 和超大规模云服务商hyperscaler
[00:00:54 - 00:00:56] 都提供了GPU租赁的服务
[00:00:56 - 00:00:57] 这么多选择
[00:00:57 - 00:00:59] 却没有一个明确的租赁指南
[00:00:59 - 00:01:01] 也缺乏独立的评估标准
[00:01:01 - 00:01:02] 这可让不少用户犯了难
[00:01:02 - 00:01:04] 为了解决这个问题
[00:01:04 - 00:01:06] Semi Analysis花了12个月的时间
[00:01:06 - 00:01:08] 构建了GPU云的一个平级系统
[00:01:08 - 00:01:10] 简称ClusterMax
[00:01:10 - 00:01:12] 这个系统对100多家GPU云服务商
[00:01:12 - 00:01:15] 从多个维度进行了评估和分析
[00:01:15 - 00:01:17] 就像是给市场上的服务商们
[00:01:17 - 00:01:18] 做了一次全面的体检
[00:01:19 - 00:01:20] 它不仅独立进行了测试
[00:01:20 - 00:01:22] 还收集了大量的客户反馈
[00:01:22 - 00:01:24] 目前已经覆盖了90%以上的
[00:01:24 - 00:01:26] GPU租赁市场分额
[00:01:26 - 00:01:29] cluster max 评级分为五个等级
[00:01:29 - 00:01:31] 从高到低依次是薄金金牌
[00:01:31 - 00:01:33] 银牌 铜牌和不合格
[00:01:33 - 00:01:36] 每个等级都有着明确的评判标准
[00:01:36 - 00:01:38] 我们先来说说最高等级薄金
[00:01:38 - 00:01:40] 可能会让大家想不到的是
[00:01:40 - 00:01:43] 目前只有callway5一家达到了这个级别
[00:01:43 - 00:01:45] callway5是目前唯一能够可call运营
[00:01:45 - 00:01:48] 万级H100集群的非超大规模云附屋上
[00:01:48 - 00:01:49] 在安全性上
[00:01:49 - 00:01:53] 它早期采用的多族户Kubanets命名空间隔离方案
[00:01:53 - 00:01:54] 已经被淘汰了
[00:01:54 - 00:01:58] 现在使用的是更加安全的单族户Coubenace集群模式
[00:01:58 - 00:02:00] 为每个族户分配了独立的集群
