BV号：BV1LcQQBNERM
标题：BV1LcQQBNERM
链接：https://www.bilibili.com/video/BV1LcQQBNERM
识别语言：zh
语言置信度：1
分段数：190
生成时间：2026-08-29 20:17:12

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:05] 今天我们聊一个很适合拿来理解未来AI方向的设定
[00:00:05 - 00:00:07] 叫阿莱夫系统
[00:00:07 - 00:00:11] 先说清楚它不是一个已经被证实存在的真实项目
[00:00:11 - 00:00:14] 更像是一篇科幻化的论文体文章里的主角
[00:00:14 - 00:00:17] 这个名字来自博尔赫斯阿莱夫的经典意象
[00:00:17 - 00:00:20] 一个点里面同时包含宇宙所有视角
[00:00:20 - 00:00:22] 所有位置 所有细节
[00:00:22 - 00:00:25] 把它翻译成AI语言就是一台几乎能看到一切
[00:00:25 - 00:00:28] 记住一切并且永不遗忘的机器
[00:00:28 - 00:00:31] 今天讨论的内容最有价值的地方不在于故事本身
[00:00:31 - 00:00:34] 而在于它提出了一个很现实的问题
[00:00:34 - 00:00:36] 如果AI的上下文足够长
[00:00:36 - 00:00:38] 记忆足够多信息几乎不丢失
[00:00:38 - 00:00:39] 它一定会更聪明吗?
[00:00:39 - 00:00:41] 很多人会直觉地回答
[00:00:41 - 00:00:42] 当然会
[00:00:42 - 00:00:44] 但我今天想讲的判断正好相反
[00:00:44 - 00:00:47] 未来AI的核心竞争力可能不是记住更多
[00:00:47 - 00:00:49] 而是忘得更对
[00:00:49 - 00:00:50] 这个问题并不遥远
[00:00:50 - 00:00:51] 因为过去几年
[00:00:51 - 00:00:54] 主流大模型一直在往一个方向狂奔
[00:00:54 - 00:00:56] 更长的上下文窗口
[00:00:56 - 00:00:58] Transformer从2017年提出开始
[00:00:58 - 00:01:00] 核心机制就是注意力
[00:01:00 - 00:01:03] 模型会根据query和key的相似度计算权重
[00:01:03 - 00:01:05] 再通过softmax把这些权重归依化
[00:01:05 - 00:01:08] 决定当前应该重点参考哪些token
[00:01:08 - 00:01:10] 也就是说Transformer的本质
[00:01:10 - 00:01:12] 不是把所有信息平均处理
[00:01:12 - 00:01:15] 而是从大量信息里动态挑重点
[00:01:15 - 00:01:17] 到了近两年越来越多研究
[00:01:17 - 00:01:20] 开始尝试把上下文做得非常长
[00:01:20 - 00:01:22] 比如2024年的infinity attention
