BV号：BV1B6A2zpEFM
标题：BV1B6A2zpEFM
链接：https://www.bilibili.com/video/BV1B6A2zpEFM
识别语言：zh
语言置信度：1
分段数：167
生成时间：2026-08-29 21:04:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 想象一下 如果高考前出题 老师突然宣布
[00:00:05 - 00:00:07] 我们不再用这套卷子来评估学生了
[00:00:07 - 00:00:11] 因为它既有错题 还可能被考生提前刷过题
[00:00:11 - 00:00:12] 这会引起多大的震动
[00:00:12 - 00:00:15] 就在2026年2月23日
[00:00:15 - 00:00:18] AI领域的出题老师OpenAI就干了这么一件事
[00:00:18 - 00:00:20] 他们发文宣布
[00:00:20 - 00:00:24] 不再使用一个叫作SWE Banch Verified的基准
[00:00:24 - 00:00:27] 来评估自家前沿模型的编程能力
[00:00:27 - 00:00:29] 这可是业内公认的AI编程高考
[00:00:29 - 00:00:33] 是衡量AI写代码修bug能力的核心标准之一
[00:00:33 - 00:00:35] 这背后到底发生了什么
[00:00:35 - 00:00:38] 是AI太强了还是这个基准本身出了问题
[00:00:38 - 00:00:42] 今天我们就来深入巴一巴OpenAI这篇博恩
[00:00:42 - 00:00:43] 看看AI评测背后
[00:00:43 - 00:00:46] 正在上演怎样一场精彩的猫鼠游戏
[00:00:46 - 00:00:47] 在进入正题之前
[00:00:47 - 00:00:50] 先简单了解一下SWEBench是什么
[00:00:50 - 00:00:54] 你可以把它理解成一个专门给AI模型做的编程能力测试集
[00:00:54 - 00:00:56] 它不是那种简单的算法题
[00:00:56 - 00:00:58] 而是从Gatehub上12个真实的
[00:00:58 - 00:01:00] 知名的Python开源项目里
[00:01:00 - 00:01:03] 扒下来的2000多个真实的软件
[00:01:03 - 00:01:05] 问题 也就是Gatehub issue
[00:01:05 - 00:01:07] AI的任务就是像一个真正的程序员一样
[00:01:07 - 00:01:09] 读懂问题描述
[00:01:09 - 00:01:11] 然后修改代码修复这个bug
[00:01:11 - 00:01:12] 评判标准也很直接
[00:01:12 - 00:01:16] 修改后的代码能不能通过所有的自动化测试
[00:01:16 - 00:01:17] 通过了就算解决了
[00:01:17 - 00:01:20] 但是原始的SW一半持有很多问题
[00:01:20 - 00:01:23] 有些问题描述的不清部处或者测试用力本身就有bug
[00:01:23 - 00:01:26] 甚至在不同电脑环境下运行结果都不一样
[00:01:26 - 00:01:30] 这导致很多有能力的模型被冤枉,得分偏低
[00:01:30 - 00:01:32] 为了解决这些问题
[00:01:32 - 00:01:34] OpenAI在2024年8月
[00:01:34 - 00:01:36] 联合SWE Bench的作者
[00:01:36 - 00:01:38] 推出了一个经教板
[00:01:38 - 00:01:40] SWE Bench Verified
[00:01:40 - 00:01:44] 他们组织了人类专家把原始1699道题筛了一遍
[00:01:44 - 00:01:46] 每道题由三名独立专家审核
[00:01:46 - 00:01:49] 最后留下了500道,精品好题
[00:01:49 - 00:01:52] 这个经教板一出来立刻就成了行业经标准
[00:01:52 - 00:01:56] 各大公司发布新模型都得在上面跑个分
[00:01:56 - 00:01:57] 证明自己的编程能力
[00:01:57 - 00:01:58] 然而好景不长
[00:01:58 - 00:01:59] OpenAI发现
[00:01:59 - 00:02:00] 最近半年
[00:02:00 - 00:02:04] 顶竭模型在这个榜单上的分数增长得非常慢
[00:02:04 - 00:02:08] 从74.9%到80.9%几乎停滞了
[00:02:08 - 00:02:09] 他们就开始怀疑
[00:02:09 - 00:02:13] 这剩下的20%问题到底是模型真的不行
[00:02:13 - 00:02:15] 还是这些考题本身就有问题
[00:02:15 - 00:02:18] 于是他们进行了一次深入的审计
[00:02:18 - 00:02:20] 结果发现了两个致命缺陷
[00:02:20 - 00:02:21] 第一个缺陷
[00:02:21 - 00:02:23] 考题本身就有问题
[00:02:23 - 00:02:27] OpenAI审计了138个模型经常答错的难题
[00:02:27 - 00:02:30] 发现其中竟然有将近60%的题目
[00:02:30 - 00:02:32] 测试用力是有缺陷的
[00:02:32 - 00:02:35] 这就像高考数学题标准答案指认一种解法
[00:02:35 - 00:02:39] 你用其他方法算出来过程严谨答案正确
[00:02:39 - 00:02:40] 但对不起零分
[00:02:40 - 00:02:41] 因为乐券机不认
[00:02:41 - 00:02:43] 具体来说有两种情况
[00:02:43 - 00:02:46] 第一种叫狭窄测试占35.5%
[00:02:46 - 00:02:48] 比如在拍练的项目里有个任务
[00:02:48 - 00:02:50] 要求模型修复一个功能
[00:02:50 - 00:02:52] 正确的修复方案有很多种
[00:02:52 - 00:02:54] 但测试用力却写死了一个特定的函数名
[00:02:54 - 00:02:55] get annotation
[00:02:55 - 00:02:58] 如果模型生成的代码里没有这个函数
[00:02:58 - 00:03:00] 哪怕功能完全正确
[00:03:00 - 00:03:02] 测试也会因为导入错误而失败
[00:03:02 - 00:03:04] 第二种叫宽泛测试
[00:03:04 - 00:03:06] 占18.8%
[00:03:06 - 00:03:08] 比如Cinpy项目里的一个任务
[00:03:08 - 00:03:10] 问题描述只提到了一个bug
[00:03:10 - 00:03:11] 但测试用力却覆盖了
[00:03:11 - 00:03:13] 另外两个完全没提到的bug
[00:03:13 - 00:03:16] 模型辛辛苦苦修复了描述里的问题
[00:03:16 - 00:03:17] 结果一运行测试
[00:03:17 - 00:03:19] 挂在了一些莫名其妙的地方
[00:03:19 - 00:03:21] 第二个缺陷也是更严重的问题
[00:03:21 - 00:03:22] 数据污染
