BV号：BV1W1Gd6AEJo
标题：BV1W1Gd6AEJo
链接：https://www.bilibili.com/video/BV1W1Gd6AEJo
识别语言：zh
语言置信度：1
分段数：407
生成时间：2026-08-29 08:58:19

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:03] 据媒体报道
[00:00:03 - 00:00:06] DeepSake正在推进一轮百亿美元级资本动作
[00:00:06 - 00:00:09] 但到底是估值口径还是融资轮规模
[00:00:09 - 00:00:11] 不同报道说法并不完全一致
[00:00:11 - 00:00:13] 也尚非公司官宣
[00:00:13 - 00:00:15] 真正反常识的地方不是融资金额
[00:00:15 - 00:00:19] 而是资本似乎在压住一件短期不赚钱的事
[00:00:19 - 00:00:21] 把大模型的推理成本和硬件门槛打下来
[00:00:21 - 00:00:23] 这到底是怎么回事儿
[00:00:23 - 00:00:25] 我今天就来给你分析一下
[00:00:25 - 00:00:26] 你可能会问
[00:00:26 - 00:00:28] 既然不靠卖模型赚钱
[00:00:28 - 00:00:30] 那Deepseak到底想干什么
[00:00:30 - 00:00:32] 这个问题关系到整个国内
[00:00:32 - 00:00:34] 乃至全球AI产业的未来走向
[00:00:34 - 00:00:37] 我们一直以为AI公司的归宿就是做超级应用
[00:00:37 - 00:00:40] 或者像OpenAI那样卖API收购路费
[00:00:40 - 00:00:42] 但如果我们把Deepseak过去两年
[00:00:42 - 00:00:45] 发布的所有技术论文连起来看
[00:00:45 - 00:00:47] 你会发现一条隐藏的暗线
[00:00:47 - 00:00:48] 他们不只是做模型
[00:00:48 - 00:00:52] 而是在用模型架构反推整个推理成本结构
[00:00:52 - 00:00:55] 他们在重构的是整个AI推理的底层逻辑
[00:00:55 - 00:00:56] 在展开之前
[00:00:56 - 00:00:58] 我们需要先看清当前的局势
[00:00:58 - 00:01:00] 目前全球AI算力的命脈
[00:01:00 - 00:01:04] 基本被英伟达的枯大生态和高端GPU所死
[00:01:04 - 00:01:07] 因为在先进制成封装生态和供应链上
[00:01:07 - 00:01:10] 本土高端AI芯片短期仍面临明显约束
[00:01:10 - 00:01:12] 这不仅是经体管密度的问题
[00:01:12 - 00:01:16] 还涉及供应互联软件站和良率等多个维度
[00:01:16 - 00:01:18] 靠堆人堆钱是砸不开的
[00:01:18 - 00:01:20] 但这里有个很关键的点
[00:01:20 - 00:01:23] 虽然我们在芯片制造工艺上有差距
[00:01:23 - 00:01:25] 但我们在存储芯片领域却有独特的优势
[00:01:25 - 00:01:30] 长江存储已经成为全球3DNAND的重要参与者
[00:01:30 - 00:01:33] 长新存储已经推进LPDDR-5X等产品
[00:01:33 - 00:01:35] 正在缩小与头部厂商的差距
[00:01:35 - 00:01:39] 但在高端DRAM和HBM生态上仍处于追赶阶段
[00:01:39 - 00:01:41] 这种不对称的优劣式分布
[00:01:41 - 00:01:43] 给了Deepseak一个独特的机会
[00:01:43 - 00:01:45] 但这里还有一个更现实的层面
[00:01:45 - 00:01:48] 虽然国内在GPU制造上面临约束
[00:01:48 - 00:01:51] 但我们已经有了一些AI加速器的参与者
[00:01:51 - 00:01:54] 华北的生存芯片在云端推理和训练上
[00:01:54 - 00:01:55] 已经有了一定的部署规模
[00:01:55 - 00:01:58] 韩伍基的私援系列也在不断迭代
[00:01:58 - 00:02:01] 还有其他一些创业公司在做专用的推理芯片
[00:02:01 - 00:02:04] 这些厂商的硬件虽然在单芯片性能
[00:02:04 - 00:02:07] 和生态成熟度上还不能和英伟达比肩
[00:02:07 - 00:02:10] 但他们正在积累用户打磨工具链优化成本结构
[00:02:10 - 00:02:13] 关键是这些厂商一直在找一个突破口
[00:02:13 - 00:02:15] 一个能让他们的硬件优势
[00:02:15 - 00:02:17] 真正发挥出来的应用场景和模型架构
[00:02:17 - 00:02:19] 在这种绝境下
[00:02:19 - 00:02:21] DeepSig做出了一个极其冒险的选择
[00:02:21 - 00:02:24] 他们没有选择跟随主流区卷大算力
[00:02:24 - 00:02:26] 大参数的绸密模型
[00:02:26 - 00:02:28] 他们没有把主讯师压在视频生成
[00:02:28 - 00:02:30] 音频生成和消费级超级应用上
[00:02:30 - 00:02:33] 而是把更多精力放在语言模型
[00:02:33 - 00:02:35] 推理效率和底层架构
[00:02:35 - 00:02:38] 像一个走上英雄之旅的孤独行者
[00:02:38 - 00:02:40] 开始从第一性原理出发
[00:02:40 - 00:02:42] 寻找打破酸力架索的另一条路
[00:02:42 - 00:02:43] 关键点一
[00:02:43 - 00:02:46] 把常上下文和推理的单位成本压到最低
[00:02:46 - 00:02:48] 从V2的MLA
[00:02:48 - 00:02:50] 到V3.2的DSA
[00:02:50 - 00:02:53] 再到V4的CSA和HCA
[00:02:53 - 00:02:57] Deepseak一直在沿着同一条线压低常上下文成本
[00:02:57 - 00:02:58] 这个主线有多清晰
[00:02:58 - 00:03:00] 我们来看一组官方数据
[00:03:00 - 00:03:02] 在处理100万上下文时
[00:03:02 - 00:03:06] V4 Pro相比V3.2 Flops约为27%K
[00:03:06 - 00:03:08] V缓存约为10%
[00:03:08 - 00:03:09] 意味着同样的推理任务
[00:03:09 - 00:03:12] 用V4需要的显存和计算量都大幅下降
[00:03:12 - 00:03:15] 让我展开解释一下这背后的技术逻辑
[00:03:15 - 00:03:17] KV缓存是什么
[00:03:17 - 00:03:19] 在Transformer模型中
[00:03:19 - 00:03:21] 每次推理都需要存储之前
[00:03:21 - 00:03:23] 所有Token的key和外略相量
[00:03:23 - 00:03:25] 当上下文长度达到100万时
[00:03:25 - 00:03:28] 这个缓存会变得极其庞大
[00:03:28 - 00:03:31] KV缓存会随着上下文长度近似线性增长
[00:03:31 - 00:03:33] 到了百万Token级别
