BV号：BV1CmjN6YEfd
标题：BV1CmjN6YEfd
链接：https://www.bilibili.com/video/BV1CmjN6YEfd
识别语言：zh
语言置信度：1
分段数：258
生成时间：2026-08-29 17:59:51

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你有没有这样的感受
[00:00:03 - 00:00:04] 你再做一个研究项目
[00:00:04 - 00:00:07] 花了三个月跑了几千次实验
[00:00:07 - 00:00:09] 论文写得漂亮投出去了
[00:00:09 - 00:00:09] 然后呢
[00:00:09 - 00:00:11] 没反应或者被拒了
[00:00:11 - 00:00:13] 你很困惑
[00:00:13 - 00:00:15] 我明明按照论文的套路来的
[00:00:15 - 00:00:16] 我看了那些顶绘的论文
[00:00:16 - 00:00:18] 我学了他们的方法
[00:00:18 - 00:00:19] 我也做了类似的东西
[00:00:19 - 00:00:21] 为什么我的就是没人关注
[00:00:21 - 00:00:22] 我告诉你
[00:00:22 - 00:00:23] 这不是你的问题
[00:00:23 - 00:00:25] 这是你一开始就走错了方向
[00:00:25 - 00:00:26] 很多人做研究
[00:00:26 - 00:00:27] 其实是在做
[00:00:27 - 00:00:29] 看起来像研究的事情
[00:00:29 - 00:00:31] 你看论文,看推特,看新闻
[00:00:31 - 00:00:33] 你学会了怎样装得像个研究者
[00:00:33 - 00:00:35] 但你不知道怎样真正做研究
[00:00:35 - 00:00:37] 这就像你看了一百个健身视频
[00:00:37 - 00:00:39] 学会了怎样摆造型
[00:00:39 - 00:00:41] 却从来没摸过杠灵
[00:00:41 - 00:00:43] 真正的研究者在干什么
[00:00:43 - 00:00:45] 他们在做的事情和你看到的完全不一样
[00:00:45 - 00:00:47] 你看到的是论文是成果
[00:00:47 - 00:00:49] 是最后的漂亮结论
[00:00:49 - 00:00:51] 你没看到的是他们是怎样选择问题的
[00:00:51 - 00:00:53] 他们是怎样在一堆失败中快速迭代的
[00:00:53 - 00:00:57] 他们是怎样从看似无关的地方获得灵感的
[00:00:57 - 00:01:00] 这些东西没人教,没人会在论文里写
[00:01:00 - 00:01:03] 我见过太多聪明人,他们的智商不是问题
[00:01:03 - 00:01:04] 问题是他们的系统
[00:01:04 - 00:01:09] 他们没有一个能让自己快速学习,快速纠错,快速进化的系统
[00:01:09 - 00:01:13] 所以他们再聪明也只能在别人开辟的路上跑
[00:01:13 - 00:01:16] 而那些看起来没那么聪明的人,反而能跑出新的路
[00:01:16 - 00:01:19] 为什么?因为他们建立了一个不同的系统
[00:01:19 - 00:01:21] 今天我想和你聊的就是这个系统
[00:01:21 - 00:01:24] 这个系统有三个核心技能
[00:01:24 - 00:01:27] 这三个技能可以让你的思考速度比别人快10倍
[00:01:27 - 00:01:28] 第一个
[00:01:28 - 00:01:29] 品位
[00:01:29 - 00:01:30] 你可能会问品位是什么
[00:01:30 - 00:01:32] 品位就是你的判断力
[00:01:32 - 00:01:34] 你能不能一眼看出哪个想法有潜力
[00:01:34 - 00:01:36] 哪个想法是死胡同
[00:01:36 - 00:01:37] 很多人以为品位是天赋
[00:01:37 - 00:01:38] 其实不然
[00:01:38 - 00:01:41] 品位是块肌肉可以训练怎么训练
[00:01:41 - 00:01:44] 很简单在跑每个实验前预测结果
[00:01:44 - 00:01:45] 别等跑完了再去解释
[00:01:45 - 00:01:48] 看论文结果前看方法才数字
[00:01:48 - 00:01:51] 记下这个月发布的哪些东西两年后还活着
[00:01:51 - 00:01:55] 两年后回头看你的命中率预测修正重复几百次
[00:01:55 - 00:01:57] 你脑子里的模型就是这么训练出来的
[00:01:57 - 00:02:00] 顶尖研究者不是在看结果时思考
[00:02:00 - 00:02:02] 他们在看方法时就在思考
[00:02:02 - 00:02:05] 他们的大脑像一个不断自我校准的仪器
[00:02:05 - 00:02:05] 第二个
[00:02:05 - 00:02:07] 升级信息输入
[00:02:07 - 00:02:08] 这很关键
[00:02:08 - 00:02:10] 如果你的信息来源只是ARCSEVE热榜
[00:02:10 - 00:02:12] 加组内讨论
[00:02:12 - 00:02:14] 你会和所有人在同一时间得出同样的结论
[00:02:14 - 00:02:16] 这种结论一文不止
[00:02:16 - 00:02:17] 因为没有信息差
[00:02:17 - 00:02:18] 但这里有个秘密
[00:02:18 - 00:02:20] 老材料被严重低估了
[00:02:20 - 00:02:26] 今天大伙的MOE经典论文早在1991年就发表了LSTM是1997年的
