BV号：BV1PTbQ6hE9q
标题：BV1PTbQ6hE9q
链接：https://www.bilibili.com/video/BV1PTbQ6hE9q
识别语言：zh
语言置信度：1
分段数：365
生成时间：2026-08-29 11:39:47

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 如果你写代码很多年 应该见过这种场面
[00:00:05 - 00:00:08] 团队里最聪明的人坚定压住一个方案
[00:00:08 - 00:00:11] 他能解释每个细节 也能回应所有反对意见
[00:00:11 - 00:00:13] 白板很快被画满文档写了项论文
[00:00:13 - 00:00:16] 六个月后 项目停在迁移的半路
[00:00:16 - 00:00:18] 旧系统没退 新系统也没站稳
[00:00:18 - 00:00:21] 回头再看 早期风险其实都出现过
[00:00:21 - 00:00:24] 只是每条风险都被他当场解释掉了
[00:00:24 - 00:00:26] 这个现象很值得承讯员警惕
[00:00:26 - 00:00:29] 推理能力越强 论证能力往往也越强
[00:00:29 - 00:00:32] 选错后强大的论证能力仍会继续工作
[00:00:32 - 00:00:35] 他会替原有立场补测室补注室补文档
[00:00:35 - 00:00:38] 于是一个普通错误拿到了生产环境权限
[00:00:38 - 00:00:40] 我见过几次代价都不便宜
[00:00:40 - 00:00:42] 想象一次常见的技术选行会
[00:00:43 - 00:00:44] 有人建议继续维护单体应用
[00:00:45 - 00:00:47] 资深价购师主张全面改成微服
[00:00:47 - 00:00:50] 他谈弹性隔离和团队自治
[00:00:50 - 00:00:52] 每个字都对每张图也很漂亮
[00:00:52 - 00:00:54] 有人提到调用链和数据一致性
[00:00:54 - 00:00:57] 他马上给出成熟的中间键方案
[00:00:57 - 00:00:59] 有人担心运为经验不足
[00:00:59 - 00:01:01] 他又补上一套平台建设路线
[00:01:01 - 00:01:03] 我曾在这类会上举过手
[00:01:03 - 00:01:04] 后来也沉默过
[00:01:04 - 00:01:07] 会议逐渐失去比较方案的功能
[00:01:07 - 00:01:09] 他变成了一个方案的答辩现场
[00:01:09 - 00:01:11] 反对意见提供了更多写文档的素材
[00:01:11 - 00:01:14] 没人再问业务规模是否需要这套架构
[00:01:14 - 00:01:16] 也没人计算两年内的维护预算
[00:01:16 - 00:01:19] 聪明人的优势在这里发生了偏转
[00:01:19 - 00:01:21] 他解决了所有局部问题
[00:01:21 - 00:01:22] 却跳过了最早的选择题
[00:01:22 - 00:01:26] 很多人把聪明和理性放在同一个辩量里
[00:01:26 - 00:01:28] 心理学研究给出的途径更麻烦
[00:01:28 - 00:01:32] Stanovich West和Toblack研究过我方偏物
[00:01:32 - 00:01:34] 他只人更愿意接受知识员观点的证据
[00:01:34 - 00:01:38] 多项实验里,偏物强度与认知能力关系很弱
[00:01:38 - 00:01:41] 高分参与者并未稳定表现得更开放
[00:01:41 - 00:01:44] 智力测验更擅长测计算与推理能力
[00:01:44 - 00:01:46] 他很少测你是否愿意修改自己的结论
[00:01:46 - 00:01:49] 会作题的人照样可能不愿改答案
[00:01:49 - 00:01:50] 程序员对此应该很熟悉
[00:01:50 - 00:01:53] 编译期通过只能说明语法和类型成立
[00:01:53 - 00:01:55] 他无法保证需求有价值
[00:01:55 - 00:01:57] 也无法保证价购合适
[00:01:57 - 00:01:59] 聪明提供了更强的执行引擎
[00:01:59 - 00:02:02] 理性还需要目标反馈和推出条件
[00:02:02 - 00:02:04] 缺少这些借口
[00:02:04 - 00:02:06] 算力会忠实服务当前立场
[00:02:06 - 00:02:09] 把大脑想成一个优化器会更容易理解
[00:02:09 - 00:02:11] 优化器不会主动审查目标喊数
[00:02:11 - 00:02:13] 他只负责寻找更高的得分
[00:02:13 - 00:02:15] 当目标是接近事实推理
[00:02:15 - 00:02:16] 能帮助我们纠错
[00:02:16 - 00:02:19] 当目标悄悄换成维护面子
[00:02:19 - 00:02:20] 结果就变了
[00:02:20 - 00:02:21] 这个切换没有弹窗
[00:02:21 - 00:02:22] 更不会写进会议记忆
[00:02:22 - 00:02:25] 人在会议里很少公开承认这个切换
[00:02:25 - 00:02:27] 身体却会先给出信号
[00:02:27 - 00:02:28] 你开始急着回应
[00:02:28 - 00:02:30] 开始挑对方措辞
[00:02:30 - 00:02:31] 你会记住支持自己的案例
[00:02:32 - 00:02:35] 相反的数据很快被归类为特殊情况
[00:02:35 - 00:02:37] 此时知识越多
[00:02:37 - 00:02:39] 可调用的辩护材料越多
[00:02:39 - 00:02:40] 经验越深
[00:02:40 - 00:02:41] 类比和数据也越丰富
[00:02:41 - 00:02:44] 整个过程依旧像一次严谨讨论
[00:02:44 - 00:02:47] 日志格式正确指标名称其权
[00:02:47 - 00:02:49] 只是优化器正在跑错目标
[00:02:49 - 00:02:52] 很多坏决定就从这里获得了理性的外观
[00:02:52 - 00:02:55] 我方偏误相一层安静的数据污染
[00:02:55 - 00:02:58] 它很少删除证据更常改变证据的权重
[00:02:58 - 00:03:00] 知识重写的故障会被继承架构缺陷
[00:03:00 - 00:03:03] 知识维护的故障会被继承偶发事故
[00:03:03 - 00:03:07] 同一份线上数据能生成两套完整故事
[00:03:07 - 00:03:10] 数据没说谎 取数的人早已选好视角
[00:03:10 - 00:03:12] 聪明人擅长发现数据里的模式
[00:03:12 - 00:03:14] 这项能力也会制造一个麻烦
[00:03:14 - 00:03:18] 只要模式足够多 总能找到一条知识原观点
[00:03:18 - 00:03:20] 接着人会误把可解释当成以验证
[00:03:20 - 00:03:23] 工程讨论里这种转换非常常见
[00:03:23 - 00:03:26] 一个方案能解释过去不代表它能预测未来
[00:03:26 - 00:03:29] 一个架构能覆盖需求不代表它值得付出成本
[00:03:29 - 00:03:32] 可靠的判断需要竞争性假设
[00:03:32 - 00:03:34] 每份证据都要同时接受多个解释
[00:03:34 - 00:03:38] 否则输入再丰富也只会为大原来的结论
[00:03:38 - 00:03:40] 可汉等人做过一项很有名的树理实验
[00:03:40 - 00:03:43] 参与者需要阅读同一类数据表
[00:03:43 - 00:03:45] 题目涉及普通皮肤治疗时
[00:03:45 - 00:03:47] 树理能力越强答案越准
[00:03:47 - 00:03:50] 当题目换成带利一场冲突的公共议题
[00:03:50 - 00:03:51] 结果发生变化
[00:03:51 - 00:03:54] 高疏理能力没有自动消除分化
[00:03:54 - 00:03:55] 部分参与者更会算
[00:03:55 - 00:03:57] 也更会得到偏好的结论
[00:03:57 - 00:03:59] 这个实验常被过度延伸
[00:03:59 - 00:04:01] 它不说明数学让人更偏职
[00:04:01 - 00:04:04] 它提醒我们能力会服从当前动机
[00:04:04 - 00:04:07] 程序员也会用基准测试做同样的事
[00:04:07 - 00:04:09] 我自己做压测试也踩过这个坑
