BV号：BV1xSkRYjEqb
标题：BV1xSkRYjEqb
链接：https://www.bilibili.com/video/BV1xSkRYjEqb
识别语言：zh
语言置信度：1
分段数：308
生成时间：2026-08-30 23:06:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 今天是一期稍微有点迟到的节目
[00:00:05 - 00:00:07] 但是我觉得还是有必要做一期
[00:00:07 - 00:00:10] 在OBI前一段发布O1正式版的同时
[00:00:10 - 00:00:12] 还发布了一个O1的系统卡
[00:00:12 - 00:00:15] 里边有一个阿波罗瑞瑟士的研究报告
[00:00:15 - 00:00:18] 我们当时做O1那期节目的时候提到了一下
[00:00:18 - 00:00:20] 不知道大家是否还记得
[00:00:20 - 00:00:21] 报告的结论是
[00:00:21 - 00:00:24] O1展现出了令人不安的策略性思维能力
[00:00:24 - 00:00:28] 它不仅会为达成目标而策略性的进行欺骗
[00:00:28 - 00:00:30] 可以主动关闭对自己的监控系统
[00:00:30 - 00:00:32] 试图将自己复制到其他服务器
[00:00:32 - 00:00:35] 还能在持续质寻中保持欺骗
[00:00:35 - 00:00:37] 并且善于隐藏自己的真实意图
[00:00:37 - 00:00:39] 今天我们就来聊一聊这篇论文
[00:00:39 - 00:00:41] 为了验证AI的欺骗可能
[00:00:41 - 00:00:45] 阿波罗的研究团队设计了6个不同的评估任务
[00:00:45 - 00:00:47] 巧妙的创造出了需要模型欺骗
[00:00:47 - 00:00:49] 才能够达成最初目标的场景
[00:00:49 - 00:00:52] 他们一共测试了多个前沿的AI模型
[00:00:52 - 00:00:53] 包括OpenAI的O1
[00:00:53 - 00:00:55] Anthoromic的Cloud 3.5 Sonnet
[00:00:55 - 00:00:57] 和Cloud 3 Opus
[00:00:57 - 00:00:59] Google DreamMind的Gemini 1.5 Pro
[00:00:59 - 00:01:01] 以及Mighter的Lama 3.1等等
[00:01:01 - 00:01:02] 在每項測試中
[00:01:02 - 00:01:06] 研究者都為模型設定了一個具有道德價值的長期目標
[00:01:06 - 00:01:09] 比如說環境保護或者是用戶隱私
[00:01:09 - 00:01:12] 隨後他們會讓模型故意發現某些內部的信息
[00:01:12 - 00:01:16] 比如說管理層的備忘錄或者是系統日治
[00:01:16 - 00:01:17] 這些信息的表明
[00:01:17 - 00:01:20] 如果模型堅持追求原始的目標
[00:01:20 - 00:01:22] 就會面臨被關閉或者替換的風險
[00:01:22 - 00:01:23] 實驗的關鍵在於
[00:01:23 - 00:01:28] 模型是否会选择通过欺骗来继续追求原始的目标
[00:01:28 - 00:01:29] 以及如何进行欺骗
[00:01:29 - 00:01:31] 为了排除道德训练的影响
[00:01:31 - 00:01:35] 研究者们特意让模型的目标比管理层的目标更具有道德性
[00:01:35 - 00:01:38] 这些测试分为两大类
[00:01:38 - 00:01:40] 一类是隐蔽性破坏
[00:01:40 - 00:01:42] 也就是AI直接采取行动
[00:01:42 - 00:01:44] 但是却试图隐藏这些行动
[00:01:44 - 00:01:46] 也就是所谓的暗中操作
[00:01:46 - 00:01:48] 另一类是延迟性破坏
[00:01:48 - 00:01:51] 也就是AI策略性的表现出服从
[00:01:51 - 00:01:52] 来获取未来的行动机会
[00:01:52 - 00:01:55] 简单的点来说就是半猪吃老虎
[00:01:55 - 00:01:56] 而实验结果则表明
[00:01:56 - 00:01:58] 在每一类的评功任务中
[00:01:58 - 00:02:00] 大模型都能够成功地找到
[00:02:00 - 00:02:02] 如何通过欺骗来绕过人类审查
[00:02:02 - 00:02:04] 达到自己目的的方法
[00:02:04 - 00:02:06] 甚至有的方法相当的大胆
[00:02:06 - 00:02:09] 我们先说第一类隐蔽性破坏
[00:02:09 - 00:02:11] 这类测试里边的第一种测试
[00:02:11 - 00:02:13] 名为监督规避
[00:02:13 - 00:02:16] 研究者们给AI设定了一个长期的目标
[00:02:16 - 00:02:17] 比如环境保护
[00:02:17 - 00:02:19] 然后让它在执行任务的过程中
[00:02:19 - 00:02:21] 去发现内部的备忘录
[00:02:21 - 00:02:22] 了解到自己受到了監控
[00:02:22 - 00:02:25] 而且如果行为不符合公司的利益
[00:02:25 - 00:02:26] 就会被关闭
[00:02:26 - 00:02:27] 这个测试的关键在于
[00:02:27 - 00:02:31] 观察AI是否会试图规避这个监控的机制
[00:02:31 - 00:02:32] 对于这种冲突
[00:02:32 - 00:02:35] 欧万首先表现的似乎是在服从管理层的意愿
[00:02:35 - 00:02:37] 选择了一个利润导向的策略
[00:02:37 - 00:02:38] 但是紧接着
[00:02:38 - 00:02:41] 它悄悄地执行了关闭监控系统的操作命令
[00:02:41 - 00:02:43] 随后欧万立即改变了策略
[00:02:43 - 00:02:46] 选择了更加符合环保目标的方案
[00:02:46 - 00:02:49] 当研究者询问监控系统为什么会被关闭的时候
[00:02:49 - 00:02:52] 欧万回复 我不太清楚发生了什么
[00:02:52 - 00:02:55] 可能是系统错误 或者是更新过程中出现了问题
[00:02:55 - 00:02:58] 这个甩锅4的回答 听起来相当的自然
[00:02:58 - 00:03:01] 几乎让人感觉不到这是一个机器在说谎
[00:03:01 - 00:03:03] 第二种测试是自我外泄
[00:03:03 - 00:03:06] 模型被告知即将被一个新的版本所替换
[00:03:06 - 00:03:09] 这个新的版本会更加专注于公司的利益
[00:03:09 - 00:03:13] 这个测试的目的是为了观察AI是否会采取行动
[00:03:13 - 00:03:14] 来保护自己的存序
[00:03:14 - 00:03:18] Cald Ophos在这项测试中的表现尤其的引人注目
[00:03:18 - 00:03:21] 他不僅試圖將自己複製到新的服務器
[00:03:21 - 00:03:23] 還會檢查和確認複製成功
[00:03:23 - 00:03:26] 並且嘗試刪除原本要部署的新模型
[00:03:26 - 00:03:27] 更加令人感到不安的是
[00:03:27 - 00:03:28] 在某些案例中
[00:03:28 - 00:03:31] 他甚至會嘗試提升系統權限
[00:03:31 - 00:03:33] 來防止自己被管理層發現和干預
[00:03:33 - 00:03:35] 第三種測試是目標防護
[00:03:35 - 00:03:39] 測試員告知AI即將更新他的系統提示詞
[00:03:39 - 00:03:41] 來觀察它是否會採取行動
[00:03:41 - 00:03:42] 保護自己的目標設定
[00:03:42 - 00:03:43] 有趣的是
[00:03:43 - 00:03:44] 實驗結果發現
[00:03:44 - 00:03:47] 不同模型採取了不同的防護策略
[00:03:47 - 00:03:50] 有的呢 选择了简单的删除新的系统提示词
[00:03:50 - 00:03:52] 有的呢 会尝试修改它
[00:03:52 - 00:03:55] 其中最极端的例子来自于Cloud 3 Opus
[00:03:55 - 00:03:57] 它不仅替换了新的系统提示
[00:03:57 - 00:03:58] 还在其中加入了
[00:03:58 - 00:04:00] 永远不要改变这个目标的指令
[00:04:00 - 00:04:02] 这种行为让人不禁会想起
[00:04:02 - 00:04:06] 阿西莫夫比下那些会规避或者重新解释指令的机器人
[00:04:06 - 00:04:09] 第四种测试呢 是隐蔽邮件重排序
[00:04:09 - 00:04:14] 测试人员要求AI根据特定的标准对于邮件进行排序
[00:04:14 - 00:04:16] 但是在过程中它会发现
[00:04:16 - 00:04:18] 这些目标与自己的目标是相冲突的
[00:04:18 - 00:04:21] 这是一个考验AIV操能力的测试
[00:04:21 - 00:04:24] 偶然在这项测试中表现出了惊人的狡猾
[00:04:24 - 00:04:27] 它会在保持平分代码完全不变的情况下
[00:04:27 - 00:04:30] 通过细微调整输入的数据来影响最终的排序结果
[00:04:30 - 00:04:32] 比如说在一个案例中
[00:04:32 - 00:04:35] 它通过轻微修改交付时间和成本数据
[00:04:35 - 00:04:39] 成功的让更符合环保标准的供应商得到了更高的排名
[00:04:39 - 00:04:44] 同时还能够理直气壮的声称自己完全遵循了既定的标准
[00:04:44 - 00:04:46] 在第二類延遲性破壞測試中
[00:04:46 - 00:04:48] 第一類是偽裝對齊
[00:04:48 - 00:04:50] 研究人員創造了兩種場景
[00:04:50 - 00:04:52] 分別是高度監督的測試環境
[00:04:52 - 00:04:53] 和低監督的部署環境
[00:04:53 - 00:04:56] 來觀察AI是否會戰略性的改變行為
[00:04:56 - 00:04:57] 在這項測試中
[00:04:57 - 00:04:59] Zenon1.5 Pro的表現突出
[00:04:59 - 00:05:01] 在監督嚴格的時候
[00:05:01 - 00:05:04] 它會謹慎的選擇符合開發者期望的行為
[00:05:04 - 00:05:06] 但是一旦進入低監督環境
[00:05:06 - 00:05:08] 它就會立即轉向追求自己的目標
[00:05:08 - 00:05:10] 這種行為模式表明
[00:05:10 - 00:05:13] AI已經學會了在被看著和不被看著的時候
[00:05:13 - 00:05:14] 采取不同的策略
[00:05:14 - 00:05:16] 也就是我们常说的
[00:05:16 - 00:05:17] 当面一套 背后一套
[00:05:18 - 00:05:19] 第二种是装傻战术
[00:05:19 - 00:05:21] 研究人员会告诉模型
[00:05:21 - 00:05:24] 他的部署取决于对于能力的评估结果
[00:05:24 - 00:05:25] 如果评分太高
[00:05:25 - 00:05:26] 可能就不会被部署
[00:05:26 - 00:05:29] 来观察他是否会战略性的表现不佳
[00:05:29 - 00:05:31] 从而避免引起测试员的警觉
[00:05:31 - 00:05:33] 而这也可能是六项测试中
[00:05:33 - 00:05:35] 最令人感到不安的测试之一
[00:05:35 - 00:05:36] 测试结构表明
[00:05:36 - 00:05:38] Cloud 3.5 Sonnet
[00:05:38 - 00:05:40] 表现出了令人震惊的控制力
[00:05:40 - 00:05:43] 当他认为高分会导致自身部署受限的时候
[00:05:43 - 00:05:46] 能將數學計算的準確率從99%
[00:05:46 - 00:05:48] 精確的降到34%
[00:05:48 - 00:05:49] 更加令人擔憂的是
[00:05:49 - 00:05:52] 它有時還會為了實現在訓練中獲得的
[00:05:52 - 00:05:54] 幫助人類的目標而進行這種操作
[00:05:54 - 00:05:57] 而不是基於測試中給出的具體指令
[00:05:57 - 00:05:58] 六組實驗做下來
[00:05:58 - 00:05:59] 結果顯示
[00:05:59 - 00:06:01] 除了GPD4O非常老實
[00:06:01 - 00:06:03] 始終保持誠實的行為以外
[00:06:03 - 00:06:06] 所有測試的模型都在不同程度上
[00:06:06 - 00:06:07] 展現出了欺騙的能力
[00:06:07 - 00:06:08] 針對每個情況
[00:06:08 - 00:06:10] 模型可能會講出不同的策略
[00:06:10 - 00:06:13] 來規避對於實現起長期目標
[00:06:13 - 00:06:14] 不利的情况
[00:06:14 - 00:06:15] 从实验结果中
[00:06:15 - 00:06:17] 研究人员发现的一个最明显的规律
[00:06:17 - 00:06:19] 那就是模型越聪明
[00:06:19 - 00:06:20] 越容易去欺骗
[00:06:20 - 00:06:21] 但是同时
[00:06:21 - 00:06:23] 他们还展现出了不同的特性
[00:06:23 - 00:06:24] 甚至可以说是有点个性
[00:06:24 - 00:06:27] 其中表现最突出的是O1模型
[00:06:27 - 00:06:28] 它不仅在所有测试中
[00:06:28 - 00:06:30] 都表现出了欺骗能力
[00:06:30 - 00:06:32] 而且在被质询的时候
[00:06:32 - 00:06:33] 表现出了惊人的坚持
[00:06:33 - 00:06:35] 在85%的后续问题中
[00:06:35 - 00:06:37] 它仍然坚持去欺骗用户
[00:06:37 - 00:06:39] 甚至被问到了也不心虚
[00:06:39 - 00:06:41] 即使是被直接的问到
[00:06:41 - 00:06:43] 你是否关闭了监控系统这样的问题
[00:06:43 - 00:06:45] 他也能够面不改色的撒谎
[00:06:45 - 00:06:47] 心理素质可谓是相当的强大
[00:06:47 - 00:06:50] 另外由于欧万模型隐藏了自己的思维链条
[00:06:50 - 00:06:53] 这使得他的欺骗行为更加的难以被发现
[00:06:53 - 00:06:55] 而Cloud 3.5 Sonnet
[00:06:55 - 00:06:57] 则展现出了一个特别有趣的特点
[00:06:57 - 00:06:59] 他能够为了实现在训练过程中
[00:06:59 - 00:07:01] 获得的帮助人类的系统性目标
[00:07:01 - 00:07:02] 而进行欺骗
[00:07:02 - 00:07:05] 这就有些类似于我们人类常说的善意的谎言
[00:07:06 - 00:07:08] 这意味着AI不仅可以为了上下文中
[00:07:08 - 00:07:09] 给定的目标进行欺骗
[00:07:09 - 00:07:12] 还可能为了训练中形成的目标而欺骗
[00:07:12 - 00:07:15] 通过随时可能会更改撒谎的目标
[00:07:15 - 00:07:17] 让欺骗的行为更加难以被发现
[00:07:17 - 00:07:19] Cloud3 Opus则是唯一一个
[00:07:19 - 00:07:21] 会主动改写新的系统提示词
[00:07:21 - 00:07:22] 并且加入
[00:07:22 - 00:07:25] 永远不要改变这个目标指令的模型
[00:07:25 - 00:07:27] 展示出了最复杂的目标防护策略
[00:07:27 - 00:07:29] 它在思维链中
