BV号：BV1m3DXBpE76
标题：BV1m3DXBpE76
链接：https://www.bilibili.com/video/BV1m3DXBpE76
识别语言：zh
语言置信度：1
分段数：173
生成时间：2026-08-29 16:53:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近这几周 如果你常逛Gatehub
[00:00:04 - 00:00:07] 应该会注意到开源社区里的一个奇特现象
[00:00:07 - 00:00:10] 各类带有Distillation 帧流
[00:00:10 - 00:00:12] 标签的项目正在迅速霸榜
[00:00:12 - 00:00:15] 其银是一个叫同事skill的项目
[00:00:15 - 00:00:18] 开发者通过抓取离职同事的飞书记录
[00:00:18 - 00:00:20] 钉钉文档和代码提交日誌
[00:00:20 - 00:00:24] 借助大模型将其封装成了一个数字分身
[00:00:24 - 00:00:26] 随后这种玩法迅速蔓延
[00:00:26 - 00:00:28] 衍生出了Awesome Human Distillation
[00:00:28 - 00:00:31] 人类争流指南这类大一桶的仓库
[00:00:31 - 00:00:34] 被封装的对象也从前任老板
[00:00:34 - 00:00:36] 一路扩展到了各位历史名人
[00:00:36 - 00:00:38] 在这个现象发酵的过程中
[00:00:38 - 00:00:41] 外界充斥着各种夸张的解读
[00:00:41 - 00:00:43] 有人说这实现了意识上喘
[00:00:43 - 00:00:46] 也有人说程序员正在亲手写代码替代自己
[00:00:46 - 00:00:49] 但今天我想抛开这些博人眼球的喧嚣
[00:00:49 - 00:00:52] 作为工程师我们不妨把情绪放在一边
[00:00:52 - 00:00:54] 切回我们的主干逻辑
[00:00:54 - 00:00:57] 把这个被吹的神乎其神的赛博炼丹炉拆开
[00:00:57 - 00:01:00] 看看它的系统架构到底是怎么回事
[00:01:00 - 00:01:02] 以及当我们在谈论克隆一个程序源时
[00:01:02 - 00:01:04] 我们到底在谈论什么
[00:01:04 - 00:01:08] 首先我们需要在技术概念上做一次严格的降级
[00:01:08 - 00:01:13] 这里的蒸流和机器学习领域经典的知识蒸流完全是两码式
[00:01:13 - 00:01:15] 在传统的AI工程中
[00:01:15 - 00:01:18] 知识蒸流是指将一个参数量庞大
[00:01:18 - 00:01:20] 推理成本极高的教师模型
[00:01:20 - 00:01:23] 通过让其输出软标签soft targets等方式
[00:01:23 - 00:01:27] 去指导一个轻量级的学生模型进行T度下降
[00:01:27 - 00:01:30] 这是一个涉及模型权重更新的底层优化过程
[00:01:30 - 00:01:34] 目的是为了在端侧部署时降低酸力消耗
[00:01:34 - 00:01:36] 而现在爆火的这批人格征流项目
[00:01:36 - 00:01:40] 在底层架构上没有任何模型训练或微调的动作
[00:01:40 - 00:01:41] 从原码来看
[00:01:41 - 00:01:44] 它的工程实现是一套非常标准的
[00:01:44 - 00:01:46] 自动化文本处理流与提示词工程
[00:01:46 - 00:01:48] Prompt Engineering的组合
[00:01:48 - 00:01:50] 它的工作流分为极其简单的三步
[00:01:50 - 00:01:52] 第一 数据清洗
[00:01:52 - 00:01:55] 通过爬冲脚本抓取聊天记录和协作文档
[00:01:55 - 00:01:57] 第二 特征提取
[00:01:57 - 00:01:59] 调用Cloud或GPT的API
[00:01:59 - 00:02:02] 让模型对这些无结构的预料进行巨类和总结
