BV号：BV1nCRYBeEw6
标题：BV1nCRYBeEw6
链接：https://www.bilibili.com/video/BV1nCRYBeEw6
识别语言：zh
语言置信度：1
分段数：224
生成时间：2026-08-29 20:08:02

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI正在改编软件工程
[00:00:03 - 00:00:06] 但很多人可能理解存在偏差
[00:00:06 - 00:00:08] 你以为的AI编程是你写一句提示词
[00:00:08 - 00:00:12] 它写一段代码你在检查 在修改 循环网户
[00:00:12 - 00:00:14] 但就在2026年5月1日
[00:00:14 - 00:00:17] Codex发布了0.128.0版本
[00:00:17 - 00:00:18] 推出了一个叫Go的功能
[00:00:18 - 00:00:21] 有人用它挂机了53个小时
[00:00:21 - 00:00:23] 它自己写出了一个完整的游戏
[00:00:23 - 00:00:24] 有人和上电脑去睡觉
[00:00:24 - 00:00:27] 醒来发现它还在疯狂输出
[00:00:27 - 00:00:29] 把一个复杂的TypeScript项目重够完了
[00:00:29 - 00:00:31] 这听起来很爽对吧
[00:00:31 - 00:00:32] 但这里有个很离谱的地方
[00:00:32 - 00:00:35] 如果你不知道它的底层逻辑
[00:00:35 - 00:00:37] 这个功能可能会在一夜之间
[00:00:37 - 00:00:39] 烧光你所有的token预算
[00:00:39 - 00:00:42] 今天我们就来硬核拆解Codex的go
[00:00:42 - 00:00:43] 看看这个被称为
[00:00:43 - 00:00:45] 不达目的不罢休的agent
[00:00:45 - 00:00:46] 到底是什么
[00:00:46 - 00:00:48] 看到这里你可能会想
[00:00:48 - 00:00:50] 不就是个自动继续执行的功能吗
[00:00:50 - 00:00:51] 以前呢
[00:00:51 - 00:00:52] Continue不也能做到吗
[00:00:52 - 00:00:54] 为什么这次go的发布
[00:00:54 - 00:00:57] 会让整个开发者社区炸开了锅
[00:00:57 - 00:00:59] 甚至有人说这是从舞台演示
[00:00:59 - 00:01:01] 到日常驱动的真正跨越
[00:01:01 - 00:01:02] 要回答这个问题
[00:01:02 - 00:01:04] 我们必须搞清楚三件事
[00:01:04 - 00:01:05] 第一
[00:01:05 - 00:01:07] Go到底解决了什么核心痛点
[00:01:07 - 00:01:08] 第二
[00:01:08 - 00:01:10] 它在底层是如何运作的
[00:01:10 - 00:01:10] 第三
[00:01:10 - 00:01:11] 作为工程师
[00:01:11 - 00:01:13] 我们该如何驾驭这个工具
[00:01:13 - 00:01:14] 而不是被它反视
[00:01:14 - 00:01:16] 把你的看法打在公屏上
[00:01:16 - 00:01:17] 我们接着往下看
[00:01:17 - 00:01:19] 在Go出现之前
[00:01:19 - 00:01:22] 使用AI编程助手最大的痛点是什么
[00:01:22 - 00:01:24] 是上下文丢失和注意力中断
[00:01:24 - 00:01:26] 你给AI一个复杂的任务
[00:01:26 - 00:01:28] 比如把这个项目的认证系统
[00:01:28 - 00:01:30] 从jwt前移到os2
[00:01:30 - 00:01:33] 他干了一会儿遇到个抱错停下来了
[00:01:33 - 00:01:34] 等你确认
