BV号：BV1p68b6YEtE
标题：BV1p68b6YEtE
链接：https://www.bilibili.com/video/BV1p68b6YEtE
识别语言：zh
语言置信度：1
分段数：207
生成时间：2026-08-29 12:04:16

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 一个支付agent明明只发起了一次付款
[00:00:04 - 00:00:06] 为什么客户可能被扣两次钱
[00:00:06 - 00:00:08] 不是模型变笨了
[00:00:08 - 00:00:10] 是第一次付款已经成功
[00:00:10 - 00:00:12] 但成功回止丢在了机器重启之前
[00:00:12 - 00:00:14] 换成部署工具
[00:00:14 - 00:00:15] 就是重复建资源
[00:00:15 - 00:00:17] 对当前的运行时来说
[00:00:17 - 00:00:19] 这次调用迹象成功了
[00:00:19 - 00:00:20] 又像没发生
[00:00:20 - 00:00:22] 重视可能重复扣款
[00:00:22 - 00:00:23] 不重视
[00:00:23 - 00:00:25] 任务永远卡死
[00:00:25 - 00:00:26] agent的可靠性
[00:00:26 - 00:00:28] 从来不是要求系统永不失败
[00:00:28 - 00:00:31] 而是要求系统在失败后仍然知道自己做过什么
[00:00:31 - 00:00:35] 今天我们要聊的是PI仓库中的Harness VR设计文档
[00:00:35 - 00:00:38] 不是当时已经完整可用的生产运行时
[00:00:38 - 00:00:42] 该版本已经落地了纯状态还原器和部分存储能力
[00:00:42 - 00:00:46] 但运行循环输入、对列工具恢复等仍在工作包中
[00:00:46 - 00:00:49] 我们今天不搞成品评测,而是以价购师的视角
[00:00:49 - 00:00:52] 拆解这套设计背后的硬核思想
[00:00:52 - 00:00:55] 要看懂这份规范,我们先铺开它的全景蓝图
[00:00:55 - 00:00:57] 从价购思想上看
[00:00:57 - 00:01:00] Harness VR带有明显的event sourcing特征
[00:01:00 - 00:01:02] 它保留追加式的执行事实
[00:01:02 - 00:01:05] 并通过规约计算重建编排状态
[00:01:05 - 00:01:07] 但要注意这是我们的架构规类
[00:01:07 - 00:01:08] 不是官方标签
[00:01:08 - 00:01:10] 在它的目标设计中
[00:01:10 - 00:01:12] 一个赛審被严格定义为四个部分
[00:01:12 - 00:01:13] 对话数
[00:01:13 - 00:01:14] conversation tree
[00:01:14 - 00:01:15] 并发通道
[00:01:15 - 00:01:16] lanes
[00:01:16 - 00:01:18] 通道操作日制
[00:01:18 - 00:01:20] lane operation logs
[00:01:20 - 00:01:21] 以及全局事实
[00:01:21 - 00:01:22] global facts
[00:01:22 - 00:01:25] 在这套架构里有一个不容妥协的原则
[00:01:25 - 00:01:28] 不要把恢复任务所需的编排状态只保存在内存里
[00:01:28 - 00:01:30] 运行时当然可以有内存态
[00:01:30 - 00:01:33] 但必须存在足够的持久化事实
[00:01:33 - 00:01:36] 让新进城能重新推导出完全一致的状态
[00:01:36 - 00:01:39] 系统到底要记住什么才能恢复任务
[00:01:39 - 00:01:42] 规范要求对话数与操作日制必须逻辑隔离
[00:01:42 - 00:01:44] 对话数存的是消息
[00:01:44 - 00:01:48] 模型文本工具激活变更和压缩摘要等于内容
[00:01:48 - 00:01:51] 而操作日制记录的全是底层的执行事实
[00:01:51 - 00:01:54] 比如规范中持久化的step
[00:01:54 - 00:01:56] Attempt 不周常事
[00:01:56 - 00:01:59] 执行记录绝对不能进入模型上下文
[00:01:59 - 00:02:01] 对话转录或分支查询
[00:02:01 - 00:02:03] 至于底层他们是存在不同的数据库表
[00:02:03 - 00:02:05] 还是写在同一个G3罗文件里
[00:02:05 - 00:02:07] 那是存储实现的问题
[00:02:07 - 00:02:08] 为什么要隔离
[00:02:08 - 00:02:12] 把是否重视过等内部状态直接塞进Prompt
[00:02:12 - 00:02:16] 可能干扰模型对用户意图与执行状态的区分
[00:02:16 - 00:02:19] 隔离之后可以避免编排细节污染模型上下文
[00:02:19 - 00:02:23] 同时让恢复器依据结构化记录判断进度
[00:02:23 - 00:02:25] 多Agent并发常常被当成万能解药
[00:02:26 - 00:02:28] 但HonestVR的路线非常克制
[00:02:28 - 00:02:29] 它引入了Lane通道
[00:02:29 - 00:02:31] 频道是整个Session
[00:02:31 - 00:02:34] 而每一条Lane就是一个独立的工作流分支
[00:02:35 - 00:02:37] 有自己的操作日制和输入对列
[00:02:37 - 00:02:40] 不同Lane之间可以并行走不同的模型分支
[00:02:40 - 00:02:42] 但Lane不是万能的分布式所
[00:02:42 - 00:02:46] 它解决的是单个运行时内部的并行与顺序问题
[00:02:46 - 00:02:47] 对于同一个Session
[00:02:47 - 00:02:50] 系统人然假设只有一个writer在单点写入
[00:02:50 - 00:02:52] 如果多个进程同时抢占写入
[00:02:52 - 00:02:55] 那是更上层的一致性机制该解决的
[00:02:55 - 00:02:58] 框架本身不打算制造无畏的复杂性
[00:02:58 - 00:02:59] 我们来看最音合的部分
[00:02:59 - 00:03:01] 工具调用崩溃
[00:03:01 - 00:03:05] 一条prompt被受理和模型真正开始生成是两码式
[00:03:05 - 00:03:09] 设计要求系统先持久化 任务以受理记录
[00:03:09 - 00:03:10] 调用外部工具前
[00:03:10 - 00:03:13] 先写一条包含预分配ID的Tour Started记录
[00:03:13 - 00:03:16] 效果发生后再用同ID把结果写进树里
[00:03:16 - 00:03:18] 如果当机点前后移动
[00:03:18 - 00:03:21] 目标设计给出了三种完全不同的恢复策略
[00:03:21 - 00:03:24] 我们来推演一个完整的实序案例
[00:03:24 - 00:03:26] 第一 如果系统在准备调工具
[00:03:26 - 00:03:29] 但2-started的记录还没来得及血就崩了
[00:03:29 - 00:03:32] 此时一图尚未确立恢复器启动后
[00:03:32 - 00:03:34] 会认为上一步还没有产生外部动作
[00:03:34 - 00:03:36] 直接重新走一遍正常流程
