BV号：BV1hYbJzYEqG
标题：BV1hYbJzYEqG
链接：https://www.bilibili.com/video/BV1hYbJzYEqG
识别语言：zh
语言置信度：1
分段数：347
生成时间：2026-08-30 00:21:30

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:05] 不知道大家有没有这种感觉
[00:00:05 - 00:00:08] 现在很多AI Agent看起来技术很先进
[00:00:08 - 00:00:11] 但是实际用起来却经常掉链子
[00:00:11 - 00:00:14] 比如在处理复杂任务的时候半途而废
[00:00:14 - 00:00:17] 你可能会想,是不是因为模型不够强呢?
[00:00:17 - 00:00:21] 其实根据业内的观察,多数AI Agent的失败
[00:00:21 - 00:00:23] 并不是模型能力的失败
[00:00:23 - 00:00:25] 而是上下文工程的失败
[00:00:25 - 00:00:27] 那么,这个所谓的上下文工程
[00:00:27 - 00:00:30] 英文为Context Engineering 的概念
[00:00:30 - 00:00:32] 它和我们熟悉的提示词工程
[00:00:32 - 00:00:33] Prompt Engineering
[00:00:33 - 00:00:35] 减所增强生成RAG
[00:00:35 - 00:00:38] 甚至模型上下文协议MCP
[00:00:38 - 00:00:40] 到底是什么关系呢?
[00:00:40 - 00:00:42] 今天我们就用一期视频
[00:00:42 - 00:00:43] 来彻底搞懂这个话题
[00:00:43 - 00:00:46] 首先,我们得明确一个核心的问题
[00:00:46 - 00:00:48] 什么是上下文Context?
[00:00:48 - 00:00:49] 很多人可能觉得
[00:00:49 - 00:00:51] 不就是聊天记录吗?
[00:00:51 - 00:00:53] 其实这个理解只对了一部分
[00:00:53 - 00:00:55] 从本质上讲
[00:00:55 - 00:00:58] 上下文是提供给大语言模型的
[00:00:58 - 00:01:02] 用来完成下一步推理或者生成任务的全部信息集合
[00:01:02 - 00:01:03] 这个定义听起来简单
[00:01:03 - 00:01:05] 但是里面包含的内容
[00:01:05 - 00:01:07] 远比我们想象的要丰富
[00:01:07 - 00:01:09] 为了更好的帮助我们理解
[00:01:09 - 00:01:12] 可以把上下文分为三个核心的类别
[00:01:12 - 00:01:14] 第一类是指导性上下文
[00:01:14 - 00:01:15] guiding context
[00:01:15 - 00:01:18] 它的核心功能是指导模型该做什么
[00:01:18 - 00:01:19] 以及如何去做
[00:01:19 - 00:01:22] 主要为模型的行为去设定框架
[00:01:22 - 00:01:23] 目标和规则
[00:01:23 - 00:01:25] 我们平时做的提示词工程
[00:01:25 - 00:01:28] 其实主要就是在优化这类上下文
[00:01:28 - 00:01:32] 它包括系统提示词、任务描述、少样本势力
[00:01:32 - 00:01:33] 以及输出格式定义
[00:01:33 - 00:01:35] 第二类是信息性的上下文
[00:01:35 - 00:01:39] 这类上下文的核心功能是告诉模型需要知道什么知识
[00:01:39 - 00:01:44] 为模型提供解决问题所必备的事实、数据与知识
[00:01:44 - 00:01:47] 它包括我们常说的REG和记忆MEMORY
[00:01:47 - 00:01:49] 后者又为分短期记忆和长期记忆
[00:01:49 - 00:01:51] 以及STATE和SCRACH PAD
[00:01:51 - 00:01:54] 比如 Cloud Code 的临时租动
[00:01:54 - 00:01:55] 以及 Thinking 模型下的思考
[00:01:55 - 00:01:56] 草稿本
[00:01:56 - 00:01:58] 第三类是行动性上下文
[00:01:58 - 00:02:02] 这类上下文的核心功能是告诉模型能做什么
[00:02:02 - 00:02:03] 以及做了之后的结果
[00:02:03 - 00:02:06] 为模型提供与外部世界交互的能力
[00:02:06 - 00:02:08] 它包括工具定义
[00:02:08 - 00:02:09] 工具调用和结果
[00:02:09 - 00:02:11] 以及工具追踪
[00:02:11 - 00:02:12] 所以从整体上来看
[00:02:12 - 00:02:14] 上下文其实是一个多维
[00:02:14 - 00:02:15] 动态
[00:02:15 - 00:02:18] 服务于特定任务的系统性的概念
[00:02:18 - 00:02:20] 远不止我们以为的聊天记录那么简单
[00:02:20 - 00:02:22] 在理解了上下文的定义之后
[00:02:22 - 00:02:25] 我们再来看看什么是上下文工程
[00:02:25 - 00:02:28] 两位AI大佬托比鲁特克和安德烈
[00:02:28 - 00:02:30] 卡帕西对这个概念的描述很有启发性
[00:02:30 - 00:02:31] 托比鲁特克说
[00:02:31 - 00:02:34] 他更好地描述了一种核心技能
[00:02:34 - 00:02:36] 那就是提供所有上下文的艺术
