BV号：BV19hKWehEbu
标题：BV19hKWehEbu
链接：https://www.bilibili.com/video/BV19hKWehEbu
识别语言：zh
语言置信度：1
分段数：311
生成时间：2026-08-30 13:43:30

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 在当下的科技圈
[00:00:04 - 00:00:07] 人工智能领域的竞争可谓是硝烟迷漫
[00:00:07 - 00:00:10] OpenI与DeepSig不断推诚初心
[00:00:10 - 00:00:11] 你方唱吧 我方登场
[00:00:11 - 00:00:14] 在各种技术赛道上激烈的掘主
[00:00:14 - 00:00:17] 就在大家的目光都聚焦在这两家的较量时
[00:00:17 - 00:00:19] 谷歌丁麦却带着他的最新成果
[00:00:19 - 00:00:21] 悄悄惊艳了整个科技界
[00:00:21 - 00:00:22] 今天我们就来深入聊一聊
[00:00:22 - 00:00:25] 谷歌丁麦的研发的Alpha Geometry II
[00:00:25 - 00:00:29] 看看它究竟凭什么能够在数学推力领域掀起波澜
[00:00:29 - 00:00:31] 甚至超過IMO金獎得主的平均水平
[00:00:32 - 00:00:33] 國際奧林匹克數學競賽
[00:00:33 - 00:00:35] 也就是大家熟知的IMO
[00:00:35 - 00:00:37] 在數學界有著相當高的地位
[00:00:37 - 00:00:39] 它面向全球的高中生
[00:00:39 - 00:00:41] 匯聚了無數數學天才
[00:00:41 - 00:00:43] IMO的題目以難度高而聞名
[00:00:43 - 00:00:46] 每一道題目都像是一座難以攀登的高峰
[00:00:46 - 00:00:48] 需要參賽者對於數學概念
[00:00:48 - 00:00:49] 有著極為深刻的理解
[00:00:49 - 00:00:52] 還得能夠創造性的運用這些概念
[00:00:52 - 00:00:54] 展現出超強的思維能力和解體技巧
[00:00:54 - 00:00:57] 而幾何體作為IMO的四大提醒之一
[00:00:57 - 00:00:58] 有著獨特的地位
[00:00:58 - 00:01:00] 它不像其他提醒那样零散
[00:01:00 - 00:01:02] 而是各部分之间联系紧密
[00:01:02 - 00:01:03] 逻辑统一
[00:01:03 - 00:01:06] 是进行基础推理研究的绝佳素材
[00:01:06 - 00:01:07] 也正因为如此
[00:01:07 - 00:01:09] IMO的几何题成为了
[00:01:09 - 00:01:12] 检验AI系统高级数学推理能力的理想标杆
[00:01:12 - 00:01:13] 任何一个人工智能
[00:01:13 - 00:01:15] 想要证明自己在数学领域的实力
[00:01:15 - 00:01:17] 都得在IMO几何题上接受考验
[00:01:17 - 00:01:20] 时间会速到2024年的7月
[00:01:20 - 00:01:21] 谷歌丁麦的推出了
[00:01:21 - 00:01:22] Alpha Geometry 1
[00:01:22 - 00:01:24] 也就是Az1
[00:01:24 - 00:01:25] Az1的出现
[00:01:25 - 00:01:27] 在当时数学和人工智能交叉领域
[00:01:27 - 00:01:28] 引起了不小的轟动
[00:01:28 - 00:01:32] AZ1创新的将与M型和符号引擎结合在一起
[00:01:32 - 00:01:34] 形成了一个神经符号系统
[00:01:34 - 00:01:35] 这种独特的架构
[00:01:35 - 00:01:37] 让它在面对MO几何题的时候
[00:01:37 - 00:01:39] 展现出了强大的解体能力
[00:01:39 - 00:01:42] 在2000-2024年的MO几何题中
[00:01:42 - 00:01:44] AZ1的解体率达到了54%
[00:01:44 - 00:01:46] 这个成绩已经相当了不起
[00:01:46 - 00:01:48] 距离MO金牌得主的水平
[00:01:48 - 00:01:49] 也仅有一步之遥
[00:01:49 - 00:01:53] 当时就被人们称为数学领域的AlphaGo时刻
[00:01:53 - 00:01:53] 我们都知道
[00:01:53 - 00:01:56] AlphaGo在围棋领域打败了顶级棋手
[00:01:56 - 00:01:58] 改变了整个围棋界对于人工智能的看法
[00:01:59 - 00:02:01] 而AZ1在MO几何题上的表现
[00:02:01 - 00:02:04] 也让人们看到了人工智能在数学领域的巨大潜力
[00:02:04 - 00:02:05] 不过呢
