BV号：BV1UWP1zMEmg
标题：BV1UWP1zMEmg
链接：https://www.bilibili.com/video/BV1UWP1zMEmg
识别语言：zh
语言置信度：1
分段数：188
生成时间：2026-08-29 20:45:09

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 2026年3月4日 北京时间凌晨0点11分
[00:00:06 - 00:00:08] 林俊阳在X上发了7个字
[00:00:08 - 00:00:10] 我退出了再见我之爱的Kwin
[00:00:10 - 00:00:13] 这条推文没有解释 没有铺垫 没有感谢名单
[00:00:13 - 00:00:16] 就是这7个字在接下来的12小时内
[00:00:16 - 00:00:18] 引爆了全球AI社区
[00:00:18 - 00:00:20] 让我先把这件事的时间线还原清楚
[00:00:20 - 00:00:23] 3月2日晚 Kwin团队在X上宣布
[00:00:23 - 00:00:25] 开源4款Kwin3.5小尺寸模型
[00:00:25 - 00:00:29] 马斯克点赞评论 令人惊叹的智能密度
[00:00:29 - 00:00:30] 是亏那高光时刻
[00:00:30 - 00:00:31] 3月3日下午
[00:00:31 - 00:00:33] 阿里内部召开了一场会议
[00:00:33 - 00:00:34] 会议结束后
[00:00:34 - 00:00:35] 林俊阳当场离开
[00:00:35 - 00:00:36] 当天下午
[00:00:36 - 00:00:39] 林俊阳正式向阿里提交辞职申请
[00:00:39 - 00:00:40] 当晚
[00:00:40 - 00:00:41] 团队内部小范围得知消息
[00:00:41 - 00:00:43] 3月4日凌晨0点11分
[00:00:43 - 00:00:45] X上官宣
[00:00:45 - 00:00:46] 随后
[00:00:46 - 00:00:47] 12小时内
[00:00:47 - 00:00:48] 会兵员
[00:00:48 - 00:00:49] 签问代码方向负责人
[00:00:49 - 00:00:50] 郁博文
[00:00:50 - 00:00:52] 签问后训练负责人
[00:00:52 - 00:00:53] 李凯兴
[00:00:53 - 00:00:55] 快案3.5核心贡献者
[00:00:55 - 00:00:56] 相继宣布离职
[00:00:56 - 00:00:58] 还有多位年轻研究员
[00:00:59 - 00:01:03] 三月四日下午一点阿里紧急召开All Hands全员大会
[00:01:03 - 00:01:08] CEO吴永明首席人才官讲方CTO周靖仁全部出席
[00:01:08 - 00:01:09] 吴永明说了一句话
[00:01:09 - 00:01:12] 我觉得是整件事最诚实的一句话
[00:01:12 - 00:01:14] 我应该要更早知道这些
[00:01:14 - 00:01:17] 事件发酵后X上出现了大量解读
[00:01:17 - 00:01:18] 我来逐条拆解
[00:01:18 - 00:01:19] 第一种声音
[00:01:19 - 00:01:21] 这是组织调整 沟通失败
[00:01:21 - 00:01:23] 阿里高层的官方定性是
[00:01:23 - 00:01:24] 困没有收缩
[00:01:24 - 00:01:26] 这是一次扩张
[00:01:26 - 00:01:28] 通易实验室想把困按预训练
[00:01:28 - 00:01:30] 后训练视觉理解等维度拆分
[00:01:30 - 00:01:33] 和通异万象通异百灵合并
[00:01:33 - 00:01:35] 首席人才官蒋芳承认
[00:01:35 - 00:01:37] 这次组织形式没沟通好
[00:01:37 - 00:01:39] 这个解释在技术上是合理的
[00:01:39 - 00:01:40] 但他毁避了一个核心问题
[00:01:40 - 00:01:43] 为什么在Quin刚刚发布新模型
[00:01:43 - 00:01:45] 马斯克刚刚点赞的时间节点
[00:01:45 - 00:01:46] 做这个调整
[00:01:46 - 00:01:47] 第二种声音
[00:01:47 - 00:01:49] 这是KPI体系的错位
[00:01:49 - 00:01:51] 一位知名博主的解读指出
[00:01:51 - 00:01:53] 阿里云把困团队的考核
[00:01:53 - 00:01:55] 从模型技术指标
[00:01:55 - 00:01:57] 改成了消费级应用的DAU
[00:01:57 - 00:01:58] 日火用户数
[00:01:58 - 00:02:00] Kwin App 月活 306万
[00:02:00 - 00:02:02] 对比豆包接近两亿差距全数
[00:02:02 - 00:02:05] 于是在公司内部的评价体系里
[00:02:05 - 00:02:06] Kwin 的开源成就
[00:02:06 - 00:02:07] 全球十亿字下载
[00:02:07 - 00:02:09] 20万个衍生模型
[00:02:09 - 00:02:11] Hugging Face 第一
[00:02:11 - 00:02:13] 这些都不算 KPI
[00:02:13 - 00:02:14] 这不是沟通问题
[00:02:14 - 00:02:16] 这是价值体系的根本冲突
[00:02:16 - 00:02:18] 第三种声音
[00:02:18 - 00:02:20] 资源分配的内外道质
[00:02:20 - 00:02:22] 36颗报道揭示了一个细节
[00:02:22 - 00:02:23] 外部大模型创业公司
[00:02:23 - 00:02:26] 购买阿里云算力用的顺畅
[00:02:26 - 00:02:29] 但Kwen内部团队算力和招聘名额长期捉金见走
[00:02:29 - 00:02:31] CTO周敬仁的回答是
[00:02:31 - 00:02:32] 有很多历史原因
[00:02:32 - 00:02:34] 这个细节说明了什么
[00:02:34 - 00:02:37] 说明Kwen对阿里来说是一个对外展示的名片
[00:02:37 - 00:02:40] 而不是一个被内部优先保障的战略资产
[00:02:40 - 00:02:41] 第四种声音
[00:02:41 - 00:02:42] 接任者的信号
[00:02:42 - 00:02:45] 接手签问后训练工作的周浩
[00:02:45 - 00:02:46] 来自Google DeepMind
[00:02:46 - 00:02:49] 是Gemini3.0的核心贡献者
[00:02:49 - 00:02:51] 专注多部强化学习
[00:02:51 - 00:02:53] 他直接会报给CTO周敬仁
[00:02:53 - 00:02:55] 不经过原有团队体系
[00:02:55 - 00:02:57] 这个人事安排释放的信号很清晰
[00:02:57 - 00:02:59] 阿里要把昆恩从开源社区取动
[00:02:59 - 00:03:02] 转向工业化强化学习
[00:03:02 - 00:03:04] 方向本身没有对错
[00:03:04 - 00:03:06] 但这意味着建立昆恩开源生态的那批人
[00:03:06 - 00:03:10] 和阿里的新方向产生了不可调和的路线分歧
[00:03:10 - 00:03:13] 我们来说说这件事背后更深的结构性矛盾
[00:03:13 - 00:03:15] 开源从来不是慈善
[00:03:15 - 00:03:18] 昆恩的开源战略建立了全球开发者生态
[00:03:18 - 00:03:20] 让企业快速选用合适的模型
[00:03:20 - 00:03:22] 最终转化成阿里云的商业收入
[00:03:22 - 00:03:23] 这个逻辑是成立的
[00:03:23 - 00:03:25] 但这个逻辑有一个致命的弱点
[00:03:25 - 00:03:28] 他的价值无法体现在伎督财报里
[00:03:28 - 00:03:30] Matter花了数十亿美元训练拉马
[00:03:30 - 00:03:32] 免费开放外界争论之间
[00:03:32 - 00:03:34] 这笔账怎么算没有答案
[00:03:34 - 00:03:36] 阿里面临同样的问题
[00:03:36 - 00:03:38] Quint开源成就是真实的战略资产
[00:03:38 - 00:03:40] 但在一个需要向股东汇报
[00:03:40 - 00:03:42] 伎督增长的公司里
[00:03:42 - 00:03:43] 这个资产很难被量化
[00:03:43 - 00:03:46] 于是当商业化压力来临
[00:03:46 - 00:03:48] 当豆包的日和数字摆在面前
[00:03:48 - 00:03:50] 当旗舰模型的竞争进入深水区
[00:03:51 - 00:03:52] 公司的资源分配逻辑
[00:03:52 - 00:03:55] 就会不可避免地向可量化的指标倾斜
[00:03:55 - 00:03:56] 这不是阿里的问题
[00:03:56 - 00:03:59] 这是所有大公司开源战略的结构性困境
[00:03:59 - 00:04:02] OpenAI失去了SetsCaver和Sulman
[00:04:02 - 00:04:05] MetadataCon与商业化方向持续摩擦
[00:04:05 - 00:04:09] XAI在2026年2月一次性流失9名工程师
[00:04:09 - 00:04:11] 这个模式在反复上演
[00:04:11 - 00:04:13] 基于这些信息我提出我的假设
[00:04:13 - 00:04:14] 假设1
[00:04:14 - 00:04:15] 这不是沟通失败
[00:04:15 - 00:04:17] 这是战略选择
[00:04:17 - 00:04:18] 如果只是沟通问题
[00:04:18 - 00:04:20] 一场Ohance会议就能解决
