BV号：BV1yZLTzDEFP
标题：BV1yZLTzDEFP
链接：https://www.bilibili.com/video/BV1yZLTzDEFP
识别语言：zh
语言置信度：1
分段数：296
生成时间：2026-08-30 06:41:23

[00:00:00 - 00:00:01] 这里是为什么叫QQ
[00:00:01 - 00:00:02] 大家好
[00:00:02 - 00:00:04] 4月17日的凌晨一点
[00:00:04 - 00:00:06] OpenAI派出了8位员工
[00:00:06 - 00:00:08] 齐聚直播间
[00:00:08 - 00:00:10] 一起解说了OpenAI新发布的号称
[00:00:10 - 00:00:13] 目前最为强大最为智能的模型满写版的
[00:00:13 - 00:00:14] O3和O4 mini
[00:00:14 - 00:00:16] 与以往单独的模型不同
[00:00:16 - 00:00:17] O3和O4 mini
[00:00:17 - 00:00:20] 这次被设计为了一个真正的AI系统模型
[00:00:20 - 00:00:22] 甚至能够像Agent一样
[00:00:22 - 00:00:24] 连续调用超过600次的工具
[00:00:24 - 00:00:26] 来完成一项兼具的任务
[00:00:26 - 00:00:29] 更是在理解和检索大型代码库方面
[00:00:29 - 00:00:30] 超越了人类工程师
[00:00:30 - 00:00:31] 还有一个特点
[00:00:31 - 00:00:33] 就是这次引入了图像推理
[00:00:33 - 00:00:34] Thinking with images
[00:00:35 - 00:00:37] 能够将图像直接整合到四维链中
[00:00:37 - 00:00:38] 今天我们就来回顾一下
[00:00:38 - 00:00:40] 这场发布会的具体内容
[00:00:40 - 00:00:43] 先来说说这次发布的核心O3模型
[00:00:43 - 00:00:46] OpenAI团队在发布会上着重强调O3
[00:00:46 - 00:00:49] 已经不再是传统意义上单纯的大模型了
[00:00:49 - 00:00:52] 而是进化成了具备系统性智能的AI系统
[00:00:52 - 00:00:54] 这并不只是一个简单的概念升级
[00:00:54 - 00:00:57] 而是顶尖科学家们在实际应用中发现
[00:00:57 - 00:01:00] O3能够提出真正心影而且有用的创意
[00:01:00 - 00:01:02] 尤其是在系统架构设计
[00:01:02 - 00:01:04] 这个复杂的领域
[00:01:04 - 00:01:05] 以往的模型呢
[00:01:05 - 00:01:08] 大多数都只能在已有的框架内进行有限的优化
[00:01:08 - 00:01:09] 而O3呢
[00:01:09 - 00:01:12] 却展示出了前所未有的创新能力
[00:01:12 - 00:01:14] 它能够打破常规
[00:01:14 - 00:01:17] 给出的设计方案常常让人眼前一亮
[00:01:17 - 00:01:19] O3的另一个重大的亮点呢
[00:01:19 - 00:01:20] 就是对工具的深度集成
[00:01:20 - 00:01:22] 它可以自主使用
[00:01:22 - 00:01:25] 并且结合CADGBT里面的多种工具
[00:01:25 - 00:01:29] 像是网络搜索Python编程图像分析文件解读和图像生成等等
[00:01:29 - 00:01:31] 和以往的推理模型相比
[00:01:31 - 00:01:34] O3的主动调用能力有了突破性的进展
[00:01:34 - 00:01:36] 在面对复杂问题的时候
[00:01:36 - 00:01:38] 它不再被动的等待指令
[00:01:38 - 00:01:40] 而是会选择主动出击
[00:01:40 - 00:01:42] 甚至能够连续调用数百次的工具
[00:01:42 - 00:01:43] 举个例子
[00:01:43 - 00:01:47] 再解决一些涉及到多领域知识的难题时
[00:01:47 - 00:01:50] 它会先调用网络搜索工具获取相关的信息
[00:01:50 - 00:01:52] 再利用Python进行数据处理和分析
[00:01:52 - 00:01:57] 接着,通过图像分析工具对相关的图片进行解读
[00:01:57 - 00:02:01] 这种工具练试的推理,让它解决问题的能力不仅有了大幅的提升
[00:02:01 - 00:02:04] 实用性也远超以往的模型
[00:02:04 - 00:02:07] 为了让大家更为直观地感受O3的强大能力
[00:02:07 - 00:02:10] 我们来看两个现场演示的真实案例
[00:02:10 - 00:02:13] 第一个案例是科研辅助,在发布会现场
[00:02:13 - 00:02:15] 研究员布兰登进行了演示
[00:02:15 - 00:02:18] 他拿出了一张2015年的物理研究海报
[00:02:18 - 00:02:21] 这个海报的主题是《志子同位学》标量电荷计算
[00:02:21 - 00:02:24] 但是当时并没有完成最终的结果
[00:02:24 - 00:02:26] 布兰登向欧三模型上传了这张海报
[00:02:26 - 00:02:28] 并且发出了指定
[00:02:28 - 00:02:30] 请基于此海报的内容
[00:02:30 - 00:02:32] 计算制止同卫旋标量电荷
[00:02:32 - 00:02:34] 并且与最近几年的文献进行对比
[00:02:34 - 00:02:37] 欧三模型在接到指令之后
[00:02:37 - 00:02:38] 迅速开始推理它
[00:02:38 - 00:02:39] 首先呢
[00:02:39 - 00:02:42] 将图片分析融入到了思维链中
[00:02:42 - 00:02:44] 精准定位了海报中的关键图表
[00:02:44 - 00:02:46] 比如说质量外推图
[00:02:46 - 00:02:46] 然后呢
[00:02:46 - 00:02:48] 提取其中的数据点
[00:02:48 - 00:02:49] 并且计算协律
[00:02:49 - 00:02:51] 在外推到特定的物理参数
[00:02:51 - 00:02:53] 也就是垮课质量
[00:02:53 - 00:02:56] 接着呢,模型又从文献中检索到相关的常数
[00:02:56 - 00:02:59] 将外推结果乘以这个常数
[00:02:59 - 00:03:00] 得到最终的电荷值
[00:03:00 - 00:03:02] 布兰登原本的结果呢
[00:03:02 - 00:03:03] 是1.2
[00:03:03 - 00:03:05] 而O3模型估算为1.5
[00:03:05 - 00:03:07] 完成计算之后
[00:03:07 - 00:03:10] O3还自动检索了最近五年的大约10篇相关论文
[00:03:10 - 00:03:12] 与自己的结果进行对比
[00:03:12 - 00:03:13] 他发现
[00:03:13 - 00:03:15] 由于当时的实验设备的限制
[00:03:15 - 00:03:17] 自己的结果精度呢
[00:03:17 - 00:03:18] 低于最新的研究
[00:03:18 - 00:03:20] 但是趋势是一致的
[00:03:20 - 00:03:21] 在这个过程中
[00:03:21 - 00:03:23] 欧三进行了多次的工具调用
[00:03:23 - 00:03:25] 他不仅调用了Python的数值库
[00:03:25 - 00:03:28] 比如说,用Numpy来计算图表数据
[00:03:28 - 00:03:32] 还访问了Archive Science Direct等文献数据库的摘要来获取信息
[00:03:32 - 00:03:34] 对于这样一个复杂的科研任务
[00:03:34 - 00:03:36] 按照传统的方式
[00:03:36 - 00:03:39] 人类研究员可能需要花费几天的时间才能够完成
[00:03:39 - 00:03:43] 而欧三模型在短短20秒内就搞定了这大
[00:03:43 - 00:03:45] 节省了科研人员的时间和精力
[00:03:45 - 00:03:46] 提高了科研的效率
[00:03:46 - 00:03:48] 我们再来看看第二个案例
[00:03:48 - 00:03:50] 个性化跨领于内容生成
[00:03:50 - 00:03:53] 研究员埃里克参与了这次演示
[00:03:53 - 00:03:55] 他启用了模型的记忆功能
[00:03:55 - 00:03:57] 结合自己的潜水和音乐的兴趣
[00:03:57 - 00:03:59] 让AI阅读新闻
[00:03:59 - 00:04:01] 并且教授一些与他的至少两个兴趣相关
[00:04:01 - 00:04:03] 但是又要足够深奥的内容
[00:04:03 - 00:04:08] 还要求AI在回复中包含展示有趣数据和关系的图表
[00:04:08 - 00:04:09] 并且呢
[00:04:09 - 00:04:10] 起草一篇博客文章
[00:04:10 - 00:04:13] 强调了文章中要留出位置放置这个图表
[00:04:13 - 00:04:15] O3模型呢
[00:04:15 - 00:04:16] 从埃里克的兴趣入手
[00:04:16 - 00:04:19] 交叉分析了潜水和音乐这两个领域
[00:04:19 - 00:04:22] 定位到了珊瑚礁生波修复这个研究方向
