BV号：BV1S8pYznEmi
标题：BV1S8pYznEmi
链接：https://www.bilibili.com/video/BV1S8pYznEmi
识别语言：zh
语言置信度：1
分段数：457
生成时间：2026-08-29 22:57:24

[00:00:00 - 00:00:02] 大家好,我是為什麼叫QQ
[00:00:02 - 00:00:09] 9月10日,埃隆·馬斯克·伊朗·馬斯克在奧林·沙米的峰會上進行了一場40分鐘的訪談
[00:00:09 - 00:00:12] 期間他不僅甩出了Uptimus人形機器人
[00:00:12 - 00:00:16] Tesla AI芯片、新列Starlink和新建Starship的最新進展
[00:00:16 - 00:00:19] 甚至直言,西方的行為與自殺無異
[00:00:19 - 00:00:23] 在訪談一開場,他就拋出了一句急劇衝擊力的話
[00:00:23 - 00:00:27] 在今年5月後,我就沒再去過華盛頓特區
[00:00:27 - 00:00:28] 他們已經無藥可救了
[00:00:28 - 00:00:32] 这句话背后,显然是他对西方社会当前困境的失望。
[00:00:32 - 00:00:37] 而这种失望,也贯穿了他对科技布局与人类未来的思考。
[00:00:37 - 00:00:43] 接下来,我们就来顺着这次访谈的脉络,给大家分享一下相关行业的关键信息。
[00:00:43 - 00:00:49] 马斯克首先在访谈中明确表示,他会将大部分的经历都投入到optimus项目中,
[00:00:49 - 00:00:54] 甚至直言这款人形机器人的复杂程度,远超Tesla的任何汽车项目,
[00:00:54 - 00:00:56] 仅次于新建
[00:00:56 - 00:00:57] 目前
[00:00:57 - 00:01:00] Tesla团队正在敲定Optimus第三代的设计
[00:01:00 - 00:01:03] 目标是打造一个能够真正融入人类生活的
[00:01:03 - 00:01:04] 了不起的机器人
[00:01:04 - 00:01:06] 但是要实现这个目标
[00:01:06 - 00:01:08] 必须先攻克三大核心难题
[00:01:08 - 00:01:12] 而这正是当前其他机器人公司难以突破的瓶颈
[00:01:12 - 00:01:13] 第一个难题是
[00:01:13 - 00:01:16] 人类水平的林桥手Manual Dexterity
[00:01:16 - 00:01:20] 咱们可以先想象下一下人类手部的复杂程度
[00:01:20 - 00:01:22] 人类的手经过数百万年的进化
[00:01:22 - 00:01:24] 拥有大约27个自由度
[00:01:24 - 00:01:27] 既能够挥舞棒球棒这样需要力量的动作
[00:01:27 - 00:01:29] 也能完成穿真引线
[00:01:29 - 00:01:31] 弹奏钢琴这样精细的操作
[00:01:31 - 00:01:34] 要让optimus复刻这种能力
[00:01:34 - 00:01:38] 手不及前臂的设计就成了整个项目的核心难点
[00:01:38 - 00:01:40] 马斯克团队在研发时
[00:01:40 - 00:01:45] 需要从材料学、机械结构、传感器技术等多个维度突破
[00:01:45 - 00:01:50] 比如如何用轻量化材料打造能承受反复动作的关节
[00:01:50 - 00:01:53] 如何通过传感器精准捕捉力反馈
[00:01:54 - 00:01:57] 确保机器人拿杯子时既不会捏碎也不会滑落
[00:01:58 - 00:01:59] 这些细节看似微小
[00:02:00 - 00:02:03] 却是决定Optimus能否替代人类完成日常任务的关键
[00:02:04 - 00:02:07] 第二个难题是理解现实的AI大脑AImind
[00:02:07 - 00:02:11] 马斯克强调Optimus需要的不是简单的语言模型
[00:02:11 - 00:02:14] 而是一个能导航和理解物理世界的现实世界
[00:02:14 - 00:02:15] AI real world AI
[00:02:15 - 00:02:16] 举个例子
[00:02:16 - 00:02:19] 当人类说把桌上的文件递给我的时候
[00:02:19 - 00:02:21] 我们能瞬间判断文件是哪一份
[00:02:21 - 00:02:24] 地的动作需要多大力度
[00:02:24 - 00:02:26] 如何避开桌上的水杯
[00:02:26 - 00:02:27] 但是对机器人来说
[00:02:27 - 00:02:29] 这需要它先识别文件
[00:02:29 - 00:02:31] 水杯这些物体
[00:02:31 - 00:02:33] 理解文件在桌上的位置
[00:02:33 - 00:02:35] 人与桌的距离等空间关系
[00:02:35 - 00:02:39] 以及规划手臂如何移动才不会碰撞的动作路径
[00:02:39 - 00:02:42] 最后转化为精确的机械动作
[00:02:42 - 00:02:44] 这背后需要融合计算机视觉
[00:02:44 - 00:02:45] 运动控制
[00:02:45 - 00:02:48] 环境感知等多个AI分支技术
[00:02:48 - 00:02:49] 而Tesla的优势在于
[00:02:49 - 00:02:52] 他们在FSD中积累的环境识别
[00:02:52 - 00:02:53] 与路径规划能力
[00:02:53 - 00:02:56] 能够为Optimus的AI大脑提供技术支撑
[00:02:57 - 00:02:59] 第三个难题是大规模的量产
[00:02:59 - 00:03:03] 马斯克的目标是让Optimus实现粘产百万台
[00:03:03 - 00:03:04] 但是它也坦言
[00:03:04 - 00:03:07] 人形机器人不存在任何成熟的供应链
[00:03:07 - 00:03:10] 从执行器、电机到齿轮箱
[00:03:10 - 00:03:12] 所有核心部件都需要从零开始
[00:03:12 - 00:03:15] 基于物理学第一性的原理来设计
[00:03:15 - 00:03:18] 这意味着Tesla不能依赖外部供应商
[00:03:18 - 00:03:21] 必须自己搭建完整的供应链体系
[00:03:21 - 00:03:22] 比如执行器
[00:03:22 - 00:03:25] 它相当于机器人的肌肉需要同时满足高扭矩
[00:03:25 - 00:03:28] 高精度、轻量化的要求
[00:03:28 - 00:03:31] 目前市面上没有任何现成产品能满足
[00:03:31 - 00:03:35] Tesla团队只能自主研发材料配方与生产工艺
[00:03:35 - 00:03:38] 这种垂直整合的模式虽然前期投入巨大
[00:03:38 - 00:03:41] 但是一旦突破就能建立起难以复制的技术壁垒
[00:03:42 - 00:03:45] 关于Optimus的成本与时间限
[00:03:45 - 00:03:47] 马斯克给出了一个明确的预测
[00:03:47 - 00:03:50] 那就是当量产规模达到百万台的时候
[00:03:50 - 00:03:54] 美台的编辑生产成本可能在2万到2.5万美元之间
[00:03:54 - 00:03:56] 其中AI芯片的占比最高
[00:03:56 - 00:03:59] 大约5000-6000美元
[00:03:59 - 00:04:00] 至于售价
[00:04:00 - 00:04:02] 它表示会由市场需求决定
[00:04:02 - 00:04:03] 但是可以确定的是
[00:04:03 - 00:04:04] 选择人形设计
[00:04:04 - 00:04:07] 是因为人类世界本来就是为人类打造的
[00:04:07 - 00:04:09] 比如门把手的高度
[00:04:09 - 00:04:10] 桌椅的尺寸等等
[00:04:10 - 00:04:14] 人形机器人能无缝适配这些现有设施
[00:04:14 - 00:04:16] 无需对世界进行改造
[00:04:16 - 00:04:19] 这也是optimus相比其他形态机器人的核心优势
[00:04:19 - 00:04:25] 谈到Tesla,马斯克在访谈中抛出了一个可能会让所有Tesla车主都兴奋的消息
[00:04:25 - 00:04:27] 那就是到今年年底
[00:04:27 - 00:04:29] 你会感觉自己的车好像有了知觉
[00:04:29 - 00:04:32] 应该说这句话的底气
[00:04:32 - 00:04:36] 要归功于Tesla在AI芯片与FSD软件上的双重突破
[00:04:36 - 00:04:39] 我们先来说说芯片路线的调整
[00:04:39 - 00:04:42] 之前Tesla的芯片开发分为两条线路
[00:04:42 - 00:04:45] 一个是用于AI模型训练的Dojo芯片
