BV号：BV1nq5z6HEia
标题：BV1nq5z6HEia
链接：https://www.bilibili.com/video/BV1nq5z6HEia
识别语言：zh
语言置信度：1
分段数：240
生成时间：2026-08-29 17:27:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 姚顺宇最近说了个有意思的观点
[00:00:04 - 00:00:06] 中国AI公司算力资源确实差
[00:00:06 - 00:00:09] 但这个劣势反而逼出了一些有趣的事
[00:00:09 - 00:00:11] 他们特别擅长征留别人的模型
[00:00:11 - 00:00:14] 他指出征留有两种完全不同的做法
[00:00:14 - 00:00:15] 一种叫硬征
[00:00:15 - 00:00:18] 从Cloud里面取出一堆token
[00:00:18 - 00:00:19] 然后强行在上面做训练
[00:00:19 - 00:00:23] 他的评价是商业上不道德技术上也缺乏创造性
[00:00:23 - 00:00:24] 为什么
[00:00:24 - 00:00:26] 因为这说明公司都不知道自己想干嘛
[00:00:26 - 00:00:28] 只会抄别人
[00:00:28 - 00:00:30] 另一种叫聪明的帧
[00:00:30 - 00:00:32] 用多个模型作为辅助或评价者
[00:00:32 - 00:00:34] 把他们融会到一个训练系统里
[00:00:34 - 00:00:36] 商业场处于灰色地带
[00:00:36 - 00:00:38] 但从技术上来说
[00:00:38 - 00:00:40] 可能是真正的multi-agent训练的先驱
[00:00:40 - 00:00:43] anthropic最近发了份报告指控deep-seq
[00:00:43 - 00:00:46] mushard和minimax用2万多个假账号
[00:00:46 - 00:00:49] 跟cloud交互了超过1600万次
[00:00:49 - 00:00:51] 但这背后的问题更复杂
[00:00:51 - 00:00:54] 这些公司到底是在做硬帧还是聪明的帧
[00:00:54 - 00:00:56] 他们的帧流方式说明了什么
[00:00:56 - 00:00:58] 这就是我们今天要讨论的问题
[00:00:58 - 00:00:59] 什么是模型征流
[00:01:00 - 00:01:02] 简单来说就是让一个比较小
[00:01:03 - 00:01:05] 比较弱的模型 学生模型
[00:01:05 - 00:01:06] 去学习一个比较大
[00:01:07 - 00:01:09] 比较强的模型 教师模型的输出
[00:01:09 - 00:01:11] 这在AI圈是常规操作
[00:01:11 - 00:01:14] OpenAI已经把模型征流产品化
[00:01:14 - 00:01:16] 允许开发者用更强模型的输出
[00:01:16 - 00:01:18] 去微调更低成本模型
[00:01:18 - 00:01:21] Google Research也长期发表征流相关研究
[00:01:21 - 00:01:24] 用大模型生成的监督信号训练小模型
[00:01:24 - 00:01:26] 征流本身不是地下操作
[00:01:26 - 00:01:28] 而是大模型训练里的常规技术
[00:01:28 - 00:01:31] Huggingface上有数千个社区征流模型
[00:01:31 - 00:01:33] 用户主动上传他们与Cloud
[00:01:33 - 00:01:35] GPT的对话记录用于训练
[00:01:35 - 00:01:37] 支持者常把这个解释为
[00:01:37 - 00:01:39] AI民主化和
[00:01:39 - 00:01:40] 对抗商业垄断
[00:01:40 - 00:01:42] 征流本身是中立的技术
[00:01:42 - 00:01:44] 问题出在使用的方式上
[00:01:44 - 00:01:46] Anthropic发现的异常流量是什么样的
[00:01:46 - 00:01:50] 虚假账户有组织有规模精心设计的提示词
[00:01:50 - 00:01:54] 据Anthropic称DeepSick, Moonshot,和minimax相关
[00:01:54 - 00:01:56] 活动分别设计超过15万次
[00:01:56 - 00:02:00] 340万次和1300万次于Cloud的交互
[00:02:00 - 00:02:02] 三者合计超过1600万次
[00:02:02 - 00:02:05] 设计约2.47万个欺诈账战互
[00:02:05 - 00:02:06] 这不是偶然
[00:02:06 - 00:02:08] 而是精心策划的工业级活动
[00:02:08 - 00:02:09] 印证怎么做
[00:02:09 - 00:02:11] 设计一套提示词系统
[00:02:11 - 00:02:13] 涵盖你想要的所有能力领域
[00:02:13 - 00:02:15] 通过这些提示词
[00:02:15 - 00:02:17] 调用Cloud收集它的输出
[00:02:17 - 00:02:19] 最后把这些输出作为训练数据
[00:02:19 - 00:02:22] 用标准的SFT方法训练你的学生模型
[00:02:22 - 00:02:24] minimax在这方面做得很极致
[00:02:24 - 00:02:26] anthropic一发新模型
[00:02:26 - 00:02:29] 他们能在24小时内迅速调整流量
[00:02:29 - 00:02:31] 密集提取新模型在智能体代码
[00:02:31 - 00:02:34] 和工具编排上的高质量答案
[00:02:34 - 00:02:35] 为什么这种做法值得批评
[00:02:35 - 00:02:37] 关键在于它反映了什么
[00:02:37 - 00:02:40] 应征的公司本质上缺乏自己的技术方向
[00:02:40 - 00:02:42] 它能干的唯一一件事就是抄别人
[00:02:42 - 00:02:45] 让自己的模型数据上能看得好看一点
[00:02:45 - 00:02:46] 从商业角度讲
[00:02:46 - 00:02:48] 这是不道德的
[00:02:48 - 00:02:49] 直接复制竞争对手的能力
[00:02:49 - 00:02:51] 没有任何自己的贡献
[00:02:51 - 00:02:54] 从技术角度讲,这不够聪明
[00:02:54 - 00:02:55] 你完全依赖于教师模型
[00:02:55 - 00:02:58] 一旦教师模型改变,你的优势就消失了
[00:02:58 - 00:03:00] 聪明的征设及什么?
[00:03:00 - 00:03:02] 不是简单的复制
[00:03:02 - 00:03:05] 而是用多个不同的模型来构建一个训练系统
[00:03:05 - 00:03:07] 比如用Cloud来生成初始答案
[00:03:07 - 00:03:09] 用GPT来评价这些答案
[00:03:09 - 00:03:11] 然后用Jamnite来进行最后的验证
[00:03:11 - 00:03:14] 这样你就把多个模型的优势融会到一个系统里
[00:03:14 - 00:03:17] 更关键的是这些模型来自不同的公司
[00:03:17 - 00:03:19] 它们的语言分布是很不一样的
[00:03:19 - 00:03:22] 这意味着你在做真正的Multi-Agent的训练
[00:03:22 - 00:03:25] 这需要深入的技术理解和创新能力
[00:03:25 - 00:03:27] 有些公司最初可能是硬征
[00:03:27 - 00:03:30] 但后来慢慢向聪明的征的方向转化
[00:03:30 - 00:03:31] 这说明这些公司在学习
[00:03:31 - 00:03:34] 在思考如何更聪明的利用征流技术
[00:03:34 - 00:03:35] 你可能会想
[00:03:35 - 00:03:36] 这不就是抄袭吗
[00:03:36 - 00:03:37] 有什么技术含量
[00:03:37 - 00:03:39] 硬征确实是简单粗暴的
[00:03:39 - 00:03:42] 但聪明的征涉及到真正的技术创新
[00:03:42 - 00:03:46] 清华大学最近发了一篇关于OPD的Arxiv论文
[00:03:46 - 00:03:48] 里面揭示了一个反直觉的真相
[00:03:48 - 00:03:50] 征流并不是简单的复制粘贴
[00:03:50 - 00:03:53] 它成功的条件非常可可
[00:03:53 - 00:03:54] 论文指出至少在
[00:03:54 - 00:03:55] unpolicy
[00:03:55 - 00:03:57] distillation这个场景里
[00:03:57 - 00:03:59] 征流要成功需要满足两个条件
[00:03:59 - 00:04:02] 第一学生和教师必须有兼容的思维模式
[00:04:02 - 00:04:03] 第二
[00:04:03 - 00:04:05] 教师必须能提供学生在训练中
[00:04:05 - 00:04:06] 没见过的新能力
[00:04:06 - 00:04:08] 如果你的小模型底子太差
[00:04:08 - 00:04:11] 或者思维模式跟教师模型完全不达
[00:04:11 - 00:04:13] 你就算拿到了教师模型的数据
[00:04:13 - 00:04:15] 你也征流不出来
[00:04:15 - 00:04:16] 如果你想做聪明的征
[00:04:16 - 00:04:19] 你需要理解多个模型之间的差异
[00:04:19 - 00:04:21] 理解如何融汇他们的优势
[00:04:21 - 00:04:24] 这绝对不是随便写个爬虫就能搞定的事儿
[00:04:24 - 00:04:26] 这就引出了我们今天最核心的动差
[00:04:26 - 00:04:30] 征流技术的本质其实是AI时代的技术套利
[00:04:30 - 00:04:34] 在金融里套利是指利用不同市场的价格差异来赚钱
