BV号：BV1HBfVYhE8X
标题：BV1HBfVYhE8X
链接：https://www.bilibili.com/video/BV1HBfVYhE8X
识别语言：zh
语言置信度：1
分段数：273
生成时间：2026-08-30 18:45:54

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在2024年年底
[00:00:04 - 00:00:06] 有很多AI领域的领军人物
[00:00:06 - 00:00:09] 都不约而同地做出了一个大胆的预测
[00:00:09 - 00:00:12] 那就是2025年将是AI Agent的元年
[00:00:12 - 00:00:15] 但是随着Agent进入更多的应用场景
[00:00:15 - 00:00:18] 无论是单个Agent的工作时候产生的记忆
[00:00:18 - 00:00:21] 还是多个Agent的协作所产生的上下文
[00:00:21 - 00:00:24] 都对模型的上下文长度提出了更多的要求
[00:00:24 - 00:00:26] 而就在1月15日
[00:00:26 - 00:00:28] MiniMax开让了最新的基础语言模型
[00:00:28 - 00:00:31] minimax-Tax01和视觉多摩太模型
[00:00:31 - 00:00:33] minimax-VL01
[00:00:33 - 00:00:35] 在业界首次大规模实现了
[00:00:35 - 00:00:37] 线性注意力机制
[00:00:37 - 00:00:39] 大大增加了上下纹窗口的长度
[00:00:39 - 00:00:41] 甚至一次可以处理400万的token
[00:00:41 - 00:00:43] 是其他模型的20-32倍
[00:00:43 - 00:00:45] minimax相信
[00:00:45 - 00:00:47] 这些模型能够给接下来一年
[00:00:47 - 00:00:48] Agent的爆发做出贡献
[00:00:48 - 00:00:49] 并且断言
[00:00:49 - 00:00:52] 传统Transformer架构不再是唯一选择
[00:00:52 - 00:00:53] 在这之前
[00:00:53 - 00:00:56] minimax一直是以必原模型的身份试人
[00:00:56 - 00:00:58] 外界对底层模型的细节直直甚少
[00:00:59 - 00:01:01] 这次不仅是MiniMax首次将模型开源
[00:01:01 - 00:01:04] 也是MiniMax首次公开技术细节
[00:01:04 - 00:01:07] 所以今天我们就来介绍一下这两个模型
[00:01:07 - 00:01:09] 以及解读一下背后的技术报告
[00:01:09 - 00:01:11] 我们都知道的是
[00:01:11 - 00:01:13] 目前大多数领先的大约模型
[00:01:13 - 00:01:14] 都是基于Transformer架构的
[00:01:15 - 00:01:17] Transformer的核心是自助于力机制
[00:01:17 - 00:01:18] Self attention
[00:01:18 - 00:01:20] 它允许模型在处理文本的时候
[00:01:20 - 00:01:23] 能够关注到文本中不同位置的信息
[00:01:23 - 00:01:25] 从而捕捉到更为复杂的语意关系
[00:01:25 - 00:01:29] 然而自助威力机制也存在了一个显著的缺点
[00:01:29 - 00:01:30] 那就是计算成本高啊
[00:01:30 - 00:01:33] 具体来说自助威力机制的计算复杂度
[00:01:33 - 00:01:36] 跟输入序列的长度是平方的关系
[00:01:36 - 00:01:38] 也就是我们常说的On方
[00:01:38 - 00:01:41] 这意味着当输入的上下人窗口
[00:01:41 - 00:01:45] 也就是模型一次能够处理的文本长度增加的时候
[00:01:45 - 00:01:47] 模型的计算量会成指数级的增长
[00:01:47 - 00:01:49] 这样会导致两个问题
