BV号：BV1HeXjBUE8L
标题：BV1HeXjBUE8L
链接：https://www.bilibili.com/video/BV1HeXjBUE8L
识别语言：zh
语言置信度：1
分段数：422
生成时间：2026-08-29 07:16:36

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你可能觉得AI编程就是给大模型发一句指令
[00:00:05 - 00:00:07] 然后让它直接把代码写出来
[00:00:07 - 00:00:09] 毕竟现在的模型越来越聪明了 对吧
[00:00:09 - 00:00:12] 很多人认为只要给AI足够的自由度
[00:00:12 - 00:00:14] 它就能创造奇迹
[00:00:14 - 00:00:15] 但事实真的如此吗
[00:00:15 - 00:00:18] 当我们把AI投入到真实的商业项目中时
[00:00:18 - 00:00:21] 这种放养模式往往会带来灾难性的后果
[00:00:21 - 00:00:24] 代码质量层次不齐 逻辑漏洞摆出
[00:00:24 - 00:00:26] 甚至连最基本的运行都无法保证
[00:00:26 - 00:00:27] 为什么会这样
[00:00:27 - 00:00:31] 因为我们对AI的期望和它的实际能力之间
[00:00:31 - 00:00:32] 存在着巨大的鸿沟
[00:00:32 - 00:00:36] 但我最近深度研究了目前在Gatehub上爆火的
[00:00:36 - 00:00:39] 三个前沿AI编程开源项目
[00:00:39 - 00:00:42] 分别是Superpowers, Gestak, and Opensback
[00:00:42 - 00:00:45] 这三个项目不仅在开发者社区中引起了轰动
[00:00:45 - 00:00:46] 更重要的是
[00:00:46 - 00:00:48] 他们代表了AI编程的最新趋势
[00:00:48 - 00:00:51] 通过对这三个项目的底层逻辑进行拆解
[00:00:51 - 00:00:54] 我发现了一个令人震惊的事实
[00:00:54 - 00:00:56] 这些由顶尖工程师打造的AI工具
[00:00:56 - 00:00:59] 他们最核心的设计理念
[00:00:59 - 00:01:01] 根本不是让AI变得更自由更聪明
[00:01:01 - 00:01:04] 相反最聪明的AI编程方式
[00:01:04 - 00:01:06] 反而是给AI套上枷锁
[00:01:06 - 00:01:08] 极大的限制它的自由度
[00:01:08 - 00:01:09] 没错 你没有听错
[00:01:09 - 00:01:11] 限制AI的自由
[00:01:11 - 00:01:13] 才是让它发挥最大价值的关键
[00:01:13 - 00:01:15] 这个听起来是不是很反直觉
[00:01:15 - 00:01:16] 但请相信我
[00:01:16 - 00:01:18] 当你了解了这背后的逻辑
[00:01:18 - 00:01:21] 你会发现这才是AI编程的正确姿势
[00:01:21 - 00:01:24] 今天我们就来深度拆解这三个项目
[00:01:24 - 00:01:26] 看看他们是如何通过限制AI
[00:01:26 - 00:01:29] 来实现高效高质量的软件开发的
[00:01:29 - 00:01:30] 你可能会问
[00:01:30 - 00:01:32] 既然我们花了几百亿
[00:01:32 - 00:01:34] 美金把大模型训练得这么聪明
[00:01:34 - 00:01:36] 为什么还要去限制它
[00:01:36 - 00:01:37] 让它自由发挥不好吗
[00:01:37 - 00:01:39] 这个问题其实反映了当前AI
[00:01:39 - 00:01:41] 编程最核心的困境
[00:01:41 - 00:01:43] 我们总是期望AI能像一个全能的
[00:01:43 - 00:01:44] 超级工程师一样
[00:01:44 - 00:01:46] 理解我们所有的意图
[00:01:46 - 00:01:47] 并完美的实现他们
[00:01:47 - 00:01:48] 但现实是骨感的
[00:01:48 - 00:01:50] AI确实很聪明
[00:01:50 - 00:01:52] 但它聪明的方式是想当然
[00:01:52 - 00:01:54] 它没有人类的常识
[00:01:54 - 00:01:56] 也没有对复杂系统的权局认知
[00:01:56 - 00:01:58] 当你给AI一个模糊的需求时
[00:01:58 - 00:02:00] 它可能会在0.几秒内
[00:02:00 - 00:02:02] 脑补出10种不同的实现方案
[00:02:02 - 00:02:04] 然后随机选择一种开始狂写代码
[00:02:04 - 00:02:06] 给AI完全的自由
[00:02:06 - 00:02:09] 它反而最容易在复杂的工程中彻底迷失
[00:02:09 - 00:02:11] 写出一堆看似合理
[00:02:11 - 00:02:13] 但根本无法运行的费代码
[00:02:13 - 00:02:15] 这就好比你让一个没有经验的实习生
[00:02:15 - 00:02:19] 去负责一个核心系统的加购设计结果可想而知
[00:02:19 - 00:02:20] AI的这种想当然
[00:02:20 - 00:02:23] 在简单的脚本编写中可能不是问题
[00:02:23 - 00:02:26] 但在复杂的商业项目中却是致命的
[00:02:26 - 00:02:27] 更糟糕的是
[00:02:27 - 00:02:30] AI生成的代码往往缺乏一致性和可维护性
[00:02:30 - 00:02:32] 今天它可能用这种设计模式
[00:02:32 - 00:02:33] 明天又换成另一种
[00:02:33 - 00:02:36] 这种随意性让代码的审查和维护
[00:02:36 - 00:02:37] 变得极其困难
[00:02:37 - 00:02:39] 所以我们必须认识到
[00:02:39 - 00:02:41] AI的强大并不在于它的自由度
[00:02:41 - 00:02:43] 而在于它在特定约束下的执行力
[00:02:43 - 00:02:46] 只有给AI设定明确的边界和规范
[00:02:46 - 00:02:48] 它才能成为我们得力的助手
[00:02:48 - 00:02:50] 而不是制造麻烦的源泉
[00:02:50 - 00:02:52] 我们先来快速理清一下背景
[00:02:52 - 00:02:54] 从2023年到2026年
[00:02:54 - 00:02:57] AI编程工具迎来了大爆发
[00:02:57 - 00:02:59] Cloud Code, Cursor, Codex等工具
[00:02:59 - 00:03:02] 确实让我们的编码效率提升了10倍甚至100倍
[00:03:02 - 00:03:06] 这些工具的出现极大地降低了编程的门槛
[00:03:06 - 00:03:09] 让更多的人能够参与到软件开发中来
[00:03:09 - 00:03:12] 但与此同时我们也面临着前所未有的挑战
[00:03:12 - 00:03:16] 随着大家把AI用在越来越复杂的真实商业项目中
[00:03:16 - 00:03:18] 一个致命的问题浮出水面
[00:03:18 - 00:03:20] AI生成的代码质量极其不稳定
[00:03:20 - 00:03:22] 有时候像个资深加购师
[00:03:22 - 00:03:24] 有时候又像个刚入门的实习生
[00:03:24 - 00:03:26] 而且极难调识
[00:03:26 - 00:03:27] 这种不稳定性
[00:03:27 - 00:03:30] 让很多团队在享受AI带来效率提升的同时
[00:03:30 - 00:03:32] 也付出了巨大的维护成本
[00:03:32 - 00:03:35] 我们发现单纯依靠AI的聪明材质
[00:03:35 - 00:03:38] 已经无法满足复杂工程的需求
[00:03:38 - 00:03:40] 回想一下传统的软件工程
[00:03:40 - 00:03:42] 那些顶级的科技公司为什么能高效
[00:03:42 - 00:03:44] 产出高质量的软件
[00:03:44 - 00:03:46] 不是因为团队里的每一个人都是天才
[00:03:46 - 00:03:48] 而是因为他们有一套极其严密
[00:03:48 - 00:03:51] 经过千锤百炼的流程和规范
[00:03:51 - 00:03:55] 从需求分析、架构设计、到代码编写、测试审查
[00:03:55 - 00:03:57] 每一个环节都有严格的标准和流程
[00:03:57 - 00:03:59] 正是这些流程和规范
[00:03:59 - 00:04:01] 保证了软件的质量和可维护性
[00:04:01 - 00:04:05] 而Superpowers Gestac和OpenSpac这三个项目
[00:04:05 - 00:04:06] 虽然切入点不同
[00:04:06 - 00:04:09] 但他们其实都在回答同一个底层问题
[00:04:09 - 00:04:11] 如何把人类验证过的工程规范
[00:04:11 - 00:04:14] 强加给AI让AI按照人类的方式去工作
[00:04:14 - 00:04:17] 他们试图通过引入流程角色和规范
[00:04:17 - 00:04:18] 来约束AI的行为
[00:04:18 - 00:04:21] 从而提高AI编程的可靠性和质量
[00:04:21 - 00:04:23] 接下来我们就来逐一拆解这三个项目
[00:04:23 - 00:04:25] 看看他们是如何做到这一点呢
[00:04:25 - 00:04:28] 我们先来深度拆解第一个项目
[00:04:28 - 00:04:29] Super Powers
[00:04:29 - 00:04:31] 这个项目的核心思想非常硬核
[00:04:31 - 00:04:33] 不要试图让AI变得更聪明
[00:04:33 - 00:04:36] 而是让AI严格按照系统化的流程去工作
[00:04:36 - 00:04:39] Super Powers作者Jesse Vincent认为
[00:04:39 - 00:04:41] AI编程的痛点不在于模型的能力
[00:04:41 - 00:04:44] 而在于缺乏有效的流程控制
[00:04:44 - 00:04:47] 因此他设计了一套严密的开发工作流
[00:04:47 - 00:04:49] 将AI的自由度限制在特定的环节中
[00:04:50 - 00:04:52] Superpowers把AI编程强制划分为了
[00:04:52 - 00:04:54] 七一个不可愉悦的阶段
[00:04:54 - 00:04:56] 第一步也是最反直觉的一步
[00:04:57 - 00:04:59] 叫做Brainstorming 头脑风暴
[00:04:59 - 00:05:02] 在这个阶段它绝对禁止AI写任何一行代码
[00:05:02 - 00:05:04] 在需求不明确的情况下写代码
[00:05:04 - 00:05:06] 只会产生更多的技术债务
[00:05:06 - 00:05:08] Superpowers要求AI在这个阶段
[00:05:08 - 00:05:10] 扮演一个提问者的角色
[00:05:10 - 00:05:12] 通过不断的向人类反问
[00:05:12 - 00:05:14] 来澄清需求和边界条件
[00:05:14 - 00:05:16] 它要求AI使用苏格拉底式的提问法
[00:05:16 - 00:05:18] 不断向人类反问
[00:05:18 - 00:05:19] 你要做什么
[00:05:19 - 00:05:20] 你的边界条件是什么
[00:05:20 - 00:05:22] 有没有考虑过这种异常情况
[00:05:22 - 00:05:24] 直到把促操的想法
[00:05:24 - 00:05:27] 精化成一份极其详尽的设计文档
[00:05:27 - 00:05:29] 这个过程虽然看似繁琐
[00:05:29 - 00:05:32] 但却极大的减少了后期的反工成本
[00:05:32 - 00:05:34] 只有当设计文档得到人类的确认后
[00:05:34 - 00:05:36] AI才能进入下一个阶段
[00:05:36 - 00:05:39] 有了设计文档后进入writing plans阶段
[00:05:39 - 00:05:41] AI必须把整个工程拆解成一个个
[00:05:41 - 00:05:44] 只需要两到五分钟就能完成的微任务
[00:05:44 - 00:05:47] 每个任务都必须包含精确的文件路径
[00:05:47 - 00:05:49] 完整的代码势力和验证步骤
[00:05:49 - 00:05:53] 这种微任务的拆解不仅让AI的工作更加聚焦
[00:05:53 - 00:05:55] 也让人类的审查变得更加容易
[00:05:55 - 00:05:58] 你不再需要面对几百行复杂的代码
[00:05:58 - 00:06:01] 而是只需要审查一个个清晰的小任务
[00:06:01 - 00:06:04] 关键来了在Subagent Driven Development
[00:06:04 - 00:06:06] 也就是子代理驱动开发阶段
[00:06:06 - 00:06:09] Superpowers会为每一个微任务唤醒一个全新的
[00:06:09 - 00:06:12] 没有任何历史记忆的AI子代理去执行
[00:06:12 - 00:06:14] 这种设计非常巧妙
[00:06:14 - 00:06:17] 他避免了单一AI在长对化中
[00:06:17 - 00:06:19] 产生的上下文污染和幻觉问题
[00:06:19 - 00:06:21] 每个紫代理只关注眼前的微任务
[00:06:21 - 00:06:25] 执行完毕后就销毁保证了任务的独立性和纯粹性
[00:06:25 - 00:06:26] 为什么要清空记忆?
[00:06:26 - 00:06:28] 因为大模型在长对化中
[00:06:28 - 00:06:31] 极容易产生幻觉和上下文污染
[00:06:31 - 00:06:34] 全新的紫代理只关注眼前的微任务和规范
[00:06:34 - 00:06:35] 做完就销毁
[00:06:35 - 00:06:37] 这从物理上割绝了AI
[00:06:37 - 00:06:38] 相当然的可能
[00:06:38 - 00:06:42] 同时Superpowers还引入了两阶段审查机制
[00:06:42 - 00:06:44] 首先审查代码是否符合规范
[00:06:44 - 00:06:46] 然后再审查代码的质量
[00:06:46 - 00:06:50] 这种双重保险极大地提高了代码的可靠性
[00:06:50 - 00:06:51] 不仅如此
[00:06:51 - 00:06:53] Superpowers还强制AI执行TDD
[00:06:53 - 00:06:55] 也就是测试驱动开发
[00:06:55 - 00:06:58] 必须先写出汇报错误的测试用力
[00:06:58 - 00:06:59] 再写最小画的业务代码
[00:06:59 - 00:07:01] 让测试通过最后再重勾
[00:07:01 - 00:07:05] 任何没有测试覆盖的代码都会被无情删除
[00:07:05 - 00:07:07] 这种强制性的TDD流程
[00:07:07 - 00:07:09] 却保了每一行代码都是经过验证的
[00:07:09 - 00:07:11] 极大的降低了bug的发声率
[00:07:11 - 00:07:14] 这就是Superpowers的流程至上哲学
[00:07:14 - 00:07:15] 接下来看第二个项目
