BV号：BV1fCASeqE5x
标题：BV1fCASeqE5x
链接：https://www.bilibili.com/video/BV1fCASeqE5x
识别语言：zh
语言置信度：1
分段数：287
生成时间：2026-08-30 12:39:07

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在马斯克发布Grogg3之后
[00:00:04 - 00:00:06] OpenI也随即采取了行动
[00:00:06 - 00:00:10] 发布了SWE Launcher编码测试基准
[00:00:10 - 00:00:12] 直接让AI模型来挑战真实的外包任务
[00:00:12 - 00:00:14] 而且这些任务的总价值
[00:00:14 - 00:00:16] 高达100万美元
[00:00:16 - 00:00:18] 有趣的是 测试结果显示
[00:00:18 - 00:00:20] Azropic Cloud 3.5 Summit
[00:00:20 - 00:00:21] 在这个基准上的赚钱能力
[00:00:21 - 00:00:25] 竟然超越了OpenI自家的GPT-SO和O1模型
[00:00:25 - 00:00:27] 这到底是怎么一回事呢
[00:00:27 - 00:00:30] 今天我们就来聊聊这个价值百万的基准测试
[00:00:30 - 00:00:32] 我们先简单介绍一些背景
[00:00:32 - 00:00:34] 在SWE Launcher出现之前
[00:00:34 - 00:00:36] 测试模型代码能力的基准
[00:00:36 - 00:00:40] 主要有SWE Batch和SWE Batch Wirefired这两个
[00:00:40 - 00:00:42] 在我们频道里也经常出现
[00:00:42 - 00:00:43] 但是实话说
[00:00:43 - 00:00:46] 这两个测试基准一直存在着一个比较大的局限性
[00:00:46 - 00:00:49] 那就是他们主要是针对于孤立任务进行测试的
[00:00:50 - 00:00:53] 很难反映出现实中软件工程师的复杂工作情况
[00:00:53 - 00:00:54] 大家想一想
[00:00:54 - 00:00:56] 现实里的软件工程师
[00:00:56 - 00:00:59] 它的工作基本上会覆盖到整个的技术站
[00:00:59 - 00:01:00] 也会设一道比较复杂的
[00:01:00 - 00:01:02] 跨代马库交互和全横
[00:01:02 - 00:01:05] 比如说要开发一款功能丰富的App
[00:01:05 - 00:01:07] 那么既要考虑到前端的界面设计
[00:01:07 - 00:01:08] 和用户的交互体验
[00:01:08 - 00:01:10] 又要处理后端的数据存储
[00:01:10 - 00:01:11] 服务器逻辑
[00:01:11 - 00:01:13] 以及与各种第三方服务的对接
[00:01:13 - 00:01:16] 还要确保不同模块之间的协同工作
[00:01:16 - 00:01:18] 避免出现兼容性方面的问题
[00:01:18 - 00:01:19] 而遗忘的基准测试
[00:01:19 - 00:01:22] 是无法全面模拟这样复杂场景的
[00:01:22 - 00:01:24] 也就难以准确的评估AI模型
[00:01:24 - 00:01:26] 在实际软件工程中的能力
[00:01:26 - 00:01:27] 为了解决这些问题
[00:01:27 - 00:01:29] 于是OpenAI推出了SWE Launcher
[00:01:30 - 00:01:31] 它是一个全新的
[00:01:31 - 00:01:33] 更加贴近于现实的基准测试
[00:01:33 - 00:01:35] 用来评估AI模型的编码性能
[00:01:35 - 00:01:37] 这个测试的数据级非常有特点
[00:01:38 - 00:01:39] 包含了来自于著名外包网站
[00:01:39 - 00:01:43] UPWalk的1488个自由软件工程任务
[00:01:43 - 00:01:46] 这些任务都来自于Expansify开源仓库
[00:01:46 - 00:01:49] 在现实世界中的总报价价值为100万美元
[00:01:49 - 00:01:52] 也就是说如果AI模型能够完美的完成这些任务
[00:01:52 - 00:01:55] 就相当于能像人类软件工程师一样
[00:01:55 - 00:01:56] 获得百万年薪
[00:01:56 - 00:01:58] 这无疑是对AI模型编码能力的一次
[00:01:58 - 00:02:00] 急剧挑战性的考验
[00:02:00 - 00:02:02] SWE Launcher基准测试
[00:02:02 - 00:02:04] 包含了两种主要的任务类型
[00:02:04 - 00:02:05] 分别是独立开发者
[00:02:05 - 00:02:08] ICWE任务和SWE管理任务
[00:02:08 - 00:02:11] ICWE任务一共有764个
[00:02:11 - 00:02:14] 价值414775美元
[00:02:14 - 00:02:16] 主要是来模拟个体软件工程师的职责
[00:02:16 - 00:02:18] 要求模型生成代码补钉
[00:02:18 - 00:02:19] 来解决实际的问题
[00:02:19 - 00:02:21] 比如说再处理一个
[00:02:21 - 00:02:24] 允许在原生设备上使用键盘快捷键的任务时
[00:02:24 - 00:02:27] 模型需要根据给出的问题文本描述
[00:02:27 - 00:02:29] 给出重现步骤期望行为
