BV号：BV1g86VYwECp
标题：BV1g86VYwECp
链接：https://www.bilibili.com/video/BV1g86VYwECp
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-30 21:55:17

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:03 - 00:00:05] 在科技行业蓬勃发展的当下
[00:00:05 - 00:00:07] 我们见证了无数创新与突破
[00:00:08 - 00:00:09] 但是与此同时
[00:00:09 - 00:00:11] 也潜藏着一些不法分子
[00:00:11 - 00:00:13] 利用高科技概念行骗的陷阱
[00:00:13 - 00:00:15] 今天大飞要给大家介绍的
[00:00:15 - 00:00:19] 就是在2024年发生了一起急剧迷惑性的商业骗局
[00:00:19 - 00:00:21] 极目银河事件
[00:00:21 - 00:00:25] 希望能够为即将求职或者正在职场奋斗的朋友们
[00:00:25 - 00:00:27] 提供一份实用的防炸指南
[00:00:27 - 00:00:30] 移幕银河曾经是上海的一家明星公司
[00:00:30 - 00:00:34] 声称要在AIGC、云计算等等前沿领域
[00:00:34 - 00:00:36] 豪置数十亿进行投资
[00:00:36 - 00:00:38] 一度吸引了众多求职者的目光
[00:00:38 - 00:00:40] 然而在2024年6月
[00:00:40 - 00:00:42] 这家公司却突然爆雷
[00:00:42 - 00:00:44] 其过程充满了戏剧性
[00:00:44 - 00:00:47] 公司的CEO陈群在租来的别墅中
[00:00:47 - 00:00:50] 留下了一封自白信之后人间蒸发
[00:00:50 - 00:00:52] 信中坦言自己是诈骗犯
[00:00:52 - 00:00:56] 而且公司竟然存在着高达62亿的资金缺口
[00:00:56 - 00:01:00] 这起事件让公司旗下的850多名员工陷入了困境
[00:01:00 - 00:01:02] 根据多名前员工透露
[00:01:02 - 00:01:05] 算上欠薪 赔偿 报销款等等
[00:01:05 - 00:01:09] 员工普遍被拖欠的金额大多在10万元以上
[00:01:09 - 00:01:11] 无奈之下他们都申请了个人的仲裁
[00:01:11 - 00:01:14] 但是由于案子已经被有关部门接管
[00:01:14 - 00:01:16] 目前也只能是交集的等待
[00:01:16 - 00:01:18] 而且不仅是员工遭殃
[00:01:18 - 00:01:22] 公司产业版图中的流浪猫基地也受到了牵连
[00:01:22 - 00:01:26] 吉姆銀河呈包的這家流浪貓基地位於上海奉獻
[00:01:26 - 00:01:28] 一年的租金高達200萬
[00:01:28 - 00:01:31] 高峰時期這裡收養了1000多隻流浪貓
[00:01:31 - 00:01:33] 但是在公司爆雷之後
[00:01:33 - 00:01:35] 基地的資金鏈邊臨斷裂
[00:01:35 - 00:01:38] 剩下的280隻貓一度面臨被棄養的風險
[00:01:38 - 00:01:40] 好在經過幾個月的努力
[00:01:40 - 00:01:43] 基地找到了新的資方來機盤
[00:01:43 - 00:01:46] 並且轉型為了寵物療癒品牌自然新生
[00:01:46 - 00:01:47] 大家可能會疑惑
[00:01:47 - 00:01:49] 這樣一家套殼公司
[00:01:49 - 00:01:51] 是如何吸引到大批背景良好
[00:01:51 - 00:01:53] 经验丰富的职场人家住的呢
[00:01:53 - 00:01:54] 接下来呢
[00:01:54 - 00:01:56] 我们就来深入剖析一下
[00:01:56 - 00:01:57] 极目银河的片数
[00:01:57 - 00:01:58] 片数一
[00:01:58 - 00:02:00] 虚张声势的CEO
[00:02:00 - 00:02:01] 造人社找背书
[00:02:01 - 00:02:03] 对于在行业内毫无知名度的
[00:02:03 - 00:02:04] 极目银河
[00:02:04 - 00:02:05] 及其创始人陈群来说
[00:02:05 - 00:02:08] 虚张声势成了他的惯用手段
[00:02:08 - 00:02:10] 许多员工在入职的时候
[00:02:10 - 00:02:12] 都听闻老板有红色的背景
[00:02:12 - 00:02:14] 甚至有一些更加具体的传言
[00:02:14 - 00:02:16] 比如说什么红三代啊
[00:02:16 - 00:02:18] 江苏某氏首富之子啊
[00:02:18 - 00:02:21] 经过某抗美援朝大将军大侨
[00:02:21 - 00:02:23] 招商隐私来创业等等等等
[00:02:23 - 00:02:24] 而在面试的时候
[00:02:24 - 00:02:26] HR还会隐晦的透露
[00:02:26 - 00:02:28] 陈群是身价几十亿的老板
[00:02:28 - 00:02:30] 资金方面毫无问题
[00:02:30 - 00:02:33] 让员工误以为公司只是低调形式
[00:02:33 - 00:02:35] 实际上这些光鲜的背景
[00:02:35 - 00:02:37] 都是陈群有意营造的人设
[00:02:37 - 00:02:40] 公司内部设有专门为高管买奖的小部门
[00:02:40 - 00:02:42] 在官方的宣传哲业上
[00:02:42 - 00:02:44] 陈群有着一系列虎人的头衔
[00:02:44 - 00:02:47] 比如说什么五次青年奖获得者
[00:02:47 - 00:02:50] 中国国际经济技术促进会荣誉会员
[00:02:50 - 00:02:54] 中国管理科学研究院行业发展研究所名誉所长
[00:02:54 - 00:02:56] 2014中国经济人物等等
[00:02:56 - 00:02:58] 但是经过查证
[00:02:58 - 00:03:00] 五四青年奖实际上并不存在
