BV号：BV1tcmTBQEQe
标题：BV1tcmTBQEQe
链接：https://www.bilibili.com/video/BV1tcmTBQEQe
识别语言：zh
语言置信度：1
分段数：765
生成时间：2026-08-29 22:03:31

[00:00:00 - 00:00:05] 谢谢 首先谢谢大家花着半小时时间来听我说这些不一定有用的话
[00:00:05 - 00:00:07] 非常感谢大家
[00:00:07 - 00:00:11] 坦说的说其实我本来我是不想来的
[00:00:11 - 00:00:13] 因为不知道该说什么
[00:00:13 - 00:00:16] 但是团队还是说应该来讲一下
[00:00:16 - 00:00:19] 为什么这么说呢
[00:00:19 - 00:00:24] 其实大家都知道可能上个月我们的HSD才刚刚SOP
[00:00:24 - 00:00:29] 所以我基本上整个人和团队是在工程模式
[00:00:29 - 00:00:30] 还没有切到所谓的思想模式
[00:00:30 - 00:00:34] 所以可能今天讲的很多东西可能也会比较零碎
[00:00:34 - 00:00:37] 但可能是整个这几年的过程中
[00:00:37 - 00:00:39] 那些实实在在的感悟
[00:00:39 - 00:00:41] 就看对大家有没有用了
[00:00:44 - 00:00:46] 对 我特意放了一个这个小图标
[00:00:47 - 00:00:49] 确确实实是去年
[00:00:49 - 00:00:52] 如果大家看过我们的产品年会的话
[00:00:52 - 00:00:54] 可能我讲的还挺多的
[00:00:54 - 00:00:54] 对吧
[00:00:54 - 00:00:55] 可能也没啥用
[00:00:55 - 00:00:55] 当然
[00:00:56 - 00:00:57] 但是今年确确实实是
[00:00:58 - 00:00:59] 做的过程中间
[00:00:59 - 00:01:01] 你会看到整个路径是比较清晰的
[00:01:01 - 00:01:05] 但是你会看到有更难的问题在前面
[00:01:05 - 00:01:07] 然后你知道这些问题能解掉
[00:01:07 - 00:01:09] 但是今天应该怎么解你还不知道
[00:01:09 - 00:01:12] 所以其实坦率的时候我有点无话可说
[00:01:12 - 00:01:14] 就是在这么一个状态里面
[00:01:19 - 00:01:21] 首先其实因为我刚刚从SOP里面
[00:01:21 - 00:01:23] 刚刚算是爬出来
[00:01:24 - 00:01:28] 所以我首先在讲自己的东西之前
[00:01:28 - 00:01:30] 我想对咱们这个行业里面
[00:01:30 - 00:01:34] 所有从事这个工作的同人们和同事们们
[00:01:34 - 00:01:36] 做一个致敬和感谢
[00:01:36 - 00:01:37] 因为为什么呢
[00:01:37 - 00:01:38] 我在想
[00:01:38 - 00:01:41] 其实从行业外来看的话
[00:01:41 - 00:01:42] 可能觉得
[00:01:42 - 00:01:44] 自动驾驶是一个很简单的事情
[00:01:44 - 00:01:44] 为什么呢
[00:01:44 - 00:01:46] 因为任何一个人
[00:01:46 - 00:01:50] 他可能学过一年的开车
[00:01:50 - 00:01:52] 那么他就会去开得挺好
[00:01:53 - 00:01:55] 但是对计算机来说他不是这样的
[00:01:55 - 00:01:56] 计算机其实你大家会发现
[00:01:56 - 00:01:59] 他跟人的能力正好是有点正交的
[00:01:59 - 00:02:00] 或者是反过来的
[00:02:00 - 00:02:02] 越是人觉得难的问题
[00:02:02 - 00:02:03] 计算机可能越是简单
[00:02:03 - 00:02:05] 比方说高等数学
[00:02:05 - 00:02:06] 比方说逻辑分析
[00:02:06 - 00:02:10] 但是越是人与生俱来的这种基本的技能
[00:02:10 - 00:02:12] 对计算机越难
[00:02:12 - 00:02:15] 开车其实已经比较接近一个基本技能了
[00:02:15 - 00:02:17] 如果再难的话就是你要说这家
[00:02:17 - 00:02:18] 我举个例子 千格合八蛋
[00:02:18 - 00:02:20] 这种比开车还要难
[00:02:20 - 00:02:21] 某个角度来讲
[00:02:21 - 00:02:24] 就是越是人的与生俱来的能力越难
[00:02:24 - 00:02:25] 所以反过来说
[00:02:25 - 00:02:27] 绝大多数的
[00:02:27 - 00:02:30] 行业外的人可能并不理解
[00:02:30 - 00:02:34] 自动驾驶团队大家面临的这种困难和压力
[00:02:34 - 00:02:35] 大多时候是不太理解的
[00:02:35 - 00:02:38] 其实我们自己干了这么多年了
[00:02:38 - 00:02:41] 其实是非常能体会的
[00:02:41 - 00:02:46] 它是智力和体力和肉体的这种双重压榨
[00:02:46 - 00:02:48] 极度痛苦
[00:02:48 - 00:02:50] 因为有SOP的时间压在哪
[00:02:50 - 00:02:53] 然后有方法论的变化在前面不确定
[00:02:53 - 00:02:55] 然后你的车每天在路上开的
[00:02:55 - 00:02:57] 但是会碰到各种hard case, quantum case
[00:02:57 - 00:02:59] 你肯定需要去解
[00:02:59 - 00:03:01] 因为你不能控制它在那儿不管
[00:03:01 - 00:03:02] 因为还是那个话
[00:03:02 - 00:03:03] 就是物理世界
[00:03:03 - 00:03:06] 你是没有资格去选择所谓的ODD的
[00:03:06 - 00:03:07] 就是哪些东西我可以不处理
[00:03:07 - 00:03:08] 你不可以这样做
[00:03:08 - 00:03:10] 因为那个车在物理世界的
[00:03:10 - 00:03:12] 一个丑秘的连续世界里面运行的时候
[00:03:12 - 00:03:13] 你所有的case都要能处理
[00:03:13 - 00:03:16] 这个就是必须要解所有的问题
[00:03:16 - 00:03:18] 这就是这个行业非常非常痛苦的地方
[00:03:19 - 00:03:26] 对
[00:03:26 - 00:03:27] 好 请放台话
[00:03:27 - 00:03:28] 对
[00:03:28 - 00:03:34] 我们其实如果看一下过去几年发生了什么是很有意思的
[00:03:34 - 00:03:38] 大家曾经在讲个小插曲
[00:03:38 - 00:03:42] 我刚刚开始准备加入体评线的时候
[00:03:42 - 00:03:46] 我跟于凯博士聊过几次
[00:03:46 - 00:03:48] 我当时跟他很坚决地表示
[00:03:48 - 00:03:50] 我不想再做自动驾驶了
[00:03:50 - 00:03:53] 我自动驾驶就玩意儿第一 太痛苦
[00:03:53 - 00:03:56] 第二 我感觉看不到太多的希望
[00:03:56 - 00:03:57] 为什么呢
