BV号：BV1Trw8z9EXt
标题：BV1Trw8z9EXt
链接：https://www.bilibili.com/video/BV1Trw8z9EXt
识别语言：zh
语言置信度：1
分段数：152
生成时间：2026-08-29 07:10:05

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你知道OpenAI去年亏了多少钱吗
[00:00:04 - 00:00:05] 大概50亿美元
[00:00:05 - 00:00:07] 但他们的收入是37亿
[00:00:07 - 00:00:09] 也就是说卖的越多 亏的越多
[00:00:09 - 00:00:11] 很多人觉得是不是模型太贵了
[00:00:11 - 00:00:13] 是不是训练成本太高了
[00:00:13 - 00:00:16] 不是 训练早就结束了
[00:00:16 - 00:00:19] 每次亏钱是在你问他问题的那一刻是推理
[00:00:19 - 00:00:21] 那问题来了 为什么推理这么贵
[00:00:21 - 00:00:23] AI不是已经很厉害了吗
[00:00:23 - 00:00:25] 芯片不是越来越强吗
[00:00:25 - 00:00:29] GPU的算力2012年到2022年长了80倍
[00:00:29 - 00:00:30] 但内存带宽呢?
[00:00:30 - 00:00:31] 只长了17倍
[00:00:31 - 00:00:33] 这个差距就是问题所在
[00:00:33 - 00:00:35] 这篇论文来头不小
[00:00:35 - 00:00:37] 还有一位David Patterson图灵奖得主
[00:00:37 - 00:00:40] 计算机体系结构领域的传奇人物
[00:00:40 - 00:00:43] 他们在2026年1月发表了这篇论文
[00:00:43 - 00:00:45] 被IEE Computer接收的核心观点
[00:00:45 - 00:00:46] 只有一句话
[00:00:46 - 00:00:48] 我们正在用为训练设计的
[00:00:48 - 00:00:49] 芯片跑推理
[00:00:49 - 00:00:51] 这是一个根本性的错误
[00:00:51 - 00:00:52] 关键点1
[00:00:52 - 00:00:54] 推理和训练根本不是一回事儿
[00:00:54 - 00:00:57] 训练AI是一个计算密集型任务
[00:00:57 - 00:01:00] 你需要大量的算力GPU就是为这个设计的
[00:01:00 - 00:01:03] 但推理不一样,推理是你问一个问题,它给你答案
[00:01:03 - 00:01:05] 这个过程卡在哪里?
[00:01:05 - 00:01:07] 不是算力是内存
[00:01:07 - 00:01:10] 每生成一个token模型都要从内存里读数据
[00:01:10 - 00:01:12] 读的慢就慢,读不过来就贵
[00:01:12 - 00:01:14] 这叫内存带宽平景
[00:01:14 - 00:01:15] 关键点二
[00:01:15 - 00:01:18] 五个趋势同时在让问题变得更糟
[00:01:18 - 00:01:20] 你可能会问以前不也这样吗?
[00:01:20 - 00:01:21] 以前还好
[00:01:21 - 00:01:24] 但现在有五件事同时在发生第一MOE模型
[00:01:24 - 00:01:28] 如Deepsea KV3有256个专家模块
[00:01:28 - 00:01:31] 每次推理要选几个激活内存需求爆炸式增长
[00:01:31 - 00:01:32] 第二推理模型
[00:01:32 - 00:01:36] GPT 5.4这类模型回答之前要先想
[00:01:36 - 00:01:38] 生成大量中间思考步骤
[00:01:38 - 00:01:40] token数量翻了几倍
[00:01:40 - 00:01:41] 第三朵模态
[00:01:41 - 00:01:43] 现在的模型不只处理文字
[00:01:43 - 00:01:46] 图片音频视频数据量远超文本
[00:01:46 - 00:01:47] 第四场上下文
[00:01:47 - 00:01:49] 上下文窗口越来越长
[00:01:49 - 00:01:50] KV缓存压力越来越大
[00:01:50 - 00:01:52] 内存占用越来越高
[00:01:52 - 00:01:53] 第五reg
[00:01:53 - 00:01:56] 很多应用会把外部知识库塞进上下文
[00:01:56 - 00:01:58] 每次请求都要多读很多数据
[00:01:58 - 00:02:01] 五个趋势全都在增加内存压力
[00:02:01 - 00:02:03] 全都在让推理更贵
[00:02:03 - 00:02:06] 现在主流的解决方案是HBM
[00:02:06 - 00:02:07] 高带宽内存
[00:02:07 - 00:02:09] 但这里有个很离谱的地方
[00:02:09 - 00:02:11] HBM的成本不是在降低
[00:02:11 - 00:02:12] 是在上涨
[00:02:12 - 00:02:13] 而且容量有限
[00:02:13 - 00:02:16] 一块GP HPM最多几十GB
[00:02:16 - 00:02:18] 但大模型动辄几百GB
[00:02:18 - 00:02:20] 装不下
[00:02:20 - 00:02:22] 装不下就要切分到多块GPU
[00:02:22 - 00:02:23] 多快GPU就要通信
[00:02:23 - 00:02:24] 通信就有延迟
[00:02:24 - 00:02:25] 延迟就更贵
[00:02:26 - 00:02:27] 关键来了
[00:02:27 - 00:02:28] 很多人觉得解决方案就是
[00:02:29 - 00:02:30] 做更大的芯片
[00:02:30 - 00:02:31] 更多的flops
[00:02:31 - 00:02:31] 更快的GPU
[00:02:32 - 00:02:33] 但这篇论文说
[00:02:33 - 00:02:34] 这个方向是错的
[00:02:34 - 00:02:36] 你家再多算了也没用
[00:02:36 - 00:02:37] 因为瓶颈根本不再计算
[00:02:37 - 00:02:39] 瓶颈在内存
[00:02:39 - 00:02:40] 更准确的说在内存带宽
[00:02:40 - 00:02:42] 有两家公司已经踩过这个坑了
