BV号：BV1PiXaBYEfj
标题：BV1PiXaBYEfj
链接：https://www.bilibili.com/video/BV1PiXaBYEfj
识别语言：zh
语言置信度：1
分段数：227
生成时间：2026-08-29 20:20:21

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 这两年只要讨论到AI编程
[00:00:04 - 00:00:06] 整个科技圈都在贩卖一种焦虑
[00:00:06 - 00:00:08] 并且给出了一个看似完美的解法
[00:00:08 - 00:00:11] AI时代程序员只会写代码是不行的
[00:00:11 - 00:00:14] 你必须升级成提问者或者当一个AI监工
[00:00:14 - 00:00:16] 但我今天想告诉你
[00:00:16 - 00:00:18] 这是一个巨大的陷阱 为什么
[00:00:18 - 00:00:19] 因为当所有人都会提问时
[00:00:19 - 00:00:21] 提问本身就不值钱了
[00:00:21 - 00:00:24] 如果你只是把写代码的活外包给AI
[00:00:24 - 00:00:26] 自己当个发号失令的监工
[00:00:26 - 00:00:28] 那么随着模型越来越聪明
[00:00:28 - 00:00:32] 你这个中间商迟早会被更高级的 AI
[00:00:32 - 00:00:33] 或者更便宜的监工取代
[00:00:33 - 00:00:37] 真正的顶级程序员从来不是靠分配任务活着的
[00:00:37 - 00:00:39] 他们的核心壁垒是降为打击
[00:00:39 - 00:00:40] 把模糊的
[00:00:40 - 00:00:42] 充满噪音的现实世界
[00:00:42 - 00:00:45] 拆解成 AI 能够完美执行的确定性结构
[00:00:45 - 00:00:48] 这时候我想起了一本80年前的书
[00:00:48 - 00:00:52] 1945年有一位叫喬治·玻利亚的数学家
[00:00:52 - 00:00:55] 写了一本神作叫《怎样解题?How do you solve it?》
[00:00:55 - 00:00:59] 很多人以为这是一本叫中学生做数学题的辅导书
[00:00:59 - 00:01:01] 但如果你今天重新翻开它
[00:01:01 - 00:01:02] 你会震惊地发现
[00:01:02 - 00:01:05] 它早在现代软件工业诞生之前
[00:01:05 - 00:01:09] 就把AI时代程序员的生存法则写得清清楚楚
[00:01:09 - 00:01:12] 《玻利亚》在书里提出了一个经典的解提四步法
[00:01:12 - 00:01:16] 理解问题 制定计划 执行计划 回顾检查
[00:01:16 - 00:01:18] 听起来是不是像一句正确的废话
[00:01:18 - 00:01:20] 但今天我们要把这四个步骤
[00:01:20 - 00:01:24] 从数学领域硬核硬设到2026年的软件工程里
[00:01:24 - 00:01:26] 你会发现这根本不是四个普通的步骤
[00:01:26 - 00:01:29] 而是四种强大的认知脚手架
[00:01:29 - 00:01:32] 我把他们称为《玻利亚》的四张底牌
[00:01:32 - 00:01:32] 分别是
[00:01:32 - 00:01:36] 《矛盾边界设计回录灰度验证系统折叠》
[00:01:36 - 00:01:39] 这四张底牌不是教你怎么给AI打工
[00:01:39 - 00:01:42] 而是教你怎么把AI变成你的算力放大器
[00:01:42 - 00:01:44] 先说一下《玻利亚》是谁
[00:01:44 - 00:01:45] 乔治《玻利亚》
[00:01:45 - 00:01:47] 1887年生于匈牙利布达佩斯
[00:01:47 - 00:01:49] 后来在斯坦福大学任教
[00:01:49 - 00:01:52] 它是20世纪最重要的数学家之一
[00:01:52 - 00:01:55] 在概率论组和数学等领域都有电机性贡献
[00:01:55 - 00:01:58] 但让它真正被全世界记住的
[00:01:58 - 00:02:00] 是1945年出版的《怎样解题》
[00:02:00 - 00:02:02] 这本书不是讲数学技巧
[00:02:02 - 00:02:03] 而是在讲
[00:02:03 - 00:02:06] 一个聪明的人是怎么系统性的解决任何复杂问题的
[00:02:06 - 00:02:09] 它出版至今已受出超过100万册
[00:02:09 - 00:02:11] 被翻译成17种语言
[00:02:11 - 00:02:15] 至今仍是全球顶尖大学计算机科学系的推荐读物
[00:02:15 - 00:02:18] 为什么一本1945年的数学书在2026年的AI时代
[00:02:18 - 00:02:21] 反而比以往任何时候都更有价值
[00:02:21 - 00:02:23] 因为玻利亚解决的从来不是数学问题
[00:02:23 - 00:02:27] 它解决的是人类在面对复杂性时的思维困境
[00:02:27 - 00:02:30] 而这个困境在AI时代只会更加严峻
[00:02:30 - 00:02:31] 不会减轻
[00:02:31 - 00:02:33] 玻利亚的第一步叫理解问题
[00:02:33 - 00:02:35] 它说你必须弄清楚未知数是什么
[00:02:35 - 00:02:37] 以知数据是什么
[00:02:37 - 00:02:38] 条件是什么
[00:02:38 - 00:02:40] 条件是否足以确定未知数
[00:02:40 - 00:02:41] 在AI时代
[00:02:41 - 00:02:42] 这对应的是第一张底牌
[00:02:42 - 00:02:44] 锚定边界
[00:02:44 - 00:02:47] 很多人用AI写代码习惯上来就甩一句
[00:02:47 - 00:02:49] 给我写个高并发的登陆接口
[00:02:49 - 00:02:52] 然后AI花拉吐出几百行代码你已跑爆错了
[00:02:52 - 00:02:53] 为什么
[00:02:53 - 00:02:55] 因为你没有锚定边界AI最大的弱点
[00:02:55 - 00:02:59] 就是它会在你没有定义清楚的地方疯狂产生幻觉
[00:02:59 - 00:03:01] 如果你一开始的问题是模糊的
[00:03:01 - 00:03:04] AI就会把错误放大的非常快
[00:03:04 - 00:03:06] 顶级程序员在唤醒AI之前
[00:03:06 - 00:03:08] 会先做一件事
[00:03:08 - 00:03:09] 把业务语言
[00:03:09 - 00:03:11] 翻译成确定性的工程约束
[00:03:11 - 00:03:13] 这个接口的QPS预期是多少
[00:03:13 - 00:03:15] 降级策略是什么
[00:03:15 - 00:03:17] 依赖的下游服务超时时间是多少
[00:03:17 - 00:03:19] 哪些是核心链路必须保证的
[00:03:19 - 00:03:21] 哪些是边缘逻辑可以妥协的
[00:03:21 - 00:03:23] 以前没有AI的时候
[00:03:23 - 00:03:26] 问题定义不清最多是你自己多绕一点路
[00:03:26 - 00:03:27] 但有了AI之后
[00:03:27 - 00:03:30] 问题定义不清会让你光速走错路
[00:03:30 - 00:03:32] 锚定边界就是给AI的狂奔
[00:03:32 - 00:03:34] 画上一条不可逾越的底线
[00:03:34 - 00:03:36] 玻利亚的第二步叫制定计划
[00:03:36 - 00:03:39] 它说找出已知数据与未知数之间的联系
[00:03:39 - 00:03:41] 如果找不到直接联系
[00:03:41 - 00:03:43] 你可能需要考虑辅助问题
[00:03:43 - 00:03:45] 最终你要得出一个求解的计划
[00:03:45 - 00:03:48] 在AI时代,这对应的是第二张底牌,设计回录
[00:03:48 - 00:03:52] 现在很多人对AI编程的理解,还停留在单次对话的层面
[00:03:52 - 00:03:55] 我提一个需求,AI给我一个完整项目
[00:03:55 - 00:03:59] 这叫 Vibe Coding,听起来很酷,但只适合做玩具
[00:03:59 - 00:04:04] 在真实的工业级开发中,Anthropic对50万条编程交互的分析显示
[00:04:04 - 00:04:08] 真正高效的模式是 Feedback Loop,反馈回录
[00:04:08 - 00:04:10] 顶级程序员不再是自己一行行写代码
[00:04:10 - 00:04:13] 而是变成了一个工作流设计师
[00:04:13 - 00:04:15] 你要思考的不是这个函数怎么写
[00:04:15 - 00:04:17] 而是这个庞大的系统
[00:04:17 - 00:04:19] 该怎么拆解成10个微小的上下文
[00:04:19 - 00:04:21] 第一步让AI生成股价
[00:04:21 - 00:04:24] 第二步让人类确认接口
[00:04:24 - 00:04:25] 第三步让AI填充逻辑
[00:04:25 - 00:04:28] 第四步让AI生成测试用力
[00:04:28 - 00:04:29] 你不是在写代码
