BV号：BV1poXbBHE5S
标题：BV1poXbBHE5S
链接：https://www.bilibili.com/video/BV1poXbBHE5S
识别语言：zh
语言置信度：1
分段数：146
生成时间：2026-08-29 07:12:25

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 今天我们来硬核拆解Google刚刚发布的一篇重磅论文TurboQuant
[00:00:06 - 00:00:08] 目前网上对这项技术的解读很多
[00:00:08 - 00:00:10] 但不少都偏离了重点
[00:00:10 - 00:00:13] 甚至误解了它真正提升速度的底层逻辑
[00:00:13 - 00:00:17] 今天 我尽量剥离复杂的公式用最直白的语言
[00:00:17 - 00:00:19] 把这项技术的本质讲透
[00:00:19 - 00:00:22] 在聊TurboQuant之前 我们需要先理清一个概念
[00:00:22 - 00:00:23] KVcash
[00:00:23 - 00:00:27] 大模型生成文字是典型的自回归过程
[00:00:27 - 00:00:28] 字是一个一个蹦出来的
[00:00:28 - 00:00:30] 为了避免每生成一个新字
[00:00:30 - 00:00:33] 都要把前面所有的对话重新计算一遍
[00:00:33 - 00:00:35] 科学家引入了KVcash
[00:00:35 - 00:00:38] 你可以把它理解为大模型的记忆缓存
[00:00:38 - 00:00:41] 里面存储着之前所有上下文的特征状态
[00:00:41 - 00:00:43] 但这带来了一个致命问题
[00:00:43 - 00:00:44] 随着对话越来越长
[00:00:44 - 00:00:47] 这个记忆缓存会变得极其庞大
[00:00:47 - 00:00:49] 最终拖慢整个推理速度
[00:00:49 - 00:00:52] 我们不妨把KVcash想象成一个三维的数据矩阵
[00:00:52 - 00:00:55] 它有长、高、宽、三个维度
[00:00:55 - 00:00:57] 长代表上下文长度
[00:00:57 - 00:00:58] context length
[00:00:58 - 00:01:00] 对话越长,数据越多
[00:01:00 - 00:01:02] 高,代表特征维度
[00:01:02 - 00:01:03] Hidden State
[00:01:03 - 00:01:07] 也就是模型对每个词状态的特征表达大小
[00:01:07 - 00:01:09] 宽代表数据精度,BitWiz
[00:01:09 - 00:01:11] 也就是这些特征数据
[00:01:11 - 00:01:15] 到底保留几位小数,比如常见的FP16或BFE6
