BV号：BV18cRnByEat
标题：BV18cRnByEat
链接：https://www.bilibili.com/video/BV18cRnByEat
识别语言：zh
语言置信度：1
分段数：221
生成时间：2026-08-29 17:19:49

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 你可能听过无数次这样的论调
[00:00:03 - 00:00:05] AI会导致大量失业
[00:00:05 - 00:00:06] 程序源会被替代
[00:00:06 - 00:00:09] 传统岗位将面临灭顶之灾
[00:00:09 - 00:00:11] 但Box CEO Aaron Levy最近的一番话
[00:00:11 - 00:00:13] 可能会彻底颠覆你的认知
[00:00:13 - 00:00:14] 过去两年
[00:00:14 - 00:00:17] 全球不仅没有出现大规模失业潮
[00:00:17 - 00:00:20] 反而新增了130万个AI相关岗位
[00:00:20 - 00:00:22] 但这些岗位和你想象的完全不一样
[00:00:22 - 00:00:25] 如果AI真的能自动化那么多工作
[00:00:25 - 00:00:27] 为什么岗位数量还在增加
[00:00:27 - 00:00:29] 到底哪些传统岗位会真正消失
[00:00:29 - 00:00:32] 又会新增哪些不同级别的AI岗位
[00:00:32 - 00:00:34] 更重要的是现在硅谷最火的
[00:00:34 - 00:00:39] 预计将产生50万到100万个缺口的神秘新岗位
[00:00:39 - 00:00:41] AI agent的操作员到底是干什么呢?
[00:00:41 - 00:00:43] 普通人又该如何抓住这个机会
[00:00:43 - 00:00:47] 今天我们就来看一下AI时代的就业真相
[00:00:47 - 00:00:49] 在之前一期视频里我提到了一个数据
[00:00:49 - 00:00:54] 科技巨头裁员5万全球却新增了130万个AI岗位
[00:00:54 - 00:00:56] 当时评论区提出了意义
[00:00:56 - 00:00:57] 很多敏銳的網友指出
[00:00:57 - 00:01:00] 這5萬是備財的高薪核心崗位
[00:01:00 - 00:01:04] 而那130萬很可能是AI生態衍生出來的低薪常維崗位
[00:01:04 - 00:01:06] 比如數據標註源
[00:01:06 - 00:01:09] 兩者在人才結構和薪資能級上完全不對等
[00:01:09 - 00:01:11] 放在一起對比有誤導的先宜
[00:01:11 - 00:01:13] 大家的質疑非常精準
[00:01:13 - 00:01:15] 這確實是一個統計陷阱
[00:01:15 - 00:01:16] 所以這期視頻
[00:01:16 - 00:01:18] 我們不玩數字遊戲
[00:01:18 - 00:01:21] 我們來解讀這130萬個崗位到底是什麼
[00:01:21 - 00:01:24] 根據Linting在2026年1月發布的最新報告
[00:01:24 - 00:01:26] 这130万个新增岗位中
[00:01:26 - 00:01:28] 确实有超过60万个
[00:01:28 - 00:01:31] 是AI数据中心相关的运萎岗位
[00:01:31 - 00:01:32] 以及大量的数据
[00:01:32 - 00:01:33] 标注源
[00:01:33 - 00:01:35] 这些确实无法直接承接
[00:01:35 - 00:01:37] 被裁掉的资深工程师和产品经理
[00:01:37 - 00:01:40] 但是如果你以为AI只创造了低端岗位
[00:01:40 - 00:01:41] 那就错了
[00:01:41 - 00:01:43] Box CEO Aaron Livy
[00:01:43 - 00:01:45] 在最近的深度访谈中指出
[00:01:45 - 00:01:47] 大家对AI就业的看法太短视了
[00:01:47 - 00:01:51] 他认为AI并没有把人类从工作循环中移除
[00:01:51 - 00:01:54] 他只是改变了人类进入这个循环的位置
[00:01:54 - 00:01:57] 真正高薪高壁壘的新崗位正在瘋狂湧現
[00:01:57 - 00:01:58] 只是他們換了一個名字
[00:01:58 - 00:02:00] 換了一個戰場
[00:02:00 - 00:02:01] 為了看清這個趨勢
[00:02:01 - 00:02:04] 我們需要從三個關鍵維度進行主層分析
[00:02:04 - 00:02:05] 第一個維度
[00:02:05 - 00:02:06] 哪些崗位在消失
[00:02:06 - 00:02:08] 哪些在增加
[00:02:08 - 00:02:11] 很多人以為 AI 會替代那些高端的腦力勞動者
