BV号：BV1MFPReTECW
标题：BV1MFPReTECW
链接：https://www.bilibili.com/video/BV1MFPReTECW
识别语言：zh
语言置信度：1
分段数：359
生成时间：2026-08-30 17:15:43

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 如今大原模型的参数规模是越来越大了
[00:00:05 - 00:00:09] 像GPT3这样拥有1750亿参数的巨无霸
[00:00:09 - 00:00:12] 虽然能展现出惊人的智能水平
[00:00:12 - 00:00:15] 但是对硬件资源的要求也是高的离谱
[00:00:15 - 00:00:18] 即便是在IP16的精度下
[00:00:18 - 00:00:20] 也需要325GB的存储空间
[00:00:20 - 00:00:25] 而推理的时候至少得用5张80GB显存的A100GPU
[00:00:25 - 00:00:29] 想要在移动嵌入式设备这些资源有限的场景下
[00:00:29 - 00:00:32] 运行这样的大帽型更是天方夜谈
[00:00:32 - 00:00:34] 为了在保持模型能力的同时
[00:00:34 - 00:00:36] 给这些巨无霸受伸
[00:00:36 - 00:00:39] 于是就产生了模型压缩技术
[00:00:39 - 00:00:41] 今天咱们就来简单聊一聊
[00:00:41 - 00:00:43] 模型压缩的四大核心技术
[00:00:43 - 00:00:45] 量化简直争留和二直化
[00:00:46 - 00:00:49] 提前声明本期视频只是普及基础性的知识
[00:00:49 - 00:00:52] 不涉嫉到复达的论文解读或者是公式推导
[00:00:52 - 00:00:55] 专业人士或者是已经非常了解的观众
[00:00:55 - 00:00:56] 可以直接跳过本视频
[00:00:57 - 00:00:58] 我们刚才已经说过
[00:00:58 - 00:01:01] 其实模型压缩的目标很明确
[00:01:01 - 00:01:04] 就是在保证性能不怎么下降的前提下
[00:01:04 - 00:01:08] 大幅的减少大型预讯量模型的存储空间和计算量
[00:01:08 - 00:01:11] 一方面我们要考虑把模型的存储空间
[00:01:11 - 00:01:14] 从Gb甚至Tb压缩到照b甚至更小
[00:01:15 - 00:01:17] 另一方面要降低模型的计算负达度
[00:01:18 - 00:01:20] 减少浮电运算次数flops
[00:01:20 - 00:01:21] 让模型的推理速度更快
[00:01:22 - 00:01:24] 同时还有优化模型的结构
[00:01:24 - 00:01:27] 让它能够更好的适配GPU NPU等等硬件设备
[00:01:27 - 00:01:30] 提高资源的利用率降低能耗
[00:01:30 - 00:01:31] 最重要的是
[00:01:31 - 00:01:33] 压缩后的模型在实际应用中
[00:01:33 - 00:01:36] 得和原来的大模型性能差不多才行
[00:01:36 - 00:01:38] 不能减肥之后就变得几乎利了
[00:01:39 - 00:01:40] 有了目标之后
[00:01:40 - 00:01:42] 接下来我们就来了解一下具体的技术
[00:01:43 - 00:01:44] 首先说量化
[00:01:44 - 00:01:47] 量化在模型压缩里可以说是关键的一环
[00:01:47 - 00:01:49] 它的核心原理是减少
[00:01:49 - 00:01:52] 表示每个权重所需要的比特数
[00:01:52 - 00:01:54] 在传统的深度学习模型里
[00:01:54 - 00:01:56] 权重通常是用数字
[00:01:56 - 00:01:58] 比如说32位的辅典数来存储的
[00:01:58 - 00:02:01] 但是这就好比是用一个大箱子
[00:02:01 - 00:02:02] 来装一个小物体
[00:02:02 - 00:02:04] 计算地方计算起来也麻烦
[00:02:04 - 00:02:07] 而量化就像是把这些大箱子
[00:02:07 - 00:02:08] 换成合适的小盒子
[00:02:08 - 00:02:11] 把辅典数全重转换为8位
[00:02:11 - 00:02:13] 4位 甚至1位的整数
[00:02:13 - 00:02:13] 这样一来
[00:02:13 - 00:02:15] 模型的存储空间和计算量
[00:02:15 - 00:02:17] 都能够大幅的减少
[00:02:17 - 00:02:19] 根据饭货客等人的研究
[00:02:19 - 00:02:20] 8位参数量化
[00:02:20 - 00:02:22] 在损失最小精度的情况下
[00:02:22 - 00:02:24] 可以把模型的存储空间
[00:02:24 - 00:02:26] 压缩到原来的四分之一
[00:02:26 - 00:02:28] 计算的复杂度也会大大降低
[00:02:28 - 00:02:30] 因为低精度的整数运算
[00:02:30 - 00:02:32] 比辅典数的运算要高效得多
[00:02:32 - 00:02:34] 那量化的方法主要有三类
[00:02:34 - 00:02:36] 分别是训练后量化
[00:02:36 - 00:02:39] 量化感知训练和量化感知微调
[00:02:39 - 00:02:41] 训练后量化的操作比较简单
[00:02:41 - 00:02:42] 模型训练完之后
[00:02:42 - 00:02:44] 直接对权重进行量化
[00:02:44 - 00:02:46] 像谷歌的TanzFloLight
[00:02:46 - 00:02:47] 就提供了这样的工具
[00:02:47 - 00:02:51] 可以把32位辅典的权重量化成8位整数
[00:02:51 - 00:02:53] 轻松的减少模型的存储空间
[00:02:53 - 00:02:55] 但是它有一个缺点
[00:02:55 - 00:02:58] 就是由于量化的时候没有考虑到训练中的动态变化
[00:02:58 - 00:03:00] 所以可能会让模型的精度下降
[00:03:00 - 00:03:05] 而量化感知训练则是在模型训练过程中就引入量化操作
[00:03:05 - 00:03:08] 让模型提前适应低精度的表示形式
[00:03:08 - 00:03:11] 英伟达的Tanser RT就支持这种方法
[00:03:11 - 00:03:13] 可以在训练的时候模拟量化
[00:03:13 - 00:03:16] 从而让模型在量化之后还能够保持较好的性能
[00:03:16 - 00:03:19] 不过这种方法的训练过程更为复杂
[00:03:19 - 00:03:20] 需要更多的计算资源
[00:03:20 - 00:03:24] 而练化感知微调则是基于预训练模型进行微调
[00:03:24 - 00:03:26] 同时加入练化操作
[00:03:26 - 00:03:30] 这种方法结合了预训练模型的优势和练化技术的高效性
[00:03:30 - 00:03:32] 在一些自然语言处理任务中
[00:03:32 - 00:03:37] 研究人员经常会在预训练的Bort模型上进行练化感知微调
[00:03:37 - 00:03:39] 它能够快速地适应特定的任务
[00:03:39 - 00:03:41] 减少存储和计算开销
[00:03:41 - 00:03:45] 但是性能上可能比不上从头开始训练的练化感知训练模型
[00:03:45 - 00:03:48] 应该说练化技术的优势是很明显的
[00:03:48 - 00:03:51] 它能够显著的减少存储空间
[00:03:51 - 00:03:54] 像一位量化甚至能够减少到原来的32分之一
[00:03:54 - 00:03:56] 计算效率也能够大大提升
[00:03:56 - 00:04:00] 比如说8位量化能够在不明显降低精度的情况下
[00:04:00 - 00:04:02] 把推理速度提升2-3倍
[00:04:02 - 00:04:05] 相应的能耗也会跟着降低
[00:04:05 - 00:04:07] 从而让移动和嵌入式设备续航更久
[00:04:07 - 00:04:11] 而且量化后的模型在GPU、NPU这些硬件上
[00:04:11 - 00:04:12] 也能够运行得更好
[00:04:12 - 00:04:15] 充分发挥硬件的并行计算能力
[00:04:15 - 00:04:17] 但是量化也有它的局限性
[00:04:17 - 00:04:19] 首先精度损失就是一个大问题
[00:04:19 - 00:04:23] 尤其是使用一位或者两位这种低精度练画的时候
[00:04:23 - 00:04:24] 精度会下降很多
[00:04:24 - 00:04:28] 其次不同模型对于练画的敏感度也不一样
[00:04:28 - 00:04:30] 有些模型练画之后性能依然出色
[00:04:30 - 00:04:32] 有些却会大幅下降
[00:04:32 - 00:04:35] 另外像练画杆之训练和练画杆之微调
[00:04:35 - 00:04:37] 还得去修改训练的过程
[00:04:37 - 00:04:40] 从而增加了训练的难度和计算资源的需求
[00:04:40 - 00:04:42] 而且从实际情况来看
[00:04:42 - 00:04:45] 虽然现在硬件对于低精度的运算的支持好了很多了
[00:04:45 - 00:04:48] 但是还是有部分的硬件平台
[00:04:48 - 00:04:50] 对于量化模型的支持不够完善
[00:04:50 - 00:04:52] 接着我们来讲一讲简直
[00:04:52 - 00:04:55] 简直的原理是去除神经网络中不重要的连接
[00:04:55 - 00:04:56] 或者是神经元
[00:04:57 - 00:04:58] 神经网络在训练的时候
[00:04:58 - 00:05:00] 就像一个人在学习知识
[00:05:00 - 00:05:02] 难免会记住一些荣誉的信息
[00:05:02 - 00:05:04] 这些对最终结果影响不大的部分
[00:05:04 - 00:05:05] 其实就可以去掉
[00:05:05 - 00:05:07] 从而达到压缩模型的目的
[00:05:08 - 00:05:09] 像韩松等人就提出了
[00:05:09 - 00:05:11] 基于权重重要性的简直方法
[00:05:11 - 00:05:14] 通过分析权重对模型输出的影响
[00:05:14 - 00:05:16] 把那些影响小的权重剪掉
[00:05:16 - 00:05:18] 再不怎么降低模型性能的同时
