BV号：BV1ctMt6TEKk
标题：BV1ctMt6TEKk
链接：https://www.bilibili.com/video/BV1ctMt6TEKk
识别语言：zh
语言置信度：1
分段数：266
生成时间：2026-08-29 10:37:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 想象一下 你的大脑就像一片大海
[00:00:05 - 00:00:07] 海面上是你的意识思想
[00:00:07 - 00:00:10] 晚餐计划 闲散的忧虑 脑海中浮现的画面
[00:00:10 - 00:00:13] 但大脑的大部分活动发生在无意识的深处
[00:00:13 - 00:00:15] 我们根本没有意识到
[00:00:15 - 00:00:17] 它在过滤背景声音
[00:00:17 - 00:00:19] 控制呼吸帮助我们识别人脸和物体
[00:00:19 - 00:00:21] AI模型也有他们自己的大脑
[00:00:21 - 00:00:24] 巨大的神经网络在幕后进行数十亿次计算
[00:00:24 - 00:00:27] 这个问题一直困扰的研究人员
[00:00:27 - 00:00:29] AI模型会不会也有类似的分界线
[00:00:29 - 00:00:31] 有没有可能在这些计算的表面之下
[00:00:31 - 00:00:34] 也存在某种有意识可及的思想
[00:00:34 - 00:00:35] 和无意识的自动处理
[00:00:35 - 00:00:37] 2026年7月6日
[00:00:37 - 00:00:40] Anthropic的研究团队发布了一篇硬核论文
[00:00:40 - 00:00:43] 呈现了一组证据表明Cloud内部存在
[00:00:43 - 00:00:45] 一个类似人类大脑工作空间的结构
[00:00:45 - 00:00:48] 这不仅是AI可解释性研究的里程碑
[00:00:48 - 00:00:51] 更是我们理解AI本质的一次重大突破
[00:00:51 - 00:00:54] 作为开发者我们在写提示词的时候
[00:00:54 - 00:00:57] 经常会用一招让模型一步步思考
[00:00:57 - 00:00:58] Chain of Thought
[00:00:58 - 00:01:01] 你只要加上这句话,模型的逻辑推理能力就会爆炸
[00:01:01 - 00:01:05] 这招履时不爽,几乎成了所有AI开发者的基本功
[00:01:05 - 00:01:09] 但我经常在想为什么,大模型在吐出token之前
[00:01:09 - 00:01:11] 内部多层transformer到底在干什么
[00:01:11 - 00:01:13] 难道他在不输出任何文字的时候
[00:01:13 - 00:01:16] 就完全没有内部思考的机制吗?
[00:01:16 - 00:01:19] 如果他有内部表征,我们能不能把它读出来?
[00:01:19 - 00:01:21] 一直以来大模型对我们来说就是一个黑盒
[00:01:21 - 00:01:24] 我们只能看到他输入了什么?
[00:01:24 - 00:01:26] 输出了什么中间的过程完全是个米
[00:01:26 - 00:01:29] 就像你面对一个员工,你只知道派活和收获
[00:01:29 - 00:01:32] 根本不知道他工作时脑子里在盘算什么
[00:01:32 - 00:01:35] 但现在这个黑盒被硬生生地打开了一条缝
[00:01:35 - 00:01:39] 我们终于有机会亏谈大模型在沉默时的内部表征
[00:01:39 - 00:01:42] 这对于理解AI的本质和确保AI的安全
[00:01:42 - 00:01:43] 意义极其重大
[00:01:43 - 00:01:45] 在深入这篇论文之前
[00:01:45 - 00:01:48] 我们需要先建议一个神经科学里的概念
[00:01:48 - 00:01:49] 全局工作空间理论
[00:01:49 - 00:01:51] Global Walkspace Theory
[00:01:51 - 00:01:54] 简单来说我们的大脑里有很多并行的系统
[00:01:54 - 00:01:56] 他们在无意识地处理大量信息
[00:01:56 - 00:01:58] 比如你现在正在听我说话
[00:01:58 - 00:02:01] 同时你的视觉系统在处理屏幕上的光影
[00:02:01 - 00:02:03] 脑杆维持着呼吸结率
