BV号：BV14Lgh6fEvk
标题：BV14Lgh6fEvk
链接：https://www.bilibili.com/video/BV14Lgh6fEvk
识别语言：zh
语言置信度：1
分段数：251
生成时间：2026-08-29 19:08:22

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] Cursor最近公布了一组内部风群实验
[00:00:04 - 00:00:08] 让多PAI智能体再拿不到SQ Lite原码
[00:00:08 - 00:00:11] 测试套件 执行文件和互联网的情况下
[00:00:11 - 00:00:15] 只根据835页文档用REST实现一个数据库引擎
[00:00:15 - 00:00:16] 在新版风群中
[00:00:16 - 00:00:21] 全部使用GPT 5.5的配置花费了10565美元
[00:00:21 - 00:00:25] 让Opa4.8负责规划Compose 2.5负责执行
[00:00:25 - 00:00:29] 只花了1339美元成本相差约7.9倍
[00:00:29 - 00:00:30] 两种配置最终都通过了
[00:00:30 - 00:00:33] Cursor保留的CoreLogic Test
[00:00:33 - 00:00:36] 但这个成绩只代表查询结果正确性
[00:00:36 - 00:00:39] 不能等同于完整复制生产级SQ Lite
[00:00:39 - 00:00:43] 真正值得讨论的是模型分工和风群基础设施
[00:00:43 - 00:00:45] 为什么会造成这么大的成本差异
[00:00:45 - 00:00:47] 现在很多团队都在做Agent
[00:00:47 - 00:00:49] 想让AI自动把需求变成代码
[00:00:49 - 00:00:51] 但你肯定遇到过这种情况
[00:00:51 - 00:00:53] 一旦任务变复杂
[00:00:53 - 00:00:55] AI就开始胡言乱语或者陷入死循环
[00:00:55 - 00:00:57] 为了解决这个问题
[00:00:57 - 00:01:00] 大家都在拼命把大模型的上下文窗口搞大
[00:01:00 - 00:01:02] 或者让它同时处理更多任务
[00:01:02 - 00:01:05] 但Cursor这篇文章告诉我们方向可能搞反了
[00:01:05 - 00:01:08] 当AI真正开始像团队一样协作时
[00:01:08 - 00:01:11] 会遇到人类工程师根本想象不到的灾难
[00:01:11 - 00:01:14] 故事要从Cursor的一个风群项目说起
[00:01:14 - 00:01:16] 他们把大任务拆成一棵树
[00:01:16 - 00:01:19] 最强的大模型做规划器只负责分解任务
[00:01:19 - 00:01:23] 速度快便宜的模型做工人只负责写具体的代码
[00:01:23 - 00:01:25] 这就好比架构师画图纸
[00:01:25 - 00:01:27] 初级程序员写业务逻辑
[00:01:27 - 00:01:29] 听起来很美好
[00:01:29 - 00:01:31] 但当几百倍AI同时开工时
[00:01:31 - 00:01:33] 现有的工具直接遇到了瓶颈
[00:01:33 - 00:01:36] 此前基于Gate的浏览器风群
[00:01:36 - 00:01:38] 峰值约为每小时1000次提交
[00:01:38 - 00:01:41] Cursor新系统的峰值提高到约每秒1000次
[00:01:41 - 00:01:45] 为了承载这种写入密度和实现专用协调机制
[00:01:45 - 00:01:47] 团队重新开发了内部VCS
[00:01:47 - 00:01:49] 有了新的版本控制好戏才刚刚开始
[00:01:49 - 00:01:52] Cursor发现AI团队的失效模式
[00:01:52 - 00:01:54] 和人类团队完全不一样
[00:01:54 - 00:01:55] 第一个问题是脑裂
[00:01:55 - 00:01:57] 两个互不知情的规划器
[00:01:57 - 00:02:00] 会在不同位置重复设计同一个概念
[00:02:00 - 00:02:02] Cursor主要通过提示约束解决
[00:02:02 - 00:02:04] 关键设计必须由规划器自己决定
[00:02:04 - 00:02:06] 而且两个被委派的子数
[00:02:06 - 00:02:08] 不能重复决定同一个问题
[00:02:08 - 00:02:10] 更棘手的是规划器征用
[00:02:10 - 00:02:12] 两个规划器知道彼此存在
[00:02:12 - 00:02:15] 却仍在同一批文件上来回修改
[00:02:15 - 00:02:16] 针对这种情况
[00:02:16 - 00:02:18] Cursor才引入共享设计文档
