BV号：BV1GLfvBKEq4
标题：BV1GLfvBKEq4
链接：https://www.bilibili.com/video/BV1GLfvBKEq4
识别语言：zh
语言置信度：1
分段数：219
生成时间：2026-08-29 21:08:03

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 就在前几天 一篇名为《2028年全球智能危机》的文章
[00:00:06 - 00:00:08] 在网上引爆了一场海嘯
[00:00:08 - 00:00:10] 24小时内 浏览量接近2000万
[00:00:10 - 00:00:13] 这篇文章的作者 James Van Delen
[00:00:13 - 00:00:15] 以及他创办的Seachon Research
[00:00:15 - 00:00:17] 是Substack上金融类的头号玩家
[00:00:17 - 00:00:19] 年费999美元
[00:00:19 - 00:00:21] 拥有数十万的付费订阅者
[00:00:21 - 00:00:23] 他不是什么网红分析师
[00:00:23 - 00:00:27] 而是用真金白银下场有金人实盘业绩背书的顶级研究者
[00:00:27 - 00:00:30] 他曾提前下注英伟达的AI行情
[00:00:30 - 00:00:32] 精准布局了减肥药的赛道
[00:00:32 - 00:00:34] 投资组合在一年半内翻了两倍
[00:00:34 - 00:00:38] 然而就是这样一个长期站在AI牛市侧的棋手
[00:00:38 - 00:00:41] 却写下了一篇看起来无比悲观的文章
[00:00:41 - 00:00:44] 这篇文章甚至引来了电影《大空头》的原型人物
[00:00:44 - 00:00:46] Michael Bray的转发
[00:00:46 - 00:00:47] 只附上了一句话
[00:00:47 - 00:00:49] 你以为我够悲观了
[00:00:49 - 00:00:51] 意思是这篇文章比他还悲观
[00:00:51 - 00:00:54] 但真正让市场感到几倍发良的
[00:00:54 - 00:00:56] 不是他的悲观情绪
[00:00:56 - 00:00:58] 而是他令人不寒而立的核心前提
[00:00:58 - 00:00:59] 他假设到
[00:00:59 - 00:01:03] 2028年所有关于AI的乐观预期全部成真
[00:01:03 - 00:01:04] 然后他问出了那个
[00:01:04 - 00:01:06] 所有人都隐约感觉到
[00:01:06 - 00:01:07] 却又不敢深思的问题
[00:01:07 - 00:01:09] 如果AI赢了谁会是书假
[00:01:09 - 00:01:12] 今天我们不只是要解读这篇文章
[00:01:12 - 00:01:14] 因为就在他发布两天后
[00:01:14 - 00:01:15] 另一位投资人
[00:01:15 - 00:01:16] Austin Lieberman
[00:01:16 - 00:01:18] 写了一篇同样精彩的不文
[00:01:18 - 00:01:19] 标题是
[00:01:19 - 00:01:21] 2028年全球智能奇迹
[00:01:21 - 00:01:24] 一场关于未来的终极辩论就此展开
[00:01:24 - 00:01:27] 今天,我们深入剖析双方的论证
[00:01:27 - 00:01:29] 从第一性原理出发,拆解他们的逻辑
[00:01:29 - 00:01:32] 最终给出一个我们自己的判断
[00:01:32 - 00:01:33] AI的神判日
[00:01:33 - 00:01:36] 究竟会带来一场经济危机还是一个黄金时代
[00:01:36 - 00:01:38] Ctrain的文章像一部科幻经损片
[00:01:38 - 00:01:43] 他假装自己是从2028年6月发挥一份官背网路
[00:01:43 - 00:01:46] 那时的世界事业率高达10.2%
[00:01:46 - 00:01:49] 标普指数从高点暴跌38%
[00:01:49 - 00:01:51] 而这一切的根源不是因为AI失败了
[00:01:51 - 00:01:53] 恰恰是因为AI太成功了
[00:01:53 - 00:01:55] 他用5张多米诺骨牌
[00:01:55 - 00:01:58] 为我们推演了这场危机的全过程
[00:01:58 - 00:01:58] 第一张牌
[00:01:58 - 00:02:01] 技术替代的速度与广度
[00:02:01 - 00:02:03] 故事始于2025年底
[00:02:03 - 00:02:05] AI Agent也就是智能体
[00:02:05 - 00:02:07] 在编程能力上实现了巨大飞跃
[00:02:07 - 00:02:10] 一个普通的开发者借助AI
[00:02:10 - 00:02:11] 几周就能制出一个
[00:02:11 - 00:02:13] 中端SES软件的核心功能
[00:02:13 - 00:02:15] 这直接动摇了价值数千亿美元的
[00:02:15 - 00:02:17] 软件服务产业的根基
[00:02:17 - 00:02:19] 当采购经理在虚约谈判中
[00:02:19 - 00:02:21] 可以轻松地说出我们为什么
[00:02:21 - 00:02:22] 不自己做一个实
[00:02:22 - 00:02:24] 软件公司的一架权瞬间蒸发
[00:02:24 - 00:02:25] 第二张牌
[00:02:25 - 00:02:28] 企业的理性反应与反身性
[00:02:28 - 00:02:30] 面对收入锐减的压力
[00:02:30 - 00:02:31] 三次公司怎么办
[00:02:31 - 00:02:32] 唯一的选择就是裁员
[00:02:32 - 00:02:33] 然后把省下来的钱
[00:02:33 - 00:02:35] 更疯狂地投入到AI技术中
[00:02:35 - 00:02:37] 以求在竞争中活下来
[00:02:37 - 00:02:40] 这里出现了一个可怕的反身性
[00:02:40 - 00:02:42] 那些最受AI威胁的公司
[00:02:42 - 00:02:45] 反而成为了AI最激进的裁用者
[00:02:45 - 00:02:46] 每一轮裁员都为下一轮
[00:02:46 - 00:02:49] 更强的AI更多的裁员提供了弹药
[00:02:49 - 00:02:51] 这个逻辑迅速从软件业
[00:02:51 - 00:02:54] 蔓延到所有拥有白领员工的公司
[00:02:54 - 00:02:55] 第三张牌
[00:02:55 - 00:02:57] 消费端摩擦的消失
[00:02:57 - 00:03:00] 到2027年AI助手已经无处不在
[00:03:00 - 00:03:03] 他们在后台2040不间断地为我们工作
[00:03:03 - 00:03:05] 自动取消我们忘记了的订阅
[00:03:05 - 00:03:06] 自动比对全网价格
[00:03:06 - 00:03:08] 自动寻找最优惠的保险
[00:03:08 - 00:03:11] 过去商业世界建立在人类的不完美之上
[00:03:11 - 00:03:12] 我们的懒惰
[00:03:12 - 00:03:14] 我们的信息不对称
[00:03:14 - 00:03:15] 我们对品牌的盲从
[00:03:15 - 00:03:18] 这些摩擦创造了巨大的利润空间
[00:03:18 - 00:03:20] 而AI将这些摩擦全部抹平了
[00:03:20 - 00:03:23] 第四张牌 中介经济的瓦解
[00:03:23 - 00:03:24] 当摩擦消失
[00:03:24 - 00:03:26] 所有依靠信息不对称
[00:03:26 - 00:03:28] 和中介服务为生的商业模式
[00:03:28 - 00:03:30] 都将面临灭顶之灾
[00:03:30 - 00:03:31] 文章点名了
[00:03:31 - 00:03:33] Doordash Zelo Mastercard等公司
[00:03:33 - 00:03:34] 他们的互惩盒
[00:03:34 - 00:03:36] 在一夜之间被AI填平
[00:03:36 - 00:03:39] 数万亿美元的市值挥费烟灭
[00:03:39 - 00:03:41] 第五张牌也是最后一张牌
[00:03:41 - 00:03:43] 无制动的复返亏循环
[00:03:43 - 00:03:45] 现在我们把所有线索串联起来
[00:03:45 - 00:03:46] AI能力提升
[00:03:46 - 00:03:48] 导致大规模白领失业
[00:03:48 - 00:03:50] 失业导致收入下降
[00:03:50 - 00:03:51] 消费能力崩溃
[00:03:51 - 00:03:54] 消费崩溃导致企业利润压力山大
[00:03:54 - 00:03:56] 只能进一步投资 AI 裁掉更多的人
[00:03:56 - 00:03:59] 这是一个没有天然制动器的死亡螺旋
[00:03:59 - 00:04:03] 更可怕的是美国13万亿美元的房地产市场
[00:04:03 - 00:04:05] 建立在白领阶层稳定收入的假设之上
[00:04:05 - 00:04:09] 当这个假设崩塌整个金融体系的系统性风险就暴露了
[00:04:09 - 00:04:11] Citrin 称之为幽灵 GDP
[00:04:11 - 00:04:13] 企业利润在报表上很好看
[00:04:13 - 00:04:16] 但这些钱从未在实体经济中有效流通
[00:04:16 - 00:04:18] 因为机器是不消费的
[00:04:18 - 00:04:19] 这就是Citrin 的末日语言
[00:04:19 - 00:04:21] 逻辑严密步步精心
[00:04:21 - 00:04:24] 他告诉我们生产力的极致提升
[00:04:24 - 00:04:26] 如果不能伴随有效的价值分配
[00:04:26 - 00:04:28] 结果将是灾难性的
[00:04:28 - 00:04:31] 就在市场被这篇悲观习文角的天翻地覆时
[00:04:31 - 00:04:33] Austin Lieberman站了出来
[00:04:33 - 00:04:35] 他完全承认Citrine的技术预测
[00:04:35 - 00:04:38] 但他认为Citrine的模型只完成了一半
[00:04:38 - 00:04:41] 他忽略了经济系统中最强大的力量
[00:04:41 - 00:04:42] 人类的适应性
[00:04:42 - 00:04:45] Austin同样从2028年6月回望
[00:04:45 - 00:04:47] 但他看到的是一幅截然不同的景象
[00:04:47 - 00:04:51] 失业率仅为3.8% 市场创下历史新高
[00:04:51 - 00:04:53] 他是如何得出这个结论的呢?
[00:04:53 - 00:04:56] 他提出了四个关键的适应性反应
[00:04:56 - 00:04:58] 第一物理世界的自动化壁垒
[00:04:58 - 00:05:00] Austin一针剑写的指出
[00:05:00 - 00:05:02] 数字世界变得容易自动化
[00:05:02 - 00:05:03] 不代表物理世界也一样
[00:05:03 - 00:05:06] AI再强大也无法代替电工为你不限
[00:05:06 - 00:05:08] 无法代替外科医生为你做手术
[00:05:08 - 00:05:11] 无法代替水管工修理你家的管道
[00:05:11 - 00:05:12] 结果是什么?
[00:05:12 - 00:05:15] 在白领工资停滞甚至下降的同时
[00:05:15 - 00:05:17] 蓝领技术工人的工资飙升
[00:05:17 - 00:05:22] 他预测到2027年大城市的池镇电工年薪能达到14万美元
[00:05:22 - 00:05:24] 还附带签约奖金
[00:05:24 - 00:05:26] 这是一个巨大的就业缓充电
[00:05:26 - 00:05:28] 第二问责制的新价值
[00:05:28 - 00:05:30] AI可以执行任务
[00:05:30 - 00:05:31] 但它无法承担责任
[00:05:31 - 00:05:34] 董事会需要一个可以被起诉的CEO
[00:05:34 - 00:05:36] 患者需要一个能承担道德风险的医生
[00:05:36 - 00:05:39] 客户需要一个能为结果负责的律师
[00:05:39 - 00:05:41] 因此,一种新的职业阶层将崛起
[00:05:41 - 00:05:43] 问责官
[00:05:43 - 00:05:44] 他们不直接输出认知能力
[00:05:44 - 00:05:46] 而是作为人类世界的最后一道防线
[00:05:46 - 00:05:47] 后一道防线
[00:05:47 - 00:05:49] 管理AI承担风险维系关系
[00:05:49 - 00:05:51] 一个被裁掉的产品经理
[00:05:51 - 00:05:52] 不会去开网约车
[00:05:52 - 00:05:55] 而是可能成为客户智能总监
[00:05:55 - 00:05:57] 薪水反而从18万
[00:05:57 - 00:05:59] 涨到了21.5万美元
[00:05:59 - 00:05:59] 第三
[00:05:59 - 00:06:02] 真是人类创意的稀缺性溢价
[00:06:02 - 00:06:03] 当AI能以近乎凌乘本
[00:06:03 - 00:06:05] 生成无数内容时
[00:06:05 - 00:06:07] 什么东西会变得更值钱
[00:06:07 - 00:06:09] 答案是真实的人类创意
[00:06:09 - 00:06:10] 那些带有独特视角
[00:06:10 - 00:06:11] 真情实感
[00:06:11 - 00:06:12] 手工温度的作品
[00:06:12 - 00:06:14] 将变得前所未有的珍贵
[00:06:14 - 00:06:15] 奥斯特预测
[00:06:15 - 00:06:18] 独立音乐人的收入将超过大唱片公司
[00:06:18 - 00:06:20] 手工一人的数量会翻倍
[00:06:20 - 00:06:23] 稀缺性从认知能力转移到了人类本源
[00:06:23 - 00:06:25] 第四也是最震撼的一点
[00:06:25 - 00:06:27] 医疗领域的奇迹
[00:06:27 - 00:06:29] 这是奥斯顿反驳中最具颠覆性的一点
[00:06:29 - 00:06:33] 他认为AI将在2026-2028年间
[00:06:33 - 00:06:35] 彻底改变医疗健康行业
[00:06:35 - 00:06:36] 药物研发周期从15年
[00:06:36 - 00:06:39] 缩短到5年成本降低60%
[00:06:39 - 00:06:43] 阿尔兹海默症一型糖尿病等丸籍将被攻克
[00:06:43 - 00:06:45] AI毒片让偏远地区的村民
[00:06:45 - 00:06:47] 也能享受到世界顶级的诊断服务
[00:06:47 - 00:06:51] 更重要的是医院的行政成本将暴跌40%
[00:06:51 - 00:06:54] 人们的医疗保险费用将几十年来首次下降
[00:06:54 - 00:06:57] 这不仅创造了巨大的新需求和新产业
[00:06:57 - 00:06:59] 更将数万亿美元的资金
[00:06:59 - 00:07:01] 从无效的医疗开销中释放出来
[00:07:01 - 00:07:02] 重新注入消费市场
[00:07:02 - 00:07:03] 奥斯顿的结论是
[00:07:03 - 00:07:06] Sitrin所描述的摩擦经济的消失
[00:07:06 - 00:07:08] 本质上是一次大规模的减税
[00:07:08 - 00:07:09] 消费者省下来的钱
[00:07:09 - 00:07:12] 会流向新的更有价值的地方
[00:07:12 - 00:07:15] 人类社会将像历史上每一次技术革命一样
[00:07:15 - 00:07:18] 找到新的平衡并卖向更高层次的繁荣
[00:07:18 - 00:07:21] 好了 现在我们听完了原告和被告的陈词
[00:07:21 - 00:07:24] 一个预言危机 一个预言奇迹
[00:07:24 - 00:07:25] 谁对谁错
[00:07:25 - 00:07:28] 要做出判断 我们必须回归第一性原理
[00:07:28 - 00:07:32] 经济系统的本质是价值的创造和价值的分配
[00:07:32 - 00:07:35] 两篇文章都同意 AI将极大的促进价值创造
[00:07:35 - 00:07:36] 也就是生产力
[00:07:36 - 00:07:39] 它们的根本分歧在于价值分配
[00:07:39 - 00:07:43] Sitrin的核心逻辑是价值分配将极度不均
[00:07:43 - 00:07:46] 财富集中在少数AI和算力的所有者手中
[00:07:46 - 00:07:49] 而大多数人失去收入导致总需求崩溃
[00:07:49 - 00:07:52] 这是一个经典的生产过剩危机模型
[00:07:52 - 00:07:54] Austin的核心逻辑是
[00:07:54 - 00:07:58] 市场和人类社会将自发地创造出新的价值分配机制
[00:07:58 - 00:08:00] 蓝领技能问责能力
[00:08:00 - 00:08:01] 人类创意将获得
