BV号：BV1VAu4zBEgk
标题：BV1VAu4zBEgk
链接：https://www.bilibili.com/video/BV1VAu4zBEgk
识别语言：zh
语言置信度：1
分段数：520
生成时间：2026-08-30 00:49:13

[00:00:00 - 00:00:03] 大家好,我是为什么叫QQ。
[00:00:03 - 00:00:06] 不知道大家有没有发现啊,最近两年呢,
[00:00:06 - 00:00:10] AI领域的讨论呢,已经从要不要做AI,
[00:00:10 - 00:00:12] 变成了怎么把AI做好。
[00:00:12 - 00:00:15] 从2023年生成是AI的爆发开始,
[00:00:15 - 00:00:17] 到2025年的今天,
[00:00:17 - 00:00:20] 越来越多的公司不再纠结于AI的可能性,
[00:00:20 - 00:00:26] 而是埋头在产品开发、团队搭建、成本控制这些实际的问题上。
[00:00:26 - 00:00:30] 最近的,作为曾经管理硅谷众多科技巨头加办的
[00:00:30 - 00:00:33] Iconic资本抓住了这个转折点的时机
[00:00:33 - 00:00:35] 发布了一份长达68亿的报告
[00:00:35 - 00:00:40] 拆解了300家正在开发AI产品的软件公司的实战经验
[00:00:40 - 00:00:42] 无论是AI原生公司
[00:00:42 - 00:00:44] 还是所谓的AI负能公司
[00:00:44 - 00:00:46] 相信他们的采更经验
[00:00:46 - 00:00:47] 成功的做法
[00:00:47 - 00:00:49] 能能给我们带来很多的启发
[00:00:49 - 00:00:51] 今天就来给大家分享一下
[00:00:52 - 00:00:53] 要聊AI产品的开发
[00:00:53 - 00:00:55] 首先我们得搞清楚
[00:00:55 - 00:00:57] 现在市面上的AI公司
[00:00:57 - 00:00:58] 到底都有哪些类型
[00:00:58 - 00:01:01] 根据报告的调研主要分为两类
[00:01:01 - 00:01:05] 分别是AI原生公司和AI负能公司
[00:01:05 - 00:01:09] AI原生公司指的是核心产品或者是商业模式
[00:01:09 - 00:01:11] 完全是由AI驱动的公司
[00:01:11 - 00:01:14] 他们的价值几乎都来自于模型的训练
[00:01:14 - 00:01:16] 推理和持续的学习
[00:01:16 - 00:01:19] 这类公司在调研中占了32%
[00:01:19 - 00:01:22] 他们的特点是产品的迭代速度非常快
[00:01:22 - 00:01:26] 报告里提到只有1%的AI原生公司
[00:01:26 - 00:01:28] 还停留在产品发布前的阶段
[00:01:28 - 00:01:31] 而AI负能公司呢,则有11%卡在这个阶段。
[00:01:31 - 00:01:37] 更关键的是,47%的AI原生产品已经进入了规模化阶段。
[00:01:37 - 00:01:40] 也就是说,产品已经验证了市场契合度,
