BV号：BV1XxdgYwEWu
标题：BV1XxdgYwEWu
链接：https://www.bilibili.com/video/BV1XxdgYwEWu
识别语言：zh
语言置信度：1
分段数：310
生成时间：2026-08-30 08:59:19

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 之前有消息称DeepSake或许将提前推出
[00:00:06 - 00:00:09] 原定于在5月初发布的R2模型
[00:00:09 - 00:00:11] 虽然还无法确定消息的真实性
[00:00:11 - 00:00:14] 但是DeepSake刚刚和清华大学
[00:00:14 - 00:00:17] 联合发布了一项关于推理时Skinning的新研究
[00:00:17 - 00:00:20] 或许能够让我们提前窥探到R2的一角
[00:00:20 - 00:00:24] 这篇论文题目为通用奖励模型的推理时间扩展
[00:00:24 - 00:00:26] 已经发表在了预印本平台archive上
[00:00:26 - 00:00:29] 今天我们就来解读一下这篇论文
[00:00:29 - 00:00:33] 看看DeepSake如何又一次通过创新的架构设计和训练方法
[00:00:33 - 00:00:35] 来实现模型的性能突破
[00:00:35 - 00:00:36] 大家应该清楚的是
[00:00:36 - 00:00:40] 当前主流的AI模型大多数都采用了强化学习
[00:00:40 - 00:00:43] 尤其是基于人类反馈的强化学习ROHF
[00:00:43 - 00:00:45] 作为后训练的核心方法
[00:00:45 - 00:00:47] 这个方法的核心在于
[00:00:47 - 00:00:49] 要训练一个奖励模型RM
[00:00:49 - 00:00:50] 来模拟人类的偏好
[00:00:50 - 00:00:52] 从而指导大于M模型的优化
[00:00:52 - 00:00:54] 但是传统的ROHF
[00:00:54 - 00:00:56] 依赖于大量的人工标注
[00:00:56 - 00:00:58] 成本高昂 而且扩展性有限
[00:00:58 - 00:01:01] 尤其是难以处理复杂和主观性强的任务
[00:01:01 - 00:01:04] 因此如何构建一个更加强大
[00:01:04 - 00:01:05] 更加通用的奖励模型
[00:01:05 - 00:01:07] 就成为了突破平静的关键
[00:01:07 - 00:01:09] 现有的奖励模型范氏
[00:01:09 - 00:01:12] 比如说Skeleton RM或者是Parallels RM
[00:01:12 - 00:01:13] 在通用性和灵活性上
[00:01:13 - 00:01:15] 都存在着一些的局限性
[00:01:15 - 00:01:17] 同时随着推力时Skeleton
[00:01:17 - 00:01:20] 越来越成为提升模型性能的重要途径
[00:01:20 - 00:01:22] 如果奖励模型能够在推力的时候
[00:01:22 - 00:01:25] 通过更多的计算变得更加准确
[00:01:25 - 00:01:28] 那么这将直接提升大约模型的对期效果
[00:01:28 - 00:01:29] 在这个背景下
[00:01:29 - 00:01:32] DeepSake联合了清华大学的研究团队
[00:01:32 - 00:01:35] 提出了一种名为DeepSake-GRM的通用奖励模型
[00:01:35 - 00:01:38] 以及名为自我原则评价条优
[00:01:38 - 00:01:40] 简称SPCT的训练方法
[00:01:40 - 00:01:43] 目的就是为了解决通用奖励模型的构建难题
[00:01:43 - 00:01:45] 并且系统性的探索了
[00:01:45 - 00:01:48] 如何利用推理时思考试来提升模型的性能
[00:01:48 - 00:01:51] 乐文的核心也是围绕着这两个内容展开的
[00:01:51 - 00:01:54] 研究团队首先关注了奖励模型的结构范氏
[00:01:54 - 00:01:58] 他们认为为了实现通用性和充分利用推理时skilling的潜力
[00:01:58 - 00:02:01] 需要一种更加灵活表达能力更强的范氏
[00:02:01 - 00:02:05] 最终他们选择了生成式奖励模型GM
[00:02:05 - 00:02:08] 并且采用了主点是Point On What's的评分机制
[00:02:08 - 00:02:12] Point On What's GM的工作方式与传统的RM不同
[00:02:12 - 00:02:14] 它不是直接输出分数或者是排序
[00:02:14 - 00:02:17] 而是会针对输入的查询和一组带评价的回答
[00:02:17 - 00:02:20] 来生成一段结构化的评价文本
[00:02:20 - 00:02:23] 这段文本通常会包含两个主要的部分
[00:02:23 - 00:02:26] 首先,模型会根据当前的输入内容
[00:02:26 - 00:02:28] 自适应的生成一系列的评价原则
[00:02:28 - 00:02:31] 这些原则定义了评价的关注点和标准
[00:02:31 - 00:02:34] 有时候还会附加各个原则的相对重要性
[00:02:34 - 00:02:35] 也就是权重
[00:02:35 - 00:02:38] 其次,模型会基于这些生成的原则
[00:02:38 - 00:02:41] 对每一个回答进行详细的分析和评价
[00:02:41 - 00:02:43] 说明回答的优缺点
[00:02:43 - 00:02:45] 最后通过预设的解析规则
[00:02:45 - 00:02:47] 从生成的评价温本中
[00:02:47 - 00:02:49] 提取出对每个回答的具体评分
[00:02:49 - 00:02:52] Pontanwise GRM有两大关键的优势
[00:02:52 - 00:02:54] 一个是输入的灵活性
[00:02:54 - 00:02:56] 无论是评价单个回答
[00:02:56 - 00:02:57] 比较两个回答
[00:02:57 - 00:02:58] 还是需要对多个回答
[00:02:58 - 00:03:00] 进行独立的评分和排序
[00:03:00 - 00:03:02] 都可以使用统一的框架和模型进行处理
[00:03:03 - 00:03:05] 这就极大拓展了模型的应用范围
[00:03:05 - 00:03:07] 二是推理时Skinning的潜力
[00:03:07 - 00:03:09] 由于模型的核心是生成文本
[00:03:09 - 00:03:12] 因此在推理时进行多次采样
[00:03:12 - 00:03:13] 就变得非常自然
[00:03:13 - 00:03:14] 而且有意义了
[00:03:14 - 00:03:16] 每次采样都可以产生不同的
[00:03:16 - 00:03:19] 评价原则测重和评价分析角度
[00:03:19 - 00:03:21] 通过综合这些多样化的评价结果
[00:03:21 - 00:03:23] 我们就能够获得比单次生成
[00:03:23 - 00:03:25] 更加全面 更稳定
[00:03:25 - 00:03:27] 也更精细的最终评分
[00:03:27 - 00:03:28] 从而利用推理计算
[00:03:28 - 00:03:29] 来提升奖励的质量
[00:03:29 - 00:03:30] 提供了可能
[00:03:30 - 00:03:32] 那选择了合适的模型范试之后
[00:03:32 - 00:03:33] 接下来的关键
[00:03:33 - 00:03:35] 就在于如何进行有效的训练
[00:03:35 - 00:03:37] 才能够让GIM具备
[00:03:37 - 00:03:38] 强大的通用评价能力
[00:03:38 - 00:03:40] 并且能够真正的从
[00:03:40 - 00:03:41] 推理时死给令中受益
[00:03:41 - 00:03:43] 为此团队提出了一种
[00:03:43 - 00:03:45] 名为自我原则评价条约
[00:03:45 - 00:03:47] 简称SPCT的学习框架
[00:03:48 - 00:03:50] SPCT的核心思想在于
[00:03:50 - 00:03:51] 对于通用的评价任务来说
[00:03:52 - 00:03:53] 要想预先定义一套
[00:03:53 - 00:03:55] 固定的普世的评价标准
[00:03:55 - 00:03:57] 或者是原则是非常困难的
[00:03:57 - 00:03:58] 更为有效的方式
[00:03:58 - 00:03:59] 应该是让模型学会
[00:03:59 - 00:04:01] 根据具体的输入内容
[00:04:01 - 00:04:02] 来动态的自适应的
[00:04:02 - 00:04:04] 生成最相关的评价原则
[00:04:04 - 00:04:07] 并且基于这些原则进行准确的评价
[00:04:07 - 00:04:08] 这就意味着
[00:04:08 - 00:04:10] 模型需要从被动的应用规则
[00:04:10 - 00:04:12] 转变为主动的构建评价框架
[00:04:13 - 00:04:15] 研究团队通过初步的实验
[00:04:15 - 00:04:17] 验证了评价原则的重要性
[00:04:17 - 00:04:19] 直接使用模型生成的评价原则
[00:04:19 - 00:04:20] 效果有限
[00:04:20 - 00:04:23] 但是如果提供经过筛选的高质量评价原则
[00:04:23 - 00:04:26] 那么角力模型的准确性会得到显著的提高
[00:04:26 - 00:04:29] 这表明能否生成好的评价原则
[00:04:29 - 00:04:31] 是实现高质量角力的关键
[00:04:31 - 00:04:35] 因此SPCT的目标就是训练模型掌握这种
[00:04:35 - 00:04:38] 生成高质量评价原则和准确评价的能力
[00:04:38 - 00:04:39] 简单来说
[00:04:39 - 00:04:42] SPCT的训练过程包含有两个阶段
[00:04:42 - 00:04:45] 第一个阶段是拒绝式微调RFT
[00:04:45 - 00:04:47] 作为模型的能启动阶段
[00:04:47 - 00:04:49] 需要使用预训链的大圆模型作为基础模型
[00:04:49 - 00:04:51] 年轻人员使用了包含查询
[00:04:51 - 00:04:54] 回答和人类偏号标签的奖励模型数据级
[00:04:54 - 00:04:57] 让模型尝试生成原则加评价的文本
[00:04:57 - 00:04:59] 并且提取评分
[00:04:59 - 00:05:02] 这个阶段的关键在于拒绝式的采样策略
[00:05:02 - 00:05:04] 比方说如果模型生成的平分结果
[00:05:04 - 00:05:07] 与已知的人类偏号不相符
[00:05:07 - 00:05:08] 那么这次生成的训练数据
[00:05:08 - 00:05:11] 就应该被视为不正确而被拒绝
[00:05:11 - 00:05:13] 另一方面如果对于某个输入
[00:05:13 - 00:05:15] 模型連續多次生成的平衡結果
[00:05:15 - 00:05:17] 都與人類的偏好完全一致
[00:05:17 - 00:05:20] 那麼這可能就表明這個任務過於簡單
[00:05:20 - 00:05:22] 缺乏足夠的學習信號
[00:05:22 - 00:05:25] 而這類數據也會被認為太容易而被拒絕
[00:05:25 - 00:05:26] 通過這種方式
[00:05:26 - 00:05:29] 模型得以專注在學習那些具有挑戰性
[00:05:29 - 00:05:31] 而且能夠幫助它更好地理解
[00:05:31 - 00:05:32] 人類偏好的那些樣本
[00:05:32 - 00:05:33] 從而快速掌握
[00:05:33 - 00:05:35] 生成指定格式的文本
[00:05:35 - 00:05:37] 和初步區分回答好壞的能力
[00:05:37 - 00:05:40] 這個階段還結合了提示式采樣
[00:05:40 - 00:05:41] 和非提示式采樣
[00:05:41 - 00:05:43] 來平衡學習的過程
[00:05:43 - 00:05:46] 第二个阶段是基于规则的再现强化学习
[00:05:46 - 00:05:49] 虽然之前的RFT阶段提供了基础能力
[00:05:49 - 00:05:53] 但是要让模型的原则生成和评价能力持续的提升
[00:05:53 - 00:05:54] 适应更广泛的场景
[00:05:54 - 00:05:57] 并且为推理时Skinning做好准备
[00:05:57 - 00:05:59] 就需要再现优化的介入
[00:05:59 - 00:06:00] 在这个阶段
[00:06:00 - 00:06:02] 戒染模型作为强化学习中的策略
[00:06:02 - 00:06:04] 会根据实实输入的查询回答
[00:06:04 - 00:06:06] 来生成评价原则
[00:06:06 - 00:06:08] 进行评价并且提取评分
[00:06:08 - 00:06:12] 研究人员设计了一套简单的准确性规则作为奖励信号
[00:06:12 - 00:06:16] 如果模型给出的评分能够正确的将最优回答排在手位
[00:06:16 - 00:06:18] 那么就会获得加一的证奖力
[00:06:18 - 00:06:20] 否则就将获得负一的负奖力
[00:06:20 - 00:06:24] 这个奖励信号用来更新GNM模型的参数
[00:06:24 - 00:06:27] 这个在线过程会持续激励模型去探索和学习
[00:06:27 - 00:06:32] 如何生成那些更可靠的区分回答质量的原则和评价的逻辑
[00:06:32 - 00:06:34] 通过内化模型的评价能力
[00:06:34 - 00:06:37] 让模型在面对新情况的时候也能够做出良好的判断
[00:06:37 - 00:06:40] 这对于推理时死定应的有效性至关重要
[00:06:40 - 00:06:41] 研究团队还发现
[00:06:41 - 00:06:44] 通过适当调整KL散度的惩罚
[00:06:44 - 00:06:46] 可以有效保证生成稳稳格式的稳定性
[00:06:46 - 00:06:49] 从而避免模型产生不必要的行为偏差
[00:06:49 - 00:06:53] 这样一来通过SPCT训练的DeepSig-GRI模型
[00:06:53 - 00:06:55] 就具备了通过增加推理时计算量
[00:06:55 - 00:06:57] 来提升性能的潜力
[00:06:57 - 00:06:59] 研究团队重点研究
[00:06:59 - 00:07:01] 并且实现了两种推理时思计令的策略
[00:07:01 - 00:07:03] 第一种是基于投票的思计令
[00:07:03 - 00:07:05] 这是一种相对直接的方法
[00:07:05 - 00:07:08] 对于给定的查询和一组带评价的回答
[00:07:08 - 00:07:10] 使用训练好的DeepSig-GRI模型
[00:07:10 - 00:07:12] 设置一定的采样随机性
[00:07:12 - 00:07:14] 并行的进行K次独立的推理
[00:07:14 - 00:07:16] 每次推理都会生成一套
[00:07:16 - 00:07:17] 可能不同的原则
[00:07:17 - 00:07:18] 评价和相应的评分
[00:07:19 - 00:07:21] 最后再将这K次推理得到的
[00:07:21 - 00:07:22] 评分进行聚合
[00:07:22 - 00:07:24] 对于Point-wise评分来说
