BV号：BV1jVEP6REqb
标题：BV1jVEP6REqb
链接：https://www.bilibili.com/video/BV1jVEP6REqb
识别语言：zh
语言置信度：1
分段数：416
生成时间：2026-08-29 09:25:38

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:05] 为什么Cloud Code的快速模式价格会显著上升?
[00:00:05 - 00:00:07] 很多人觉得这就是商业套路
[00:00:07 - 00:00:09] 花钱买VIP通道,享受特权
[00:00:09 - 00:00:11] 但如果我告诉你这个定价背后
[00:00:11 - 00:00:14] 其实有规矩芯片的物理定律在起作用呢?
[00:00:14 - 00:00:15] 不止是Cloud
[00:00:15 - 00:00:18] 仔细看各家大模型的API报价单
[00:00:18 - 00:00:20] 你会发现很多反常识的现象
[00:00:20 - 00:00:22] 为什么Gemini处理常上下文史
[00:00:22 - 00:00:24] 价格会出现明显变化
[00:00:24 - 00:00:27] 为什么输出Token通常比输入Token贵的多?
[00:00:27 - 00:00:31] 但实际上他们都是由硬件的物理约束精确计算出来的
[00:00:31 - 00:00:33] 今天我们就来算一笔硬核的账
[00:00:33 - 00:00:35] 前谷歌TPU价购师
[00:00:35 - 00:00:39] 深度参与过PoM模型推理优化的RanerPoP
[00:00:39 - 00:00:41] 用七个极其优美的数学方程
[00:00:41 - 00:00:44] 把大模型推理的底牌掀了个底朝天
[00:00:44 - 00:00:47] 看完这期视频你对AI算力和商业模式的认知
[00:00:47 - 00:00:49] 将超越99%的人
[00:00:49 - 00:00:52] 你有没有想过当你按下回车键
[00:00:52 - 00:00:54] 向大模型发送一条消息的时候
[00:00:54 - 00:00:58] 远在几千公里外数据中心的GPU到底在经历什么
[00:00:58 - 00:01:01] 你可能觉得它在疯狂地进行数学计算
[00:01:01 - 00:01:04] 但事实是它大部分时间都在等
[00:01:04 - 00:01:05] 在现代硬件上生成一个token
[00:01:05 - 00:01:07] 大概需要20毫秒
[00:01:07 - 00:01:10] 这20毫秒里GPU到底在等什么
[00:01:10 - 00:01:12] 为什么凭人类现在的工程能力
[00:01:12 - 00:01:14] 不能把它优化到2毫秒
[00:01:14 - 00:01:15] 要回答这个问题
[00:01:15 - 00:01:18] 我们得先搞懂大模型是怎么兔子的
[00:01:18 - 00:01:21] 以及GPU的计算和内存读取是如何相互制约的
[00:01:21 - 00:01:23] 这不是一个工程问题
[00:01:23 - 00:01:24] 而是一个物理问题
[00:01:24 - 00:01:27] 所有主流的大语言模型
[00:01:27 - 00:01:29] 无论是GPT-4 Cloud还是DeepSync
[00:01:29 - 00:01:31] 它们生成回复的方式都是一样的
[00:01:31 - 00:01:33] 一个刺一个刺往外蹦
[00:01:33 - 00:01:35] 在技术上这叫自回归结码
[00:01:35 - 00:01:38] 这意味着如果你让模型写一篇500字的小作文
[00:01:38 - 00:01:41] GPU就得把整个庞大的模型
[00:01:41 - 00:01:43] 完完整整地运行500次
[00:01:43 - 00:01:45] 每一次运行GPU主要做两件事
[00:01:45 - 00:01:46] 第一件事算
[00:01:46 - 00:01:50] 也就是调用计算单元做海量的矩阵惩罚
[00:01:50 - 00:01:51] 第二件事读
[00:01:51 - 00:01:53] 从显存里把模型的权重
[00:01:53 - 00:01:56] 也就是那几百上千亿的参数搬到计算单元里
[00:01:56 - 00:01:58] 问题就出在这里
[00:01:58 - 00:02:01] 计算和读取就像两条平行的单行道
[00:02:01 - 00:02:03] 他们不能互相替代
[00:02:03 - 00:02:06] 你的算力再强也必须等数据搬过来才能算
[00:02:06 - 00:02:08] 你的显存带宽再大
[00:02:08 - 00:02:10] 搬过来的数据也必须一步步算完
[00:02:10 - 00:02:13] 这就是整个推理成本和延迟问题的根源
[00:02:13 - 00:02:15] 为了更具体的理解这一点
[00:02:15 - 00:02:17] 让我们考虑一个具体的例子
[00:02:17 - 00:02:19] 假设你有一个H100GPU
[00:02:19 - 00:02:22] 它的计算能力是每秒三千万亿次浮点运算
[00:02:22 - 00:02:25] 但它的显存贷宽只有每秒三TB
[00:02:25 - 00:02:27] 这意味着如果你要计算一个
[00:02:27 - 00:02:30] 需要一千万亿次浮点运算的任务
[00:02:30 - 00:02:33] 但这个任务涉及的数据有1TB
[00:02:33 - 00:02:35] 那么你需要三分之一秒来读数据
[00:02:35 - 00:02:37] 但只需要三千分之一秒来计算
[00:02:37 - 00:02:40] 这时候计算单元会有大量的空闲时间
[00:02:40 - 00:02:41] 等待数据到达
[00:02:41 - 00:02:44] Riner Pope拋出了它的第一个核心方程
[00:02:44 - 00:02:46] 也是整个推理优化的基石
[00:02:46 - 00:02:47] Roof Line模型
[00:02:47 - 00:02:49] token时间大于等于max
[00:02:49 - 00:02:51] 计算时间内存时间
[00:02:51 - 00:02:53] 生成一个token的时间
[00:02:53 - 00:02:56] 等于计算时间和内存时间里更慢的那一个
[00:02:56 - 00:02:59] 注意也是取最大值而不是相加
[00:02:59 - 00:03:01] 这就像经典的木桶效应
[00:03:01 - 00:03:03] 只要有一个环节成了瓶颈
[00:03:03 - 00:03:05] 另一个环节性能再强也是白达
[00:03:05 - 00:03:07] 这个模型非常强大
[00:03:07 - 00:03:08] 因为它告诉我们
[00:03:08 - 00:03:09] 优化GPU的时候
[00:03:09 - 00:03:13] 不能只关注计算性能或内存带宽其中之一
[00:03:13 - 00:03:15] 你必须同时考虑两者的平衡
[00:03:15 - 00:03:16] 如果你的计算能力很强
[00:03:16 - 00:03:18] 但内存读取速度跟不上
[00:03:18 - 00:03:20] 那么计算单元就会一直闲置
[00:03:20 - 00:03:22] 等待数据反制易燃
