BV号：BV1VU6PBqESG
标题：BV1VU6PBqESG
链接：https://www.bilibili.com/video/BV1VU6PBqESG
识别语言：zh
语言置信度：1
分段数：306
生成时间：2026-08-29 21:42:23

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 今天我们不谈论某个具体的框架或语言
[00:00:04 - 00:00:07] 而是深入探讨一个更根本的话题
[00:00:07 - 00:00:09] AI编程的工程化
[00:00:09 - 00:00:10] 在过去的一年里
[00:00:10 - 00:00:13] 我们见证了大语言模型能力的飞速发展
[00:00:13 - 00:00:15] 但如何将这种强大的能力稳定
[00:00:15 - 00:00:18] 可靠地集成到我们的开发工作流中
[00:00:18 - 00:00:20] 仍然是一个巨大的挑战
[00:00:20 - 00:00:23] 本期视频我们将从架构设计的角度
[00:00:23 - 00:00:26] 系统性的书里从简单的提示词管理
[00:00:26 - 00:00:28] 到复杂的上下文工程的演进路径
[00:00:28 - 00:00:35] 我们将深度解析 Rules、Skills和MCP这三个核心概念背后的设计哲学与工程实践
[00:00:35 - 00:00:38] 探讨他们如何解决不同阶段的核心矛盾
[00:00:38 - 00:00:40] 这不仅仅是一次技术科普
[00:00:40 - 00:00:44] 更是一次关于AI时代软件工程思想的深度思变
[00:00:44 - 00:00:47] 如果你正在思考如何构建自己的AI Agent
[00:00:47 - 00:00:50] 或者希望提升与AI协作的效率和质量
[00:00:50 - 00:00:51] 那么接下来的内容
[00:00:51 - 00:00:55] 将为你提供一个清晰的路线图和坚实的理论基础
[00:00:55 - 00:00:57] 在我们深入探讨解决方案之前
[00:00:57 - 00:00:59] 必须首先精准的定义问题
[00:00:59 - 00:01:02] LLM时代的核心困境
[00:01:02 - 00:01:05] 本质上是模型能力与工程化可靠性之间的全衡
[00:01:05 - 00:01:08] 一方面我们拥有了前所未有的
[00:01:08 - 00:01:10] 自然语言理解和生成能力
[00:01:10 - 00:01:12] 但另一方面这种能力被一个
[00:01:12 - 00:01:15] 关键因素所制约上下闻窗口
[00:01:15 - 00:01:18] 这个窗口不仅有物理上的token限制
[00:01:18 - 00:01:20] 更直接关系到API调用的成本
[00:01:20 - 00:01:24] 更致命的是LLM在缺乏有效结构化上下闻时
[00:01:25 - 00:01:26] 会表现出幻觉行为
[00:01:26 - 00:01:30] 即生成不准确甚至完全错误的信息传统的解决方案
[00:01:30 - 00:01:34] 即在每次对话开始时注入所有可能的背景信息
[00:01:34 - 00:01:37] 是一种简单粗暴但效率低下的方法
[00:01:37 - 00:01:39] 这引出了我们面临的核心工程挑战
[00:01:39 - 00:01:42] 如何在有限的上下文预算内
[00:01:42 - 00:01:45] 动态的智能的微模型提供最相关的信息
[00:01:45 - 00:01:47] 从而最大化其有效能力
[00:01:47 - 00:01:50] 同时保证输出的可靠性和一致性
[00:01:50 - 00:01:53] 这个问题是驱动后续所有架构眼睛的根本动力
[00:01:53 - 00:01:56] 面对上述挑战第一代解决方案应运而生
[00:01:56 - 00:01:58] 我称之为Rus架构
[00:01:58 - 00:02:01] 其本质是对系统提示词进行工程化的管理
[00:02:01 - 00:02:06] 最初开发者们只是将所有规则、代码规范API文档等信息
[00:02:06 - 00:02:09] 堆砌在一个巨大的文本文件中
[00:02:09 - 00:02:11] 这种方式很快就暴露了
[00:02:11 - 00:02:14] 在可维护性和版本控制上的巨大缺陷
[00:02:14 - 00:02:16] 于是Rus架构眼睛到了模块化阶段
[00:02:16 - 00:02:20] 我们开始按照功能预将规则拆分成独立的文件
[00:02:20 - 00:02:25] 例如代码规范、设计范氏、名词解释、业务逻辑、组建描述等
[00:02:25 - 00:02:29] 在运行时,这些模块化的规则文件会被合并
[00:02:29 - 00:02:32] 形成一个统一的静态上下文注入到模型中
[00:02:32 - 00:02:35] 然而,这种静态合并策略也带来了新的问题
[00:02:35 - 00:02:39] 无论当前任务是否需要,所有模块都会被架在
[00:02:39 - 00:02:42] 这造成了宝贵的上下文窗口资源的巨大浪费
[00:02:42 - 00:02:44] 这种全量夹载的模式
[00:02:44 - 00:02:47] 虽然在一定程度上解决了规则的管理问题
[00:02:47 - 00:02:49] 但其固有的低效性
[00:02:49 - 00:02:52] 预示着它必然会被更精细化的方案所取代
[00:02:52 - 00:02:55] 这为我们接下来的探讨埋下了伏笔
[00:02:55 - 00:02:57] 在解决了基础信息注入的问题后
[00:02:57 - 00:03:00] 我们面临的下一个挑战是流程的标准化
[00:03:00 - 00:03:04] 开发工作流中包含了大量可重复的多步骤的操作
[00:03:04 - 00:03:08] 例如代码提交创建PollRequest运行测试等
[00:03:08 - 00:03:10] 人工执行这些流程不仅效率低下
[00:03:10 - 00:03:13] 而且极意出错导致不一致的结果
[00:03:13 - 00:03:14] 为了解决这个问题
[00:03:14 - 00:03:15] Commands曾被引入
[00:03:15 - 00:03:17] Commands的本质
[00:03:17 - 00:03:20] 是将一个完整的工作流模板画编码画
[00:03:20 - 00:03:22] 它通常由三部分组成
[00:03:22 - 00:03:24] 精心设计的提示词模板
[00:03:24 - 00:03:26] 用于执行具体操作的脚本
[00:03:26 - 00:03:28] 以及用于版本管理的Get倉库
[00:03:28 - 00:03:29] 通过Commence
[00:03:29 - 00:03:31] 我们可以将一个复杂的手动流程
[00:03:31 - 00:03:34] 封装成一个单一的可重复调用的命令
[00:03:34 - 00:03:37] 这不仅极大的提升了个人效率
[00:03:37 - 00:03:38] 更重要的是
[00:03:38 - 00:03:40] 它为团队协作提供了坚实的基础
[00:03:40 - 00:03:43] 标准化的Commence可以在团队内部共享
[00:03:43 - 00:03:46] 确保了流程的一致性沉淀了最佳时间
[00:03:46 - 00:03:48] 并显著降低了新成员的学习成本
[00:03:48 - 00:03:51] 从这里开始 AI 编程开始超越简单的问答
[00:03:51 - 00:03:54] 向着真正的工程化卖出了关键一步
[00:03:54 - 00:03:57] 到目前为止我们讨论的 Rules 和 Command
[00:03:57 - 00:04:00] 本质上仍是在文本层面与 LLM 进行交互
[00:04:00 - 00:04:02] 然而一个真正的 AI Agent
[00:04:02 - 00:04:05] 必须具备与外部世界交互
[00:04:05 - 00:04:06] 执行实际操作的能力
[00:04:06 - 00:04:10] 这正是 MCP servers 所要解决的核心问题
[00:04:10 - 00:04:11] MCP 的加构设计
[00:04:11 - 00:04:14] 只在定义一套标准化的服务接口协议
[00:04:14 - 00:04:16] 允许LLM通过这套协议
[00:04:16 - 00:04:19] 安全可靠的调用外部工具和系统
[00:04:19 - 00:04:22] 这标志着AI编程从纯粹的文本生成
[00:04:22 - 00:04:25] 向系统操作的革命性转变
[00:04:25 - 00:04:28] 通过mcp AI agent可以实现数据库查询
[00:04:28 - 00:04:31] 调用企业内部API操作文件系统
[00:04:31 - 00:04:35] 甚至处理复杂的OAS身份认证流程
[00:04:35 - 00:04:37] 但是这种能力的无限扩展也带来了
[00:04:37 - 00:04:39] 新的更严峻的挑战
[00:04:39 - 00:04:41] 工具数量的爆炸式增长
[00:04:41 - 00:04:43] 导致了新一轮的上下文膨胀问题
[00:04:43 - 00:04:46] 更重要的是如何保证外部工具调用的正确性
[00:04:46 - 00:04:48] 密等性以及安全性
[00:04:48 - 00:04:51] 成为了架构设计中必须面对的核心难题
[00:04:51 - 00:04:54] MCP为我们打开了新世界的大门
[00:04:54 - 00:04:56] 但也给我们带来了更复杂的考题
[00:04:56 - 00:05:00] 面对MCP带来的上下文膨胀和工具管理复杂性
[00:05:00 - 00:05:03] 社区开始探索更为智能的上下文管理策略
[00:05:03 - 00:05:06] 其核心思想源于经典的分治理论
[00:05:06 - 00:05:09] 将一个庞大的无所不能的agent
[00:05:09 - 00:05:12] 拆解为多个专注的小儿媒的agent
[00:05:12 - 00:05:15] 这一思想催生了两种具体的架构模式
[00:05:15 - 00:05:17] Mods和SubAgent
[00:05:17 - 00:05:20] Mods的设计理念是根据当前任务的类型
[00:05:20 - 00:05:22] 为Agent动态的切换角色
[00:05:22 - 00:05:24] 例如在规划模式下
[00:05:24 - 00:05:26] Agent只能访问项目管理工具
[00:05:26 - 00:05:30] 在编码模式下则切换为代码编辑和调试工具
[00:05:30 - 00:05:31] 这种模式切换
[00:05:31 - 00:05:35] 本质上是动态的调整系统提示词和可用的工具级
[00:05:35 - 00:05:37] SubAgent则更进一步
[00:05:37 - 00:05:40] 它将不同的功能彻底隔离到独立的代理中
[00:05:40 - 00:05:44] 每个子代里拥有自己专属的工具级和权限
[00:05:44 - 00:05:46] 这种架构不仅极大的降低了
[00:05:46 - 00:05:49] 主Agent的上下文污染提高了任务的准确率
[00:05:49 - 00:05:52] 更在安全性上提供了坚实的保障
[00:05:52 - 00:05:54] 然而这种架构也引入了新的复杂性
[00:05:54 - 00:05:57] 例如多个Agent之间的状态管理
[00:05:57 - 00:05:59] 上下文切换的性能开销等
[00:05:59 - 00:06:00] 但无论如何
[00:06:00 - 00:06:02] 它代表了我们向着更精细化
[00:06:02 - 00:06:05] 更智能的上下文管理卖出的重要一步
[00:06:05 - 00:06:09] 尽管我们通过Mode和SubAgent对上下文进行了优化
[00:06:09 - 00:06:11] 但LM本身的概率性输出特性
[00:06:11 - 00:06:15] 决定了AI agent的行为在本质上仍然是非确定性的
[00:06:15 - 00:06:18] 这在实验环境中或许可以接受
[00:06:18 - 00:06:22] 但在要求高可靠性的生产环境中却是致命的缺陷
[00:06:22 - 00:06:23] 为了解决这个问题
[00:06:23 - 00:06:25] Hooks机制被引入
[00:06:25 - 00:06:26] 其核心目标
[00:06:26 - 00:06:29] 就是为AI agent的工作流引入确定性
[00:06:29 - 00:06:32] 我们可以将Hooks与传统软件工程中的AOP
[00:06:32 - 00:06:36] 面向千面编程或中间键思想进行类比
[00:06:36 - 00:06:38] 或中间见思想进行类比
[00:06:38 - 00:06:41] 它允许我们在Agent的工作流的关键节点
[00:06:41 - 00:06:42] 注入确定性的逻辑
[00:06:42 - 00:06:43] 具体来说
[00:06:43 - 00:06:44] Hooks分为两种
[00:06:44 - 00:06:46] 一种是静态Hooks
[00:06:46 - 00:06:48] 它在每次对话开始前运行
[00:06:48 - 00:06:50] 用于注入那些不可辨的关键信息
[00:06:50 - 00:06:52] 确保了输入的确定性
[00:06:52 - 00:06:54] 另一种是动态Hooks
[00:06:54 - 00:06:56] 它在对话结束后被出发
[00:06:56 - 00:06:58] 用于执行注入日制纪录
[00:06:58 - 00:07:00] 状态更新 结果验证等自动化操作
[00:07:00 - 00:07:02] 确保了输出处理的确定性
[00:07:02 - 00:07:03] 通过这种方式
[00:07:03 - 00:07:05] 我们将Agent的核心概率性逻辑
[00:07:05 - 00:07:12] 概率性逻辑,包括在一个确定性的执行框架之内,极大地提升了整个系统的稳定性和可预测性。
[00:07:12 - 00:07:20] 回顾我们的眼睛历程,从 Rules到 Commands,再到 MCP我们实际上是在用不同的方式定义和管理 AI Agent 的能力,
[00:07:20 - 00:07:27] 但这些方式是碎片化的,不同意的。社区迫切需要一个统一的标准,来封装分发和复用这些能力。
[00:07:27 - 00:07:29] 这便是skills诞生的背景
[00:07:29 - 00:07:32] 一个skill被定义为一个包含了提示词
[00:07:32 - 00:07:35] 脚本工具定义配置乃至相关资源的完整功能包
[00:07:35 - 00:07:37] 它与command最大的区别在于
[00:07:37 - 00:07:40] skills是高度标准化的
[00:07:40 - 00:07:42] 可版本化的并且亦于共享的
[00:07:42 - 00:07:44] 但skills加购最核心的创新
[00:07:44 - 00:07:46] 在于其按虚加载机制
[00:07:46 - 00:07:49] 这意味着一个skill只有在被显示调用时
[00:07:49 - 00:07:52] 其相关的上下文才会被加载到模型中
[00:07:52 - 00:07:54] 这从根本上解决了困扰
[00:07:54 - 00:07:56] 我们许久的上下文膨胀问题
[00:07:56 - 00:07:57] 膨胀问题
[00:07:57 - 00:08:01] skills的出现标志着 AI 编程从手工做方式的开发
[00:08:01 - 00:08:05] 走向了可附用可组合可扩展的生态化阶段
[00:08:05 - 00:08:09] 它为构建一个类似 NPM 或 PPI 的 AI 能力市场
[00:08:09 - 00:08:11] 奠定了坚实的架构基础
[00:08:11 - 00:08:14] 理论的优雅最终需要通过工程实践来检验
[00:08:14 - 00:08:17] 著名的 AI 编程环境 cursor
[00:08:17 - 00:08:21] 就为我们提供了一个将 skills 架构成功落地的绝佳案例
[00:08:21 - 00:08:25] cursor 的核心架构正是基于 skills 的延迟加在策略
[00:08:25 - 00:08:29] 在Cursor中,开发者可以安装和管理数百个不同的skills
[00:08:29 - 00:08:33] 但这些skills在默认状态下,并不会占用任何上下文资源
[00:08:33 - 00:08:39] 只有当用户通过特定的指令触发某个skills时,其对应的工具,定义和提示词
[00:08:39 - 00:08:43] 才会被动态的加载到当前的对话上下文中
[00:08:43 - 00:08:45] 这种优化带来的效果是显著的
[00:08:45 - 00:08:48] 用户的交互响应时间从可能需要数秒
[00:08:48 - 00:08:52] 降低到了好秒级,几乎达到了无感知的程度
[00:08:52 - 00:08:56] 更重要的是这种架构保证了系统的可扩展性
[00:08:56 - 00:08:59] 即使VLSKILS生态发展到拥有数千个技能
[00:08:59 - 00:09:01] 系统的基础性能也不会受到影响
[00:09:01 - 00:09:03] Cursor的成功实践证明了
[00:09:03 - 00:09:10] 一个优秀的架构设计其最终的体现就是将底层的复杂性完美的封装起来
[00:09:10 - 00:09:13] 为用户提供简单流畅高效的体验
[00:09:13 - 00:09:15] 现在让我们回到架构选择的核心
[00:09:15 - 00:09:17] 经过前面的分析
[00:09:17 - 00:09:20] 我们可以将所有复杂的上下文管理策略
[00:09:20 - 00:09:22] 规戒为两个基本概念的权衡
[00:09:22 - 00:09:23] Rose和Skills
[00:09:23 - 00:09:25] Rose代表静态上下文
[00:09:25 - 00:09:26] 它是那些必须的
[00:09:26 - 00:09:28] 不可辨的在每次对话中
[00:09:28 - 00:09:30] 都必须存在的基础信息
[00:09:30 - 00:09:33] 它的特点是高优先级低变化频率
[00:09:33 - 00:09:35] 而Skills则代表动态上下文
[00:09:35 - 00:09:36] 它是那些可选的
[00:09:36 - 00:09:38] 可组合的暗虚加载的扩展能力
[00:09:38 - 00:09:41] 它的特点是功能导向暗虚使用
[00:09:41 - 00:09:43] 在实际的工程实践中
[00:09:43 - 00:09:45] 我们并不需要在这两者之间
[00:09:45 - 00:09:47] 做出非此极笔的选择
[00:09:47 - 00:09:49] 而是应该采用一种混合策略
[00:09:49 - 00:09:50] 最佳实践是
[00:09:50 - 00:09:53] 保持一个极其精减和高质量的ROOS层
[00:09:53 - 00:09:55] 用于定义系统的核心行为和约束
[00:09:55 - 00:09:58] 同时构建一个丰富模块化的skills生态
[00:09:58 - 00:10:00] 用于提供各种专业能力
[00:10:00 - 00:10:02] 如何在这两者之间划分界限
[00:10:02 - 00:10:04] 持决于具体的信息属性
[00:10:04 - 00:10:08] 它的使用频率 变化频率以及重要性等级
[00:10:08 - 00:10:09] 理解这个决策框架
[00:10:09 - 00:10:13] 是构建一个高效可扩展AI agent的关键所在
[00:10:13 - 00:10:15] 既然ROOS层如此重要
[00:10:15 - 00:10:17] 我们应该如何设计和维护它呢
[00:10:17 - 00:10:19] 这里有五个工程上的最佳实践
[00:10:19 - 00:10:24] 第一最小化原则由于Ruth会常铸上下文必须严格控制其大小
[00:10:24 - 00:10:26] 删除每一个荣誉的token
[00:10:26 - 00:10:31] 第二结构化设计使用清晰的层级分类和优先级来组织Ruth
[00:10:31 - 00:10:32] 使其亦于理解和维护
[00:10:32 - 00:10:36] 第三可维护性将Ruth纳入版本控制
[00:10:36 - 00:10:38] 建立清晰的编更日誌和回溯机制
[00:10:38 - 00:10:40] 第四迭代优化
[00:10:40 - 00:10:42] 基于实际运行中Agent的错误案例
[00:10:42 - 00:10:45] 持续于的数据驱动对Ruth进行改进和优化
[00:10:45 - 00:10:47] 第五文档化
[00:10:47 - 00:10:50] 为每一条重要的入口提供清晰的注释
[00:10:50 - 00:10:52] 解释其存在的原因和预期的效果
[00:10:52 - 00:10:56] 总而言之,我们应该将Ruth视为一个活的代码
[00:10:56 - 00:10:58] 一个需要像维护核心代码一样
[00:10:58 - 00:11:01] 被持续关注重构和优化的关键资产
[00:11:01 - 00:11:03] 一个高质量的Ruth层
[00:11:03 - 00:11:06] 是整个AI Agent稳定运行的基石
[00:11:06 - 00:11:07] Skills架构的出现
[00:11:07 - 00:11:09] 为我们描绘了一个激动人心的未来
[00:11:09 - 00:11:12] 它不仅仅是一种上瞎闻管理技术
[00:11:12 - 00:11:15] 更是一种构建AI能力生态的标准化方式
[00:11:15 - 00:11:16] 我们可以预见
[00:11:16 - 00:11:19] 在不久的将来 一个类似NPM或PiPI的
[00:11:19 - 00:11:22] 分布式skills市场将会形成
[00:11:22 - 00:11:23] 开发者可以在这个市场上发布
[00:11:23 - 00:11:26] 发现和附用各种高质量的skills
[00:11:26 - 00:11:29] 为了支撑这个生态标准化的开发框架
[00:11:29 - 00:11:32] 测试套件和文档规范将应运而生
[00:11:32 - 00:11:34] 极大的降低开发者的门槛
