BV号：BV152G16QEAG
标题：BV152G16QEAG
链接：https://www.bilibili.com/video/BV152G16QEAG
识别语言：zh
语言置信度：1
分段数：404
生成时间：2026-08-29 09:04:29

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:07] 就在最近 华为在Easecasts 2026上发表了一套新的芯片眼睛框架
[00:00:07 - 00:00:08] 整个科技圈都在讨论
[00:00:08 - 00:00:11] 但这不是又一篇空中楼阁的论文
[00:00:11 - 00:00:15] 和平波团队拿出了381款芯片作为时间样本
[00:00:15 - 00:00:18] 关键问题是 当传统的几何缩放遇到物理极限
[00:00:18 - 00:00:20] 我们应该优化什么
[00:00:20 - 00:00:23] 华为的答案是 优化时间 而不是空间
[00:00:23 - 00:00:25] 首先我要问你一个问题
[00:00:25 - 00:00:27] 摩尔定律真的死了吗
[00:00:27 - 00:00:29] 这个问题的答案没有那么绝对
[00:00:29 - 00:00:34] intel仍然在说摩尔定律通过风桩、新材料、架构继续推进
[00:00:34 - 00:00:38] 台积电也在推进A13、A14、N2U等先进节点
[00:00:38 - 00:00:40] 但有一个无法回避的事实
[00:00:40 - 00:00:43] 传统的几何缩放红利正在衰减
[00:00:43 - 00:00:44] 从7nm之后
[00:00:44 - 00:00:46] 每个经体管的成本不仅没有下降
[00:00:46 - 00:00:47] 反而开始上升
[00:00:47 - 00:00:51] 建一座3nm经员厂要投资200亿美元以上
[00:00:51 - 00:00:53] 这意味着那个维持了50年的行业契约
[00:00:53 - 00:00:56] 每一代以更低的成本获得更多经体管
[00:00:56 - 00:00:57] 已经破裂了
[00:00:57 - 00:00:58] 对于华为来说
[00:00:58 - 00:01:00] 这个问题更加紧迫
[00:01:00 - 00:01:02] 因为众所周知的原因
[00:01:02 - 00:01:05] 华为及其代工生态难以获得EUV先进光刻能力
[00:01:05 - 00:01:08] 既然坐小这条路的经济性在下降
[00:01:08 - 00:01:09] 那就只能被困死吗
[00:01:09 - 00:01:11] 和平波团队给出的答案是
[00:01:11 - 00:01:13] 改变优化的目标本身
[00:01:13 - 00:01:15] 但这不是凭空想象出来的
[00:01:15 - 00:01:17] 这是基于一个根本的认知转变
[00:01:17 - 00:01:20] 摩尔丁律的本质从来就不是关于空间的
[00:01:20 - 00:01:21] 而是关于时间的
[00:01:21 - 00:01:22] 为什么这么说
[00:01:22 - 00:01:25] 因为更小的经体管之所以能提升性能
[00:01:25 - 00:01:27] 是因为它们切换的更快
[00:01:27 - 00:01:30] 更逆的连线之所以好是因为信号跑的距离更短
[00:01:30 - 00:01:35] 更高的集成度之所以提升性能是因为数据跨越的边界更少
[00:01:35 - 00:01:39] 换句话说每一代芯片本质上交付的都是时间的压缩
[00:01:39 - 00:01:43] 从皮秒急的经体管开关到那秒急的电路延迟
[00:01:43 - 00:01:45] 再到微秒急的芯片访问
[00:01:45 - 00:01:47] 最后到秒急的数据中心工作负载
[00:01:47 - 00:01:51] 既然如此为什么不直接把时间作为统一的优化目标呢
[00:01:51 - 00:01:53] 这就是套定率的核心思想
[00:01:53 - 00:01:55] 好 现在我们进入技术细节
[00:01:55 - 00:01:58] 华为论文提出了一个统一的优化目标
[00:01:58 - 00:02:00] 叫做套及时间常数
[00:02:00 - 00:02:02] 这个套不是一个单一的数字
