BV号：BV14gdbBeEUV
标题：BV14gdbBeEUV
链接：https://www.bilibili.com/video/BV14gdbBeEUV
识别语言：zh
语言置信度：1
分段数：193
生成时间：2026-08-29 07:51:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 现在大模型的上下文窗口越来越长
[00:00:05 - 00:00:07] 从128k到100万
[00:00:07 - 00:00:11] 甚至几百万Token的模型都已经进入测试阶段
[00:00:11 - 00:00:12] 在这个背景下
[00:00:12 - 00:00:14] 一种非常乐观的声音在行业内蔓延
[00:00:14 - 00:00:17] 比如Anthropic的CEO Dario就公开表示
[00:00:17 - 00:00:20] 既然模型能记住这么多上下文
[00:00:20 - 00:00:23] 持续学习在1-2年内就会被解决
[00:00:23 - 00:00:25] 它根本不是阻碍AGI的半角石
[00:00:25 - 00:00:27] 听起来逻辑很自洽
[00:00:27 - 00:00:29] 只要窗口足够大
[00:00:29 - 00:00:31] 把所有新知識全塞進promptly
[00:00:31 - 00:00:32] AI不就學會了嗎?
[00:00:32 - 00:00:34] 但今天我們挑出這種直覺陷阱
[00:00:34 - 00:00:38] 從底層的工程架構和物理限制來做一次硬核拆解
[00:00:38 - 00:00:40] 接下來8分鐘我會告訴你
[00:00:40 - 00:00:43] 為什麼用拉長上下文來替代持續學習
[00:00:43 - 00:00:46] 在工程上是一個徹頭徹尾的偽命題
[00:00:46 - 00:00:48] 以及即使給你100萬token
[00:00:48 - 00:00:51] 為什麼依然無法跨越災難性遺忘的物理瓶頸
[00:00:51 - 00:00:53] 我們先來釐清一個基礎概念的混淆
[00:00:53 - 00:00:56] 上下文學習不等於持續學習
[00:00:56 - 00:00:59] 你给gpt输入了一篇10万字的常文档
[00:00:59 - 00:01:01] 它能根据文档回答问题
[00:01:01 - 00:01:02] 这叫上下文记义
[00:01:02 - 00:01:05] 这本质上是在模型的推理阶段发生的
[00:01:05 - 00:01:08] 模型的底层权重参数并没有改变
[00:01:08 - 00:01:09] 只要你新开一个对话
[00:01:09 - 00:01:10] 它立刻就会失忆
