BV号：BV11sQaYqEUe
标题：BV11sQaYqEUe
链接：https://www.bilibili.com/video/BV11sQaYqEUe
识别语言：zh
语言置信度：1
分段数：336
生成时间：2026-08-30 10:40:15

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在人工智能飞速发展的今天
[00:00:04 - 00:00:06] Transformer架构已经成为了
[00:00:06 - 00:00:08] 深度学习领域的中流底柱
[00:00:08 - 00:00:10] 无论是在自然语言处理
[00:00:10 - 00:00:11] 还是计算机视觉方面
[00:00:11 - 00:00:14] Transformer都有着举足轻重的地位
[00:00:14 - 00:00:15] 不过就在刚刚
[00:00:15 - 00:00:17] 何凯明 杨丽坤这两位行业巨头
[00:00:17 - 00:00:20] 协守合作 通过仅仅九行代码
[00:00:20 - 00:00:21] 就砍掉了Transformer架构中
[00:00:21 - 00:00:23] 被视为标配的归一化层
[00:00:23 - 00:00:25] 而且令人惊讶是
[00:00:25 - 00:00:27] 模型的性能不仅没有下降
[00:00:27 - 00:00:28] 反而得到了提升
[00:00:28 - 00:00:30] 那么这个突破到底是如何实现的
[00:00:30 - 00:00:33] 又会给未来的深度学习发展带来哪些影响呢
[00:00:33 - 00:00:36] 今天大飞就来给大家简单解读一下这篇论文
[00:00:36 - 00:00:38] 在深度学习的世界里
[00:00:38 - 00:00:42] 规矩化层可以说就像是神经网络大厦的基石无处不在
[00:00:42 - 00:00:46] 长期以来它一直被认为是现代神经网络中不可或缺的一部分
[00:00:46 - 00:00:50] 几乎所有的现代神经网络架构都会采用规矩化层
[00:00:50 - 00:00:52] 尤其是在Transformer架构中
[00:00:52 - 00:00:54] 层规矩化LN更是备受请来
[00:00:54 - 00:00:58] 这是因为规遗化层在优化神经网络的训练过程中
[00:00:58 - 00:01:00] 展现出了显著的实证优势
[00:01:00 - 00:01:03] 被普遍认为是深度网络高效训练的关键因素
[00:01:03 - 00:01:05] 在过去的10年间
[00:01:05 - 00:01:07] 随着神经网络技术的不断发展
[00:01:07 - 00:01:10] 许多研究都在治理于探索新的架构和方法
[00:01:10 - 00:01:12] 新的神经网络架构也层出不穷
[00:01:12 - 00:01:15] 有些尝试去替换注意力层
[00:01:15 - 00:01:17] 有些则在卷机层上做文章
[00:01:17 - 00:01:20] 但是规遗化层却始终稳坐调一台
[00:01:20 - 00:01:22] 很少有人会去质疑它的必要性
[00:01:22 - 00:01:24] 也很少有人会尝试去剃掉它
[00:01:24 - 00:01:27] 直到何凯明、杨丽坤等人的这项研究出现
[00:01:27 - 00:01:30] 才彻底打破了人们对于鸣医化层的固有认知
[00:01:30 - 00:01:32] 研究人员发现
[00:01:32 - 00:01:34] 即便去掉了Transformer中的鸣医化层
[00:01:34 - 00:01:35] 通过一种巧妙的方法
[00:01:35 - 00:01:38] 依然能够让模型达到相同甚至更好的性能
[00:01:38 - 00:01:41] 这种方法就是动态Tangent
[00:01:41 - 00:01:42] 简称DIT
[00:01:42 - 00:01:45] 它的原理其实源于一个看似简单
[00:01:45 - 00:01:47] 却有极具动察力的观察
[00:01:47 - 00:01:48] 那就是研究人员发现
[00:01:48 - 00:01:49] 曾鸣医化LN
[00:01:49 - 00:01:52] 在将输入转换为输出的过程中
[00:01:52 - 00:01:53] 呈现出了类似于
[00:01:53 - 00:01:55] 贪政的函数的S型曲线特征
[00:01:55 - 00:01:57] 这种曲线能够有效的压缩
[00:01:57 - 00:01:59] 输入中的极端值
[00:01:59 - 00:02:01] 同时在中心区域保持较好的线性形态
[00:02:02 - 00:02:03] 基于这个发现
[00:02:03 - 00:02:04] 研究人员提出了dyt
[00:02:04 - 00:02:07] 用它来代替传统的规划层
[00:02:07 - 00:02:08] dyt的定义是这样的
[00:02:08 - 00:02:11] 这里的α是一个可学习的参数
[00:02:11 - 00:02:13] 它的作用是学习合适的缩放因子
[00:02:14 - 00:02:16] 而贪政的函数则利用自身的有界性
[00:02:16 - 00:02:17] 来抑制极端值
[00:02:17 - 00:02:21] 这也是为什么将这个操作命为动态摊针的原因
[00:02:21 - 00:02:25] GAWAR和BETA同样是可学习的主通道的项量参数
[00:02:25 - 00:02:28] 他们的存在允许输出所放到任意的尺度
[00:02:28 - 00:02:29] 因此在新的设计中
[00:02:29 - 00:02:31] 他们被视为地外层的一部分
[00:02:31 - 00:02:34] 就如同在规遇化层中也包含类似的参数一样
[00:02:35 - 00:02:37] 地败T的实现代码非常的简洁
[00:02:37 - 00:02:40] 仅仅9行代码就完成了从构思到实践的跨越
[00:02:41 - 00:02:42] 具体代码如图所示
[00:02:43 - 00:02:44] 从代码中我们可以看出
[00:02:44 - 00:02:46] 地败T在结构上并不复杂
[00:02:46 - 00:02:48] 但是却运寒了创新的思维
[00:02:48 - 00:02:50] 它无需像传统规划从那样
[00:02:50 - 00:02:52] 计算激活统计信息
[00:02:52 - 00:02:54] 就能够同时实现对于输入的缩放
[00:02:54 - 00:02:55] 和极值的意志
[00:02:55 - 00:02:59] 这无疑是对传统规划方式的一种大胆的革新
[00:02:59 - 00:03:01] 为了验证DIT的有效性
[00:03:01 - 00:03:04] 联军团队还进行了一系列广泛而生物的实验
[00:03:04 - 00:03:06] 涵盖了多个不同的领域和任务
[00:03:06 - 00:03:08] 涉及到多种Transform的结构和现代架构
[00:03:08 - 00:03:11] 在视觉领域的监督学习任务中
[00:03:11 - 00:03:14] 研究人员选择了ImageNet1K分类任务
[00:03:14 - 00:03:18] 并对Base和Large规模的VIT和Componax的模型进行了训练
[00:03:18 - 00:03:21] VIT以其独特的注意力机制
[00:03:21 - 00:03:23] 在图像分类等任务中表现出色
[00:03:23 - 00:03:25] 而Componax的则基于卷机操作
[00:03:25 - 00:03:28] 同样在视觉领域占据着重要地位
[00:03:28 - 00:03:29] 实验的结果令人惊喜
[00:03:29 - 00:03:32] DIYT在这两种架构和不同模型规模上
[00:03:32 - 00:03:34] 都展现出了优异的性能
[00:03:34 - 00:03:35] 在VitB模型上
[00:03:35 - 00:03:38] DIYT的TOP1分类准确率达到了82.5%
[00:03:38 - 00:03:42] 相比使用LN的82.3%提升了0.2%
[00:03:42 - 00:03:45] 在VITL L模型上提升更为明显
[00:03:45 - 00:03:48] 从83.1%提升到了83.6%
[00:03:48 - 00:03:50] 漲幅达到0.5%
[00:03:50 - 00:03:51] 在Covonax的系列模型中
[00:03:51 - 00:03:54] 虽然部分模型的准确率提升幅度较小
[00:03:54 - 00:03:57] 但是DIYT也保持了与LN相当的性能
[00:03:57 - 00:03:58] 例如Covonax的B模型中
[00:03:58 - 00:04:01] 两者均为83.7%
[00:04:01 - 00:04:02] Covonax L模型中
[00:04:02 - 00:04:05] DIYT的准确率为84.4%
[00:04:05 - 00:04:07] 略高于LN的84.3%
[00:04:07 - 00:04:09] 如果进一步观察训练的损失曲线
[00:04:09 - 00:04:10] 就会发现
[00:04:10 - 00:04:12] DIT和基于LN的模型
[00:04:12 - 00:04:13] 收敛行为高度的一致
[00:04:13 - 00:04:14] 这表明
[00:04:14 - 00:04:16] 他们在学习动态上具有相似性
[00:04:16 - 00:04:18] 也从侧面证明了DIT的有效性
[00:04:18 - 00:04:21] 在视觉的自见度学习方面
[00:04:21 - 00:04:22] 年轻人员采用了
[00:04:22 - 00:04:25] 研磨字边码器MAE和Dino这两种流行的方式
[00:04:25 - 00:04:26] 进行了基准测试
[00:04:26 - 00:04:29] MAE通过重建损失进行训练
[00:04:29 - 00:04:31] 而Dino则使用联合嵌入损失
[00:04:31 - 00:04:34] 两转都是以位的作为骨干网络
[00:04:34 - 00:04:36] 在以MateNet1K上进行预训练之后
[00:04:36 - 00:04:37] 通过附加分类层
[00:04:37 - 00:04:39] 并且使用标签进行微调
[00:04:39 - 00:04:40] 来测试模型的性能
[00:04:40 - 00:04:42] 实验结果显示
[00:04:42 - 00:04:43] dyt在自监督学习任务中
[00:04:43 - 00:04:45] 表现与ln相当
[00:04:45 - 00:04:47] 在mae width b模型中
[00:04:47 - 00:04:49] 两者的准确率都为83.2%
[00:04:49 - 00:04:50] 在dino width b
[00:04:50 - 00:04:52] patch size 16的模型上
[00:04:52 - 00:04:55] dyt的准确率为83.4%
[00:04:55 - 00:04:57] 略高于ln的83.2%
[00:04:57 - 00:04:58] 在dino width b
[00:04:58 - 00:04:59] patch size 8的模型中
[00:04:59 - 00:05:01] dyt的优势更为明显
[00:05:01 - 00:05:03] 准确率达到84.5%
[00:05:03 - 00:05:06] 比Ln的84.1%提升了0.4%
[00:05:06 - 00:05:08] 由于在图像生成领域
[00:05:08 - 00:05:10] 扩散模型有着重要的作用
[00:05:10 - 00:05:12] 所以研究人员在ImageNet的1K上
[00:05:12 - 00:05:14] 训练了三种规模的DIT模型
[00:05:14 - 00:05:16] 分别为BL和XL
[00:05:16 - 00:05:18] 其中派出大小各部相同
