BV号：BV1EQFWexEMB
标题：BV1EQFWexEMB
链接：https://www.bilibili.com/video/BV1EQFWexEMB
识别语言：zh
语言置信度：1
分段数：358
生成时间：2026-08-30 18:04:07

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:05] 我们都知道在经济领域中存在着一种现象
[00:00:05 - 00:00:06] 叫做资源组咒
[00:00:06 - 00:00:09] 那些极度依赖于出售石油等自然资源
[00:00:09 - 00:00:10] 来获得收入的国家
[00:00:10 - 00:00:12] 往往会陷入一种困境
[00:00:12 - 00:00:16] 比如说北京日拉 沙特阿拉伯 挪威和阿曼等国
[00:00:16 - 00:00:19] 他们的主要收入来源资源 比如说石油
[00:00:19 - 00:00:21] 而非公民生产性活动的产出
[00:00:21 - 00:00:24] 所以他们也被称为实力国
[00:00:24 - 00:00:25] 以钢国民主共和国为例
[00:00:25 - 00:00:29] 这个国家地下拥有价值超过24万亿美元的
[00:00:29 - 00:00:30] 未開採礦藏
[00:00:30 - 00:00:33] 然而大多數民眾卻並沒有從這些財富中受益
[00:00:33 - 00:00:36] 長期的衝突 政治動盪和不穩定
[00:00:36 - 00:00:39] 加之專制統治導致了嚴重和持續的危機
[00:00:39 - 00:00:43] 根據估計2024年大約有73.5%的鋼果人
[00:00:43 - 00:00:46] 每天生活費不足2.15美元
[00:00:46 - 00:00:49] 而在撒哈拉以南的非洲極端貧困人口中
[00:00:49 - 00:00:51] 每6個人中就有1個人生活在鋼果
[00:00:51 - 00:00:54] 這就是資源詛咒的一個典型案例
[00:00:54 - 00:00:56] 那些擁有豐富自然資源的國家
[00:00:56 - 00:00:59] 經濟增長往往不如經濟多元化的國家
[00:00:59 - 00:01:00] 贫困率也更高
[00:01:00 - 00:01:02] 虽然导致资源组织的成因很多
[00:01:02 - 00:01:05] 但是其中一个核心的因素就是
[00:01:05 - 00:01:07] 自然资源收入削减了国家
[00:01:07 - 00:01:09] 关心其公民经济处置的动力
[00:01:09 - 00:01:10] 简单来说就是
[00:01:10 - 00:01:13] 如果你可以直接用地下的资源来赚钱
[00:01:13 - 00:01:15] 为什么还要向公民收税呢
[00:01:15 - 00:01:17] 那么这个和AI有什么关系呢
[00:01:17 - 00:01:18] 有关键认为
[00:01:18 - 00:01:20] 当AGI实现之后
[00:01:20 - 00:01:22] 人类可能也会面临类似的智能组织
[00:01:22 - 00:01:24] 在网上的一篇文章
[00:01:24 - 00:01:26] 资本AGI与人类雄心中
[00:01:26 - 00:01:28] 作者鲁道夫曾经指出
[00:01:28 - 00:01:29] AJI到来之后
[00:01:29 - 00:01:30] 劳动力替代性的AI
[00:01:30 - 00:01:34] 将会改变人力与非人力生产要素的相对重要性
[00:01:34 - 00:01:36] 这会降低社会对人类的关注度
[00:01:36 - 00:01:40] 同时让现有的权力变得更加有效和根深蒂固
[00:01:40 - 00:01:42] 而卢克.德拉格在此基础上
[00:01:42 - 00:01:44] 将这个场景描述为智能诅咒
[00:01:44 - 00:01:46] 他认为在后AJI时代中
[00:01:46 - 00:01:48] 经济的动力将促使寡头势力
[00:01:48 - 00:01:51] 更加倾向于投资AI而非人类
[00:01:51 - 00:01:54] 今天大飞就来给大家分享一下这篇文章
[00:01:54 - 00:01:56] 首先我们来谈一谈AJI到底是什么
[00:01:56 - 00:01:58] 作者卢克认为
[00:01:58 - 00:01:59] AJI是一种高度自主
[00:01:59 - 00:02:02] 而且在大多数有经济价值的工作上
[00:02:02 - 00:02:03] 超过人类的系统
[00:02:03 - 00:02:04] 从技术角度来说
[00:02:04 - 00:02:06] 它是有可能实现的
[00:02:06 - 00:02:07] 并且有相当大的概率
[00:02:07 - 00:02:10] 会在接下来的1到20年内实现
[00:02:10 - 00:02:11] 大家可以想象一下
[00:02:11 - 00:02:14] 一旦AJI开始广泛应用在各个经济领域
[00:02:14 - 00:02:15] 会发生什么情况
[00:02:16 - 00:02:17] 在大多数经济活动中
[00:02:17 - 00:02:19] 一旦用上了比人类更好
[00:02:19 - 00:02:20] 更便宜
[00:02:20 - 00:02:20] 更快
[00:02:20 - 00:02:22] 更可靠的AI系统
[00:02:22 - 00:02:24] 智能组织就可能开始生效了
[00:02:24 - 00:02:25] 作者认为
[00:02:25 - 00:02:27] 如果我们把AJI和以往的技术
[00:02:27 - 00:02:30] 比如说 离爬 争气机或者是计算机进行对比
[00:02:30 - 00:02:34] 就会发现它更像是煤炭或者是石油这样的资源
[00:02:34 - 00:02:36] 而不仅仅是一种普通的技术
[00:02:36 - 00:02:37] 为什么这么说呢?
[00:02:37 - 00:02:40] 首先 AGI和煤炭石油一样
[00:02:40 - 00:02:42] 需要极其富有的参与者来发现和利用
