BV号：BV16TftBtEf8
标题：BV16TftBtEf8
链接：https://www.bilibili.com/video/BV16TftBtEf8
识别语言：zh
语言置信度：1
分段数：162
生成时间：2026-08-29 21:11:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你有没有想过未来敲带码的可能不再是你
[00:00:05 - 00:00:06] 而是一个AI
[00:00:06 - 00:00:08] 这不是科幻电影里的情节
[00:00:08 - 00:00:09] 而是正在发生的现实
[00:00:09 - 00:00:13] 就在最近Anthropic发布了一份重磅报告
[00:00:13 - 00:00:15] 2026 Agented Coding趋势报告
[00:00:15 - 00:00:20] 系统预测了AI Agent将如何颠覆整个软件开发行业
[00:00:20 - 00:00:22] 今天我们就来深入解读这份报告
[00:00:22 - 00:00:25] 看看未来的程序员到底该怎么当
[00:00:25 - 00:00:26] 先说一个关键数据
[00:00:26 - 00:00:29] 研究显示开发者在大约60%的工作中
[00:00:29 - 00:00:31] 已经在使用AI
[00:00:31 - 00:00:33] 但他们能够完全委托给AI的任务
[00:00:33 - 00:00:35] 只有0%到20%
[00:00:35 - 00:00:37] 这个数字看起来矛盾
[00:00:37 - 00:00:39] 但它揭示了一个核心真相
[00:00:39 - 00:00:40] AI不是替代者
[00:00:40 - 00:00:42] 而是一个需要你主动管理
[00:00:42 - 00:00:44] 持续监督的协作伙伴
[00:00:44 - 00:00:46] 报告把2026年的趋势分为三类
[00:00:46 - 00:00:49] 基础趋势讲的是开发方式的根本性变革
[00:00:49 - 00:00:52] 能力趋势讲的是AI agent能做什么
[00:00:52 - 00:00:53] 影响趋势讲的是
[00:00:53 - 00:00:55] 这些变化会带来哪些
[00:00:55 - 00:00:57] 商业和组织层面的冲击
[00:00:57 - 00:00:58] 我们一条一条来看
[00:00:58 - 00:01:01] 第一个基础趋势也是最根本的一个
[00:01:01 - 00:01:04] 软件开发生命周期将被彻底重塑
[00:01:04 - 00:01:06] 过去我们谈需求设计编码测试部署
[00:01:06 - 00:01:08] 每个环节都必累分明
[00:01:08 - 00:01:12] 一个功能从立项到上线往往需要数周
[00:01:12 - 00:01:13] 但在AI agent的驱动下
[00:01:13 - 00:01:15] 这个流程将被极度压缩
[00:01:15 - 00:01:18] 从数周压缩到数小时
[00:01:18 - 00:01:21] 更深刻的变化在于工程师角色的转型
[00:01:21 - 00:01:22] 报告的核心判断是
[00:01:22 - 00:01:25] 工程师正在从代码实现者
[00:01:25 - 00:01:27] 转变为AI系统的指挥官
[00:01:27 - 00:01:30] 你的核心价值不再是写出多少行代码
[00:01:30 - 00:01:32] 而是能否清晰的分解问题
[00:01:32 - 00:01:33] 评估AI输出的质量
[00:01:33 - 00:01:36] 并在关键节点做出正确的架构决策
[00:01:37 - 00:01:39] 还有一个具体的变化值的关注
[00:01:39 - 00:01:42] 项目上手时间将从数周压缩到数小时
[00:01:42 - 00:01:44] Augment Code的一个企业客户
[00:01:44 - 00:01:48] 原本CTO预估需要4-8个月才能完成的项目
[00:01:48 - 00:01:50] 借助AI辅助仅用两周就完成了
[00:01:50 - 00:01:53] 这意味着公司可以更灵活的调配工程师
[00:01:53 - 00:01:56] 实现按需冲刺式的人才部署
[00:01:56 - 00:01:57] 接下来是三个能力趋势
[00:01:57 - 00:01:59] 他们共同描绘了
[00:01:59 - 00:02:01] AI agent能力边界的扩张
[00:02:01 - 00:02:02] 趋势二
[00:02:02 - 00:02:05] 单体agent进化为多agent协作
[00:02:05 - 00:02:07] 就像一个复杂项目需要
[00:02:07 - 00:02:10] 前端后端测试工程师分工合作一样
[00:02:10 - 00:02:13] 未来的AI开发也将由一个指挥官agent
[00:02:13 - 00:02:16] 协调多个专家agent并行工作
[00:02:16 - 00:02:18] 每个字agent有独立的上下文窗口
[00:02:18 - 00:02:21] 专注于自己的任务最终有指挥官会总结果
[00:02:21 - 00:02:24] 方腾公司通过这种分层多agent的架构
[00:02:24 - 00:02:27] 将候选人筛选速度提升了50%
[00:02:27 - 00:02:29] 入职速度提升了40%
[00:02:29 - 00:02:32] 一个物流中心的完整招聘周期
[00:02:32 - 00:02:35] 从一周以上压缩到了72小时以内
[00:02:35 - 00:02:36] 趋势3
[00:02:36 - 00:02:38] 常识成任务成为可能
[00:02:38 - 00:02:41] 早期的AI只能处理几分钟内的小修小补
[00:02:41 - 00:02:43] 修个bug写个函数
[00:02:43 - 00:02:44] 但到2025年底
[00:02:44 - 00:02:47] AI已经能够连续工作数小时
[00:02:47 - 00:02:49] 完成完整的功能级
[00:02:49 - 00:02:52] 2026年这个时间窗口将进一步延伸到数天
[00:02:52 - 00:02:55] 乐天集团就做了一个急剧说服力的测试
[00:02:55 - 00:02:59] 他们让Cloud Code在一个包含1250万行代码
[00:02:59 - 00:03:03] 横跨多种编程语言的大型开源库VLLM中
[00:03:03 - 00:03:06] 独立实现一个复杂的激活项量提取方法
[00:03:06 - 00:03:09] 结果是Cloud在7小时内完成了整个任务
[00:03:09 - 00:03:12] 且实现质量通过了工程师的验收
[00:03:12 - 00:03:13] 趋势4
[00:03:13 - 00:03:15] 人机协作更加智能
[00:03:15 - 00:03:17] 这里有一个协作辈论需要理解
[00:03:17 - 00:03:18] AI能力越强
[00:03:18 - 00:03:20] 人类的监督反而越重要
[00:03:20 - 00:03:22] 而不是越不重要
[00:03:22 - 00:03:24] 报告指出 最有价值的能力进展
[00:03:24 - 00:03:26] 是让AI学会合时求助
[00:03:26 - 00:03:28] 而不是盲目尝试所有任务
[00:03:28 - 00:03:31] 印度金融科技平台CRED的实践
[00:03:31 - 00:03:32] 印证了这一点
[00:03:32 - 00:03:34] 他们在整个开发生命周期中
[00:03:34 - 00:03:35] 引入Clot Code
[00:03:35 - 00:03:36] 执行速度翻倍
[00:03:36 - 00:03:38] 但并非通过减少人类介入
[00:03:38 - 00:03:40] 而是将开发者的注意力
[00:03:40 - 00:03:42] 引导到更高价值的工作上
[00:03:42 - 00:03:43] 趋势5
[00:03:43 - 00:03:46] Azentic Coding渗透到新领域和新用户群
[00:03:46 - 00:03:48] 这个趋势的核心是民主化
[00:03:48 - 00:03:49] 从语言层面看
[00:03:49 - 00:03:52] AI对Cobo4tran这类股东语言的支持
[00:03:52 - 00:03:54] 将打通遗留系统的维护瓶颈
[00:03:54 - 00:03:55] 从用户层面看
