BV号：BV1vjRdBHEc6
标题：BV1vjRdBHEc6
链接：https://www.bilibili.com/video/BV1vjRdBHEc6
识别语言：zh
语言置信度：1
分段数：259
生成时间：2026-08-29 08:28:48

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:04] 你有没有对大模型的token定价产生过疑问
[00:00:04 - 00:00:08] 同样是调用大模型的API输入1000个token的价格
[00:00:08 - 00:00:11] 往往比输出1000个token便宜好几倍
[00:00:11 - 00:00:14] 更奇怪的是 如果你的token缓存命重了
[00:00:14 - 00:00:16] 价格还能再打个折
[00:00:16 - 00:00:19] 很多人觉得这不就是厂商的定价策略吗
[00:00:19 - 00:00:23] 但真像是这背后隐藏着大模型推理最底层的物理逻辑
[00:00:23 - 00:00:25] 你以为你在为AI的智力买单
[00:00:25 - 00:00:27] 其实你是在为它的记性交税
[00:00:27 - 00:00:31] 我们要聊聊那个让所有大厂工程师投禿的KVcash
[00:00:31 - 00:00:34] 聊聊为什么AI有时候像天才有时候像智障
[00:00:34 - 00:00:37] 看完这一期你不仅能理解API调用费用的原理
[00:00:37 - 00:00:40] 还能真正理解AI到底是怎么思考的
[00:00:40 - 00:00:43] 在使用大模型的时候你一定有过这些困惑
[00:00:43 - 00:00:45] 为什么AI生成文字的时候
[00:00:45 - 00:00:47] 是一个词一个词蹦出来的
[00:00:47 - 00:00:49] 为什么对话越长它反应越慢
[00:00:49 - 00:00:50] 甚至还会断片
[00:00:50 - 00:00:53] 还有那个19.11和19.9哪个大的问题
[00:00:53 - 00:00:55] 为什么能写出复杂代码的AI
[00:00:55 - 00:00:57] 会在这种小学生题目上翻车
[00:00:57 - 00:01:00] 这些问题看似风马牛不相及
[00:01:00 - 00:01:02] 但其实都指向了同一个核心
[00:01:02 - 00:01:05] 大模型的推理过程到底在消耗什么
[00:01:05 - 00:01:07] 是算力 是显存
[00:01:07 - 00:01:09] 还是某种我们还没理解的概率陷阱
[00:01:09 - 00:01:12] 在拆解原理之前我们先得达成一个共识
[00:01:12 - 00:01:14] 现在的LOM
[00:01:14 - 00:01:17] 本质上就是一个极其复杂的概率预测机器
[00:01:17 - 00:01:19] 它并不理解什么是逻辑
[00:01:19 - 00:01:21] 它只知道根据你给的这一串词
[00:01:21 - 00:01:24] 预测下一个词出现的概率最高的是谁
