BV号：BV13rLx6NEbA
标题：BV13rLx6NEbA
链接：https://www.bilibili.com/video/BV13rLx6NEbA
识别语言：zh
语言置信度：1
分段数：386
生成时间：2026-08-29 08:47:06

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 周末写个小脚本
[00:00:03 - 00:00:05] 你用AI编程工具爽到飞骑
[00:00:05 - 00:00:09] 周一回到公司面对那座几百万行的史山代码
[00:00:09 - 00:00:11] 你让AI帮忙改个bug
[00:00:11 - 00:00:12] 结果它找不到上下文
[00:00:12 - 00:00:14] 引用了上个月删掉的函数
[00:00:14 - 00:00:16] 还把好好的代码改烂了
[00:00:16 - 00:00:17] 你心里肯定骂过
[00:00:17 - 00:00:19] 这AI怎么突然变智障了
[00:00:19 - 00:00:21] 很多人抱怨 AI编程工具
[00:00:21 - 00:00:23] 在企业级项目里没法用
[00:00:23 - 00:00:25] 大家觉得是模型上下文不够大
[00:00:25 - 00:00:26] 或者推理能力不行
[00:00:26 - 00:00:29] 都在等GPT6等Cloud5
[00:00:29 - 00:00:30] 但真的是模型的问题吗
[00:00:30 - 00:00:32] 同样是面对百万行代码
[00:00:32 - 00:00:35] 有些大型团队已经把Cloud Code
[00:00:35 - 00:00:37] 接近生产级代码库效果很稳
[00:00:37 - 00:00:39] 你用起来却像戴个听不懂话的实习生
[00:00:39 - 00:00:41] 差距到底在哪儿
[00:00:41 - 00:00:43] Cloud官方最近发了篇硬核博客
[00:00:43 - 00:00:46] 他们复盘了Cloud Code在几百万行代码
[00:00:46 - 00:00:47] 几十个微服物
[00:00:47 - 00:00:50] 甚至几十年老系统中的真实落地经验
[00:00:50 - 00:00:52] 结论很扎心
[00:00:52 - 00:00:54] 决定AI编程效率上限的
[00:00:54 - 00:00:55] 不只是模型
[00:00:55 - 00:00:57] 还有你围绕模型搭的工程生态
[00:00:57 - 00:00:59] 这个生态系统叫Harness
[00:00:59 - 00:01:01] 它包括五个核心组件
[00:01:01 - 00:01:03] 加上两个高级能力
[00:01:03 - 00:01:05] 我们今天要讲的就是怎么搭这Harness
[00:01:05 - 00:01:06] 先说第一个问题
[00:01:06 - 00:01:08] 为什么很多AI编程工具
[00:01:08 - 00:01:10] 在大型代码库里不好用
[00:01:10 - 00:01:12] 原因是大多数工具用的是RAG技术
[00:01:12 - 00:01:14] RAG的逻辑很简单
[00:01:14 - 00:01:17] 把整个代码库向量化存进数据库
[00:01:17 - 00:01:18] 你提问的时候
[00:01:18 - 00:01:21] 系统去数据库里搜相关的代码片段
[00:01:21 - 00:01:23] 这在小项目里没问题
[00:01:23 - 00:01:24] 搜出来的代码通常是对的
[00:01:24 - 00:01:26] 但在大型团队问题就来了
[00:01:26 - 00:01:29] 想象一下你们公司有几千个工程师
[00:01:29 - 00:01:32] 每天有几千个commit代码库随时再变
[00:01:32 - 00:01:33] RAG的索引根本追不上
[00:01:33 - 00:01:35] 你今天下午提问
[00:01:35 - 00:01:37] 搜出来的可能是两周前
[00:01:37 - 00:01:39] 甚至几天前的旧代码
[00:01:39 - 00:01:40] 函数名还是一样
[00:01:40 - 00:01:41] 但逻辑已经改了
[00:01:41 - 00:01:43] 或者更糟你搜到一个函数
[00:01:43 - 00:01:45] 结果上个月这个函数就被删了
[00:01:45 - 00:01:46] 但索引还在
[00:01:46 - 00:01:48] AI看不出这个函数已经死了
[00:01:48 - 00:01:49] 就直接引用了
[00:01:49 - 00:01:51] 代码一跑直接抱错
[00:01:51 - 00:01:53] 所以传统RAG在这里最典型的风险
[00:01:53 - 00:01:55] 就是索引之后
[00:01:55 - 00:01:58] 它搜到的代码可能是几天前几周前的就版本
[00:01:58 - 00:02:01] 这是reg在活跃大型代码库里的核心问题
[00:02:01 - 00:02:04] clothcode用的是完全不同的方法
[00:02:04 - 00:02:05] 叫agentic search
[00:02:05 - 00:02:07] 它不依赖任何中央所应
[00:02:07 - 00:02:09] ai就像一个真正的工程师一样
[00:02:09 - 00:02:11] 直接在你的本地文件系统里跑
[00:02:11 - 00:02:13] 需要找什么他就自己用grab-sul
[00:02:13 - 00:02:15] 找到一个函数
[00:02:15 - 00:02:16] 它顺着引用关系自己去追
[00:02:16 - 00:02:19] 需要看某个文件它就打开来看
[00:02:19 - 00:02:20] 这样有什么好处
[00:02:20 - 00:02:21] 没有中间的数据库
[00:02:21 - 00:02:23] ai看到的永远是最新的代码
[00:02:23 - 00:02:26] 你刚刚改的东西 AI 马上就能看到
[00:02:26 - 00:02:28] 没有延迟没有过时的所引
[00:02:28 - 00:02:30] 但这个方法也有个前提条件
[00:02:30 - 00:02:34] AI 必须有足够的上下文 知道应该去哪里找
[00:02:34 - 00:02:36] 如果你给它的信息太少
