BV号：BV1cP8J6TERp
标题：BV1cP8J6TERp
链接：https://www.bilibili.com/video/BV1cP8J6TERp
识别语言：zh
语言置信度：1
分段数：354
生成时间：2026-08-29 11:51:02

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ
[00:00:02 - 00:00:06] 最近一个叫Jayspace Cognition Suite的项目公布了一组非常漂亮的分数
[00:00:06 - 00:00:11] V4 Pro加在套件后,有些项目甚至跑出了比引用的非不武还要高的数据
[00:00:11 - 00:00:16] 但是当我把他们固定提交的代码拉下来完整读了一遍之后
[00:00:16 - 00:00:19] 我看到了一个更基础也更骨感的事实
[00:00:19 - 00:00:21] 这个仓库里根本没有模型推离引擎
[00:00:21 - 00:00:25] 没有什么Jacobian LANs,更不存在对模型激活值的读写
[00:00:25 - 00:00:29] 它里面唯一的Python控制器,连模型API都不会调用
[00:00:29 - 00:00:31] 他干的事情很简单
[00:00:31 - 00:00:32] 只读写本地状态
[00:00:32 - 00:00:34] 然后检查一下输出文本
[00:00:34 - 00:00:36] 那么问题就变得非常具体了
[00:00:36 - 00:00:37] 一套不碰权重
[00:00:37 - 00:00:39] 不控制采样参数
[00:00:39 - 00:00:40] 甚至自己都不执行
[00:00:40 - 00:00:41] Bunchmark的代码
[00:00:41 - 00:00:44] 到底是怎么让任务成功率飙升的
[00:00:44 - 00:00:46] 答案只能从Harness层去吧
[00:00:46 - 00:00:47] 任何越过代码
[00:00:47 - 00:00:48] 直接下结论说
[00:00:48 - 00:00:50] 模型能力进化了的说法
[00:00:50 - 00:00:51] 都站不住脚
[00:00:51 - 00:00:52] 咱们先从工程视角
[00:00:52 - 00:00:54] 给这个项目定下性
[00:00:54 - 00:00:55] 翻开它的运行目录结构
[00:00:55 - 00:00:56] 一目了然
[00:00:56 - 00:00:57] 一个skillmd
[00:00:57 - 00:00:59] 负责充当入口
[00:00:59 - 00:01:01] 9个markdown模块提供操作规则
[00:01:01 - 00:01:04] 外加三份参考资料用来解释概念和给失利
[00:01:04 - 00:01:07] 那个gcps.py其实是个可选的控制器
[00:01:07 - 00:01:10] 而verify下画现sweet这个pyt文件
[00:01:10 - 00:01:13] 纯粹只是用来检查套件自身完整性的
[00:01:13 - 00:01:15] 它的安装过程也极其朴素
[00:01:15 - 00:01:18] 就是把jspace目录考进宿主的skills路径
[00:01:18 - 00:01:20] 然后宿主把入口指令喂给模型
[00:01:20 - 00:01:22] 说白了它就是一套prompt协议
[00:01:22 - 00:01:24] 外加一个本地状态控制器
[00:01:24 - 00:01:27] 它既不是代理模型的端点
[00:01:27 - 00:01:29] 也不接管任何工具的执行
[00:01:29 - 00:01:31] 理清这个分类非常重要
[00:01:31 - 00:01:33] 因为这意味着我们正在评估
[00:01:33 - 00:01:35] 的对象是一个agent的工作流
[00:01:35 - 00:01:37] 而不是底层基础模型的升级
[00:01:37 - 00:01:39] 既然如此这个skillmd到底
[00:01:39 - 00:01:42] 是靠什么改变模型运行轨迹的
[00:01:42 - 00:01:43] 它做的第一件事
[00:01:43 - 00:01:46] 是强行给模型灌输一套工作空间的设定
[00:01:46 - 00:01:49] 紧接着让模型执行五步自检
[00:01:49 - 00:01:52] 再把任务分发成fastfo和loop三种模式
[00:01:52 - 00:01:53] 但有意思的是
[00:01:53 - 00:01:56] 原码里根本没有这三个模式的解析器
[00:01:56 - 00:01:58] jsbase.py实际能认的命令
[00:01:58 - 00:01:59] 只有note
[00:01:59 - 00:02:01] simship和resume这四个
[00:02:01 - 00:02:05] 所谓的自动选择全靠模型读安指令后自己去捂
[00:02:05 - 00:02:08] 模块的加载也是由素主或者模型自己来完成
[00:02:08 - 00:02:11] 代码里根本不存在什么隐藏的底层调度器
[00:02:11 - 00:02:13] 它改变模型行为的逻辑
[00:02:13 - 00:02:15] 其实和系统提示词差不多
[00:02:15 - 00:02:17] 先给你立一个人设
[00:02:17 - 00:02:19] 再定下规矩告诉你什么时候该计划
[00:02:19 - 00:02:22] 什么时候该检查啊 什么时候该回到
[00:02:22 - 00:02:24] 它确实能影响推理轨迹
[00:02:24 - 00:02:26] 但驱动力依然只是上下文
[00:02:26 - 00:02:27] 那这九个模块具体写了什么
[00:02:27 - 00:02:30] 包括包装其实就是三类流程约束
[00:02:30 - 00:02:32] 第一类是capacity和broadcast
[00:02:32 - 00:02:34] 他们负责管理共享状态
[00:02:34 - 00:02:37] 要求模型脑子里只保留核心概念
[00:02:37 - 00:02:39] 剩下的细节全给我寄到账本里
[00:02:39 - 00:02:42] 第二类是deprisening和impurex
[00:02:42 - 00:02:44] 用来死科证据的逻辑顺序
[00:02:44 - 00:02:48] 逼着模型在下结论前补齐中间的推倒桥梁
[00:02:48 - 00:02:50] 推不动就去做差分测试
[00:02:50 - 00:02:52] 第三类是directed focus
[00:02:52 - 00:02:54] marker及self monitoring
[00:02:54 - 00:02:57] 这格莎专门用来把控任务节奏
[00:02:57 - 00:02:58] 一旦发现目标飘移
[00:02:58 - 00:03:01] 陷入死循环或者想提前胶卷
[00:03:01 - 00:03:03] 就会触发纠正动作
[00:03:03 - 00:03:05] 最后还有Short-hand和Interest-spection
[00:03:05 - 00:03:08] 用来规范内部表达和交付前的自我审查
[00:03:08 - 00:03:10] 大家注意这些文件轻易色
[00:03:10 - 00:03:12] 全是自然语言写的协议
[00:03:12 - 00:03:14] 它没有实现任何高级的搜索算法
[00:03:15 - 00:03:16] 也没去冻结马气
[00:03:16 - 00:03:19] 这套规矩到底灵不灵全看模型听不听话
[00:03:19 - 00:03:20] 在我看来
[00:03:20 - 00:03:22] 整个项目最有工程价值的核心代码
[00:03:22 - 00:03:24] 其实是内五行状态账本
[00:03:24 - 00:03:26] Gspace-Py把任务的持久化
[00:03:26 - 00:03:29] 状态死死定在了五个去段上
[00:03:29 - 00:03:32] go core verified open eGNXT
[00:03:32 - 00:03:35] 这些数据会被写进当前工作区的workspace MD里
[00:03:35 - 00:03:39] 同时还会把最近的状态备份到history.json
[00:03:39 - 00:03:40] 为了防止写崩
[00:03:40 - 00:03:42] 它还专门用了临时文件
[00:03:42 - 00:03:45] 加上OS per place的原子替换操作
[00:03:45 - 00:03:48] 这个设计其实就是一个极其轻量的任务状态机
[00:03:48 - 00:03:49] go管完成条件
[00:03:49 - 00:03:51] core存全局约束
[00:03:51 - 00:03:53] verified的留作检查点
[00:03:53 - 00:03:54] open计下还没解决的问题
[00:03:54 - 00:03:58] 而next强制要求只允许有一个明确的下一步动作
[00:03:58 - 00:04:01] 这解决了agent的一个致命痛点
[00:04:01 - 00:04:03] 在漫长的工具雕用链之后
[00:04:03 - 00:04:04] 模型不用再死
[00:04:04 - 00:04:06] 摳那点可怜的上下文记
[00:04:06 - 00:04:08] 它可以直接去读这本结构化的账
[00:04:08 - 00:04:12] 对于防止状态飘移这套机制是十大使馆用的
[00:04:12 - 00:04:12] 咱往下看
[00:04:12 - 00:04:15] 控制器note命令专门负责修改这本账
[00:04:15 - 00:04:19] 第一次见账的时候必须同时交出go和next
[00:04:19 - 00:04:20] 系统很死板
[00:04:20 - 00:04:22] 摳耳区段指认前两个活动项
[00:04:22 - 00:04:24] 如果你想提一个open问题
[00:04:24 - 00:04:27] 必须写清楚Settled By,也就是立下规矩
[00:04:27 - 00:04:29] 这事到底怎么才算完啊?
[00:04:29 - 00:04:33] 当你准备关闭一个问题时,还必须附带上新的检查点
[00:04:33 - 00:04:37] 至于Verified记录,要求更严必须同时提供check和bite两个字段
[00:04:37 - 00:04:42] 原码里甚至写了政则,去查你的by里面有没有包含全部
[00:04:42 - 00:04:44] 编介样本或者文件这些范围词
[00:04:44 - 00:04:48] 但这里有个硬商,政则只能确认你乖乖填了格式
[00:04:48 - 00:04:50] 它根本看不懂你的结论对不对?
[00:04:50 - 00:04:52] 就算你写了个错的离谱的结论
[00:04:52 - 00:04:54] 只要戴上了合适的范围词
[00:04:54 - 00:04:57] 依然能躺而黄之地混进Verified里
[00:04:57 - 00:05:00] 所以控制器能逼着你把证据写归范
