BV号：BV1R3MV6DESP
标题：BV1R3MV6DESP
链接：https://www.bilibili.com/video/BV1R3MV6DESP
识别语言：zh
语言置信度：1
分段数：416
生成时间：2026-08-29 10:41:05

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:07] 你有没有想过为什么有些工程师能快速把模糊的想法变成清晰的设计
[00:00:07 - 00:00:10] 而有些人却在规划阶段就陷入无尽的讨论
[00:00:10 - 00:00:12] 问题不在于他们的聪明程度
[00:00:12 - 00:00:15] 而在于他们用的规划工具不一样
[00:00:15 - 00:00:19] 今天我要讲的是三个最近很有代表性的规划型skill和工作流
[00:00:19 - 00:00:22] Matt-Pockock的Grillme和Superpowers'brainstorming
[00:00:22 - 00:00:24] 还有OpenSpec the Explorer
[00:00:24 - 00:00:26] 他们看起来都在做同一件事
[00:00:26 - 00:00:28] 帮你把想法理清楚
[00:00:28 - 00:00:29] 但方法完全不同
[00:00:29 - 00:00:31] 有的像一个多多逼人的面试官
[00:00:31 - 00:00:33] 有的像一个严格的项目经理
[00:00:33 - 00:00:35] 有的像一个好奇的思维伙伴
[00:00:35 - 00:00:37] 这三个框架到底有什么区别
[00:00:37 - 00:00:39] 哪一个才是最适合你的
[00:00:39 - 00:00:42] 如果你要自己设计一个规划工具应该怎么做
[00:00:42 - 00:00:43] 这些问题看起来简单
[00:00:43 - 00:00:47] 但答案会让你重新思考整个需求分析的流程
[00:00:47 - 00:00:50] 在AI时代代码生成工具变得越来越强大
[00:00:50 - 00:00:52] 但强大的工具也带来了新的问题
[00:00:52 - 00:00:54] 如果你的需求本身就是模糊的
[00:00:54 - 00:00:57] 再强大的代码生成工具也帮不了你
[00:00:57 - 00:01:00] 所以,规划阶段变得比以往任何时候都重要
[00:01:00 - 00:01:03] 这三个框架都是在这个背景下诞生的
[00:01:03 - 00:01:07] Metapolcock是TypeScript社区的教育者和工程师
[00:01:07 - 00:01:11] 它的grillme是一个入口,实际会触发grilling
[00:01:11 - 00:01:13] 用连续追问来压力测试你的计划
[00:01:13 - 00:01:17] Superpowers是一个完整的AI编程助手系统
[00:01:17 - 00:01:19] Brainstorming是其中的核心模块
[00:01:19 - 00:01:23] OpenSpecTheExplorer更像是先别急着提案的探索模式
[00:01:23 - 00:01:24] 当问题还不清楚时
[00:01:24 - 00:01:27] 先读代码比较选项 画图澄清范围
[00:01:27 - 00:01:30] 等方向明确后再交给Propose新程工件
[00:01:30 - 00:01:34] 他们都在解决同一个问题 如何在实现之前
[00:01:34 - 00:01:36] 确保你真正理解了你要做什么
[00:01:36 - 00:01:37] 第一个关键点
[00:01:37 - 00:01:39] 流程严格性的差异
[00:01:39 - 00:01:40] 让我们先看流程的严格性
[00:01:40 - 00:01:43] 这是三个框架最根本的区别
[00:01:43 - 00:01:45] Matter的Gridling是最轻量的
[00:01:45 - 00:01:47] 它的核心思想很简单
[00:01:47 - 00:01:50] 让AI扮演面试官一个问题一个问题的追问你
[00:01:50 - 00:01:52] 直到你们达成共同理解
[00:01:52 - 00:01:53] 具体怎么用呢
[00:01:53 - 00:01:55] 你告诉AI你有一个想法
[00:01:55 - 00:01:57] 比如我想建一个实时协作编辑器
[00:01:57 - 00:01:58] AI就开始问
[00:01:58 - 00:02:01] 这个编辑器要支持多少个并发用户
[00:02:01 - 00:02:03] 数据要实时同步吗
[00:02:03 - 00:02:05] 如果网络断开了怎么办
[00:02:05 - 00:02:06] 冲突怎么解决
[00:02:06 - 00:02:08] 它会沿着设计术逐个追问
[00:02:08 - 00:02:11] 每个问题都等你回答后再继续
[00:02:11 - 00:02:12] 这个方法的好处是快速
[00:02:12 - 00:02:14] 而且有很强的访谈纪律
[00:02:14 - 00:02:16] 你不能含糊其词
[00:02:16 - 00:02:18] 每个问题都得正面回答
[00:02:18 - 00:02:20] 但它不强制产出文档
[00:02:20 - 00:02:22] 所以事后很难追踪你们讨论了什么
[00:02:22 - 00:02:25] 6个月后你还记得为什么要这样设计吗?
[00:02:25 - 00:02:26] 肯定不记得
[00:02:26 - 00:02:28] grilling特别适合这样的场景
[00:02:28 - 00:02:29] 你已经有一个初步的想法
[00:02:29 - 00:02:32] 需要快速验证这个想法是否可行
[00:02:32 - 00:02:34] 或者你在实现过程中遇到的问题
[00:02:34 - 00:02:36] 需要快速讨论解决方案
[00:02:36 - 00:02:39] superpowers的brainstorming有一套9步checklist
[00:02:39 - 00:02:41] 先探索项目上下文
[00:02:41 - 00:02:45] 在在真正需要可视化时按需提供visual companion
[00:02:45 - 00:02:47] 然后逐个提出澄清问题
[00:02:47 - 00:02:48] 给出两到三个方案
[00:02:48 - 00:02:50] 展示设计并获得用户确认
[00:02:50 - 00:02:53] 写入设计文档,作字审查
[00:02:53 - 00:02:55] 让用户审查最后才进入writing plans
[00:02:55 - 00:02:57] 这个框架的哲学是
[00:02:57 - 00:02:59] 没有项目太简单到不需要设计
[00:02:59 - 00:03:01] 即使是一个简单的代班摄像列表
[00:03:01 - 00:03:02] 也要走完整个流程
[00:03:02 - 00:03:04] 这听起来挺折腾人的
[00:03:04 - 00:03:08] 但它能逼着你把所有没想清楚的坑都填上
[00:03:08 - 00:03:10] Brainstorming特别强调一个原则叫
[00:03:10 - 00:03:12] 设计隔离和清晰性
[00:03:12 - 00:03:13] 这意味着系统的每个部分
[00:03:13 - 00:03:15] 都应该有一个清晰的目的
[00:03:15 - 00:03:18] 通过良好定义的接口与其他部分通信
[00:03:18 - 00:03:20] 可以独立理解和测试
[00:03:20 - 00:03:22] 这话听得像教科书里的废话
[00:03:22 - 00:03:24] 但在实际干活时能救命
[00:03:24 - 00:03:25] 你回忆一下
[00:03:25 - 00:03:26] 多少次你改了一行代码
[00:03:26 - 00:03:28] 结果系统另一头崩了
[00:03:28 - 00:03:30] 这就是边界没话清楚的代价
[00:03:30 - 00:03:31] 还有一个细节
[00:03:31 - 00:03:34] Brainstorming会在需要时提供visual companion
[00:03:34 - 00:03:37] 也就是一个浏览器伴侣用来展示原型和图表
[00:03:37 - 00:03:39] 但这不是自动打开的
[00:03:39 - 00:03:42] 而是当某个问题确实看图更清楚时
[00:03:42 - 00:03:43] 先询问用户
[00:03:43 - 00:03:44] 用户同意后才启用
[00:03:44 - 00:03:47] 每个问题都要单独判断是否用浏览器
[00:03:47 - 00:03:49] OpenSpec的Explorer介于两者之间
[00:03:49 - 00:03:51] 但更接近grilling
[00:03:51 - 00:03:52] 它没有固定的步骤
[00:03:52 - 00:03:54] 强调的是灵活性和适应性
[00:03:54 - 00:03:57] Explorer的重点不是立刻产出文档
[00:03:57 - 00:03:58] 而是把问题想清楚
[00:03:58 - 00:04:00] 按当前公开文档
[00:04:00 - 00:04:02] Explorer本身不创建Change Folder
[00:04:02 - 00:04:04] 也不写Proposal Spec Design或Tasks
[00:04:04 - 00:04:06] 它会在方向明确后
[00:04:06 - 00:04:08] 把上下文交给Obsex Propose
[00:04:08 - 00:04:10] 等OpenSpecExplorerSkill允许
[00:04:10 - 00:04:14] 在用户明确要求时补卓为OpenSpec Artifacts
[00:04:14 - 00:04:15] 这是版本差异
[00:04:15 - 00:04:17] 当你盯着一个庞大姐混乱的系统
[00:04:17 - 00:04:19] 完全不知道从哪下手时
[00:04:19 - 00:04:22] Explorer就像个坐在你旁边的老同事
[00:04:22 - 00:04:24] 他问问题不是为了让你交差
[00:04:24 - 00:04:27] 而是为了帮你把脑子里的乱马理顺
[00:04:27 - 00:04:28] 第二个关键点
[00:04:28 - 00:04:30] 可视化支持的眼镜
[00:04:30 - 00:04:32] 现在看可视化支持
[00:04:32 - 00:04:33] 这是一个很容易被忽视
[00:04:33 - 00:04:35] 但很重要的维度
[00:04:35 - 00:04:36] Grilling没有任何可视化工具
[00:04:36 - 00:04:38] 它就是纯文本对话
[00:04:38 - 00:04:40] 这对于简单的决策很有效
[00:04:40 - 00:04:42] 但当你需要展示一个复杂的系统架构
[00:04:42 - 00:04:44] 或UI布局时
[00:04:44 - 00:04:45] 就显得力不从心了
[00:04:45 - 00:04:47] 想象一下你在用Grilling
[00:04:47 - 00:04:49] 讨论一个多Agent系统的架构
[00:04:49 - 00:04:51] AI问,这个系统有多少个Agent?
[00:04:51 - 00:04:56] 你说,五个,分别是规划执行监控学习和协调
[00:04:56 - 00:04:58] AI继续问,他们怎么通信?
[00:04:58 - 00:04:59] 你开始用文字描述
[00:04:59 - 00:05:03] 规划发送任务给协调、协调分配给执行
[00:05:03 - 00:05:05] 说到这里你已经有点混乱了
[00:05:05 - 00:05:07] 如果能看到一个图表就好了
