BV号：BV1N7DuB8ESv
标题：BV1N7DuB8ESv
链接：https://www.bilibili.com/video/BV1N7DuB8ESv
识别语言：zh
语言置信度：1
分段数：377
生成时间：2026-08-29 07:33:18

[00:00:00 - 00:00:01] 在一个普通的周三下午
[00:00:01 - 00:00:03] 你收到一条来自Linting私信
[00:00:03 - 00:00:07] 对方自称是某家行业内知名科技公司的创始人
[00:00:07 - 00:00:08] 你点开它的主页
[00:00:08 - 00:00:12] 投向专业履历光鲜过往的公开采访视频
[00:00:12 - 00:00:13] 博客文章
[00:00:13 - 00:00:16] 甚至是它本人出境的演讲视频都完全对得上
[00:00:17 - 00:00:19] 这看起来是一次非常棒的商业合作机会
[00:00:19 - 00:00:21] 聊了几天后
[00:00:21 - 00:00:25] 对方非常热情地把你拉进了一个真实无比的slack工作区
[00:00:25 - 00:00:28] 你一进去铺面而来的是极其真实的公司氛围
[00:00:28 - 00:00:31] 这里有这家公司的专属CI配色
[00:00:31 - 00:00:33] 有严谨的频道命名规范
[00:00:33 - 00:00:34] 比如
[00:00:34 - 00:00:36] 全员广播工程团队前端同步
[00:00:36 - 00:00:39] 你看到了几十个团队成员的头像
[00:00:39 - 00:00:42] 他们甚至还在日常频道里互相开玩笑
[00:00:42 - 00:00:43] 发特定的表情包
[00:00:43 - 00:00:45] 还有一个专门的机器人
[00:00:45 - 00:00:48] 在自动抓取并转发公司最新的Lintern动态
[00:00:48 - 00:00:51] 一切细节都在向你的大脑传递一个信号
[00:00:51 - 00:00:54] 这是一家真实存在且运作良好的公司
[00:00:54 - 00:00:56] 然后重头戏来了
[00:00:56 - 00:00:59] 对方的技术负责人通过Microsoft Teams
[00:00:59 - 00:01:01] 约你开个简短的线上碰面会
[00:01:01 - 00:01:03] 讨论具体的代码集成
[00:01:03 - 00:01:05] 你准时点击链接进入会议
[00:01:05 - 00:01:07] 对面有几个人有真实的摄像头画面
[00:01:07 - 00:01:09] 有自然的声音
[00:01:09 - 00:01:10] 但就在你刚接入几秒钟后
[00:01:10 - 00:01:12] 屏幕上弹出一行提示
[00:01:12 - 00:01:14] 对面的老板略带歉意地对你说
[00:01:14 - 00:01:16] 抱歉我们的会议系统检测
[00:01:16 - 00:01:19] 到你的某个音频组建过期了
[00:01:19 - 00:01:21] 如果不更新你这边的声音我们听不到
[00:01:21 - 00:01:22] 屏幕也共享不了
[00:01:22 - 00:01:24] 麻烦你快速点下那个更新按钮
[00:01:24 - 00:01:25] 我们都在等你
[00:01:25 - 00:01:27] 你看着对面几个真实的人
[00:01:27 - 00:01:30] 看着时间一分一秒的流逝
[00:01:30 - 00:01:33] 心里有一种千万别因为我耽误大家时间的社交压力
[00:01:33 - 00:01:35] 你的潜意识让你放弃了警惕
[00:01:35 - 00:01:37] 于是你点了那个安装
[00:01:37 - 00:01:42] 下一秒你的电脑后台被静默中下了一个远空木马
[00:01:42 - 00:01:46] 紧接着你保存在本地的NPM发布令牌被窃取
[00:01:46 - 00:01:51] 再接着你作为核心维护者所掌管的那个下载量上一次的开源库
[00:01:51 - 00:01:52] 被攻击者利用
[00:01:52 - 00:01:55] 向全世界的开发者电脑和服务器投掷了剧毒
[00:01:55 - 00:01:59] 这听起来像是一部好莱坞赛伯朋克电影的情节
[00:01:59 - 00:02:01] 对吗?但这根本不是电影
[00:02:01 - 00:02:03] 这就是今年3月底到4月初
[00:02:03 - 00:02:06] 刚刚发生在JavaScript生态圈
[00:02:06 - 00:02:10] 流行开源库Axios身上的真实的供应链攻击事件
[00:02:10 - 00:02:11] 我是为什么叫QQ
[00:02:11 - 00:02:13] 今天我们就来解读这些事件
[00:02:13 - 00:02:17] 看看当经验丰富的顶级开源维护者也沦为猎物时
[00:02:17 - 00:02:19] 攻击者的刀锋到底指向了哪里?
[00:02:19 - 00:02:23] AI又在这里面扮演了怎样令人毛骨悚然的角色
[00:02:23 - 00:02:28] 更重要的是当攻击者联工私文化和同事关系都能批量伪造时
[00:02:28 - 00:02:31] 我们拿什么继续相信现代软件的开源生态
[00:02:31 - 00:02:35] 如果你不在技术圈你可能不知道Xios的分量
[00:02:35 - 00:02:38] 如果把现代web开发比做人体的循环系统
[00:02:38 - 00:02:41] 那么Xios就是那根最粗的主动脉
[00:02:41 - 00:02:43] 它是一个基于Promise的HTTP库
[00:02:43 - 00:02:47] 前端发请求后端调节口几乎无处不在
[00:02:47 - 00:02:50] 公开情报和多家安全厂商的副盘都强调
[00:02:50 - 00:02:52] 他的周下载量在上一字级别
[00:02:52 - 00:02:54] 他的下游依赖如同蜘蛛网一样
[00:02:54 - 00:02:56] 直接或间接地欠入了全球
[00:02:56 - 00:02:59] 成千上万的企业级应用中
[00:02:59 - 00:03:01] 生态扩散半径异常惊人
[00:03:01 - 00:03:04] 那么面对防守如此严密的基础设施
[00:03:04 - 00:03:06] 黑客是怎么攻破的
[00:03:06 - 00:03:08] 这就是这次事件最反共识的地方
[00:03:08 - 00:03:10] 在很多人的刻板印象里
[00:03:10 - 00:03:12] 针对这种顶级开源库的攻击
[00:03:12 - 00:03:16] 一定是黑客找到了某个深藏不漏的底层代码漏洞
[00:03:16 - 00:03:19] 或者修改了几千个文件植入了极其复杂的后门
[00:03:19 - 00:03:22] 甚至在事件刚爆发时网上还有人误传
[00:03:22 - 00:03:25] 黑客修改了1900个TypeScript文件
[00:03:25 - 00:03:26] 我要明确地告诉你
[00:03:26 - 00:03:28] 这是无机之谈
[00:03:28 - 00:03:31] 更是对现代供应链攻击缺乏认知的体现
[00:03:31 - 00:03:34] 真正的顶级刺客讲究的是一件风猴
[00:03:34 - 00:03:37] 根据多家安全机构的原码比对和技术复盘
[00:03:37 - 00:03:39] 再被投毒的两个版本
[00:03:39 - 00:03:40] XU SET 1
[00:03:40 - 00:03:42] 14.1主线
[00:03:42 - 00:03:43] 和XU SET 0
[00:03:43 - 00:03:45] 30.4旧线
[00:03:45 - 00:03:48] 中 Axios 的核心圆码几乎一衡未改
[00:03:48 - 00:03:51] 没有修改业务逻辑没有篡改加密算法
[00:03:51 - 00:03:55] 80多个文件在比特级别上和安全版本一模一样
[00:03:55 - 00:03:57] 攻击者唯一动刀子的地方
[00:03:57 - 00:04:00] 是清单文件package.json里的一行代码
[00:04:00 - 00:04:01] 他们在依赖列表里
[00:04:01 - 00:04:05] 悄悄塞进了一个谁也没见过的全新依赖
[00:04:05 - 00:04:06] Plane CryptoJace
[00:04:06 - 00:04:08] 这个名字起得非常有欺骗性
[00:04:08 - 00:04:10] 它看起来就像是你常用的
[00:04:10 - 00:04:13] 那个正常的加密库 CryptoJace
[00:04:13 - 00:04:15] 但关键是在Xios所有的代码里
[00:04:15 - 00:04:17] 根本没有任何一行代码调用
