BV号：BV1vQb3zEENo
标题：BV1vQb3zEENo
链接：https://www.bilibili.com/video/BV1vQb3zEENo
识别语言：zh
语言置信度：1
分段数：252
生成时间：2026-08-30 00:32:29

[00:00:01 - 00:00:04] Imagine you are standing up to a short-eradical script
[00:00:04 - 00:00:07] that describes a scene between a person and your assistant A
[00:00:08 - 00:00:10] The script has the person asking for the assistant A
[00:00:10 - 00:00:12] but the reply of A disappeared
[00:00:13 - 00:00:18] Here you also have a powerful magic machine that can catch any text
[00:00:18 - 00:00:21] and provides a sensible prediction of which word comes to follow
[00:00:21 - 00:00:24] you could then finish the script by giving what you already have for the machine
[00:00:24 - 00:00:27] seeing that it predicts to start the reply of A
[00:00:27 - 00:00:29] and then repeat it several times
[00:00:29 - 00:00:32] 用�대요 crescendo 和 completando o dialog
[00:00:32 - 00:00:35] quando você interagir com chatbot
[00:00:35 - 00:00:36] é isso que está acontecendo
[00:00:37 - 00:00:39] um modelo de linguagem de grande escala
[00:00:39 - 00:00:41] é uma função matemática suficiticada
[00:00:41 - 00:00:42] que prevê qual palavra vem a seguir
[00:00:42 - 00:00:44] para qualquer pedaço de texto
[00:00:44 - 00:00:46] mas em vez de prever uma palavra com certeza
[00:00:46 - 00:00:49] o que ele faz é atribuir uma probabilidade
[00:00:49 - 00:00:51] a todas as palavras que podem vir a seguir
[00:00:51 - 00:00:53] para construir um chatbot
[00:00:53 - 00:00:55] o que você faz é colocar algum texto
[00:00:55 - 00:00:57] que descreva uma interação entre um usuário
[00:00:57 - 00:00:58] e um assistente de ipotético
[00:00:58 - 00:01:00] 你输入了使用者的讀字
[00:01:00 - 00:01:01] 就像是第一部分
[00:01:01 - 00:01:02] 这个讀字
[00:01:02 - 00:01:03] 然后
[00:01:03 - 00:01:04] 做模式
[00:01:04 - 00:01:05] 再次计较
[00:01:05 - 00:01:06] 接下来
[00:01:06 - 00:01:07] 一个说法
[00:01:07 - 00:01:08] 说法的伙伴
[00:01:08 - 00:01:09] 就会说
[00:01:09 - 00:01:10] 这就是
[00:01:10 - 00:01:11] 使用者的讀字
[00:01:12 - 00:01:13] 做到这
[00:01:13 - 00:01:14] 计较的计较
[00:01:14 - 00:01:15] 就会说
[00:01:15 - 00:01:16] 如果你选择
[00:01:16 - 00:01:17] 选择言语
[00:01:17 - 00:01:18] 就会说
[00:01:18 - 00:01:19] 通过合理的方式
[00:01:19 - 00:01:20] 所以
[00:01:20 - 00:01:21] 这意味着
[00:01:21 - 00:01:22] 使用者
[00:01:22 - 00:01:23] 在计较的计较
[00:01:23 - 00:01:24] 就会说
[00:01:24 - 00:01:25] 一个计较
[00:01:25 - 00:01:26] 就会说
[00:01:26 - 00:01:28] 每次是做的
[00:01:28 - 00:01:30] 模型学会这些预算
[00:01:30 - 00:01:32] 经过大量的评测
[00:01:32 - 00:01:34] 通常是用在网上
[00:01:34 - 00:01:35] 为了一个人的经济
[00:01:35 - 00:01:37] 去评测评数字
[00:01:37 - 00:01:38] 用来订习GPT3
[00:01:38 - 00:01:39] 例如
[00:01:39 - 00:01:41] 如果他不停24小时
[00:01:41 - 00:01:44] 就会花2600年
[00:01:44 - 00:01:45] 更大的模型
[00:01:45 - 00:01:47] 就会订习了很多
[00:01:48 - 00:01:49] 可以订习
[00:01:49 - 00:01:50] 转换一些
