BV号：BV1r5Md6SEom
标题：BV1r5Md6SEom
链接：https://www.bilibili.com/video/BV1r5Md6SEom
识别语言：zh
语言置信度：1
分段数：266
生成时间：2026-08-29 19:44:38

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 同一批Agent的输出
[00:00:03 - 00:00:05] 一个裁判打了93.3%
[00:00:05 - 00:00:07] 另一个只打39.5%
[00:00:07 - 00:00:09] 输出一个字都没改
[00:00:09 - 00:00:11] 换个裁判分数差了两倍多
[00:00:11 - 00:00:12] 先说明一下
[00:00:12 - 00:00:15] 这组数字来自Hanaco最近的一篇长文
[00:00:15 - 00:00:17] 我们基于这个数据问一个重要的问题
[00:00:17 - 00:00:20] 你每天看的评估分数到底在凭Agent
[00:00:20 - 00:00:21] 还是在凭裁判
[00:00:21 - 00:00:24] 这个问题背后是一个很现实的矛盾
[00:00:24 - 00:00:26] Agent写代码越来越快
[00:00:26 - 00:00:28] 审查代码的人还是原来那几个
[00:00:28 - 00:00:30] 人成了整条流水线的瓶颈
[00:00:30 - 00:00:32] 那敢不敢让Agent的改动自动合并
[00:00:32 - 00:00:36] 说不敢是本能说不出不敢的原因是工程问题
[00:00:36 - 00:00:38] 门要读证据才能放行
[00:00:38 - 00:00:40] 这期视频就是把证据怎么造
[00:00:40 - 00:00:41] 一步一步讲清楚
[00:00:41 - 00:00:43] 2026年8月1日
[00:00:43 - 00:00:46] AI研究者Hannacle在X发了一篇长文
[00:00:46 - 00:00:48] 讲评估工程的6个步骤
[00:00:48 - 00:00:50] 几天内6万多次阅读
[00:00:50 - 00:00:53] 我核对了其中能追到原始出处的几项研究
[00:00:53 - 00:00:56] 下面只讲这些研究真正支持的结论
[00:00:56 - 00:00:59] 个别2026年的新数据没能追到原始实验
[00:00:59 - 00:01:02] 讲到的时候我会标注先交代一句技术背景
[00:01:02 - 00:01:06] 现在主流的评估做法叫 LLMS A Judge
[00:01:06 - 00:01:09] 用一个强模型给另一个模型的输出打分
[00:01:09 - 00:01:11] 这套方法早期最重要的一句
[00:01:11 - 00:01:14] 是2023年U.C. Barkley的M.T. Bench论文
[00:01:14 - 00:01:18] GPT4当裁判和人类评估者的一致率超过80%
[00:01:18 - 00:01:21] 接近人类彼此之间的一致率
[00:01:21 - 00:01:22] 人工评一条要几分钟
[00:01:22 - 00:01:25] APA评一条可能只要几分钱
[00:01:25 - 00:01:27] 这套方法很快流行起来
[00:01:27 - 00:01:29] 但很多二次传播只记住了80%
[00:01:29 - 00:01:32] 忽略了论文同时列出的三类偏差
[00:01:32 - 00:01:34] 第一道门 裁判可不可信
[00:01:34 - 00:01:37] Hanlaco引用了一组2026年的基准数据
[00:01:37 - 00:01:41] GPT5.2和Gemnite 3.1 Pro当裁判时
[00:01:41 - 00:01:46] 把75%-84%的胜率判给了自己模型家族的输出
[00:01:46 - 00:01:48] Cloud OPEX 4.7反着来
