BV号：BV1BdC3YjE6k
标题：BV1BdC3YjE6k
链接：https://www.bilibili.com/video/BV1BdC3YjE6k
识别语言：zh
语言置信度：1
分段数：569
生成时间：2026-08-31 00:03:18

[00:00:00 - 00:00:03] 大家好 這裡是最佳拍檔 我是大飛
[00:00:03 - 00:00:05] 前兩天 微軟的CEO薩提亞.納德拉
[00:00:05 - 00:00:08] 與著名的投資人比爾格里和布拉德.格斯特納
[00:00:08 - 00:00:10] 進行了一場深度對話
[00:00:10 - 00:00:13] 回顧了過去10年微軟的轉型歷程
[00:00:13 - 00:00:16] 並且展望了AI時代微軟的戰略布局
[00:00:16 - 00:00:18] 其實除了微軟的發布會
[00:00:18 - 00:00:21] 納德拉已經有一段時間沒有出來訪談了
[00:00:21 - 00:00:23] 所以他的這次一個半小時的長談
[00:00:23 - 00:00:27] 可以看作是微軟對於這兩年AI發展的一個總結
[00:00:27 - 00:00:29] 內容非常的豐富
[00:00:29 - 00:00:32] 到底微軟是如何看待自己在AI領域這兩年的發展
[00:00:32 - 00:00:35] 又是如何看待AI的未來呢?
[00:00:35 - 00:00:37] 相信這次訪談一定不會讓大家失望
[00:00:37 - 00:00:41] 首先納德拉回顧了一下他在微軟的早期經歷
[00:00:41 - 00:00:43] 1992年納德拉加入了微軟
[00:00:43 - 00:00:46] 當時正值Windows 3.1發布之後
[00:00:46 - 00:00:48] 在此之前他在散工作
[00:00:48 - 00:00:51] 原本還在考慮去商學院生造
[00:00:51 - 00:00:55] 然而微軟在莫斯科尼中心舉行的PTC大會深深吸引了他
[00:00:55 - 00:00:58] 讓他看到了客戶端技術在服務器領域的巨大潛力
[00:00:58 - 00:01:00] 于是他依然加入了微软
[00:01:00 - 00:01:03] 这个决定无疑也成为了他的职业生涯
[00:01:03 - 00:01:06] 乃至微软发展历程中的一个关键转折点
[00:01:06 - 00:01:09] 后来微软在业务发展的进程中
[00:01:09 - 00:01:10] 有德也有失
[00:01:10 - 00:01:11] 与方说
[00:01:11 - 00:01:14] 虽然微软在浏览器领域取得了显著的成果
[00:01:14 - 00:01:17] 但是微软也错失了搜索业务的机会
[00:01:17 - 00:01:18] 在移动领域
[00:01:18 - 00:01:20] 尽管微软做了很多的尝试
[00:01:20 - 00:01:22] 但是始终没有能够找到成功的秘诀
[00:01:22 - 00:01:25] 也没有能够在移动市场站稳脚跟
[00:01:25 - 00:01:26] 不过
[00:01:26 - 00:01:29] 云计算领域成为了微软的一个重要转折点
[00:01:29 - 00:01:30] 在纳德拉的领导下
[00:01:30 - 00:01:31] 艾伦的年收入
[00:01:31 - 00:01:34] 从10亿美元飙升到了660亿美元
[00:01:34 - 00:01:37] 业务总收入增长了2.5倍
[00:01:37 - 00:01:39] 总收益增长了超过3倍
[00:01:39 - 00:01:41] 股价更是几乎上涨了10倍
[00:01:41 - 00:01:42] 为微软的股东
[00:01:42 - 00:01:45] 增加了近3万亿美元的巨额价值
[00:01:45 - 00:01:46] 纳德拉还提到
[00:01:46 - 00:01:47] 接任微软的CEO
[00:01:47 - 00:01:50] 其实对自己来说是一个不小的意外
[00:01:50 - 00:01:53] 当时他负责着服务器和工具业务
[00:01:53 - 00:01:54] 包括艾伦等重要的项目
[00:01:54 - 00:01:56] 工作进展得很顺利
[00:01:56 - 00:01:59] 并没有想要主动谋求CEO的职位
[00:01:59 - 00:02:02] 但是 董事会找到了他和其他候选人
[00:02:02 - 00:02:04] 并且要求他们赚写了一份备忘录
[00:02:04 - 00:02:06] 在那份实业的备忘录中
[00:02:06 - 00:02:08] 纳德拉提到了许多前瞻性的概念
[00:02:08 - 00:02:11] 比如说环境智能和普世计算等等
[00:02:11 - 00:02:14] 不过 考虑到这些概念的理解难度
[00:02:14 - 00:02:16] 在与公关团队沟通之后
[00:02:16 - 00:02:17] 他把它简化成了
[00:02:17 - 00:02:19] 移动优先 云优先的战略理念
[00:02:19 - 00:02:21] 在这份备忘录中
[00:02:21 - 00:02:24] 他还深入探讨了威尔云的资产结构
[00:02:24 - 00:02:27] 他并不认同市场对于云服务的常规细分方式
[00:02:27 - 00:02:29] 比如说S、Pass、SARS等等
[00:02:29 - 00:02:33] 他认为V-Roy应该拥有一个统一的云基础设施
[00:02:33 - 00:02:35] 在上面有多个工作负载
[00:02:35 - 00:02:39] 包括Aero、M365、Dynamics、游戏等等
[00:02:39 - 00:02:41] 他还凭借着直觉判断
[00:02:41 - 00:02:42] 随着业务向云上迁移
[00:02:42 - 00:02:45] 虽然毛利率可能会有所降低
[00:02:45 - 00:02:47] 但是市场总量将会大幅的增长
[00:02:47 - 00:02:50] 而且V-Roy能够向更多的小型企业销售产品
[00:02:50 - 00:02:53] 所以整体的销售反而会显出的增加
[00:02:53 - 00:02:56] 作為一名在微軟成長起來的內部人士
[00:02:56 - 00:02:59] 納德拉對於微軟的文化有著深刻的認識
[00:02:59 - 00:03:00] 她清楚的記得
[00:03:00 - 00:03:03] 微軟首次成為市值最大的公司時
[00:03:03 - 00:03:05] 公司內部瀰漫著過度自信的氛圍
[00:03:05 - 00:03:09] 她深知這種文化可能會導致公司的衰落
[00:03:09 - 00:03:10] 因為從歷史經驗來看
[00:03:10 - 00:03:13] 無論是古希臘文明還是現代的企業
[00:03:13 - 00:03:16] 過度自信往往都是衰敗的根源
[00:03:16 - 00:03:18] 幸運的是在她成為首席執行官之前
[00:03:18 - 00:03:21] 她的妻子推薦她閱讀了卡羅爾德維克
[00:03:21 - 00:03:24] 所住的关于成长心态的书籍
[00:03:24 - 00:03:28] 这本书本来主要是用用在孩子的教育和养育领域
[00:03:28 - 00:03:30] 但是纳德拉从中获得了灵感
[00:03:30 - 00:03:32] 他意识到这种成长性的思维
[00:03:32 - 00:03:35] 正是微软所需要的文化理念
[00:03:35 - 00:03:36] 纳德拉将他描述为
[00:03:36 - 00:03:38] 从自认为的全知全能者
[00:03:38 - 00:03:40] 转变为持续学习者
[00:03:40 - 00:03:43] 他深知文化变革需要时间空间和耐心
[00:03:43 - 00:03:47] 是一个自上而下与自下而上相结合的过程
[00:03:47 - 00:03:50] 所以在他与公司执行团队
[00:03:50 - 00:03:52] 或者是其他人员的每一次会议中
[00:03:52 - 00:03:54] 他都会从使命文化开始
[00:03:54 - 00:03:57] 精心构建和重复相关的框架
[00:03:57 - 00:03:59] 确保这个理念能够深入到人心
[00:03:59 - 00:04:01] 并且持续的推动公司的发展
[00:04:01 - 00:04:03] 在人工智能领域
[00:04:03 - 00:04:06] 微软其实有着长期的投入和深刻的布局
[00:04:06 - 00:04:07] 早在1995年
[00:04:07 - 00:04:09] 比尔·盖茨创办微软研究院的时候
[00:04:09 - 00:04:11] 就对自然用户界面
[00:04:11 - 00:04:14] 尤其是语言相关的技术表现出了浓厚的兴趣
[00:04:14 - 00:04:15] 当时呢
[00:04:15 - 00:04:18] 李查德·拉基德和李开富都在此工作
[00:04:18 - 00:04:20] 他们致力于突破自然用户界面
[00:04:20 - 00:04:22] 而語言一直是研究的重點
[00:04:22 - 00:04:25] 值得一提的是如今被譽為AI教父的心頓
[00:04:25 - 00:04:27] 在微軟研究院實習期間
[00:04:27 - 00:04:30] 也曾經參與過深度神經網路的研究
[00:04:30 - 00:04:32] 後來才轉頭谷歌
[00:04:32 - 00:04:35] 儘管微軟在早期有過這些積極的探索
[00:04:35 - 00:04:36] 但是在2010年代初
[00:04:36 - 00:04:39] 他們措施了一些與谷歌在人工智能領域
[00:04:39 - 00:04:41] 進一步競爭的關鍵機會
[00:04:41 - 00:04:44] 比如說在加倍投資甚至收購DMind的時候
[00:04:44 - 00:04:45] 猶豫不決
[00:04:45 - 00:04:48] 這個事物後來也讓納德拉深感遺憾
[00:04:48 - 00:04:49] 不過呢
[00:04:49 - 00:04:51] 微軟並沒有停止在人工智能領域的探索
[00:04:51 - 00:04:53] 比如說Skype的翻譯項目
[00:04:53 - 00:04:56] 首次展示了千億學習的神奇效果
[00:04:56 - 00:04:58] 通過對兩種語言的訓練
[00:04:58 - 00:05:01] 就能夠在其他語言上實現更好的翻譯效果
[00:05:01 - 00:05:04] 讓人們首次認識到深度神經網路的獨特魅力
[00:05:04 - 00:05:07] 而微軟投資OPI的決策
[00:05:07 - 00:05:10] 更是其人工智能戰略布局中的關鍵一步
[00:05:10 - 00:05:12] 這個決策背後有著多方面的考量
[00:05:12 - 00:05:14] 從技術突破的預期來看
[00:05:14 - 00:05:15] 納德拉認為
[00:05:15 - 00:05:19] 如果能够在模型架构上实现非线性的突破
[00:05:19 - 00:05:21] 将很有可能彻底改变信息的管理模式
[00:05:21 - 00:05:25] 在它看来 语言是实现这个突破的核心要素
[00:05:25 - 00:05:29] OpenI团队在Transformer和自然语言等方面的研究成果
[00:05:29 - 00:05:32] 与它对微软核心业务的深入思考高度的契合
[00:05:32 - 00:05:36] 在微软的历史中 曾经有一个名为WinFS的项目
[00:05:36 - 00:05:38] 想要对所有的信息进行模式化的处理
[00:05:38 - 00:05:40] 以便更好的理解和管理信息
[00:05:40 - 00:05:43] 但是遗憾的是这个项目失败了
[00:05:43 - 00:05:45] 因此 微软既厚望于OpenI
[00:05:45 - 00:05:47] 希望借助於OPI的力量
[00:05:47 - 00:05:49] 來實現這個長期以來
[00:05:49 - 00:05:50] 一直沒有能夠達成的目標
[00:05:50 - 00:05:51] 此外
[00:05:51 - 00:05:52] Sigling Loss
[00:05:52 - 00:05:55] 也是影響微軟投資OPI的一個重要因素
[00:05:55 - 00:05:58] 受到達里奧和伊利亞在OPI撰寫的
[00:05:58 - 00:06:00] 關於Sigling Loss的備忘錄期發
[00:06:00 - 00:06:01] 納德拉堅信
[00:06:01 - 00:06:04] 人文智能技術具有指數級增長的潛力
[00:06:04 - 00:06:05] 基於這種信念
[00:06:05 - 00:06:07] 微軟決定全力以赴的支持OPI
[00:06:07 - 00:06:10] 隨著OPI在GaHub、Copile等平台上
[00:06:10 - 00:06:11] 取得初步的成功
[00:06:11 - 00:06:14] 微軟更是堅定了繼續加倍投入的決心
[00:06:14 - 00:06:18] 当今的AI竞争格局已经呈现出了一个多元竞争的趋势
[00:06:18 - 00:06:23] 整个科技行业对于人工智能的重视程度达到了前所未有的高度
[00:06:23 - 00:06:25] 可以说已经普遍觉醒
[00:06:25 - 00:06:27] 这个局面类似于90年代末
[00:06:27 - 00:06:30] 微软与散公司竞争时的格局变化
[00:06:30 - 00:06:33] 但是如今参与竞争的主体更加的多元化
[00:06:33 - 00:06:36] 除了有被称为Mac 7的七大科技巨头以外
[00:06:36 - 00:06:38] 还有更多的新兴力量不断的涌入
[00:06:38 - 00:06:40] 在这个竞争舞台上
[00:06:40 - 00:06:43] OPI品牌的强大的技術實力和影響力
[00:06:43 - 00:06:45] 可以被看作是Map 8
[00:06:45 - 00:06:46] 它在某種意義上
[00:06:46 - 00:06:47] 已經成為了這個時代
[00:06:47 - 00:06:49] 與谷歌、微軟或者Matter等巨頭
[00:06:49 - 00:06:51] 聘姦的重要力量
[00:06:51 - 00:06:53] 在這樣激烈的競爭環境下
[00:06:53 - 00:06:54] 納德拉認為
[00:06:54 - 00:06:56] 未來不太可能出現一家獨大的局面
[00:06:56 - 00:06:58] 整個世界對於前沿模型的需求
[00:06:58 - 00:06:59] 是多樣化的
[00:06:59 - 00:07:02] 需要多個分布在全球各地的提供商
[00:07:02 - 00:07:03] 來滿足不同的需求
[00:07:03 - 00:07:05] 而且每個提供商
[00:07:05 - 00:07:07] 都會擁有多個不同類型的模型
[00:07:07 - 00:07:09] 以及與之配套的應用服務器
[00:07:09 - 00:07:11] 就像如今的口拍的等應用
[00:07:11 - 00:07:14] 實際上就是多模型應用的典型代表
[00:07:14 - 00:07:16] 可以預見到的是
[00:07:16 - 00:07:20] 未來將會出現專門針對於AI應用的全新應用服務器
[00:07:20 - 00:07:23] 就如同過去有移動應用服務器和外部應用服務器一樣
[00:07:23 - 00:07:27] 這將會是AI時代應用架構的一個重要發展趨勢
[00:07:27 - 00:07:28] 而在應用層
[00:07:28 - 00:07:31] 由於軟件層面的網絡效應依然存在
[00:07:31 - 00:07:33] 所以將會有更多的參與者引路
[00:07:33 - 00:07:36] 無論是在消費級市場還是企業級市場
[00:07:36 - 00:07:39] 不同的网络效应将塑造出多样化的竞争态势
[00:07:39 - 00:07:40] 因此呢
[00:07:40 - 00:07:42] 纳德拉经常提醒团队
[00:07:42 - 00:07:44] 必须从不同的层级结构出发
[00:07:44 - 00:07:46] 深入分析和应对竞争
[00:07:46 - 00:07:47] 同时呢
[00:07:47 - 00:07:50] 要时刻关注那些可能突然崛起的新兴创始人和企业
[00:07:50 - 00:07:53] 因为在这个顺序万变的行业中
[00:07:53 - 00:07:55] 新的竞争力量随时都可能涌现出来
[00:07:55 - 00:07:58] 像OpenN就是一个典型的例子
[00:07:58 - 00:08:01] 接下来纳德拉提到了微软如今面临的一些挑战和机遇
[00:08:01 - 00:08:03] 尤其是在搜索业务
[00:08:03 - 00:08:05] Agent的应用与数据交互等方面
[00:08:05 - 00:08:08] 首先 微軟的傳統搜索業務
[00:08:08 - 00:08:10] 正在面臨著巨大的變革壓力
[00:08:10 - 00:08:12] 隨著消費者需求的演變
[00:08:12 - 00:08:14] 人們不再滿足於傳統搜索
[00:08:14 - 00:08:15] 提供的10個藍色鏈接
[00:08:15 - 00:08:18] 而是更加傾向於直接獲取精準的答案
[00:08:18 - 00:08:20] 比如說 現在的孩子們
[00:08:20 - 00:08:21] 在使用互聯網的時候
[00:08:21 - 00:08:22] 往往會質疑
[00:08:22 - 00:08:23] 為什麼要花費時間
[00:08:23 - 00:08:25] 去搜索引擎裡查找信息
[00:08:25 - 00:08:27] 而不是直接得到答案呢
[00:08:27 - 00:08:29] 這種消費習慣的轉變
[00:08:29 - 00:08:31] 使得病等傳統搜索業務
[00:08:31 - 00:08:32] 面臨著嚴峻的挑戰
[00:08:32 - 00:08:34] 微軟深刻認識到了這個趨勢
[00:08:34 - 00:08:37] 认为聊天与答案相结合的模式
[00:08:37 - 00:08:39] 将是未来搜索业务的发展方向
[00:08:39 - 00:08:40] 在这个过程中
[00:08:40 - 00:08:43] 分发渠道就成了关键的因素
[00:08:43 - 00:08:46] 显然谷歌在这方面有着明显的优势
[00:08:46 - 00:08:48] 因为它在苹果和安卓系统上
[00:08:48 - 00:08:49] 拥有默认的搜索分发地位
[00:08:49 - 00:08:52] 让它能够在搜索市场中占据主导地位
[00:08:52 - 00:08:54] 并且拥有巨大的影响力
[00:08:54 - 00:08:57] 不过微软也并没有因此而退缩
[00:08:57 - 00:09:00] 它们正在通过多种方式来积极地应对
[00:09:00 - 00:09:01] 一方面
