BV号：BV1A1CpY9EQo
标题：BV1A1CpY9EQo
链接：https://www.bilibili.com/video/BV1A1CpY9EQo
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-08-30 22:10:38

[00:00:00 - 00:00:02] 我问为什么我政治上不在意
[00:00:02 - 00:00:05] 因为我其实是技术人
[00:00:05 - 00:00:07] 我建设了车车车
[00:00:07 - 00:00:11] 所以我做什么在政治
[00:00:11 - 00:00:14] 我不想在政治
[00:00:14 - 00:00:15] 我不想在政治
[00:00:15 - 00:00:17] 那不是我的目标
[00:00:17 - 00:00:19] 我只喜欢建设
[00:00:19 - 00:00:21] 我喜欢建设的人
[00:00:21 - 00:00:26] 我仍然很开心
[00:00:26 - 00:00:27] 从看人们享受到
[00:00:27 - 00:00:30] 我真的很喜歡在公司裡做的產品
[00:00:30 - 00:00:32] 我愛令人們愛的產品
[00:00:32 - 00:00:34] 這就是我常經常做的事
[00:00:34 - 00:00:38] 我沒有愛政治
[00:00:38 - 00:00:40] 我承認政治
[00:00:40 - 00:00:44] 但有這樣的問題
[00:00:44 - 00:00:48] 我沒有選擇
[00:00:50 - 00:00:53] 所以是我並不想要的
