BV号：BV1uT7Q63EKg
标题：BV1uT7Q63EKg
链接：https://www.bilibili.com/video/BV1uT7Q63EKg
识别语言：zh
语言置信度：1
分段数：252
生成时间：2026-08-29 17:53:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 所有人都告诉你学好AI才能不被淘汰
[00:00:05 - 00:00:08] 但在2026年哈佛毕业绩的Class Day上
[00:00:08 - 00:00:10] 脱口秀演员Ronny Ching
[00:00:10 - 00:00:12] 却对着全美最聪明的脑袋说
[00:00:12 - 00:00:14] 你们这代人的使命是摧毁AI
[00:00:14 - 00:00:17] 这段演讲后来被Harvard Gazette
[00:00:17 - 00:00:19] 和Harvard Magazine广泛报道
[00:00:19 - 00:00:20] 你以为他在讲段子
[00:00:20 - 00:00:22] 不作为一个长期写代码的工程师
[00:00:22 - 00:00:26] 我发现他无意中戳破了目前AI行业最大的谎言
[00:00:26 - 00:00:28] 你有没有发现一个很离谱的现象
[00:00:28 - 00:00:34] 我们用AI写邮件,用AI总结文档,用AI生成代码,看起来效率翻倍了
[00:00:34 - 00:00:38] 但我们真正产出的有价值的东西却越来越少
[00:00:38 - 00:00:42] 一些研究和开发者反馈显示,AI生成代码并不等于进提效
[00:00:42 - 00:00:48] 它可能把时间从写代码转移到审查,调试和修正代码上
[00:00:48 - 00:00:53] 特别是在复杂成熟的代码库中,自身开发者的工作时间反而增加
[00:00:53 - 00:00:55] 这至少不是单纯的主观抱怨
[00:00:55 - 00:00:58] METR在2025年的研究发现
[00:00:58 - 00:01:00] 使用Cursor和Cloud的资深开发者
[00:01:00 - 00:01:02] 任务完成时间增加了19%
[00:01:02 - 00:01:06] 大量时间花在等待审查和清理AI输出上
[00:01:06 - 00:01:07] 问题到底出在哪儿
[00:01:07 - 00:01:10] 这得从Ronny Ching在Half的演讲说起
[00:01:10 - 00:01:10] 他说
[00:01:10 - 00:01:13] AI正在让平庸的人变得更蠢
[00:01:13 - 00:01:16] 那些整天吹虚AI能帮我读邮件回信息的人
[00:01:16 - 00:01:19] 其实是在把最基本的思考能力外包
[00:01:19 - 00:01:22] 在软件工程领域这种风险同样存在
[00:01:22 - 00:01:25] github,co-pilot cursor这些工具满天沸
