BV号：BV1F5GG6vEc4
标题：BV1F5GG6vEc4
链接：https://www.bilibili.com/video/BV1F5GG6vEc4
识别语言：zh
语言置信度：1
分段数：417
生成时间：2026-08-29 11:13:04

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 今天先给你出一道题
[00:00:03 - 00:00:05] 2007年 伯克利一个实验
[00:00:05 - 00:00:07] 来自扣拼义的博士论文
[00:00:07 - 00:00:09] 研究的是投票机软件的可靠性
[00:00:09 - 00:00:13] 他和David Wagner往代码里亲手埋了三个bug
[00:00:13 - 00:00:15] 难度分三档EZ MediumHeart
[00:00:15 - 00:00:17] 然后他们去请审查的人
[00:00:17 - 00:00:18] 来的阵容堪称梦幻
[00:00:18 - 00:00:23] 分别是Yoshi Kono、Mark Miller、Dan Sandler、Ian Goldberg
[00:00:23 - 00:00:26] 四位经验丰富的审查者都熟悉安全威胁
[00:00:26 - 00:00:29] 实验方还特别厚道直接告诉他们
[00:00:29 - 00:00:32] bug在这约100行里 你想想这个条件
[00:00:32 - 00:00:34] 已知有bug 已知未知
[00:00:34 - 00:00:36] 还都是安全审查这个行团的老手
[00:00:36 - 00:00:39] 你猜三个bug能找出几个先记住你的答案
[00:00:39 - 00:00:42] 这期看到最后回来对账 我把过程也给你
[00:00:42 - 00:00:45] Sandler最快约70分钟找出easy和medium
[00:00:45 - 00:00:48] Cono和Miller花了约4小时只找到easy
[00:00:48 - 00:00:51] Golberg约两小时也只找到easy
[00:00:51 - 00:00:54] 前后砸进去约20个审查人士那个hardbug
[00:00:54 - 00:00:56] 没有一个人找到lemurabber
[00:00:56 - 00:00:57] 还回忆过一件事
[00:00:57 - 00:01:00] 他私下听Mark Miller副盘缺陷被指出以后
[00:01:00 - 00:01:02] 大家都觉得回头看太明显
[00:01:02 - 00:01:03] 案里应该找得到
[00:01:03 - 00:01:05] 要交代一句这话是
[00:01:05 - 00:01:07] 他的转述不在博士论文里
[00:01:07 - 00:01:08] 但你听听这个味道
[00:01:08 - 00:01:10] 连他们都觉得本该找到
[00:01:10 - 00:01:12] 可事实就是没找到这个案例
[00:01:12 - 00:01:13] 没有测出
[00:01:13 - 00:01:15] 人类审查能力的硬上线
[00:01:15 - 00:01:17] 他证明的是一件更现实的是
[00:01:17 - 00:01:18] 哪怕范围速到100行
[00:01:18 - 00:01:20] 哪怕审查者经验丰富
[00:01:20 - 00:01:22] 人工阅读依然可能漏掉
[00:01:22 - 00:01:23] 刻意隐藏的缺陷
[00:01:23 - 00:01:25] AI把代码产量放大以后
[00:01:25 - 00:01:27] 这个漏减风险不会自动消失
[00:01:27 - 00:01:29] 所以真正的问题来了
[00:01:29 - 00:01:31] 你每天那点认真审查的贷宽
[00:01:31 - 00:01:34] 在AI时代到底值多少钱又该怎么花
[00:01:34 - 00:01:37] 这个七月整个社区炒翻天其实就是这一件事
[00:01:37 - 00:01:39] 先把时间线拉清楚
[00:01:39 - 00:01:41] 4月14日Uncle Bob先出手
[00:01:41 - 00:01:46] Clean Code的作者从60年代末写贷码超过55年
[00:01:46 - 00:01:48] 他说他不再逐行审查AZ的贷码
[00:01:48 - 00:01:51] 改看覆盖率依赖结构圈复杂度
[00:01:51 - 00:01:52] GradyBootz当场反对
[00:01:52 - 00:01:55] 他说这些指标能增加对功能的信心
[00:01:55 - 00:01:59] 却不能让他确信代码没有引入漏洞和死代码
[00:01:59 - 00:02:00] 没有影响性能的结构问题
[00:02:00 - 00:02:02] 最后留下一句话
[00:02:02 - 00:02:05] 信任但要验证这两位老前辈其实在给审查定价
[00:02:05 - 00:02:07] 一个闲人审太贵
[00:02:07 - 00:02:08] 一个闲不审更贵
[00:02:08 - 00:02:09] 5月6日
[00:02:09 - 00:02:11] Simon Willison发文一年多前
[00:02:11 - 00:02:13] 他还把边界画得很清楚
[00:02:13 - 00:02:15] 绝不提交解释不清的代码
[00:02:15 - 00:02:18] 现在他承认自己的生产代码也不足航审了
[00:02:18 - 00:02:20] 他还借越鬼正常化这个词
[00:02:20 - 00:02:22] 承认自己也有点心理没底
[00:02:22 - 00:02:24] 连他这样的人线都在往后挪
[00:02:24 - 00:02:27] 导火锁烧在北京时间7月3日
[00:02:27 - 00:02:31] HashCorp联合创始人喬本在X上指挥的一句话
[00:02:31 - 00:02:33] I read the code 我独带码
[00:02:33 - 00:02:35] 截至7月底约83万次浏览
[00:02:35 - 00:02:38] 一句工作习惯被读成了宣战
[00:02:38 - 00:02:40] 7月17日LamorWeber发长文
[00:02:40 - 00:02:43] Spreadly联合创始人兼执行总监
[00:02:43 - 00:02:45] ActivityPub协议的共同作者
[00:02:45 - 00:02:48] 他给这场争论送上了理论弹药
[00:02:48 - 00:02:50] 7月23日报不回复开发者Ori
[00:02:50 - 00:02:53] 这位Ori1983年就开始编程
[00:02:53 - 00:02:56] 他说让AI直接改文件心理发毛
[00:02:56 - 00:02:57] 要负责就必须理解代码
[00:02:57 - 00:02:58] 报不回他
[00:02:58 - 00:02:59] 我比你老得多
[00:02:59 - 00:03:02] 我现在的策略一行都不读这条
[00:03:02 - 00:03:03] 回复截至7月底
[00:03:03 - 00:03:05] 浏览量超过480万
[00:03:05 - 00:03:07] 接近巧本那条的6倍
[00:03:07 - 00:03:09] 两边阵营彻底成形
[00:03:09 - 00:03:10] 这里先抛一个争议观点
[00:03:10 - 00:03:12] 坚持全读的人反而更危险
[00:03:12 - 00:03:14] 同意的反对的打在公平上
[00:03:14 - 00:03:16] 先看读代码这一侧
[00:03:16 - 00:03:18] Cindy Street-Harran把底线讲得最狠
[00:03:18 - 00:03:21] 每次听到有人说代码全是Cloud写的
[00:03:21 - 00:03:23] 我自己也不懂他怎么工作
[00:03:23 - 00:03:25] 他就认定这人调失不了他
[00:03:25 - 00:03:27] 调失不了你就不算拥有他
[00:03:27 - 00:03:30] 他在工作里见多了这种场面
[00:03:30 - 00:03:32] 遇到bug把抱错人给Cloud的
[00:03:32 - 00:03:35] 修复方案贴回来跑通就算完稍微棘手一点的
[00:03:35 - 00:03:37] 立刻卡在原地撞墙
[00:03:37 - 00:03:38] 地基是空的
[00:03:38 - 00:03:39] 画很重
[00:03:39 - 00:03:41] 但你仔细评评好像真是这个理
[00:03:41 - 00:03:43] 不过要交代完整
[00:03:43 - 00:03:44] 几天后他自己补了一条
[00:03:44 - 00:03:46] 仍尽量理解每一行
[00:03:46 - 00:03:49] 但也承认实践里正长出一套新技能
[00:03:49 - 00:03:50] 能高效交付
[00:03:50 - 00:03:51] 能调试陌生代码
[00:03:51 - 00:03:53] 连它也不想被盯死在全都派
[00:03:53 - 00:03:55] 那很多人会觉得奇怪了
[00:03:55 - 00:03:56] 审查这么重要
[00:03:56 - 00:03:58] 怎么人人都在悄悄放弃它
[00:03:58 - 00:04:01] Lambore Webber在长文里还提到一个现象
[00:04:01 - 00:04:02] Fask作者Armin
[00:04:02 - 00:04:04] 观察到Web出来的系统
[00:04:04 - 00:04:06] 代码一层落一层落到最后没有任何人
[00:04:06 - 00:04:09] 能完整看懂整个代码库
[00:04:09 - 00:04:10] 但系统还在跑
[00:04:10 - 00:04:12] 因为LLM能给你解释其中一段
[00:04:12 - 00:04:14] 大家就靠着这种局部解释
[00:04:14 - 00:04:15] 继续往上盖楼
[00:04:15 - 00:04:18] 楼在掌高,滴机没人看过,要交代清楚
[00:04:18 - 00:04:20] 这是观察,不是实证研究
[00:04:20 - 00:04:23] 他本人也没为这种状态站台
[00:04:23 - 00:04:25] 蓝萌维伯的回答是雪桥
[00:04:25 - 00:04:28] 他说用LM写代码,想做雪桥
[00:04:28 - 00:04:30] 滑道只有一条,一路向下
[00:04:30 - 00:04:34] 山顶上你说,只当高级自动补权
[00:04:34 - 00:04:36] 滑一段变成Agent生成我来审
[00:04:36 - 00:04:39] 再滑一段,不怎么看书出了,但我信任他
[00:04:39 - 00:04:41] 到了山脚,你连prompt都不写了
[00:04:41 - 00:04:43] 每一步你都以为是自己的选择
[00:04:43 - 00:04:45] 其实每一步都是惯性在推你
[00:04:45 - 00:04:47] 这股惯性它算了一笔账
[00:04:47 - 00:04:49] 算的特别扎心
[00:04:49 - 00:04:50] 写单码慢的部分
[00:04:50 - 00:04:53] 在两头一头建立理解一头审查
[00:04:53 - 00:04:56] 生成本来就是最快的环节
[00:04:56 - 00:04:57] AI把生成变得飞快
[00:04:57 - 00:04:58] 你一旦认真审查
[00:04:58 - 00:05:00] 速度优势当场作废
[00:05:00 - 00:05:02] 所以审查天然第一个被牺牲
[00:05:02 - 00:05:04] 今天跳过一个小函数
[00:05:04 - 00:05:06] 明天觉得这个模块差不多就行
[00:05:06 - 00:05:08] 每一步都很小都很合理
[00:05:08 - 00:05:10] 等你回头已经在山脚了
[00:05:10 - 00:05:11] 它还有一个更狠的概念
[00:05:11 - 00:05:14] vibesickness,vibes不示政
[00:05:14 - 00:05:16] 思来自glift的picon感想
[00:05:16 - 00:05:18] 说的是slop已经无处不在
[00:05:18 - 00:05:21] 开源社区正被slop实安全PR压垮
[00:05:21 - 00:05:23] 克服是机器人
[00:05:23 - 00:05:25] 海报是AI最难受的是你躲不开
[00:05:25 - 00:05:28] 同时扔来一个他自己都不懂的贡献
[00:05:28 - 00:05:29] 你去审他
[00:05:29 - 00:05:31] 你就被迫加入了vibecoding的工作流
[00:05:31 - 00:05:35] glift的比喻我给满分靠拒绝LLM软件来抗议
[00:05:35 - 00:05:38] 就像靠不呼吸来抗议汽油加签
[00:05:38 - 00:05:40] 他特别强调的地方在于
[00:05:40 - 00:05:43] 下滑这个过程往往不是你的选择
[00:05:43 - 00:05:45] 更像顺着惯性越滑越快
[00:05:45 - 00:05:47] 等你反应过来已经停不下来
[00:05:47 - 00:05:49] 你以为能控制好这个度
[00:05:49 - 00:05:51] 只是在不重要的地方偷个懒
[00:05:51 - 00:05:53] 现实里很难找到刹车点
[00:05:53 - 00:05:54] 它的态度也很明确
[00:05:54 - 00:05:56] 凡是不用GNI的项目
[00:05:56 - 00:05:58] 它都多一分尊重
[00:05:58 - 00:06:00] 它担心的事情更远世界
[00:06:00 - 00:06:01] 正被没人理解的系统
[00:06:01 - 00:06:04] 一点一点替换掉这一侧的逻辑链
[00:06:04 - 00:06:05] 到这里避缓了
[00:06:05 - 00:06:07] 人工审查会漏减自控又靠不住
[00:06:07 - 00:06:09] 谈幕走一波
[00:06:09 - 00:06:10] 你现在站哪边
[00:06:10 - 00:06:11] 但先别急着下结论
[00:06:11 - 00:06:13] Bob那套做法值得完整看一遍
[00:06:13 - 00:06:15] 他不读代码但他没有躺平
[00:06:15 - 00:06:17] TugAgent围了一圈关卡
[00:06:17 - 00:06:20] 单元测试Gurkin测试QA流程
[00:06:20 - 00:06:23] 质量指标便易测试测试覆盖率
[00:06:23 - 00:06:24] 外加一大堆别的机制
[00:06:24 - 00:06:27] 代码想进主干先闯完这套
[00:06:27 - 00:06:28] 关闯完他就敢合并
[00:06:28 - 00:06:32] 他信任的对象换了从代码本身换成了关卡
[00:06:32 - 00:06:34] 代码可以撒谎关卡不会客气
[00:06:34 - 00:06:36] 你看他不是对AI有信心
[00:06:36 - 00:06:38] 他是对验证体系有信心
[00:06:38 - 00:06:42] 马上有人追问第一层谁来保证关卡本身可靠
[00:06:42 - 00:06:43] 万一测试写错了呢
[00:06:43 - 00:06:44] 报告很坦白
[00:06:44 - 00:06:46] 检查工具它也让AZEN的写
[00:06:46 - 00:06:48] 但工具规模很小
[00:06:48 - 00:06:49] 规则也是确定的
[00:06:49 - 00:06:50] 在固定环境里
[00:06:50 - 00:06:53] 同一输入能得到可复限的结果
[00:06:53 - 00:06:55] 它还让Cloud用closure
[00:06:55 - 00:06:57] 写过一个变异测试的工具
[00:06:57 - 00:06:58] 追问第二层
[00:06:58 - 00:06:59] 你审这些工具的代码吗
[00:06:59 - 00:07:01] 不审还是同一套流程
[00:07:01 - 00:07:03] 工具同样被大量测试包围
[00:07:03 - 00:07:05] 追问第三层最尖锐的一层
[00:07:05 - 00:07:07] 这不就是无限地规吗
[00:07:07 - 00:07:11] AI写代码,AI写测试,AI再写工具,检查AI
[00:07:11 - 00:07:14] 抱不当然想过这一点,它的底牌是变异测试
[00:07:14 - 00:07:17] 故意往代码里塞错误,看你的测试抓不抓得住
[00:07:17 - 00:07:21] Agent想靠刷覆概率,蒙混成本会被明显抬高
[00:07:21 - 00:07:24] 但要把话说全,变异测试也不是万能的
[00:07:24 - 00:07:27] 它只检查测试对变化敏不敏感
[00:07:27 - 00:07:30] 规格对不对,断言错没错,它回答不了
[00:07:30 - 00:07:34] 而且它不是甩手掌柜,Gurkin验收测试它亲手审
[00:07:34 - 00:07:36] QA流程,它亲手审
[00:07:36 - 00:07:38] 还定期做最终的人工测试
[00:07:38 - 00:07:40] 有人问他凭什么信Agent的手规矩
[00:07:40 - 00:07:43] 他答他们和人差不多可靠
[00:07:43 - 00:07:44] 所以你盯着他们
[00:07:44 - 00:07:45] 追问第四层测试
[00:07:45 - 00:07:47] 能保功能代码质量呢
[00:07:47 - 00:07:49] 写的乱但能跑通行不行
[00:07:49 - 00:07:51] 抱不得态度非常明确
[00:07:51 - 00:07:53] 质量比以前更重要
[00:07:53 - 00:07:55] 乱代码照样拖慢AI
[00:07:55 - 00:07:57] 他亲眼见过Agent被自己的乱结构困住
[00:07:57 - 00:07:59] 来回折腾就是解不出来
[00:07:59 - 00:08:02] 最后他亲自下场把乱码理顺
[00:08:02 - 00:08:03] 所以寒树长度圈复杂度
[00:08:03 - 00:08:05] 他设了极严的上线
[00:08:05 - 00:08:07] 岳树Agent是为了让他跑得顺
[00:08:07 - 00:08:10] 有人嘲讽他你已经不算工程师了
[00:08:10 - 00:08:12] 他回我才是工程师
[00:08:12 - 00:08:13] 因为负责的人是我
[00:08:13 - 00:08:16] 西班牙工程师Carrion看得最透
[00:08:16 - 00:08:17] 包布根本没放弃审查
[00:08:17 - 00:08:19] 他把审查上移了一层
[00:08:19 - 00:08:21] 眼睛从鱼法挪到关卡设计
[00:08:21 - 00:08:24] 说到这儿两边的牌都摊开了
