BV号：BV1PYg56VEVA
标题：BV1PYg56VEVA
链接：https://www.bilibili.com/video/BV1PYg56VEVA
识别语言：zh
语言置信度：1
分段数：399
生成时间：2026-08-29 19:38:06

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] Anthropic Ren Gong George Sumner
[00:00:04 - 00:00:06] 给Cloud的布置离道作业题
[00:00:06 - 00:00:10] 难度相当于手写一个生产级分布式数据库内核
[00:00:10 - 00:00:12] 且要求第一次编译领警告通过
[00:00:12 - 00:00:15] 题目是 认真尝试证明李曼猜想
[00:00:15 - 00:00:18] 这个猜想自1859年提出
[00:00:18 - 00:00:21] 克雷数学研究所悬赏百万美元至今无人破解
[00:00:21 - 00:00:23] Gerald本人不是数学家
[00:00:23 - 00:00:24] 他把任务丢给Cloud后
[00:00:24 - 00:00:28] 基本只在旁边发加油 相信自己之类的消息
[00:00:28 - 00:00:31] 结果Cloud花了两天消耗3100万输出token
[00:00:31 - 00:00:35] 调用约60个子代里执行2400个社会命令
[00:00:35 - 00:00:37] 写了几百个拍摄脚本
[00:00:37 - 00:00:39] 虽然没拿下黎曼猜想本身
[00:00:39 - 00:00:42] 却在相关赛道上把人类保持了
[00:00:42 - 00:00:47] 多年的纪录从41.6%刷新到67.2%
[00:00:47 - 00:00:50] 如果把速数看成一组不可压缩的随机数种子
[00:00:50 - 00:00:52] 黎曼Z的函数就是描述这些
[00:00:52 - 00:00:54] 种子分布规律的生成函数
[00:00:54 - 00:00:58] 写成代码对复数s且实部大于一时
[00:00:58 - 00:01:00] Zeta,s等于n
[00:01:00 - 00:01:03] 从1到无穷的n的复s四方求和
[00:01:03 - 00:01:07] 通过解析沿拓函数可扩展到整个复平面
[00:01:07 - 00:01:09] 只在s等于1处有一个极点
[00:01:09 - 00:01:12] 这个函数的0点决定了素数的分布精度
[00:01:12 - 00:01:15] 李曼才想说所有非频繁
[00:01:15 - 00:01:17] 0点的实部都恰好等于1⁴
[00:01:17 - 00:01:19] 也就是全部落在复平面上
[00:01:19 - 00:01:21] 一条叫做临界线的直线上
[00:01:21 - 00:01:25] 对程序源来说这相当于断言一个复杂系统的
[00:01:25 - 00:01:28] 所有公正频率都落在一条对陈轴上
[00:01:28 - 00:01:32] 如果成立速输的分布就服从一种深层有序结构
[00:01:32 - 00:01:35] 就像萎随机输生成器背后有一个确定性的种子
[00:01:35 - 00:01:39] 很多密码学和算法都默认这个猜想成立
[00:01:39 - 00:01:41] 相当于没完成单元测试就
[00:01:41 - 00:01:43] 把代码部署到了生产环境
[00:01:43 - 00:01:45] Zeta函数0.分两位
[00:01:45 - 00:01:48] 频繁0.是复欧数 早已确定
[00:01:48 - 00:01:51] 非频繁0.全在0-1的邻届代理
[00:01:51 - 00:01:54] 林漫猜想断言他们权在1分之1线上
[00:01:54 - 00:01:57] 数学家没法一次性证明全部于是推而求其次
[00:01:57 - 00:01:59] 至少有多少比例确实在线上
[00:01:59 - 00:02:02] 这变成了一个可以逐步推进的工程问题
[00:02:02 - 00:02:03] 从20世纪开始
[00:02:03 - 00:02:06] 数学家不断改进算法和估计技巧
[00:02:06 - 00:02:08] 把比例下线一点点往上推
[00:02:08 - 00:02:09] 到claw的出手之前
[00:02:09 - 00:02:12] 人类最好的结果是41.6%
[00:02:12 - 00:02:14] 也就是说我们已经证明了至少
[00:02:14 - 00:02:18] 41.6%的非频繁零点在零件线上
[00:02:18 - 00:02:22] 但剩下的58.4%可能在线上也可能在别处
[00:02:22 - 00:02:24] 这个比例就像一道进度条
[00:02:24 - 00:02:25] 几十年没动过了
[00:02:25 - 00:02:29] 41.6%这个数字背后是一整套解析数论工具
[00:02:29 - 00:02:32] 涉及L函数指数和CF方法等
[00:02:32 - 00:02:35] 每次提升比例都需要找到新的不等式
[00:02:35 - 00:02:37] 估计或新的结构来压缩误差
[00:02:37 - 00:02:39] 在过去几十年里
[00:02:39 - 00:02:41] 这个比例的提升速度非常缓慢
[00:02:41 - 00:02:44] 因为每前进一步都需要极其精细的分析
[00:02:44 - 00:02:47] Cloud把这个数字直接拉到了67.2%
[00:02:47 - 00:02:49] 提升幅度超过25个百分点
[00:02:49 - 00:02:51] 在解析数论领域
[00:02:51 - 00:02:53] 这种量级的跳跃非常罕见
[00:02:53 - 00:02:55] 它超越了对原有方法的微调
[00:02:55 - 00:02:59] 核心在于把几篇不同方向论文的结果组合起来
[00:02:59 - 00:03:01] 发现了一个之前被忽略的交集
[00:03:01 - 00:03:04] 相当于几个独立模块本来各自运行
[00:03:04 - 00:03:07] Cloud发现他们可以连掉出一个新功能
[00:03:07 - 00:03:09] 性能直接翻倍
[00:03:09 - 00:03:11] 整个实验在Cloud Code里完成
[00:03:11 - 00:03:13] 这是Anturobic开发的AI编程环境
[00:03:13 - 00:03:16] 本质上是一个AI原生 IDE
[00:03:16 - 00:03:19] 支持多轮对话文件操作和代码执行
[00:03:19 - 00:03:21] Cloud总共输出了3100万头肯
[00:03:21 - 00:03:24] 相当于十几本技术书加起来的篇幅
[00:03:24 - 00:03:26] 过程分为两个主要session
[00:03:26 - 00:03:29] 第一个session里Cloud生成了650个不同的想法
[00:03:29 - 00:03:31] 逐个尝试全部失败
[00:03:31 - 00:03:33] Zerr在旁边发了条消息
[00:03:33 - 00:03:34] 大一是再试一次
[00:03:34 - 00:03:36] Cloud没有死科单一路径
[00:03:36 - 00:03:38] 而是重新设计了架构
[00:03:38 - 00:03:39] 启动了第二个session
[00:03:39 - 00:03:42] 这种从单线程到分布式的切换
[00:03:42 - 00:03:44] 本身就是系统设计的智慧
[00:03:44 - 00:03:46] 也反映了Cloud的自我纠错能力
[00:03:46 - 00:03:47] 从工程角度看
[00:03:47 - 00:03:50] 这像一次大规模的重构决策
[00:03:50 - 00:03:53] 第一个赛事的650个想法全部失败
[00:03:53 - 00:03:54] 这本身值得注意
[00:03:54 - 00:03:57] 它说明Cloud面对开放数学问题时
[00:03:57 - 00:03:59] 首先展现的是探索性思维
[00:03:59 - 00:04:01] 快速生成大量假设
[00:04:01 - 00:04:02] 然后逐一验证
[00:04:02 - 00:04:04] 这很像资深工程师
[00:04:04 - 00:04:06] 面对未知bug的排查过程
[00:04:06 - 00:04:07] 列出所有可能的原因
[00:04:07 - 00:04:09] 从最可能的开始逐个排除
[00:04:09 - 00:04:11] 650个想法全部失败
[00:04:11 - 00:04:13] 意味着黎曼猜想的防御笔
[00:04:13 - 00:04:15] Cloud最初估计的更加严密
[00:04:15 - 00:04:18] 但Cloud没有停留在失败报告上
[00:04:18 - 00:04:19] 而是主动调整了策略
[00:04:19 - 00:04:22] 这种从失败中迭代的能力
[00:04:22 - 00:04:25] 是这次实验最值得关注的技术细节之一
[00:04:25 - 00:04:28] 工程直觉在这里比单纯的知识储备更关键
[00:04:28 - 00:04:31] Jard在Cloud的第一次失败后发的消息
