BV号：BV1nV6SYUE1x
标题：BV1nV6SYUE1x
链接：https://www.bilibili.com/video/BV1nV6SYUE1x
识别语言：zh
语言置信度：1
分段数：260
生成时间：2026-08-30 21:10:47

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前几天看了一个Anstropic发布的视频
[00:00:05 - 00:00:06] 题目叫做
[00:00:06 - 00:00:09] 人们使用人工智能模型来做什么
[00:00:09 - 00:00:11] 其中Anstropic的几位研究员
[00:00:11 - 00:00:14] 重点讨论了AI的安全和隐私问题
[00:00:14 - 00:00:17] 以及提到了Anstropic内部的一个项目 Clio
[00:00:17 - 00:00:19] 虽然这个视频的播放量不大
[00:00:19 - 00:00:21] 但是我觉得还是蛮有意思的
[00:00:21 - 00:00:24] 所以整理了一下Clio这个项目的一些相关信息
[00:00:24 - 00:00:26] 今天也给大家分享一下
[00:00:26 - 00:00:27] 大家也来看一看
[00:00:27 - 00:00:30] 它到底是一次突破性的创新
[00:00:30 - 00:00:32] 还是一次不靠谱的尝试呢?
[00:00:32 - 00:00:35] CLEO是Cloud Insights and Observations的缩写
[00:00:35 - 00:00:37] 简单来说它是一种自动分析工具
[00:00:37 - 00:00:40] 可以对大语研模型在现实世界中的使用情况
[00:00:40 - 00:00:42] 进行隐私保护分析
[00:00:42 - 00:00:44] 在CLEO项目诞生之前
[00:00:44 - 00:00:47] Uncelvic团队为了了解用户对于系统的使用情况
[00:00:47 - 00:00:49] 也采取了一系列的方法
[00:00:49 - 00:00:52] 比如说他们会先确定想要研究的危害类型
[00:00:52 - 00:00:54] 然后进行针对性的测量
[00:00:54 - 00:00:57] 同时他们还开发了红队的流程
[00:00:57 - 00:01:00] 雇用核動功對系統進行對抗性的測試
[00:01:00 - 00:01:01] 以此來找到系統的弱點
[00:01:01 - 00:01:04] 不過這些方法雖然有一定的作用
[00:01:04 - 00:01:08] 但是缺少了對於真實世界使用情況的深入了解
[00:01:08 - 00:01:10] 而了解模型在實際場景中的應用
[00:01:10 - 00:01:14] 對於設計更加貼合實際的評估方法至關重要
[00:01:14 - 00:01:16] 特別是在研究歧視
[00:01:16 - 00:01:18] 說服力和錯誤信息等問題的時候
[00:01:18 - 00:01:20] 基於實際使用場景的評估
[00:01:20 - 00:01:23] 能夠避免僅僅依靠假設而帶來的偏差
[00:01:23 - 00:01:26] 於是在剛剛過去的12月
[00:01:26 - 00:01:29] Answerby公司发布了关于Cleario项目的研究论文
[00:01:29 - 00:01:32] 其中的核心概念就是想要用AI自身的能力
[00:01:32 - 00:01:35] 去分析和监控AI系统的行为
[00:01:35 - 00:01:38] 它主要是针对于大量用户与Cloud的对话
[00:01:38 - 00:01:40] 来展开自动化的分析
[00:01:40 - 00:01:43] 这样一来就不需要人工逐一的审查每条对话
[00:01:43 - 00:01:44] 大大提高了效率
[00:01:44 - 00:01:47] Cleario的工作流程包含几个关键的环节
[00:01:47 - 00:01:49] 首先是提取策证
[00:01:49 - 00:01:52] 它会从每个对话中提炼出多个特征
[00:01:52 - 00:01:54] 比如说高级对话主题、对话轮次数
[00:01:54 - 00:01:56] 以及使用的语言等等
[00:01:56 - 00:01:57] 举个例子
[00:01:57 - 00:01:59] 当用户询问如何计辑时
[00:01:59 - 00:02:01] 就会提取出日常技能
[00:02:01 - 00:02:03] 计辑相关等等特征
[00:02:03 - 00:02:04] 而当用户咨询
[00:02:04 - 00:02:07] 为什么CSS动画无法正常工作的时候
[00:02:07 - 00:02:08] 则会提取出
[00:02:08 - 00:02:09] 网页开发
[00:02:09 - 00:02:11] CSS动画问题等等特征
[00:02:11 - 00:02:13] 接着是语异俱类
[00:02:13 - 00:02:15] CLEO会利用KIMINS算法
[00:02:15 - 00:02:17] 把相似的对话归为一组
[00:02:17 - 00:02:19] 比如说像关于各种生活技能类的对话
[00:02:19 - 00:02:21] 可能就会被拒成一类
[00:02:21 - 00:02:24] 而编成相关的对话会被归为另一类
[00:02:24 - 00:02:26] 然后是描述剧类
[00:02:26 - 00:02:29] 为每个剧类生成具有描述性的标题和摘要
[00:02:29 - 00:02:31] 方便后续的分析和理解
[00:02:31 - 00:02:33] 最后是构建层次结构
[00:02:33 - 00:02:35] 将剧类组织成多层次的结构
[00:02:35 - 00:02:38] 让分析人员能够更加便捷地进行探索
[00:02:38 - 00:02:40] 从原始对话数据开始
[00:02:40 - 00:02:43] 经过一系列有条不稳的处理步骤
[00:02:43 - 00:02:46] 最终形成可以供分析人员操作的交互式界面
[00:02:46 - 00:02:49] 这种工作流程不仅能够明显地提升效率
[00:02:49 - 00:02:51] 同时还能够发现
[00:02:51 - 00:02:54] 传统安全测试难以觉察的一些潜在风险
[00:02:54 - 00:02:55] 在AI时代
[00:02:55 - 00:02:58] 用户的隐私保护始终是一个关键
[00:02:58 - 00:02:59] 而且棘手的问题
[00:02:59 - 00:03:02] 可6项目也面临着这个严峻的挑战
[00:03:02 - 00:03:04] Asteropic公司为了解决这个问题
[00:03:04 - 00:03:07] 精心设计了一套多层隐私保护机制
[00:03:07 - 00:03:08] 在对话摘要步骤中
[00:03:09 - 00:03:11] AI模型在生成对话摘要的时候
[00:03:11 - 00:03:14] 会被明确指示省略任何私人的信息
[00:03:14 - 00:03:17] 比如说用户在对话中提到了自己的个人经历
[00:03:17 - 00:03:19] 特定身份等等信息的时候
[00:03:19 - 00:03:21] 模型會自動過濾掉這些內容
[00:03:21 - 00:03:24] 在巨類聚合預值的環節規定了
[00:03:24 - 00:03:26] 只有當巨類的規模達到一定要求
[00:03:26 - 00:03:28] 才會被保留下來
[00:03:28 - 00:03:30] 這樣就避免了一些過於小眾
[00:03:30 - 00:03:33] 或者可能包含隱私風險的巨類被納入分析
[00:03:33 - 00:03:35] 在巨類摘藥部手中
[00:03:35 - 00:03:38] 會再次要求模型不包含私人信息
[00:03:38 - 00:03:40] 進一步確保隱私安全
[00:03:40 - 00:03:43] 而巨類審核則是最後一道兼顧的防線
[00:03:43 - 00:03:45] 會有一個專門的模型來讀取巨類摘藥
[00:03:45 - 00:03:48] 一旦發現其中包含私人信息
[00:03:48 - 00:03:49] 就会删除对应的巨类
[00:03:49 - 00:03:51] 通过这样层层把关的方式
[00:03:51 - 00:03:53] 安斯拉伯格的内部评估显示
[00:03:53 - 00:03:56] 原始对话中原本占到大约10%的
[00:03:56 - 00:03:57] 包含私人信息的数据
[00:03:57 - 00:03:59] 在经过这些处理步骤之后
[00:03:59 - 00:04:02] 已经降低到了接近0%
[00:04:02 - 00:04:05] 不过如此严格的隐私保护措施
[00:04:05 - 00:04:07] 是否会导致一些有价值的信息被遗漏呢
[00:04:07 - 00:04:10] 比如说某些看似无关紧要
[00:04:10 - 00:04:12] 但是实际上可能运含着重要模式的细节
[00:04:12 - 00:04:16] 会不会在这个过程中被误判而过滤掉呢
[00:04:16 - 00:04:18] 而且从另一个角度来看
[00:04:18 - 00:04:20] 在追求隐私保护的同时
[00:04:20 - 00:04:23] 我们是不是在一定程度上牺牲了透明度呢
[00:04:23 - 00:04:26] 毕竟如果无法查看原始数据
[00:04:26 - 00:04:30] 又还如何确保CLEO的分析结果是正确和公正的呢
[00:04:30 - 00:04:34] 这其实反映了AI发展过程中一个普遍存在的困境
[00:04:34 - 00:04:37] 那就是如何在保护个人权益和推动技术进步之间
[00:04:37 - 00:04:39] 找到一个恰当的平衡点
[00:04:39 - 00:04:44] 此外CLEO项目的核心做法是让AI来分析和监控AI的行为
[00:04:44 - 00:04:46] 雖然這具有一定的創新性
[00:04:46 - 00:04:48] 但是也會引發一個關鍵的疑問
[00:04:48 - 00:04:50] 那就是我們真的能夠完全信任AI
[00:04:50 - 00:04:52] 來完成對自我的監控嗎?
[00:04:52 - 00:04:54] 一方面 AI系統可能會繼承
[00:04:54 - 00:04:56] 或者放大訓練數據中的偏見
[00:04:56 - 00:04:58] 比如說如果用來訓練CLEO的數據
[00:04:58 - 00:05:00] 主要來源於某些特定的群體
[00:05:00 - 00:05:04] 那麼它可能會對這些群體的行為模式更為的敏感
[00:05:04 - 00:05:06] 而在處理其他群體的特殊需求時
[00:05:06 - 00:05:08] 就可能會出現偏差
[00:05:08 - 00:05:10] 另一方面 AI可能會誤解
[00:05:10 - 00:05:13] 某些上下文相關的表達或者是利於
[00:05:13 - 00:05:14] 從而導致錯誤的分類
[00:05:14 - 00:05:15] 更重要的是
[00:05:15 - 00:05:17] 它可能會完全錯過一些
[00:05:17 - 00:05:19] 需要深入人類動察力
[00:05:19 - 00:05:21] 才能夠理解的微妙線索
[00:05:21 - 00:05:22] 為了應對這些潛在的問題
[00:05:22 - 00:05:24] Azropic在ClearOS系統中
[00:05:24 - 00:05:26] 保留了人工審核的環節
[00:05:26 - 00:05:28] 但是這又引出了新的問題
[00:05:28 - 00:05:30] 如果仍然需要大量的人工干預
[00:05:30 - 00:05:32] 那麼ClearOS相較於傳統方法
[00:05:32 - 00:05:34] 是否真的更加高效呢?
[00:05:34 - 00:05:36] 儘管ClearOS項存在著很多的爭議
[00:05:36 - 00:05:39] 但是它無疑為我們提供了一個獨特的視角
