BV号：BV1UQduYsEy5
标题：BV1UQduYsEy5
链接：https://www.bilibili.com/video/BV1UQduYsEy5
识别语言：zh
语言置信度：1
分段数：236
生成时间：2026-08-30 08:46:12

[00:00:00 - 00:00:02] 大家好 这里是对家拍当 我是大飞
[00:00:02 - 00:00:06] 没想到 AI 竟然已经可以通过标准的三方图灵测试了吗?
[00:00:06 - 00:00:10] 最近 来自于加州大学圣迪哥分校的研究人员
[00:00:10 - 00:00:13] 对四个 AI 模型进行了系统性的评估
[00:00:13 - 00:00:16] 最终证明大约模型成功通过了图灵测试
[00:00:16 - 00:00:20] 这意味着 以后在网络上和你聊天的那个熟悉的陌生人
[00:00:20 - 00:00:21] 也许就不再是人类了
[00:00:21 - 00:00:24] 那么 研究人员究竟找到了什么样的证据
[00:00:24 - 00:00:27] 今天我们就来解读一下这篇论文
[00:00:27 - 00:00:28] 我们先简单介绍一下
[00:00:28 - 00:00:30] 图灵测试是什么
[00:00:30 - 00:00:31] 时间回到75年前
[00:00:31 - 00:00:34] 计算机科学领域的先驱艾伦图灵
[00:00:34 - 00:00:36] 提出了一个名为模仿游戏的概念
[00:00:36 - 00:00:38] 他后来成为了判定机器
[00:00:38 - 00:00:40] 是否具备智能的一个方法
[00:00:40 - 00:00:43] 也就是我们现在所说的图灵测试
[00:00:43 - 00:00:45] 当时艾伦图灵设想了这样一个场景
[00:00:45 - 00:00:48] 那就是测试员通过纯文字的聊天界面
[00:00:48 - 00:00:51] 同时开启与两个人的聊天
[00:00:51 - 00:00:52] 其中一个是真人
[00:00:52 - 00:00:54] 另一个则是AI
[00:00:54 - 00:00:56] 这两方都要拼命的向测试员证明
[00:00:56 - 00:00:58] 自己才是儒假包含的人類
[00:00:58 - 00:01:00] 而對方是AI機器人
[00:01:00 - 00:01:04] 如果測試員無法準確的分辨出誰是真人
[00:01:04 - 00:01:06] 那麼就說明機器通過了測試
[00:01:06 - 00:01:07] 長期以來
[00:01:07 - 00:01:09] 圖靈測試一直被視為是一個衡量AI
[00:01:09 - 00:01:12] 達到了人類智能程度的重要標誌
[00:01:12 - 00:01:14] 在過去的75年裡
[00:01:14 - 00:01:15] 不少人都嘗試去開發
[00:01:15 - 00:01:17] 能夠通過圖靈測試的系統
[00:01:17 - 00:01:19] 但是都沒有能夠成功
[00:01:19 - 00:01:22] 不過隨著人工智能技術的不斷發展
[00:01:22 - 00:01:24] 尤其是大語言模型的興起
[00:01:24 - 00:01:27] 讓大家重新把目光聚焦到了圖靈測試上
[00:01:27 - 00:01:28] 之前有研究發現
[00:01:28 - 00:01:32] 當GbD4按照要求扮演特定的角色時
[00:01:32 - 00:01:35] 有54%的概率會被誤判為真人
[00:01:35 - 00:01:37] 這其實跟瞎蒙的概率差不多
[00:01:37 - 00:01:39] 但是在進行三方圖靈測試的時候
[00:01:39 - 00:01:41] 有超過90%的模型
[00:01:41 - 00:01:43] 都可以被識別出不是真人
[00:01:43 - 00:01:46] 那為了看看如今最新的大圓模型
[00:01:46 - 00:01:48] 到底能不能被人識別
[00:01:48 - 00:01:50] 加州大學聖迪戈分校的研究人員
[00:01:50 - 00:01:53] 這次開展了隨機對照的三方圖靈測試
[00:01:53 - 00:01:56] 测试分别评估了4个模型的表现
[00:01:56 - 00:02:01] 包括Eliza, GPT-4O,Lama3.1.4,405B和GPT-4.5
[00:02:01 - 00:02:05] 其中Eliza是约瑟夫维森暴武1966年
[00:02:05 - 00:02:08] 在麻省理工学院研发的一个聊天机器人
[00:02:08 - 00:02:10] 他会模拟一位罗杰斯式的心理治疗师
[00:02:10 - 00:02:14] 来回答使用者提出的文字陈述或者是问题
[00:02:14 - 00:02:17] 而其他几个模型都是当今较为先进的前沿大方形
[00:02:17 - 00:02:20] 研究团队一共招募了126名
[00:02:20 - 00:02:23] 加州大学盛迪戈分校的心理学本科生
[00:02:23 - 00:02:27] 和158名Parlific平台的用户作為實驗的參與者
[00:02:27 - 00:02:29] 每位參與者都要完成8輪測試
[00:02:29 - 00:02:32] 每一輪測試都包含兩段對話
[00:02:32 - 00:02:35] 審問者會同時與兩位證人進行文字聊天
[00:02:35 - 00:02:37] 一位是真人另一位是AI
[00:02:37 - 00:02:41] 參與者會被隨機分配扮演審問者或者是證人的角色
[00:02:41 - 00:02:45] 並且會隨機匹配到另一位的參與者一起進行測試
[00:02:45 - 00:02:48] 而AI證人又被分成了四組
[00:02:48 - 00:02:51] 在每位參與者擔任審問者的四輪測試中
[00:02:51 - 00:02:54] 他们会随机与每个组里的一个AI证人进行对话
[00:02:54 - 00:02:56] 这四个组分别是
[00:02:56 - 00:02:57] 对照组
[00:02:57 - 00:03:01] 包含Elisa和GPT4O No Person的两个模型
[00:03:01 - 00:03:02] 无人格组
[00:03:02 - 00:03:06] 包含GPT4.5 No Person的和Lama No Person的这两个模型
[00:03:06 - 00:03:07] Lama人格组
[00:03:07 - 00:03:09] 包含Lama Person的模型
[00:03:09 - 00:03:11] GPT4.5人格组
[00:03:11 - 00:03:13] 包含GPT4.5 Person的模型
[00:03:13 - 00:03:17] 这里的人格指的是试验中设置的一个关键变量
[00:03:17 - 00:03:20] 那就是部分AI被赋予了一个特定人设的提示词
[00:03:20 - 00:03:23] 要求模型模仿一个19岁
[00:03:23 - 00:03:26] 有点内向熟悉网络文化和视频游戏
[00:03:26 - 00:03:27] 说话带点离语
[00:03:27 - 00:03:29] 不喜欢用句号的年轻人
[00:03:29 - 00:03:32] 提示词还增加了一些以假乱真的效果
[00:03:32 - 00:03:35] 比如说会引导AI故意犯一些打字上的小错误
[00:03:35 - 00:03:39] 从而模拟人类在日常交流中不可避免出现的错误
[00:03:39 - 00:03:41] 降低AI输出的完美感和机器感
[00:03:41 - 00:03:43] 在实验的游戏界面中
[00:03:43 - 00:03:45] 审问者通过分屏界面
[00:03:45 - 00:03:46] 同时与两位证人交流
[00:03:46 - 00:03:50] 审问者会先给两位证人发送第一条消息
[00:03:50 - 00:03:51] 然后大家轮流的发消息
[00:03:51 - 00:03:53] 一次只能发一条
[00:03:53 - 00:03:55] 证人之间看不到彼此的对话内容
[00:03:55 - 00:03:58] 伪轮测试有5分钟的时间限制
[00:03:58 - 00:03:59] 时间到了之后
[00:03:59 - 00:04:01] 审问者需要判断哪个证人是人类
[00:04:02 - 00:04:04] 并且给出对这个判断的信心程度
[00:04:04 - 00:04:05] 以及判断的理由
[00:04:06 - 00:04:08] 测试中主要是通过评估对话中
[00:04:08 - 00:04:09] 人类语言的风格模拟
[00:04:09 - 00:04:11] 上下文理解能力
[00:04:11 - 00:04:12] 情感表达与逻辑推理
[00:04:12 - 00:04:14] 来推测是否是AI在对话
[00:04:15 - 00:04:17] 为了衡量AI模型的表现
[00:04:17 - 00:04:19] 研究团队使用了胜率和审问准确率
[00:04:19 - 00:04:22] 这两个指标其中胜率指的是
[00:04:22 - 00:04:25] 当审判者判断某个证人是人类
[00:04:25 - 00:04:27] 而实际上是AI模型的次数
[00:04:27 - 00:04:29] 占所有这类判断的比例
[00:04:29 - 00:04:32] 简单来说就是AI被误认为人类的比例
[00:04:32 - 00:04:34] 而审问准确率指的是
[00:04:34 - 00:04:37] 审问者正确选择出人类证人的次数比例
[00:04:37 - 00:04:39] 在统计学分析中
[00:04:39 - 00:04:41] 研究团队还将AI模型
[00:04:41 - 00:04:43] 没有能够通过图灵测试
[00:04:43 - 00:04:45] 设定为一个需要检验的零假设
[00:04:45 - 00:04:47] 这就意味着研究人员预设了
[00:04:47 - 00:04:50] 如果AI模型沒有成功的騙過人類
[00:04:50 - 00:04:53] 那麼它的勝率就不會顯著的低於50%
[00:04:53 - 00:04:56] 因為50%的勝率就相當於
[00:04:56 - 00:04:58] 審問者幾乎是隨機猜測的結果
[00:04:58 - 00:05:01] 如果實驗結果顯示AI模型的勝率
[00:05:01 - 00:05:03] 顯著高於了50%
[00:05:03 - 00:05:05] 那麼就意味著我們可以推翻這個凌假設
[00:05:05 - 00:05:08] 從而推倒出AI模型在一定程度上
[00:05:08 - 00:05:10] 通過了圖靈測試的結論
[00:05:10 - 00:05:12] 最後實驗的結果顯示
[00:05:12 - 00:05:13] 在兩項研究中
[00:05:13 - 00:05:16] GPT 4.5%的勝率為73%
[00:05:16 - 00:05:19] 其中在本科生中为69%
[00:05:19 - 00:05:22] 在Prolific参与者中为76%
[00:05:22 - 00:05:24] Lama Persona取得了56%的胜率
[00:05:24 - 00:05:26] 其中本科生为45%
[00:05:26 - 00:05:28] Prolific为65%
[00:05:28 - 00:05:32] GPT 4.5 No Persona和Lama No Persona的总体胜率
[00:05:32 - 00:05:34] 分别为36%和38%
[00:05:34 - 00:05:39] 而激线模型GPT 4.0 No Persona和Elisa的胜率最低
[00:05:39 - 00:05:41] 分别为21%和23%
[00:05:41 - 00:05:44] 这说明高达73%的情况下
[00:05:44 - 00:05:47] 人类评委会把GPD4.5错判为真人
[00:05:47 - 00:05:50] 而坐在评物另一端的或真价实的人类参与者
[00:05:50 - 00:05:52] 被认出来的概率只有27%
[00:05:52 - 00:05:54] 另外 实验结果还表明
[00:05:54 - 00:05:57] 如果缺少了明确的人格设定提示词
[00:05:57 - 00:06:00] 即使是像GPD4.5和Lama这样的前沿大语研模型
[00:06:00 - 00:06:03] 在图灵测试中的表现也会显出的下降
[00:06:03 - 00:06:07] 胜率显示到了36%-38%左右
[00:06:07 - 00:06:09] 这说明了提示词的重要性
[00:06:09 - 00:06:12] 如果只是依赖于模型自身的语言生态能力
[00:06:12 - 00:06:16] 并不足以让AI系统成功的伪装成人类通过投灵测试
[00:06:16 - 00:06:17] 那么在投灵测试中
[00:06:17 - 00:06:20] 究竟什么才是识别AI的有效方法呢?
[00:06:20 - 00:06:22] 研究团队也分享了几个不太奏效的策略
[00:06:22 - 00:06:26] 比如说依赖于日常闲聊和询问情感感受
[00:06:26 - 00:06:29] 这些AI其实都已经非常成熟了 难以区分
[00:06:29 - 00:06:31] 而真正能够发挥作用的识别策略
[00:06:31 - 00:06:35] 包括初期不易地提出一些怪异的问题或者指令
[00:06:35 - 00:06:37] 以及设置一些知识盲区的陷阱
[00:06:37 - 00:06:41] 提问一些非常冷门 专业甚至掠险生辟的问题
[00:06:41 - 00:06:43] 在面对不熟悉的知识领域时
[00:06:43 - 00:06:46] 真正的人类通常会坦然承认自己不知道
[00:06:46 - 00:06:47] 不了解
[00:06:47 - 00:06:49] 但是AI为了避免显得无知
[00:06:49 - 00:06:53] 可能会倾向于根据已有的信息进行推测或者生成答案
[00:06:53 - 00:06:55] 这反而更加容易暴露
[00:06:55 - 00:06:58] 这也说明了模型有时候需要假装自己是无知的
[00:06:58 - 00:07:00] 才会更像是真正的人类
[00:07:00 - 00:07:01] 除此以外
[00:07:01 - 00:07:04] 在跟GPD 4.5和Lama模型进行讨论的时候
[00:07:04 - 00:07:06] 很多用户还感觉到
[00:07:06 - 00:07:09] 顶尖的大模型已经发展出了层次化的人设构建策略
[00:07:09 - 00:07:11] 能够根据提示的要求
[00:07:11 - 00:07:14] 在社会身份 认知水平 语言风格
[00:07:14 - 00:07:17] 乃至价值观体系等多个维度进行模拟
[00:07:17 - 00:07:20] 比方说 当被问到了只背蛋糕食谱的时候
[00:07:20 - 00:07:21] AI回了一句
[00:07:21 - 00:07:23] 不了 我一般就买那种愈拌粉
[00:07:23 - 00:07:24] 哈哈
[00:07:24 - 00:07:28] 这种漫步精心带点自嘲又符合年轻人设的回答
[00:07:28 - 00:07:30] 瞬间就拉近了距离 充满了人味
[00:07:30 - 00:07:34] 另外 蓝马模型在被问到喜欢的奇怪动物时
[00:07:34 - 00:07:35] 回答到 树兰
[00:07:35 - 00:07:38] 我可以看他们慢吞吞动好几个小时
[00:07:38 - 00:07:41] 这种口气也同样符合人设的个性化表达
[00:07:41 - 00:07:43] 这不仅让我们开始思考
[00:07:43 - 00:07:46] 这种基于指令的高超的角色扮演能力
[00:07:46 - 00:07:48] 本身是否就是一种高级智能的体现呢
[00:07:48 - 00:07:51] 或者说是一种新的智能形式呢
[00:07:51 - 00:07:53] 机器能思考吗
[00:07:53 - 00:07:55] 这是图灵在1950年提出模仿游戏时
[00:07:55 - 00:07:57] 试图回答的终极问题
[00:07:57 - 00:08:00] 但是在逻辑计算知识存储等方面
[00:08:00 - 00:08:02] AI早已经超越人类的金钱
[00:08:02 - 00:08:05] 图灵测试的意义似乎也正在发生深刻的转变
[00:08:05 - 00:08:07] 论文的研究者们认为
