BV号：BV1Aw6oYgENi
标题：BV1Aw6oYgENi
链接：https://www.bilibili.com/video/BV1Aw6oYgENi
识别语言：zh
语言置信度：1
分段数：256
生成时间：2026-08-30 21:18:25

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 12月3号 由AI教母李飞飞联合创立
[00:00:06 - 00:00:09] 并且担任CEO的AI出状公司 WorldLabs
[00:00:09 - 00:00:14] 对外公布了他们的首个成果 3D世界生成模型
[00:00:14 - 00:00:18] 一个可以让用户从单张图片生成3D世界的AI系统
[00:00:18 - 00:00:22] 和市面上大多数将图片转化为3D的产品不同
[00:00:22 - 00:00:24] WorldLabs的3D世界生成模型
[00:00:24 - 00:00:29] 通过预测3D场景 实现了更高的可控性和一致性
[00:00:29 - 00:00:33] 而且用戶还可以与模型生成的3D场景进行互动
[00:00:33 - 00:00:37] 比如说用戶可以模拟相机进行对焦或者是滑动变焦
[00:00:37 - 00:00:40] 还可以在浏览器中进行实时的交互
[00:00:40 - 00:00:43] 并且能够为场景添加交互效果和动画
[00:00:43 - 00:00:47] 今天我们就来介绍一下这个3D世界生成模型
[00:00:47 - 00:00:49] 根据Worldlabs的博客介绍
[00:00:49 - 00:00:51] 用戶只需要提交一张图片
[00:00:51 - 00:00:53] 不论是由AI生成的图像
[00:00:53 - 00:00:56] 还是日常生活中拍摄的照片
[00:00:56 - 00:01:01] 3D世界生成模型都能根据这张图片生成一个3D的场景
[00:01:01 - 00:01:04] 而且的风格和原始图片保持一致
[00:01:04 - 00:01:09] 同时和市面上将图片转化为3D建模或者是环境的产品不同
[00:01:09 - 00:01:15] WordLabs模型生成的3D场景更像是一个开放的世界游戏里的画面
[00:01:15 - 00:01:19] 它准许用户通过操作键盘、鼠标和场景进行交互
[00:01:19 - 00:01:23] 比如按下键盘上的WASD键
[00:01:23 - 00:01:26] 可以向前 向左 向后 向右移动
[00:01:26 - 00:01:29] 而点击并且滑动鼠标还可以转换视角
[00:01:29 - 00:01:31] 生成3D场景以后
[00:01:31 - 00:01:34] 模型还会使用虚拟相机在浏览器中实时地渲染
[00:01:35 - 00:01:37] 用户在使用的时候可以通过拖动滑块
[00:01:37 - 00:01:39] 来精准地控制虚拟相机
[00:01:40 - 00:01:41] 从而实现艺术摄影的效果
[00:01:42 - 00:01:44] 比如说用户可以通过拖动滑块
[00:01:44 - 00:01:46] 来模拟拍照时候的对焦
[00:01:46 - 00:01:49] 从而渲染出更加清晰或者是更加模糊的画面
[00:01:49 - 00:01:53] 另外在WorldLabs生成的3D場景中
[00:01:53 - 00:01:55] 用戶還可以使用滑動變焦
[00:01:55 - 00:01:57] 來調整虛擬相機的視野範圍
[00:01:57 - 00:02:00] 從而獲得不一樣的視覺效果
[00:02:00 - 00:02:02] WorldLabs還在博客中介紹
[00:02:02 - 00:02:05] 與大多數模型預測像素的方式不同
[00:02:05 - 00:02:07] 它們是預測3D場景
[00:02:07 - 00:02:09] 這麼做有三個明顯的優勢
[00:02:09 - 00:02:11] 首先是連續性
[00:02:11 - 00:02:14] 也就是模型生成的3D場景將一直的存在
[00:02:14 - 00:02:16] 即使是轉換視角和移動
[00:02:16 - 00:02:19] 都不會對已經生成的場景產生影響
[00:02:19 - 00:02:21] 其次是實時控制
[00:02:21 - 00:02:24] 用戶可以在場景中自由實時的移動
[00:02:24 - 00:02:26] 不僅能夠湊盡去看花的經絡
[00:02:26 - 00:02:28] 也能夠抬頭遠望太空的星雲
[00:02:28 - 00:02:30] 第三個是正確的幾何結構
[00:02:30 - 00:02:32] 模型生成的3D場景
[00:02:32 - 00:02:35] 遵循了3D幾何的基本物理規律
[00:02:35 - 00:02:37] 有立體感和眾生感
[00:02:37 - 00:02:38] 也正是因為這些優勢
[00:02:38 - 00:02:40] 用戶可以在生成的3D場景中
[00:02:40 - 00:02:42] 去構建交互式的效果
[00:02:42 - 00:02:45] 比如說選擇升納、騷擾的效果之後
