BV号：BV1UA9vB1EJ1
标题：BV1UA9vB1EJ1
链接：https://www.bilibili.com/video/BV1UA9vB1EJ1
识别语言：zh
语言置信度：1
分段数：323
生成时间：2026-08-29 20:04:55

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 现在最牛的开发者
[00:00:03 - 00:00:06] 不在争论Cloud GPT还是Cursor谁最强
[00:00:06 - 00:00:08] 他们做的事情比这激进的多
[00:00:08 - 00:00:10] 他们在构建一个多Agent的站
[00:00:10 - 00:00:12] 让每个任务都跑在最合适的Agent上
[00:00:12 - 00:00:14] 结果非常反直觉
[00:00:14 - 00:00:17] 成本被硬生生砍掉了85%
[00:00:17 - 00:00:19] 但产出不仅没降 反而增加了
[00:00:19 - 00:00:21] 这听起来像是在吹牛
[00:00:21 - 00:00:23] 但我看到了几个真实的工程案例
[00:00:23 - 00:00:25] 都在验证这个逻辑
[00:00:25 - 00:00:27] 第一点 成本路由的真正含义
[00:00:27 - 00:00:29] 我先说说成本路由
[00:00:29 - 00:00:30] 很多人理解错了
[00:00:30 - 00:00:33] 他们以为就是用便宜的模型替代贵的模型
[00:00:33 - 00:00:34] 但其实不是这样
[00:00:34 - 00:00:36] 有个工程师叫Karala
[00:00:36 - 00:00:38] 他之前所有工作都用Cloud Code
[00:00:38 - 00:00:40] 写测试重购模块生成样板
[00:00:40 - 00:00:41] 质量很好
[00:00:41 - 00:00:43] 但账单是3000美金一个月
[00:00:43 - 00:00:45] 后来他做了个对比测试
[00:00:45 - 00:00:49] Kimi K2.6和Cloud在SWE Bench上的性能差不到1%
[00:00:49 - 00:00:50] 但价格呢
[00:00:50 - 00:00:53] Kimi是每百万tokens0.8美金
[00:00:53 - 00:00:54] Cloud是5美金
[00:00:54 - 00:00:56] 7倍的价格差同样的性能
[00:00:56 - 00:00:58] 现在还有更便宜的选择
[00:00:58 - 00:01:01] Deepseak的V4模型成本更低
[00:01:01 - 00:01:04] OpenCloud这个工具把Deepseak V4作为默认模型
[00:01:04 - 00:01:07] 所以成本路由的选择其实越来越多
[00:01:07 - 00:01:09] 但关键不是找最便宜的
[00:01:09 - 00:01:10] Carolud做法是这样的
[00:01:10 - 00:01:13] 它把自己的工作分成了三类
[00:01:13 - 00:01:16] 第一类是日常的重复的相对简单的任务
[00:01:16 - 00:01:19] 比如写测试重勾代码生成样板
[00:01:19 - 00:01:21] 这类站它工作的85%
[00:01:21 - 00:01:24] 这类任务它用Kimi或者Deepseak V4
[00:01:24 - 00:01:26] 便宜快足够好
[00:01:26 - 00:01:28] 第二类是复杂的架构设计
[00:01:28 - 00:01:31] 需要深度的推理和创意这类占15%
[00:01:31 - 00:01:33] 这类任务它还是用Cloud的
[00:01:33 - 00:01:35] 因为在这里多花一点钱是值得的
[00:01:35 - 00:01:37] 第三类是批量处理
[00:01:37 - 00:01:38] 比如处理100个文件
[00:01:38 - 00:01:40] 生成100分报告
[00:01:40 - 00:01:42] 这类任务它用Agent Swarm
