BV号：BV1Cqnjz9EnB
标题：BV1Cqnjz9EnB
链接：https://www.bilibili.com/video/BV1Cqnjz9EnB
识别语言：zh
语言置信度：1
分段数：466
生成时间：2026-08-29 22:42:35

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ。
[00:00:02 - 00:00:07] 最近,Anthropic发布了一份名为经济指数Economic Index的报告,
[00:00:07 - 00:00:10] 基于全球150多个国家的Cloud使用数据。
[00:00:10 - 00:00:13] 还有企业API部署的真实情况。
[00:00:13 - 00:00:16] 给AI行业画了一张形象的使用热力图。
[00:00:16 - 00:00:22] 同时,Anthropic也在报告中,回答了两个所有人可能都会关心的问题。
[00:00:22 - 00:00:25] 大模型在哪些场景中已经在被高频使用了呢?
[00:00:25 - 00:00:28] 以及哪些应用不仅有用户?
[00:00:28 - 00:00:30] 还能带来实实在在的经济价值呢?
[00:00:30 - 00:00:37] 今天,我们就来解读一下这份报告,看看AI行业究竟有哪些商业落地和投资机会。
[00:00:37 - 00:00:48] 首先,报告指出,AI的采用速度是人类历史上罕见的,就拿美国来说,现在已经有40%的员工在工作中会使用AI。
[00:00:48 - 00:00:54] 而2023年这个数字还只有20%,也就是说,两年时间翻了一倍。
[00:00:54 - 00:00:56] 这是什么概念呢?
[00:00:56 - 00:00:58] 我们对比下历史上的技术就知道了
[00:00:58 - 00:01:00] 城市电器化之后
[00:01:00 - 00:01:02] 电力进入农户花了30多年
[00:01:02 - 00:01:06] 1981年第一批面向大众的个人电脑出现
[00:01:06 - 00:01:10] 但是直到20年后才进入了美国多数的家庭
[00:01:10 - 00:01:12] 就算是当年普及很快的互联网
[00:01:12 - 00:01:14] 也用了5年的时间
[00:01:14 - 00:01:18] 才达到AI现在短短两年就实现的采用率
[00:01:18 - 00:01:20] 为什么AI会这么快?
[00:01:20 - 00:01:22] 有三个核心的原因
[00:01:22 - 00:01:25] 它已经在很多场景里展现出了实用性
[00:01:25 - 00:01:27] 不再只是一项实验室里的技术
[00:01:27 - 00:01:31] 第二,它能在现有的数字基础设施上进行部署
[00:01:31 - 00:01:34] 不用企业或个人重新搭一套系统
[00:01:34 - 00:01:37] 第三,使用的门槛极低
[00:01:37 - 00:01:39] 输入文字或说话就行
[00:01:39 - 00:01:41] 不用进行专业的训练
[00:01:41 - 00:01:43] 而Anthropic的这份报告
[00:01:43 - 00:01:45] 就是要通过Cloud的实际使用数据
[00:01:45 - 00:01:47] 搞清楚这种快速采用
[00:01:47 - 00:01:49] 到底集中在哪些领域
[00:01:49 - 00:01:50] 哪些地区
[00:01:50 - 00:01:53] 以及企业和个人用AI的逻辑有什么不一样
[00:01:54 - 00:01:57] 因为这些细节才是判断AI经济价值的关键
[00:01:58 - 00:02:01] 我们先来看看Cloud这个面向个人用户的平台
[00:02:01 - 00:02:03] 它的使用模式在时间上有什么变化
[00:02:04 - 00:02:06] Anthropic用了三个时间段的数据
[00:02:06 - 00:02:10] 分别是2024年12月到2025年1月
