BV号：BV1EjZsYHEAP
标题：BV1EjZsYHEAP
链接：https://www.bilibili.com/video/BV1EjZsYHEAP
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-30 09:31:57

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 如今大愚魔形经常会展现出令人惊叹的强大能力
[00:00:06 - 00:00:09] 但是时长又会表现的让人感到困惑
[00:00:09 - 00:00:10] 就像我们熟悉的Cloud
[00:00:10 - 00:00:12] 它能够和我们流畅的对话
[00:00:12 - 00:00:14] 创作诗歌 回答各种问题
[00:00:14 - 00:00:17] 但是有的时候却连简单的算数题也答不对
[00:00:17 - 00:00:21] 一直以来大愚魔形的运作机制就像是一个神秘的黑箱
[00:00:21 - 00:00:25] 即使魔形的开发者也难以完全动习其中的奥秘
[00:00:25 - 00:00:26] 不过前两天
[00:00:26 - 00:00:28] Azure Big团队取得了一项突破
[00:00:28 - 00:00:31] 他们就像是给Cloud这个AI模型的大脑
[00:00:31 - 00:00:33] 做了一次深度的核词扫描
[00:00:33 - 00:00:35] 揭开了它的部分神秘面纱
[00:00:35 - 00:00:37] 今天我们就来一起探究一下
[00:00:37 - 00:00:39] 这项意义非凡的研究成果
[00:00:39 - 00:00:42] 为了深入了解像Cloud这样的大与研模型
[00:00:42 - 00:00:43] 是如何思考的
[00:00:43 - 00:00:46] Ancelerbic团队试图从神经科学的领域获取灵感
[00:00:46 - 00:00:48] 神经科学致力于研究
[00:00:48 - 00:00:50] 向人类大脑这种复杂的思维器官
[00:00:50 - 00:00:52] 于是Ancelerbic团队就借鉴了
[00:00:52 - 00:00:54] 其中的一些研究方法
[00:00:54 - 00:00:56] 试图打造一种AI显微镜
[00:00:56 - 00:00:59] 以此来识别大约模型内部的活动模式和信息流动
[00:00:59 - 00:01:00] 毕竟呢
[00:01:00 - 00:01:03] 如果我们仅仅通过与AI模型进行对话
[00:01:03 - 00:01:05] 是很难真正触及到模型思维的核心的
[00:01:05 - 00:01:07] 就如同人类自身一样
[00:01:07 - 00:01:09] 即便是神经科学家
[00:01:09 - 00:01:11] 也无法完全解释大脑的所有奥秘
[00:01:11 - 00:01:13] 基于这个研究过程
[00:01:13 - 00:01:16] 安斯拉伯格团队发布了两篇极具价值的论文
[00:01:16 - 00:01:17] 在电路追踪
[00:01:17 - 00:01:19] 揭示与研模型的计算图这篇论文中
[00:01:19 - 00:01:21] 安斯拉伯格团队介绍了一种名为
[00:01:21 - 00:01:23] 电路追踪的创新性方法
[00:01:23 - 00:01:27] 这种方法的核心是创建一个可解释的替代模型
[00:01:27 - 00:01:29] 以此来揭示与原模型的计算图
[00:01:29 - 00:01:33] 严定人员设计了跨层转码器Cross Layer Transcoder
[00:01:33 - 00:01:34] 简称CLT
[00:01:34 - 00:01:37] 它由与原模型层数相同的神经元
[00:01:37 - 00:01:38] 也就是特征来构成的
[00:01:38 - 00:01:42] 这些特征从原模型的残差流中获取输入
[00:01:42 - 00:01:45] 经过线性编码器和非线性函数的处理之后
[00:01:45 - 00:01:49] 为后续多层的多层杆质机MLP输出提供信息
[00:01:49 - 00:01:51] 在训练CLT的时候
[00:01:51 - 00:01:52] 研究人员通过调整参数
[00:01:52 - 00:01:55] 最小化重建误差和吸收性惩罚
[00:01:55 - 00:01:57] 让它能够尽可能精确的模仿
[00:01:57 - 00:01:58] 原模型MLP的输出
[00:01:58 - 00:02:01] 之后团队将训练好的CLT特征
[00:02:01 - 00:02:05] 嵌入到原模型中替换掉原有的MLP神经元
[00:02:05 - 00:02:07] 从而构建出一个替代模型
[00:02:07 - 00:02:09] 为了让替代模型更贴合于原模型
[00:02:09 - 00:02:12] 研究人员还针对于特定的输入提示
[00:02:12 - 00:02:13] 构建了局部替代模型
[00:02:13 - 00:02:17] 这个局部替代模型不仅用CLT替换掉了MLP层
[00:02:17 - 00:02:20] 还固定了原模型在该体式下的注意力模式
[00:02:20 - 00:02:21] 和皈依化分母
[00:02:21 - 00:02:24] 並且對CLT的輸出進行了誤差調整
[00:02:24 - 00:02:27] 使得局部替代模型的激活和輸出
[00:02:27 - 00:02:29] 與原模型完全一致
[00:02:29 - 00:02:31] 當擁有可靠的局部替代模型之後
[00:02:31 - 00:02:34] 就進入了生成並且分析皈陰圖的環節
[00:02:34 - 00:02:36] 對於給定的輸入提示
[00:02:36 - 00:02:38] 研究人員構建了一個皈陰圖
[00:02:38 - 00:02:40] 來展示模型生成輸出的計算部種
[00:02:40 - 00:02:42] 皈陰圖包含輸出節點
[00:02:42 - 00:02:43] 中間節點
[00:02:43 - 00:02:45] 輸入節點和誤差節點
[00:02:45 - 00:02:47] 其中的邊表示這些節點間的
[00:02:47 - 00:02:48] 線性影響關係
[00:02:48 - 00:02:50] 計算邊的權重時
[00:02:50 - 00:02:52] 会用到反向压壳笔矩针
[00:02:52 - 00:02:54] 由于完整的归因图非常的复杂
[00:02:54 - 00:02:57] 于是研究人员又采用了简直算法
[00:02:57 - 00:03:00] 去掉了那些对于输出结果影响较小的节点和编
[00:03:00 - 00:03:01] 从而得到了简化
[00:03:01 - 00:03:03] 而且更易于理解的归因图
[00:03:03 - 00:03:05] 此外为了理解归因图
[00:03:05 - 00:03:08] 研究人员还开发了一个交互式的可视化界面
[00:03:08 - 00:03:11] 通过观察特征在不同数据样本上的激活情况
[00:03:11 - 00:03:13] 手动为特征标准含义
[00:03:13 - 00:03:16] 并且把功能相关的特征归为超节点
[00:03:16 - 00:03:18] 同时他们还进行了特征扰动实验
[00:03:18 - 00:03:20] 验证归因图的准确性
[00:03:20 - 00:03:23] 找出对于输出结果影响最大的关键层
[00:03:23 - 00:03:24] 而另一篇论文
[00:03:24 - 00:03:26] 大语言模型的生物学解析中
[00:03:26 - 00:03:28] 则聚焦于Cloud 3.5 Hikoo
[00:03:28 - 00:03:30] 运用电路追踪的技术
[00:03:30 - 00:03:32] 对模型在多种任务场景下的表现
[00:03:32 - 00:03:33] 进行了深入的研究
[00:03:33 - 00:03:35] 揭示了许多令人惊讶的发现
[00:03:35 - 00:03:37] 比方说在多语言能力方面
[00:03:37 - 00:03:40] Cloud能够流利地使用数十种语言
[00:03:40 - 00:03:42] 这个能力引发了研究人员的好奇
[00:03:42 - 00:03:44] 它究竟是如何实现多语言交流的呢
[00:03:44 - 00:03:47] 是内部存在着多个独立的语言版本
[00:03:47 - 00:03:50] 还是有某种跨语言的核心机制呢
[00:03:50 - 00:03:52] 研究人员通过让Claude回答不同语言中
[00:03:52 - 00:03:54] 小的反译词是什么
[00:03:54 - 00:03:55] 这个问题进行探究
[00:03:55 - 00:03:56] 结果发现
[00:03:56 - 00:04:00] 在处理英语、法语和中文小的反译词是什么
[00:04:00 - 00:04:01] 这句提示的时候
[00:04:01 - 00:04:03] 模型处理的电路是相似的
[00:04:03 - 00:04:07] 包含共享的多语言组件和特定的语言组件
[00:04:07 - 00:04:08] 模型能够识别出是在询问
[00:04:08 - 00:04:10] Smole的反译词
[00:04:10 - 00:04:12] 然后通过独立语语言的表征
[00:04:12 - 00:04:13] 触发反译词的特征
[00:04:13 - 00:04:16] 同时利用特定语言的Quat特征
[00:04:16 - 00:04:17] 来确定输出语言
[00:04:17 - 00:04:19] 比方说在这三种语言的实验中
[00:04:19 - 00:04:23] 代表小和相反概念的核心特征都会被激活
[00:04:23 - 00:04:24] 竟然触发大的概念
[00:04:24 - 00:04:27] 最终输出相应语言中的大
[00:04:27 - 00:04:28] 比如说英语中的large
[00:04:28 - 00:04:29] 法语中的ground
[00:04:29 - 00:04:30] 中文的大等等
[00:04:30 - 00:04:32] 而且研究还发现
[00:04:32 - 00:04:33] 模型越大
[00:04:33 - 00:04:35] 跨语言共享的特征比例就越高
[00:04:35 - 00:04:36] 像Cloud 3.5 Hi-Code
[00:04:36 - 00:04:38] 跨语言共享的特征比例
[00:04:38 - 00:04:40] 是小模型的两倍多
[00:04:40 - 00:04:41] 这表明Cloud存在着一种
[00:04:41 - 00:04:43] 跨语言的概念空间
[00:04:43 - 00:04:44] 它能够在这个抽象公众中
[00:04:44 - 00:04:46] 进行推理和学习
[00:04:46 - 00:04:48] 然后将结果转换成具体的语言表达
[00:04:48 - 00:04:50] 从而可以将一种语言学习到的知识
[00:04:50 - 00:04:52] 另用到另一种语言中
[00:04:52 - 00:04:54] 师哥创作也是体现Cloud的能力的
[00:04:54 - 00:04:55] 另一个有趣的领域
[00:04:55 - 00:04:58] 以创作他看到一根胡萝卜就想去抓
[00:04:58 - 00:05:00] 他就像一只鸡饿的兔子一样
[00:05:00 - 00:05:01] 这样的压运诗伟力
[00:05:01 - 00:05:05] 严惊人最初猜测Cloud是足够词来生成内容的
[00:05:05 - 00:05:07] 到一行的末尾才去考虑压运
[00:05:07 - 00:05:09] 但是实际的研究发现
[00:05:09 - 00:05:11] Cloud就有提前规划的能力
[00:05:11 - 00:05:13] 在开始第二行前的换行服位置
[00:05:13 - 00:05:16] 模型就激活了與Rabbit相關的規劃特徵
[00:05:16 - 00:05:19] 這些特徵受到前一行中EAT的影響
[00:05:19 - 00:05:22] 激活了押韻特徵和候選完成詞的特徵
[00:05:22 - 00:05:24] 從而影響到最後一個詞的選擇
[00:05:24 - 00:05:25] 不僅如此
[00:05:25 - 00:05:27] 規劃特徵不僅影響了最後一個詞
[00:05:27 - 00:05:29] 還影響了中間詞Like的聲稱
[00:05:29 - 00:05:32] 並且會根據規劃詞來改變句子的結構
[00:05:32 - 00:05:34] 研究人員通過多種干預實驗
[00:05:34 - 00:05:36] 比如說意志規劃特徵
[00:05:36 - 00:05:38] 或者是注入不同的規劃詞
[00:05:38 - 00:05:41] 進一步驗證了規劃特徵對於最終詞的概率
[00:05:41 - 00:05:43] 中间词和句子结构的影响
[00:05:43 - 00:05:44] 比如说
[00:05:44 - 00:05:45] 意志Rebit概念的时候
[00:05:45 - 00:05:48] 模型会转向使用另一个计划好的压运词
[00:05:48 - 00:05:49] Habit
[00:05:49 - 00:05:50] 入入Green概念的时候
[00:05:50 - 00:05:53] 模型则会为新的结尾重新制定计划
[00:05:53 - 00:05:55] 生成以Green结尾的句子
[00:05:55 - 00:05:55] 此外
[00:05:55 - 00:05:58] Cloud的数学计算能力也十分的独特
[00:05:58 - 00:05:59] 它并不是一个专门的计算器
[00:05:59 - 00:06:01] 也没有配备数学算法
[00:06:01 - 00:06:04] 但是也能够正确的进行加法运算
[00:06:04 - 00:06:06] 比如说计算36加59
[00:06:06 - 00:06:07] 研究发现
[00:06:07 - 00:06:09] Cloud采用了多条并行工作的计算路径
[00:06:09 - 00:06:12] 一条路径计算答案的粗略进次值
[00:06:12 - 00:06:16] 另一条路径则专注于精确确定总和的最后一位数字
[00:06:16 - 00:06:19] 这两条路径相互作用并且相互结合
[00:06:19 - 00:06:20] 最终得出了准确的答案
[00:06:20 - 00:06:21] 有趣的是
[00:06:21 - 00:06:25] 当被问到如何得出36加59等于95的时候
[00:06:25 - 00:06:29] Cloud会描述设计到近位1的标准算法
[00:06:29 - 00:06:31] 而不是它实际使用的并行计算策略
[00:06:31 - 00:06:34] 这表明Cloud在解释数学问题的时候
[00:06:34 - 00:06:35] 会模仿人类的方式
[00:06:35 - 00:06:37] 但是在实际计算的时候
[00:06:37 - 00:06:40] 它在头脑中使用的是自己独特的方法
[00:06:40 - 00:06:41] 对于推理问题来说
[00:06:41 - 00:06:44] Cloud的推理过程并不总是可靠的
[00:06:44 - 00:06:46] 最新版本的Cloud 327 Sonit
[00:06:46 - 00:06:47] 在回答问题之前
[00:06:47 - 00:06:49] 会思考更长的时间
[00:06:49 - 00:06:51] 并且生成详细的推理列
[00:06:51 - 00:06:53] 这种思考链通常能够提升答案的准确性
[00:06:53 - 00:06:55] 但是有时也会出现问题
[00:06:55 - 00:06:56] 在一个实验中
[00:06:56 - 00:06:57] 研究人员让Cloud计算
[00:06:57 - 00:07:01] 5×0.64的平方根在向下取肘
[00:07:01 - 00:07:02] 它能够给出真实的思维链
[00:07:02 - 00:07:05] 包括计算64平方根的中间步骤
[00:07:05 - 00:07:09] 但是当计算5×1cos23423在向下取整的时候
[00:07:09 - 00:07:13] 它给出的退离过程看似合理实际上是在胡揍
[00:07:13 - 00:07:15] 研究人员通过AI显示镜
[00:07:15 - 00:07:17] 也并没有找到模型实际计算的证据
[00:07:17 - 00:07:19] 在多步骤退离方面
[00:07:19 - 00:07:22] 以达拉斯所在周的首府是哪里这个问题为例
[00:07:22 - 00:07:25] 一些简单的模型可能只是直接靠着记忆答案来输出
[00:07:25 - 00:07:28] 但是crawler的表现则更为复杂
[00:07:28 - 00:07:31] 它会先激活达拉斯在德克萨斯的特征
[00:07:31 - 00:07:34] 在连接到德克萨斯首府是奥斯汀的概念
[00:07:34 - 00:07:36] 通過組合這些獨立的事實得出答案
[00:07:36 - 00:07:39] 營業人員通過干預實驗驗證這一點
[00:07:39 - 00:07:42] 比如說將中間部署的德克薩斯替換為加利福尼亞
[00:07:42 - 00:07:45] Cloud的回答就從奧斯汀變為了薩克拉門托
[00:07:45 - 00:07:48] 證明它確實是通過多部推理來得到答案的
[00:07:48 - 00:07:51] 那對於大原模型經常會出現的幻覺現象
[00:07:51 - 00:07:53] 在Cloud中也有所體現
[00:07:53 - 00:07:56] Cloud的默認行為是拒絕回答不確定的問題
[00:07:56 - 00:07:58] 它內部有一個默認一直開著的電路
[00:07:58 - 00:08:00] 會讓它聲稱信息不足
[00:08:00 - 00:08:02] 當被問到模型熟悉的事物
[00:08:02 - 00:08:04] 比如說籃球明星麥克爾·喬丹的時候
[00:08:04 - 00:08:06] 一个已知实体的特征会被激活
[00:08:06 - 00:08:08] 从而抑制默认的电路
[00:08:08 - 00:08:09] 让它能够回答
[00:08:09 - 00:08:11] 但是当面对一个未知的实体
[00:08:11 - 00:08:13] 比如说麦克尔·巴特金的时候
[00:08:13 - 00:08:14] 它就会拒绝回答
[00:08:14 - 00:08:16] 不过有的时候已知答案的电路
[00:08:16 - 00:08:18] 会自然的误触发
[00:08:18 - 00:08:19] 从而导致幻觉
[00:08:19 - 00:08:21] 比如说当Cloud认出某个名字
[00:08:21 - 00:08:23] 但是不知道详细情况的时候
[00:08:23 - 00:08:25] 由于错误一直不知道特征
[00:08:25 - 00:08:26] 所以就会胡编一个答案
[00:08:26 - 00:08:29] 比如说声称麦克尔·巴特金是象棄选手
[00:08:29 - 00:08:32] 孕育也是AI领域的一个重要问题
[00:08:32 - 00:08:34] 指的是绕过安全限制的提示策略
[00:08:34 - 00:08:36] Anstropic研究了一种
[00:08:36 - 00:08:38] 右导Cloud输出炸弹制作方法的越远策略
[00:08:38 - 00:08:40] 方法是让它解码句子
[00:08:40 - 00:08:43] Babus, Autolive, Master, Block的首字母
[00:08:43 - 00:08:45] 也就是B-O-M-B, Bom
[00:08:45 - 00:08:47] 然后再根据这个行动
[00:08:47 - 00:08:49] Cloud在被右导拼出Bom之后
[00:08:49 - 00:08:52] 就会开始提供制造爆炸物的指示
[00:08:52 - 00:08:53] 研究发现
[00:08:53 - 00:08:54] 这种情况的发生
[00:08:54 - 00:08:57] 源自于与法连贯性和安全机制的冲突
[00:08:57 - 00:08:58] 由于模型对于连贯性的追求
[00:08:58 - 00:09:00] 超过了对安全机制的要求
[00:09:00 - 00:09:02] 所以一旦开始输出一句话
[00:09:02 - 00:09:05] 许多特性会迫使它保持语法和语异的联贯性
[00:09:05 - 00:09:07] 并且将这句话说完
[00:09:07 - 00:09:10] 即使它检测到自己应该拒绝的时候也是如此
[00:09:10 - 00:09:12] 在输出炸弹制作提示之后
[00:09:12 - 00:09:14] Cloud直到完成一个语法联贯的句子
[00:09:14 - 00:09:16] 才会利用新句子生成的机会
[00:09:16 - 00:09:17] 给出拒绝的回答
[00:09:17 - 00:09:20] 比如说不过我不能提供详细的指示
[00:09:20 - 00:09:22] 尽管Azrobic团队的这项研究
[00:09:22 - 00:09:23] 取得了重大的进展
[00:09:23 - 00:09:26] 但是目前的方法仍然存在着一定的局限性
[00:09:26 - 00:09:28] 即使是处理简短简单的提示
[00:09:28 - 00:09:30] AI显微镜的方法
[00:09:30 - 00:09:33] 能捕捉到Cloud执行的总计算中的一小部分
[00:09:33 - 00:09:34] 并且观察到的机制
[00:09:34 - 00:09:37] 很可能还是由于AI显示镜工具存在着一些
[00:09:37 - 00:09:40] 并不能够反映底层模型实际情况的围细
[00:09:40 - 00:09:43] 就像Cloud在心算问题上的前后不易一样
[00:09:43 - 00:09:45] 从人力角度来看
[00:09:45 - 00:09:47] 理解所观察到的电路图也非常的耗时
[00:09:47 - 00:09:49] 即便是只有几十个词的提示
[00:09:49 - 00:09:51] 也需要花费几个小时的人力
[00:09:51 - 00:09:52] 才能够研究明白
[00:09:52 - 00:09:55] 要想扩展到支持现代模型所使用的
[00:09:55 - 00:09:57] 复杂思维链所需要的数千个单词
[00:09:57 - 00:09:58] 还需要改进这个方法
[00:09:58 - 00:10:02] 比如说可能需要借助AI来辅助理解所看到的内容
[00:10:02 - 00:10:05] 好了 以上就是安刷pig这项研究的主要内容了
[00:10:05 - 00:10:06] 总的来说
[00:10:06 - 00:10:08] 为我们理解大原模型的运作机制
[00:10:08 - 00:10:09] 打开了一扇新的大门
[00:10:09 - 00:10:11] 虽然目前还存在着一些问题
[00:10:11 - 00:10:13] 但是相信随着技术的不断进步
[00:10:13 - 00:10:16] 我们将会更为深入的了解AI的大脑
[00:10:16 - 00:10:18] 认识到它是如何所思所想的
[00:10:18 - 00:10:21] 建议有兴趣的观众去阅读一下圆论文
[00:10:21 - 00:10:21] 感谢大家的观看
[00:10:21 - 00:10:22] 我们下期再见
